,Concept_ID,da,sk
0,Auge::N,øje,oko
1,Ohr::N,øre,ucho
2,Nase::N,næse,nos
3,Mund::N,mund,ústa
4,Zahn::N,tand,zub
5,Zunge::N,tunge,jazyk
6,Lippe::N,læbe,pera
7,Wange::N,kind,líce
8,Gesicht::N,ansigt,tvár
9,Gesicht::N,ansigt,obličaj
10,Stirn::N,pande,čelo
11,Haar::N,hår,vlas
12,Schnurrbart::N,overskæg,fúzy
13,Bart::N,skæg,brada
14,Kinn::N,hage,brada
15,Kiefer[Anatomie]::N,kæbe,čeľusť
16,Kehle::N,strube,hrdlo
17,Hals::N,hals,krk
18,Genick::N,nakke,väzy
19,Kopf::N,hoved,hlava
20,Rücken::N,ryg,chrbát
21,Bauch::N,mave,brucho
22,Nabel::N,navle,pupok
23,Busen::N,barm,prsia
24,Brust::N,bryst,hruď
25,Schulter::N,skulder,plece
26,Arm::N,arm,rameno
27,Ellenbogen::N,albue,lakeť
28,Hand::N,hånd,ruka
29,Handfläche::N,håndflade,dlaň
30,Finger::N,finger,prst
31,Fingernagel::N,fingernegl,necht
32,Nagel[Anatomie]::N,negl,necht
33,Zeh::N,tå,prst na nohe
34,Fuß::N,fod,noha
35,Ferse::N,hæl,päta
36,Knie::N,knæ,koleno
37,Oberschenkel::N,lår,stehno
38,Bein::N,ben,noha
39,Körper::N,krop,telo
40,Körper::N,legeme,telo
41,Haut::N,hud,koža
42,Blut::N,blod,krv
43,Ader::N,åre,žila
44,Sehne::N,sene,šľacha
45,Knochen::N,ben,kosť
46,Gehirn::N,hjerne,mozog
47,Herz::N,hjerte,srdce
48,Magen::N,mave,žalúdok
49,Leber::N,lever,pečeň
50,Atem::N,ånde,dych
51,Hunger::N,sult,hlad
52,Träne::N,tåre,slza
53,Geschmack::N,smag,chuť
54,Geruch::N,lugt,pach
55,Schlaf::N,søvn,spánok
56,Traum::N,drøm,sen
57,Himmel::N,himmel,nebo
58,Sonne::N,sol,slnko
59,Mond::N,måne,mesiac
60,Stern::N,stjerne,hviezda
61,Luft::N,luft,vzduch
62,Wind::N,vind,vietor
63,Welle::N,bølge,vlna
64,Wasser::N,vand,voda
65,Stein::N,sten,kameň
66,Boden::N,jord,zem
67,Boden::N,jord,pôda
68,Erde::N,jord,zem
69,Staub::N,støv,prach
70,Rauch::N,røg,dym
71,Funke::N,gnist,iskra
72,Feuer::N,ild,oheň
73,Licht::N,lys,svetlo
74,Schatten::N,skygge,tieň
75,Wetter::N,vejr,počasie
76,Nebel::N,tåge,hmla
77,Wolke::N,sky,oblak
78,Wolke::N,sky,mračno
79,Regen::N,regn,dážď
80,Schnee::N,sne,sneh
81,Eis::N,is,ľad
82,Frost::N,frost,mráz
83,Kälte::N,kulde,zima
84,Kälte::N,kulde,chlad
85,Hitze::N,hede,horúčava
86,Raureif::N,rimfrost,srieň
87,Raureif::N,rimfrost,inovať
88,Regenbogen::N,regnbue,dúha
89,Donner::N,torden,hrom
90,Strömung::N,strømning,prúdenie
