,Concept_ID,lbe,la
0,Auge::N,я,oculus
1,Ohr::N,вичӏи,auris
2,Nase::N,май,nasus
3,Mund::N,кьацӏ,os
4,Zahn::N,ккарччи,dens
5,Zunge::N,маз,lingua
6,Lippe::N,мурччи,labrum
7,Wange::N,чӏав,gena
8,Gesicht::N,лажин,vultus
9,Stirn::N,ненттабакӏ,frons
10,Haar::N,чӏара,capillus
11,Schnurrbart::N,ссирссилтту,barba labri superioris
12,Bart::N,чӏири,barba
13,Kinn::N,лунттубакӏ,mentum
14,Kiefer[Anatomie]::N,ххинчулул,mala
15,Kehle::N,кьакьари,iugulums
16,Hals::N,ссурссу,collum
17,Genick::N,махъабакӏ,cervices
18,Kopf::N,бакӏ,caput
19,Rücken::N,ттиликӏ,tergum
20,Bauch::N,лякьа,venter
21,Nabel::N,цӏумуккутӏ,umbilicus
22,Busen::N,ккукку,sinus
23,Brust::N,хъазам,pectus
24,Schulter::N,хъачӏ,umerus
25,Arm::N,ка,bracchium
26,Ellenbogen::N,ссюрхъ,cubitum
27,Hand::N,бартка,manus
28,Handfläche::N,хъат,palma
29,Handfläche::N,битӏянхъ,palma
30,Finger::N,кӏисса,digitus
31,Fingernagel::N,михь,unguiculus
32,Nagel[Anatomie]::N,михь,unguis
33,Zeh::N,кӏисса,digitus
34,Fuß::N,чӏанччан,pes
35,Ferse::N,никъа,calx
36,Knie::N,ник,genu
37,Oberschenkel::N,жира,femur
38,Bein::N,ччан,crus
39,Körper::N,чурх,corpus
40,Haut::N,бурчу,cutis
41,Haut::N,бурчу,pellis
42,Blut::N,оь,sanguis
43,Ader::N,тунну,vena
44,Sehne::N,хьхьа,nervus
45,Knochen::N,ттаркӏ,os
46,Gehirn::N,ня,cerebrum
47,Herz::N,дакӏ,cor
48,Herz::N,дакӏ,animus
49,Herz::N,къюкӏ,cor
50,Herz::N,къюкӏ,animus
51,Magen::N,лякьа,stomachus
52,Atem::N,ссихӏ ласаву,spiritus
53,Atem::N,ссихӏ бигьаву,spiritus
54,Hunger::N,ккаши,fames
55,Träne::N,макь,lacrima
56,Geschmack::N,тӏин,sapor
57,Geschmack::N,тӏин,gustus
58,Geschmack::N,тӏааьн,sapor
59,Geschmack::N,тӏааьн,gustus
60,Geruch::N,кьанкь,odor
61,Schlaf::N,шану,somnus
62,Traum::N,макӏру,somnium
63,Himmel::N,ссав,caelum
64,Sonne::N,баргъ,sol
65,Mond::N,барз,luna
66,Stern::N,цӏуку,sidus
67,Stern::N,цӏуку,stella
68,Luft::N,гьава,aer
69,Wind::N,марч,ventus
70,Welle::N,щатӏи,unda
71,Wasser::N,щин,aqua
72,Stein::N,чару,lapis
73,Boden::N,аьрщи,solum
74,Erde::N,аьрщи,terra
75,Staub::N,ххит,pulvis
76,Rauch::N,пуркӏу,fumus
77,Funke::N,пиягь,scintilla
78,Feuer::N,цӏу,ignis
79,Licht::N,чани,lux
80,Licht::N,чани,lumen
81,Schatten::N,ххют,umbra
82,Wetter::N,гьава,caelum
83,Wetter::N,гьава,tempestas
84,Nebel::N,шархь ттурлу,nebula
85,Wolke::N,ттурлу,nubes
86,Regen::N,гъарал,imber
87,Regen::N,гъарал,pluvia
88,Schnee::N,марххала,nix
89,Eis::N,микӏ,glacies
90,Frost::N,дяркъу,gelu
91,Frost::N,замгьар,gelu
92,Kälte::N,дяркъу,frigus
93,Hitze::N,кӏиришиву,calor
94,Hitze::N,кӏиришиву,aestus
95,Raureif::N,сил,pruina
96,Raureif::N,бурса,pruina
97,Regenbogen::N,ссурул ккуртта,arcus
98,Donner::N,къув,tonitrus
99,Strömung::N,экьинанаву,fluctus
100,Tropfen::N,кӏунтӏ,gutta
101,Schaum::N,хьама,spuma
102,Schmutz::N,кьяркьи,sordes
103,Schmutz::N,кьяркьи,squalor
104,See::N,бяр,lacus
105,Sumpf::N,кунцӏа,palus
106,Wiese::N,кьан,pratum
107,Wald::N,вацӏа,silva
108,Hügel::N,бакӏу,collis
109,Berg::N,зунтту,mons
110,Gipfel::N,мицӏ,vertex
111,Höhle::N,нух,caverna
112,Höhle::N,нух,spelunca
113,Abhang::N,сун,declivum
114,Quelle::N,дайдихьу,fons
115,Quelle::N,бакӏ,fons
116,Bach::N,чӏрир нех,rivus
117,Fluss::N,нех,flumen
118,Ufer::N,зума,ripa
119,Küste::N,зумаинхалу,litus
120,Küste::N,зуманицӏалу,litus
121,Festland::N,кьири,continens
122,Meer::N,хьхьири,mare
123,Insel::N,жазира,insula
124,Blume::N,тӏутӏи,flos
125,Gras::N,уртту,herba
126,Gras::N,уртту,gramen
127,Wurzel::N,мархха,radix
128,Baum::N,мурхь,arbor
129,Stamm::N,ттарцӏ,truncus
130,Rinde::N,ккамара,cortex
131,Ast::N,матӏи,ramus
132,Zweig::N,къяртта,ramus
133,Blatt::N,чӏапӏи,folium
134,Birke::N,кӏялахӏи,betulla
135,Birke::N,кӏялахӏилул мурхь,betulla
136,Kiefer[Baum]::N,ттар,pinus
137,Kiefer[Baum]::N,ттарлил мурхь,pinus
138,Weide[Baum]::N,щавщи,salix
139,Tanne::N,ттарлил мурхь,abies
140,Horn::N,хъи,cornu
141,Feder::N,лелуххул тӏиму,penna
142,Fell::N,бурчу,pellis
143,Flügel::N,хъа,ala
144,Flügel::N,ххурупӏайрал тӏиму,ala
145,Klaue::N,михь,unguis
146,Kralle::N,ххяппа,unguis
147,Schwanz::N,магъ,cauda
148,Ei::N,ккунук,ovum
149,Nest::N,кюру,nidus
150,Bau::N,цукъуккутӏ,cavum
151,Bau::N,цукъуккутӏ,latibulum
152,Tier::N,хӏайван,bestia
153,Herde::N,газу,grex
154,Kuh::N,оьл,vacca
155,Bulle::N,ниц,taurus
156,Pferd::N,чу,equus
157,Schaf::N,тта,ovis
158,Schwein::N,дунгъуз,sus
159,Schwein::N,дунгъуз,porcus
160,Hund::N,ккаччи,canis
161,Katze::N,ччиту,felis
162,Bär::N,цуша,ursus
163,Eichhörnchen::N,бюрхттукку,sciurus
164,Elch::N,ниц-бюрин,alces
165,Fuchs::N,цулчӏа,vulpes
166,Fuchs::N,куча цулчӏа,vulpes
167,Hase::N,бюрх,lepus
168,Maus::N,кӏулу,mus
169,Wolf::N,барцӏ,lupus
170,Vogel::N,лелуххи,avis
171,Schwarm::N,гьухъала,examen
172,Huhn::N,аьнакӏи,gallina
173,Hahn::N,ажари,gallus
174,Gans::N,къаз,anser
175,Adler::N,барзу,aquila
176,Ente::N,урдак,anas
177,Eule::N,ису,ulula
178,Eule::N,ису,noctua
179,Eule::N,ччиккумяв,ulula
180,Eule::N,ччиккумяв,noctua
181,Kranich::N,кьурукь,grus
182,Krähe::N,хъатӏу,cornix
183,Kuckuck::N,ччикку,cuculus
184,Schwan::N,урттил къаз,olor
185,Schwan::N,урттил къаз,cycnus
186,Fisch::N,чавахъ,piscis
187,Schlange[Tier]::N,шатта,serpens
188,Wurm::N,кьюнукьай шатта,vermis
189,Spinne::N,ххялцу,aranea
190,Ameise::N,митӏикьукьу,formica
191,Mücke::N,мичӏак,culex
192,Fliege::N,зимиз,musca
193,Schmetterling::N,чӏимучӏали,papilio
194,Beere::N,хӏаллил ахъулсса,baca
195,Apfel::N,гьивч,malum
196,Pilz::N,ттуккул иис,fungus
197,Zwiebel::N,лаччул чсмусул бакӏ,cepa
198,Saat::N,гьанна,seges
199,Korn::N,къама,granum
200,Heu::N,ххулув,faenum
201,Schale::N,ккиртту,putamen
202,Grube::N,кӏаланг,fovea
203,Falle::N,къатӏа,pedica
204,Schlinge::N,хӏатӏ,laqueus
205,Spur::N,ша,vestigium
206,Asche::N,лах,cinis
207,Dreck::N,кьяркьи,lutum
208,Dreck::N,венп,lutum
209,Eisen::N,мах,ferrum
210,Gold::N,муси,aurum
211,Silber::N,арцу,argentum
212,Kohle::N,кӏалаш,carbo
213,Kohle::N,хъуручӏ,carbo
214,Glas::N,пюрун,vitrum
215,Lehm::N,сина аьрщи,lutum
216,Sand::N,къун,arena
217,Mensch::N,инсан,homo
218,Mann::N,чув,vir
219,Mann::N,адимина,vir
220,Frau::N,щарсса,mulier
221,Frau::N,хъамитайпа,mulier
222,Kind::N,чӏиви оьрчӏ,puer
223,Kind::N,чӏиви оьрчӏ,infans
224,Junge::N,оьрчӏ,puer
225,Junge::N,бурхьин оьрчӏ,puer
226,Mädchen::N,душ,puella
227,Familie::N,кулпат,familia
228,Großvater::N,ттатта,avus
229,Großvater::N,ниттил ппу,avus
230,Großmutter::N,буттал нину,avia
231,Eltern::N,нину-ппу,parentes
232,Vater::N,ппу,pater
233,Mutter::N,нину,mater
234,Sohn::N,арс,filius
235,Tochter::N,душ,filia
236,Bruder::N,уссу,frater
237,Schwester::N,ссу,soror
238,Onkel::N,буттауссу,patruus
239,Onkel::N,буттауссу,avunculus
240,Tante::N,буттал ссу,amita
241,Ehemann::N,лас,maritus
242,Ehefrau::N,щар,uxor
243,Ehefrau::N,щарсса,uxor
244,Freude::N,шадшиву,gaudium
245,Freude::N,шадшиву,laetitia
246,Freude::N,ххаришиву,gaudium
247,Freude::N,ххаришиву,laetitia
248,Gelächter::N,хъяхъаву,risus
249,Glück::N,талихӏ,felicitas
250,Kummer::N,дард,aegritudo
251,Wunsch::N,мурад,voluntas
252,Wunsch::N,мурад,desiderium
253,Lust::N,гьавас,libido
254,Lust::N,гьавас,voluptas
255,Lust::N,ччаву,libido
256,Lust::N,ччаву,voluptas
257,Geist::N,рухӏ,mens
258,Geist::N,рухӏ,animus
259,Gedanke::N,пикри,sententia
260,Gedächtnis::N,дакӏний личӏаву,memoria
261,Verstand::N,аькьлу,ratio
262,Verstand::N,аькьлу,ingenium
263,Sinn::N,мяъна,sensus
264,Grund::N,багьана,causa
265,Wahrheit::N,тӏайламур,veritas
266,Wahrheit::N,хӏакьмур,veritas
267,Gespräch::N,ихтилат,sermo
268,Märchen::N,магьа,fabula
269,Erzählung::N,хавар,fabula
270,Erzählung::N,хавар,narratio
271,Nachricht::N,хавар,nuntius
272,Neuigkeit::N,хавар,novitas
273,Name::N,цӏа,nomen
274,Rätsel::N,ссигьа,aenigma
275,Rede::N,гъалгъа,oratio
276,Sprache::N,маз,lingua
277,Stimme::N,чӏу,vox
278,Stimme::N,чӏукӏа,vox
279,Wort::N,махъ,verbum
280,Wort::N,махъ,vocabulum
281,Zeichen::N,лишан,signum
282,Lärm::N,чӏу,strepitus
283,Laut::N,чӏу,sonus
284,Ton::N,чӏу,sonus
285,Lied::N,балай,carmen
286,Ruhe::N,дигьалагру,quies
287,Leute::N,инсантал,homines
288,Volk::N,ил,populus
289,Volk::N,халкь,populus
290,Arbeit::N,заву,labor
291,Gast::N,хъамаличу,hospes
292,Gast::N,хъамаличу,conviva
293,Geschenk::N,бухчакарши,munus
294,Geschenk::N,лажинккакку,munus
295,Spiel::N,тӏуркӏу,ludus
296,Gesellschaft::N,жямат,societas
297,Gesellschaft::N,ккуран,societas
298,Hilfe::N,кумаг,auxilium
299,Hilfe::N,кумаг,subsidium
300,Freund::N,дус,amicus
301,Kamerad::N,хӏаласу,socius
302,Angelegenheit::N,иш,res
303,Anzahl::N,аьдад,numerus
304,Art::N,жинс,genus
305,Stück::N,касак,frustum
306,Stück::N,касак,fragmentum
307,Teil::N,бутӏа,pars
308,Hälfte::N,дачӏи,dimidium
309,Kreis::N,кюрщан,orbis
310,Kreis::N,кюрщан,circus
311,Kreuz::N,ххач,crux
312,Linie::N,щва,linea
313,Strich::N,щва,lineamentum
314,Abstand::N,манзил,intervallum
315,Entfernung::N,манзил,spatium
316,Gegend::N,кӏану,loca
317,Gegend::N,кӏану,regio
318,Ort::N,кӏану,locus
319,Seite::N,чул,latus
320,Seite::N,чулухалу,latus
321,Mitte::N,дя,medium
322,Gegenstand::N,зат,res
323,Sache::N,зат,res
324,Rand::N,зума,margo
325,Ecke::N,мурцӏу,angulus
326,Spitze::N,мицӏ,cacumen
327,Ende::N,зума,caput
328,Loch::N,ккутӏ,foramen
329,Winkel::N,мурцӏу,angulus
330,Muster::N,накьич,exemplum
331,Länge::N,лахъишиву,longitudo
332,Höhe::N,лахъшиву,altitudo
