,Concept_ID,,kl
0,Auge::N,,isi
1,Ohr::N,,siut
2,Mund::N,,paaq
3,Mund::N,,qaneq
4,Zahn::N,,kigut
5,Zunge::N,,oqaq
6,Lippe::N,,qarloq
7,Wange::N,,ersaq
8,Gesicht::N,,kiinaq
9,Stirn::N,,qaaq
10,Haar::N,,meqqoq
11,Bart::N,,umik
12,Kinn::N,,talloq
13,Kiefer[Anatomie]::N,,alleroq
14,Kehle::N,,malaq
15,Hals::N,,qungaseq
16,Genick::N,,pukusuk
17,Kopf::N,,niaqoq
18,Rücken::N,,qimerlut
19,Bauch::N,,naaq
20,Nabel::N,,qalaseq
21,Busen::N,,iviangeq
22,Brust::N,,iviangeq
23,Schulter::N,,ersik
24,Schulter::N,,assaqqoq
25,Arm::N,,taleq
26,Ellenbogen::N,,ikusik
27,Hand::N,,assak
28,Handfläche::N,,itumak
29,Finger::N,,inuak
30,Fingernagel::N,,kikiak
31,Nagel[Anatomie]::N,,kukik
32,Zeh::N,,isigak
33,Ferse::N,,kimmik
34,Knie::N,,seeqqoq
35,Oberschenkel::N,,uppat
36,Oberschenkel::N,,quttoraq
37,Bein::N,,isigak
38,Körper::N,,timi
39,Haut::N,,mattak
40,Blut::N,,aak
41,Ader::N,,taqaq
42,Sehne::N,,ujalu
43,Sehne::N,,ujaloq
44,Knochen::N,,saanikut
45,Gehirn::N,,qarasaq
46,Herz::N,,uummat
47,Magen::N,,aqajaroq
48,Leber::N,,tinguk
49,Atem::N,,anerneq
50,Hunger::N,,kaanneq
51,Träne::N,,qia
52,Träne::N,,qiak
53,Geschmack::N,,qilanaartuut
54,Geruch::N,,tipi
55,Geruch::N,,tipik
56,Traum::N,,sinnattoq
57,Traum::N,,sinnattugaq
58,Himmel::N,,qilak
59,Sonne::N,,seqineq
60,Mond::N,,qaammat
61,Stern::N,,ulloriaq
62,Luft::N,,silaannaq
63,Wind::N,,anori
64,Wind::N,,anorsarik
65,Welle::N,,aalappaa
66,Wasser::N,,imeq
67,Stein::N,,ujarak
68,Boden::N,,nateq
69,Erde::N,,issoq
70,Staub::N,,pujualanerit
71,Staub::N,,pujoralanerit
72,Rauch::N,,iseq
73,Rauch::N,,pujoq
74,Funke::N,,illoorneq
75,Feuer::N,,inneq
76,Licht::N,,qaamaneq
77,Schatten::N,,tarraq
78,Wetter::N,,sila
79,Nebel::N,,pujoq
80,Wolke::N,,nuia
81,Regen::N,,sialuk
82,Schnee::N,,aput
83,Eis::N,,siku
84,Frost::N,,issi
85,Frost::N,,issik
86,Kälte::N,,issi
87,Hitze::N,,kianneq
88,Hitze::N,,kiassuseq
89,Raureif::N,,kaneq
90,Regenbogen::N,,neriusaaq
91,Donner::N,,kalleq
92,Tropfen::N,,kuseriarneq
93,Schaum::N,,qapuk
94,Schmutz::N,,minguk
95,See::N,,taseq
96,Sumpf::N,,maqulluk
97,Wiese::N,,masarsuk
98,Hügel::N,,qattuneq
99,Hügel::N,,majuariaq
100,Hügel::N,,majorajaaq
101,Hügel::N,,qaqqannguaq
102,Berg::N,,qaqqaq
103,Höhle::N,,qaarusuk
104,Abhang::N,,ippik
105,Abhang::N,,sivinganeq
106,Abhang::N,,sivingajaaq
107,Abhang::N,,kussangajaaq
108,Bach::N,,kuunnguaq
109,Fluss::N,,kuuk
110,Ufer::N,,sissap sinaa
111,Küste::N,,sineriak
112,Meer::N,,imaq
113,Bucht::N,,ikeq
