,Concept_ID,ca,se
0,Auge::N,ull,tjelmie
1,Auge::N,ull,tjalmme
2,Auge::N,ull,čalbmi
3,Auge::N,ull,čalme
4,Auge::N,ull,čâ´lmm
5,Auge::N,ull,ча̄лльм
6,Ohr::N,orella,bieljie
7,Ohr::N,orella,biellje
8,Ohr::N,orella,beallji
9,Ohr::N,orella,pelji
10,Ohr::N,orella,pe´llj
11,Ohr::N,orella,пе̄лльй
12,Nase::N,nas,njuenie
13,Nase::N,nas,njunnje
14,Nase::N,nas,njunni
15,Nase::N,nas,njuṇe
16,Nase::N,nas,njuu´nn
17,Nase::N,nas,нюннҍ
18,Mund::N,boca,njaelmie
19,Mund::N,boca,njálmme
20,Mund::N,boca,njálbmi
21,Mund::N,boca,njälmi
22,Mund::N,boca,njä´lmm
23,Mund::N,boca,ня̄лльм
24,Zahn::N,dent,baenie
25,Zahn::N,dent,bádne
26,Zahn::N,dent,bátni
27,Zahn::N,dent,pääṇi
28,Zahn::N,dent,pää´nn
29,Zahn::N,dent,па̄ннҍ
30,Zunge::N,llēngua,njoektjeme
31,Zunge::N,llēngua,njuovtjav
32,Zunge::N,llēngua,njuovčča
33,Zunge::N,llēngua,njuovčâ
34,Zunge::N,llēngua,njuhččâm
35,Zunge::N,llēngua,нюхчем
36,Lippe::N,llavi,bangseme
37,Lippe::N,llavi,njálmmerabdda
38,Lippe::N,llavi,bavssa
39,Lippe::N,llavi,poovsâ
40,Lippe::N,llavi,põõus
41,Lippe::N,llavi,пэ̄кс
42,Wange::N,galta,skiehrie
43,Wange::N,galta,nierra
44,Wange::N,galta,muohtu
45,Wange::N,galta,nieṛâ
46,Wange::N,galta,njiõrr
47,Wange::N,galta,нӣрр
48,Gesicht::N,cara,ååredæjja
49,Gesicht::N,cara,muohto
50,Gesicht::N,cara,muođut
51,Gesicht::N,cara,ámadadju
52,Gesicht::N,cara,muáđuh
53,Gesicht::N,cara,muâđ
54,Gesicht::N,cara,ка̄ссв
55,Stirn::N,front,gaalloe
56,Stirn::N,front,gállo
57,Stirn::N,front,gállu
58,Stirn::N,front,kállu
59,Stirn::N,front,käll
60,Stirn::N,front,вуэххьц
61,Haar::N,cabēll,voepte
62,Haar::N,cabēll,vuoppta
63,Haar::N,cabēll,vuokta
64,Haar::N,cabēll,vuop'tâ
65,Haar::N,cabēll,vuõpt
66,Haar::N,cabēll,вӯппт
67,Schnurrbart::N,bigoti,bijjie-skaavtjoe
68,Schnurrbart::N,bigoti,njunjevuolskávttjá
69,Schnurrbart::N,bigoti,seamu
70,Schnurrbart::N,bigoti,siämu
71,Schnurrbart::N,bigoti,ää´bben
72,Schnurrbart::N,bigoti,о̄а̄бпан
73,Bart::N,barba,skaavtja
74,Bart::N,barba,skaavtjoe
75,Bart::N,barba,skávttjá
76,Bart::N,barba,seamu
77,Bart::N,barba,siämu
78,Bart::N,barba,seäm
79,Bart::N,barba,ся̄м
80,Kinn::N,mentó,gaejpie
81,Kinn::N,mentó,gájbbe
82,Kinn::N,mentó,gáibi
83,Kinn::N,mentó,käibi
84,Kinn::N,mentó,käi´bb
85,Kinn::N,mentó,ка̄ййп
86,Kinn::N,barbeta,gaejpie
87,Kinn::N,barbeta,gájbbe
88,Kinn::N,barbeta,gáibi
89,Kinn::N,barbeta,käibi
90,Kinn::N,barbeta,käi´bb
91,Kinn::N,barbeta,ка̄ййп
92,Kiefer[Anatomie]::N,queix,gaejpie
93,Kiefer[Anatomie]::N,queix,oalol
94,Kiefer[Anatomie]::N,queix,oaloldákte
95,Kiefer[Anatomie]::N,queix,gáibi
96,Kiefer[Anatomie]::N,queix,uá'lultähti
97,Kiefer[Anatomie]::N,queix,vuâl'lõš
98,Kiefer[Anatomie]::N,queix,вуаллнешш
99,Kiefer[Anatomie]::N,mandíbula,gaejpie
100,Kiefer[Anatomie]::N,mandíbula,oalol
101,Kiefer[Anatomie]::N,mandíbula,oaloldákte
102,Kiefer[Anatomie]::N,mandíbula,gáibi
103,Kiefer[Anatomie]::N,mandíbula,uá'lultähti
104,Kiefer[Anatomie]::N,mandíbula,vuâl'lõš
105,Kiefer[Anatomie]::N,mandíbula,вуаллнешш
106,Kehle::N,gola,gealoe
107,Kehle::N,gola,tjåttå
108,Kehle::N,gola,njiello
109,Kehle::N,gola,čotta
110,Kehle::N,gola,čuudâ
111,Kehle::N,gola,čoodd
112,Kehle::N,gola,чонт
113,Kehle::N,gola,кэ̄ҏс
114,Kehle::N,gorja,gealoe
115,Kehle::N,gorja,tjåttå
116,Kehle::N,gorja,njiello
117,Kehle::N,gorja,čotta
118,Kehle::N,gorja,čuudâ
119,Kehle::N,gorja,čoodd
120,Kehle::N,gorja,чонт
121,Kehle::N,gorja,кэ̄ҏс
122,Hals::N,coll,tjeapohke
123,Hals::N,coll,tjiebet
124,Hals::N,coll,čeabet
125,Hals::N,coll,čiäppát
126,Hals::N,coll,čeäppat
127,Hals::N,coll,ча̄пэх
128,Genick::N,nuca,tjovrese
129,Genick::N,nuca,nisske
130,Genick::N,nuca,niehkki
131,Genick::N,nuca,niski
132,Genick::N,nuca,niek'ki
133,Genick::N,nuca,nji´šǩǩmaadd
134,Genick::N,nuca,нышшькмоант
135,Kopf::N,cap,åejjie
136,Kopf::N,cap,oajvve
137,Kopf::N,cap,oaivi
138,Kopf::N,cap,uái'vi
139,Kopf::N,cap,vuei´vv
140,Kopf::N,cap,вуэййв
141,Rücken::N,esquena,rudtje
142,Rücken::N,esquena,hárddo
143,Rücken::N,esquena,tjavelk
144,Rücken::N,esquena,sealgi
145,Rücken::N,esquena,selgi
146,Rücken::N,esquena,čielgi
147,Rücken::N,esquena,seä´lǧǧ
148,Rücken::N,esquena,се̄лльк
149,Bauch::N,panxa,tjåejjie
150,Bauch::N,panxa,tjoajvve
151,Bauch::N,panxa,čoavji
152,Bauch::N,panxa,čuáv'ji
153,Bauch::N,panxa,čåu´jj
154,Bauch::N,panxa,чо̄ввьй
155,Nabel::N,llombrígol,naepie
156,Nabel::N,llombrígol,náhpe
157,Nabel::N,llombrígol,náhpi
158,Nabel::N,llombrígol,nääpi
159,Nabel::N,llombrígol,nää´pp
160,Nabel::N,llombrígol,на̄бпь
161,Busen::N,pit,boenge
162,Busen::N,pit,bållå
163,Busen::N,pit,čižži
164,Busen::N,pit,njamma
165,Busen::N,pit,njižže
166,Busen::N,pit,nje´ǯǯ
167,Busen::N,pit,раннҍт
168,Busen::N,mama,boenge
169,Busen::N,mama,bållå
170,Busen::N,mama,čižži
171,Busen::N,mama,njamma
172,Busen::N,mama,njižže
173,Busen::N,mama,nje´ǯǯ
174,Busen::N,mama,раннҍт
175,Brust::N,pit,mïelke
176,Brust::N,pit,radde
177,Brust::N,pit,mielgga
178,Brust::N,pit,raddi
179,Brust::N,pit,radde
180,Brust::N,pit,râ´dd
181,Brust::N,pit,раннҍт
182,Schulter::N,espatlla,åelkie
183,Schulter::N,espatlla,oalgge
184,Schulter::N,espatlla,hárdu
185,Schulter::N,espatlla,ärdee
186,Schulter::N,espatlla,uál'gi
187,Schulter::N,espatlla,a´rddi
188,Schulter::N,espatlla,vuä´lǧǧ
189,Schulter::N,espatlla,вуэллык
190,Arm::N,braç,gïete
191,Arm::N,braç,giehta
192,Arm::N,braç,giehta
193,Arm::N,braç,kietâ
194,Arm::N,braç,kie'tâkaaṿâ
195,Arm::N,braç,ǩiõtt
196,Arm::N,braç,кӣдт
197,Ellenbogen::N,colze,gernjere
198,Ellenbogen::N,colze,garŋŋel
199,Ellenbogen::N,colze,gargŋil
200,Ellenbogen::N,colze,käŋŋir
201,Ellenbogen::N,colze,kõõnjâr
202,Ellenbogen::N,colze,карьнэль
203,Hand::N,mà,gïete
204,Hand::N,mà,giehta
205,Hand::N,mà,giehta
206,Hand::N,mà,kietâ
207,Hand::N,mà,ǩiõtt
208,Hand::N,mà,кӣдт
209,Handfläche::N,palma,gïeten-låapoe
210,Handfläche::N,palma,giehtavuodo
211,Handfläche::N,palma,tjårmmåvuodo
212,Handfläche::N,palma,giehtaloahpu
213,Handfläche::N,palma,kiämád
214,Handfläche::N,palma,kuámmir
215,Handfläche::N,palma,kuä´m'mer
216,Handfläche::N,palma,ǩiõttǩeä´m'men
217,Handfläche::N,palma,ко̄а̄ллдэгк
218,Handfläche::N,palma,кӣдткоалдэгк
219,Finger::N,dit,soerme
220,Finger::N,dit,tjuvdde
221,Finger::N,dit,suorbma
222,Finger::N,dit,čuvde
223,Finger::N,dit,suor'mâ
224,Finger::N,dit,suõrmm
