,Concept_ID,av,pl
0,Ohr::N,гӏин,ucho
1,Nase::N,мегӏер,nos
2,Mund::N,кӏал,usta
3,Zahn::N,гӏус,ząb
4,Zunge::N,мацӏ,język
5,Lippe::N,кӏветӏ,warga
6,Wange::N,гӏоно,policzek
7,Gesicht::N,гьумер,twarz
8,Stirn::N,нодо,czoło
9,Haar::N,рас,włos
10,Haar::N,рас,włosy
11,Schnurrbart::N,михъ,wąsy
12,Bart::N,мегеж,broda
13,Kinn::N,нилъу,podbródek
14,Kiefer[Anatomie]::N,чанагъ,czeluść
15,Kehle::N,щекъер,gardło
16,Hals::N,габур,szyja
17,Genick::N,гъванща,kark
18,Kopf::N,бетӏер,głowa
19,Rücken::N,мугъ,plecy
20,Rücken::N,мугъ,grzbiet
21,Bauch::N,чехь,brzuch
22,Nabel::N,цӏину,pępek
23,Busen::N,керен,biust
24,Brust::N,керен,pierś
25,Schulter::N,гъажазубетӏер,bark
26,Schulter::N,гъажазубетӏер,ramię
27,Arm::N,гъеж,ręka
28,Arm::N,гъеж,ramię
29,Ellenbogen::N,гӏункӏрукь,łokieć
30,Hand::N,квер,dłoń
31,Handfläche::N,огъохъат,dłoń
32,Handfläche::N,жанисахъат,dłoń
33,Finger::N,килищ,palec
34,Fingernagel::N,малъ,paznokieć
35,Nagel[Anatomie]::N,малъ,paznokieć
36,Zeh::N,килищ,palec
37,Fuß::N,хӏетӏ,stopa
38,Fuß::N,хӏетӏе,stopa
39,Ferse::N,эгъе,pięta
40,Knie::N,наку,kolano
41,Oberschenkel::N,мачӏ,udo
42,Bein::N,бох,noga
43,Körper::N,къаркъала,ciało
44,Haut::N,тӏом,skóra
45,Blut::N,би,krew
46,Ader::N,бидурихь,żyła
47,Knochen::N,ракьа,kość
48,Gehirn::N,гӏадалнах,mózg
49,Herz::N,ракӏ,serce
50,Magen::N,кванирукъ,żołądek
51,Leber::N,тӏул,wątroba
52,Atem::N,хӏухь,dech
53,Atem::N,хӏухь,oddech
54,Hunger::N,ракъи,głód
55,Träne::N,магӏу,łza
56,Geschmack::N,тату,smak
57,Geruch::N,махӏ,woń
58,Geruch::N,махӏ,zapach
59,Schlaf::N,макьу,sen
60,Traum::N,макьу,sen
61,Himmel::N,зоб,niebo
62,Sonne::N,бакъ,słońce
63,Mond::N,моцӏ,księżyc
64,Stern::N,цӏва,gwiazda
65,Luft::N,гьава,powietrze
66,Wind::N,гьури,wiatr
67,Welle::N,карачел,fala
68,Wasser::N,лъим,woda
69,Stein::N,гьецӏо,kamień
70,Boden::N,ракь,grunt
71,Erde::N,ракь,ziemia
72,Erde::N,дуниял,ziemia
73,Staub::N,хӏур,pył
74,Staub::N,хӏур,kurz
75,Rauch::N,кӏкӏуй,dym
76,Feuer::N,цӏа,ogień
77,Licht::N,канлъи,światło
