,Concept_ID,ady,uk
0,Auge::N,нэ,око
1,Ohr::N,тхьакӏу́м,вухо
2,Nase::N,пэ,ніс
3,Mund::N,жэ,рот
4,Zahn::N,цэ,зуб
5,Zunge::N,бзэгу,язик
6,Lippe::N,ӏупшӏэ́,губа
7,Wange::N,нэкӏу́шъу,щока
8,Gesicht::N,нэ́гу,обличчя
9,Stirn::N,натӏэ́,лоб
10,Haar::N,шъхьацы́,волосся
11,Bart::N,жакӏэ́,борода
12,Kinn::N,жэкӏэпэпкъ,підборіддя
13,Kiefer[Anatomie]::N,жэпкъы́,щелепа
14,Kehle::N,чый,горло
15,Hals::N,пшъэ,шия
16,Genick::N,шъхьэпхэтыку,потилиця
17,Kopf::N,шъхьэ́,голова
18,Rücken::N,кӏыбы́,спина
19,Bauch::N,ныбэ́,живіт
20,Busen::N,бгъэ́,груди
21,Brust::N,бгъэ́,груди
22,Schulter::N,блыпкъ,плече
23,Arm::N,ӏэ,рука
24,Ellenbogen::N,ӏэнтэ́гъу,лікоть
25,Hand::N,ӏэтхьэцу,рука
26,Handfläche::N,ӏэ́гу,долоня
27,Finger::N,ӏэхъуа́мб,палець
28,Fingernagel::N,ӏэбжъа́н,ніготь
29,Nagel[Anatomie]::N,ӏэбжъа́н,ніготь
30,Zeh::N,ӏэхъуа́мб,палець на нозі
31,Fuß::N,лъэгу,нога
32,Ferse::N,лъэдакъэ,п’ятка
33,Knie::N,лъагуа́ндж,коліно
34,Oberschenkel::N,ко,стегно
35,Bein::N,лъакъо́,нога
36,Körper::N,пкъышъол,тіло
37,Haut::N,кӏы́шъу,шкіра
38,Blut::N,лъы,кров
39,Ader::N,льытф,вена
40,Sehne::N,фэ,сухожилля
41,Knochen::N,къупшъхьэ́,кістка
42,Gehirn::N,куцӏы,мозок
43,Herz::N,гу,серце
44,Magen::N,мышкӏу,шлунок
45,Leber::N,шӏу,печінка
46,Atem::N,къэщэныр,дихання
47,Hunger::N,гъаблэ́,голод
48,Träne::N,нэпсы,сльоза
49,Geschmack::N,ӏэшӏугъа́кӏ,смак
50,Geruch::N,мэ,запах
51,Schlaf::N,пчыхьы́пӏ,сон
52,Schlaf::N,пчыхьы́пӏ,сплячка
53,Traum::N,пчыхьы́пӏ,сон
54,Himmel::N,уашъо́,небо
55,Sonne::N,тыгъэ,сонце
56,Mond::N,мазэ,місяць
57,Stern::N,жъуагъо́,зірка
58,Luft::N,жьы,повітря
59,Wind::N,жьыбгъэ́,вітер
60,Welle::N,ор,хвиля
61,Welle::N,оры,хвиля
62,Wasser::N,псы,вода
63,Stein::N,мыжъо́,камінь
64,Boden::N,чӏ́ыгу,ґрунт
65,Erde::N,чӏ́ыгу,земля
66,Staub::N,сап,пил
67,Rauch::N,ӏугъо́,дим
68,Funke::N,мэшӏуа́ч,іскра
69,Feuer::N,машӏо́,вогонь
70,Licht::N,нэфы,світло
71,Licht::N,нэфын,світло
72,Schatten::N,жьау́,тінь
73,Schatten::N,ныбжьыкъу,тінь
74,Nebel::N,пща́гъу,туман
75,Wolke::N,ошъуапщэ,хмара
76,Regen::N,ощхы,дощ
77,Schnee::N,осы́,сніг
78,Eis::N,мылы,лід
79,Kälte::N,чъыӏэ́,холод
80,Hitze::N,фэба́е,жар
81,Regenbogen::N, лэгъупэкъо́пс,райдуга
82,Donner::N,шыблэ́,грім
83,Strömung::N,ток,струмина
84,Tropfen::N,ткӏопс,крапля
85,Tropfen::N,гъуаткӏу,крапля
86,Schaum::N,тхъурбэ,піна
87,Schmutz::N,псынжъы,бруд
88,See::N,хыку́м,озеро
89,See::N,псыхъура́й,озеро
90,Sumpf::N,орыжъ,драговина
91,Moor::N,орыжъ,болото
92,Wiese::N,хъупӏэ́,луг
93,Wiese::N,хъупӏэ́,лука
94,Wiese::N,мэкъупӏ,луг
95,Wiese::N,мэкъупӏ,лука
96,Wald::N,мэзы́,ліс
97,Hügel::N,ӏуашъхь,горб
98,Anhöhe::N,чӏыӏэтыгъ,височина
99,Berg::N,къушъхьэ́,гора
100,Gipfel::N,шыгу,вершина
101,Höhle::N,гъочӏэгъ,печера
102,Abhang::N,чапэ,схил
103,Quelle::N,псынэчэ́чъ,джерело
104,Bach::N,псышкуашку,струмок
105,Fluss::N,псыхъо́,річка
106,Ufer::N,нэпкъы,берег
107,Küste::N,ӏушъо,узбережжя
108,Festland::N,чӏл́ыгу,суша
109,Meer::N,хы,море
110,Bucht::N,хыблыгу,бухта
111,Bucht::N,хыблыгу,затока
112,Insel::N,хыгъэхъу́н,острів
113,Blume::N,къэгъа́гь,квітка
114,Gras::N,уцы́,трава
115,Wurzel::N,лъапсэ́,корінь
116,Baum::N,чъыгы́,дерево
117,Stamm::N,пкъы,стовбур
118,Rinde::N,пхъашъо́,кора
119,Ast::N,куамэ,гілка
120,Zweig::N,къутамэ́,галузь
121,Blatt::N,тхьап,лист
122,Birke::N,пчэн,береза
123,Kiefer[Baum]::N,сэснэй,сосна
124,Weide[Baum]::N,пце́л,верба
125,Tanne::N,ель,ялиця
126,Horn::N,бжъэ,ріг
127,Feder::N,къамӏы́й,перо
128,Fell::N,шъо,хутро
129,Flügel::N,тамэ́,крило
130,Klaue::N,лъэбжъа́н,кіготь
131,Kralle::N,лъакъо,лапа
132,Schwanz::N,кӏэ,хвіст
133,Ei::N,кӏэнкӏэ́,яйце
134,Nest::N,набгъо́,гніздо
135,Bau::N,гъу,лігво
136,Bau::N,бы,лігво
137,Tier::N,псэу́шъхь,тварина
138,Herde::N,ӏэхъогъу,стадо
139,Kuh::N,чэмы́,корова
140,Bulle::N,цу,бик
141,Bulle::N,цу,бугай
142,Pferd::N,шы,кінь
143,Schaf::N,мэлы́,вівця
144,Schwein::N,къо,свиня
145,Hund::N,бьэ,собака
146,Katze::N,чэты́у,кішка
147,Bär::N,мышъэ́,ведмідь
148,Eichhörnchen::N,цызэ́,білка
149,Elch::N,лось,лось
150,Fuchs::N,баджэ́,лисиця
151,Hase::N,тхьакӏумкӏы́хь,заєць
152,Maus::N,цыгъо́,миша
153,Wolf::N,тыгъу́жъ,вовк
154,Vogel::N,бзы́у,птах
155,Schwarm::N,отэр,зграя
156,Huhn::N,чэты́,курка
157,Hahn::N,атакъэ́,півень
158,Gans::N,къа́з,гуска
159,Ente::N,псычэ́т,качка
160,Eule::N,тыгъурыгъу,сова
161,Kranich::N,къэрэ́у,журавель
162,Krähe::N,къолэ́жъ,ворона
163,Kuckuck::N,куку́у,зозуля
164,Fisch::N,пцэжъы́й,риба
165,Barsch::N,тхыкъэц,окунь
166,Hecht::N,лэнд,щука
167,Schlange[Tier]::N,блэ́,змія
168,Wurm::N,хьамлыу,черв’як
169,Spinne::N,бэдж,павук
170,Ameise::N,къамзэ́гу,мурашка
171,Laus::N,цӏэ,воша
172,Mücke::N,аргъо́й,комар
173,Fliege::N,бадзэ́,муха
174,Schmetterling::N,хьампӏыра́шъу,метелик
175,Beere::N,маткӏо,ягода
176,Apfel::N,мыӏэры́с,яблуко
177,Pilz::N,хьаӏу,гриб
178,Zwiebel::N,бжьыны́,цибуля
179,Saat::N,чылапхъ,сім’я
180,Korn::N,цэ,зерно
181,Heu::N,мэкъу,сіно
182,Schale::N,кӏы́шъу,шкірка
183,Grube::N,машэ́,яма
184,Falle::N,зэраубытырэ́ ӏэмэпсы́м,пастка
185,Schlinge::N,бзыуубыт,петля
186,Spur::N,ужы,слід
187,Spur::N,лъэуж,слід
188,Asche::N,яжьэ́,зола
189,Asche::N,яжьэ́,попіл
190,Dreck::N,псынжъы,бруд
191,Eisen::N,гыучӏы́,залізо
192,Eisen::N,къэнджа́л,залізо
193,Gold::N,дышъэ́,золото
194,Silber::N,тыжьы́н,срібло
195,Kohle::N,шӏомыкӏ,вугілля
196,Glas::N,апч,скло
197,Lehm::N,етӏагъо́,глина
198,Sand::N,пшахъо,пісок
199,Mensch::N,цӏыфы́,людина
200,Mann::N,хъулъфы́гъ,чоловік
201,Frau::N,бӏылъфыгъэ́,жінка
202,Kind::N,кӏэлэцӏы́кӏу,дитина
203,Junge::N,кӏэлэцӏы́кӏу,хлопець
204,Mädchen::N,пшъэшъэжъый,дівчина
205,Familie::N,быны́,сім’я
206,Familie::N,быны́,родина
207,Familie::N,уна́гъу,сім’я
208,Familie::N,уна́гъу,родина
209,Großvater::N,тэтэ́жъ,дідусь
210,Großmutter::N,нэнэ́жъ,бабуся
211,Eltern::N,ны-тыхэ́р,батьки
212,Vater::N,ты,батько
213,Mutter::N,ны,мати
214,Sohn::N,къо,син
215,Tochter::N,пхъу,дочка
216,Bruder::N,шы,брат
217,Schwester::N,шы́пхъу,сестра
218,Onkel::N,янэ́ш,дядько
219,Tante::N,атэшыпхъу,тітка
220,Ehemann::N,лӏы,чоловік
221,Ehefrau::N,шъу́з,жінка
222,Ehefrau::N,шъу́з,дружина
223,Freude::N,гушӏуа́гъу,радощі
224,Gelächter::N,щхыныр,сміх
225,Glück::N,насы́п,щастя
226,Kummer::N,тхьамыкӏагъу,горе
227,Wunsch::N,шӏонгъоны́гъ,бажання
228,Lust::N,шӏонгъоны́гъ,бажання
229,Geist::N,гу,дух
230,Gedanke::N,гупшыс,думка
231,Gedächtnis::N,память,пам’ять
232,Verstand::N,акъы́л,розум
233,Sinn::N,мэхьанэ,зміст
234,Sinn::N,мэхьанэ,значення
235,Grund::N,ушъхьагъу,причина
236,Wahrheit::N,шъыпкъэ́,правда
237,Gespräch::N,гущыӏ,розмова
238,Märchen::N,пшысэ,байка
239,Erzählung::N,къэба́р,повість
240,Erzählung::N,къэба́р,оповідання
241,Nachricht::N,къэба́р,повідомлення
242,Neuigkeit::N,къэбарыкӏ,новина
243,Name::N,цӏэ,ім’я
244,Rätsel::N,коджэхь-къоджэшх,загадка
245,Rede::N,гущыӏ,промова
246,Sprache::N,бзэ,мова
247,Stimme::N,макъэ́,голос
248,Wort::N,гущыӏ,слово
249,Zeichen::N,тамы́гъ,знак
250,Ruf::N,джэ макъ,оклик
251,Lärm::N,макъэ,шум
252,Laut::N,макъэ,звук
253,Lied::N,орэ́д,пісня
254,Ruhe::N,самбырыныгъ,спокій
255,Leute::N,цӏыфхэ́р,люди
256,Volk::N,цӏыф лъэпкъ,народ
257,Arbeit::N,ӏофшӏакӏэ́н,робота
258,Gast::N,хьакӏэ́,гість
259,Geschenk::N,шӏухьафтын,подарунок
260,Spiel::N,еоны́р,гра
261,Spiel::N,джэгуны́р,гра
262,Spiel::N,къегъэӏоны́р,гра
263,Gesellschaft::N,обществ,товариство
264,Hilfe::N,ӏэпыӏэгъу,допомога
265,Freund::N,ныбджэгъу,друг
266,Freund::N,ныбджэгъу,приятель
267,Kamerad::N,ныбджэгъу,товариш
268,Angelegenheit::N,ӏофы́,справа
269,Anzahl::N,пчъагъэ́,число
270,Art::N,изэрэщы́т,рід
271,Art::N,лъэпкъ,рід
272,Stück::N,такъы́р,кусок
273,Teil::N,щыщ,частина
274,Teil::N,ӏахь,частина
275,Hälfte::N,ныкъо́,половина
276,Kreis::N,хъура́й,круг
277,Kreis::N,хъура́й,коло
278,Kreuz::N,къащ,хрест
279,Linie::N,хъахъ,лінія
280,Linie::N,итхъа́гъ,лінія
281,Strich::N,хъахъ,штрих
282,Strich::N,итхъагъ,штрих
283,Abstand::N,азыфагу,проміжок
284,Entfernung::N,чӏыгууанэ,відстань
285,Gegend::N,чӏыпӏэ́,місцевість
286,Platz::N,азыфагу,площа
287,Ort::N,чӏыпӏэ́,місце
288,Seite::N,лъэны́къу,сторона
289,Mitte::N,гузэ́гу,середина
290,Gegenstand::N,пкъыгъо,предмет
291,Rand::N,цакӏэ́,край
292,Kante::N,цэгэналъ,ребро
293,Ecke::N,къогъу,ріг
294,Spitze::N,пакӏэ,кінчик
295,Ende::N,кӏэ,кінець
296,Loch::N,гъуа́н,діра
297,Winkel::N,къогъу,куток
298,Muster::N,тхыпхъэ,узор
299,Größe::N,иина́гъ,розмір
300,Länge::N,икӏыхьа́гъ,довжина
301,Höhe::N,лъэгагъ,висота
302,Gewicht::N,онтэгъугъэ́,вага
303,Menge::N,пчъагъэ́,кількість
304,Haufen::N,ӏат,купа
