,Concept_ID,ko,la
0,Auge::N,눈,oculus
1,Ohr::N,귀,auris
2,Nase::N,코,nasus
3,Mund::N,입,os
4,Zahn::N,이,dens
5,Zunge::N,혀,lingua
6,Lippe::N,입술,labrum
7,Wange::N,뺨,gena
8,Gesicht::N,얼굴,vultus
9,Stirn::N,이마,frons
10,Haar::N,털,capillus
11,Schnurrbart::N,윗수몀,barba labri superioris
12,Schnurrbart::N,코밑수염,barba labri superioris
13,Bart::N,수엄,barba
14,Kinn::N,아래턱,mentum
15,Kiefer[Anatomie]::N,턱,mala
16,Kehle::N,인후,iugulums
17,Hals::N,목,collum
18,Genick::N,먹덜이,cervices
19,Kopf::N,머리,caput
20,Rücken::N,든,tergum
21,Bauch::N,배,venter
22,Nabel::N,배꼽,umbilicus
23,Busen::N,가슴속,sinus
24,Brust::N,가슴,pectus
25,Schulter::N,어깨,umerus
26,Arm::N,팔,bracchium
27,Ellenbogen::N,팔쿰치,cubitum
28,Hand::N,손,manus
29,Handfläche::N,손바닥,palma
30,Finger::N,속가락,digitus
31,Fingernagel::N,손톱,unguiculus
32,Nagel[Anatomie]::N,손톱,unguis
33,Zeh::N,발가락,digitus
34,Fuß::N,발,pes
35,Ferse::N,발꿈치,calx
36,Knie::N,무릎,genu
37,Oberschenkel::N,허벅다리,femur
38,Bein::N,다리,crus
39,Körper::N,구간,corpus
40,Haut::N,살갗,cutis
41,Haut::N,살갗,pellis
42,Blut::N,피,sanguis
43,Ader::N,정맥,vena
44,Sehne::N,현,nervus
45,Knochen::N,뼈,os
46,Gehirn::N,뇌,cerebrum
47,Gehirn::N,뇌수,cerebrum
48,Herz::N,염통,cor
49,Herz::N,염통,animus
50,Magen::N,위,stomachus
51,Leber::N,간,iecur
52,Atem::N,기식,spiritus
53,Hunger::N,공복,fames
54,Träne::N,눈물,lacrima
55,Geschmack::N,기호,sapor
56,Geschmack::N,기호,gustus
57,Geruch::N,냄새,odor
58,Schlaf::N,수면,somnus
59,Traum::N,쿰,somnium
60,Himmel::N,하늘,caelum
61,Sonne::N,해,sol
62,Mond::N,달,luna
63,Stern::N,별,sidus
64,Stern::N,별,stella
65,Luft::N,동준,aer
66,Luft::N,가스채,aer
67,Wind::N,바람,ventus
68,Welle::N,물결,unda
69,Wasser::N,물,aqua
70,Stein::N,돌,lapis
71,Boden::N,바닥,solum
72,Erde::N,흙,terra
73,Staub::N,먼지,pulvis
74,Rauch::N,연기,fumus
75,Funke::N,불티,scintilla
76,Feuer::N,불,ignis
77,Licht::N,불,lux
78,Licht::N,불,lumen
79,Schatten::N,어스레함,umbra
80,Wetter::N,기상,caelum
81,Wetter::N,기상,tempestas
82,Nebel::N,안개,nebula
83,Wolke::N,구름,nubes
84,Regen::N,비,imber
85,Regen::N,비,pluvia
86,Schnee::N,눈,nix
87,Eis::N,얼음,glacies
88,Frost::N,혹한,gelu
89,Kälte::N,추위,frigus
90,Kälte::N,차가움,frigus
91,Hitze::N,고온,calor
92,Hitze::N,고온,aestus
93,Hitze::N,더위,calor
94,Hitze::N,더위,aestus
95,Regenbogen::N,무지개,arcus
96,Donner::N,뇌명,tonitrus
97,Strömung::N,유동,fluctus
98,Tropfen::N,물방울,gutta
99,Schaum::N,포말,spuma
100,Schmutz::N,때,sordes
101,Schmutz::N,때,squalor
102,See::N,호수,lacus
103,Sumpf::N,습지,palus
104,Moor::N,저습지,palus
105,Wiese::N,목초지,pratum
106,Wald::N,숲,silva
107,Hügel::N,언덕,collis
108,Anhöhe::N,언덕,specula
109,Berg::N,산,mons
110,Gipfel::N,졀졍,vertex
111,Höhle::N,공동,caverna
112,Höhle::N,공동,spelunca
113,Abhang::N,몰매,declivum
114,Quelle::N,근원,fons
115,Bach::N,내,rivus
116,Fluss::N,강,flumen
117,Ufer::N,강변,ripa
118,Ufer::N,바닷가,ripa
119,Küste::N,해변,litus
120,Küste::N,해변가,litus
121,Festland::N,본토,continens
122,Meer::N,바다,mare
123,Bucht::N,협만,sinus
124,Insel::N,섬,insula
125,Blume::N,꽃,flos
126,Gras::N,풀,herba
127,Gras::N,풀,gramen
128,Wurzel::N,뿌리,radix
129,Baum::N,나무,arbor
130,Stamm::N,대,truncus
131,Rinde::N,나무껍질,cortex
132,Ast::N,가지,ramus
133,Zweig::N,가지,ramus
134,Blatt::N,잎,folium
135,Birke::N,자작나무,betulla
136,Kiefer[Baum]::N,소나무,pinus
137,Weide[Baum]::N,쉬양버들,salix
138,Tanne::N,전나무,abies
139,Horn::N,뿔,cornu
140,Feder::N,깃털,penna
141,Fell::N,피혁모피,pellis
142,Flügel::N,날개,ala
143,Klaue::N,갈고리 발톺,unguis
144,Kralle::N,발툭,unguis
145,Schwanz::N,꼬리,cauda
146,Ei::N,알,ovum
147,Nest::N,보금자리,nidus
148,Bau::N,굴,cavum
149,Bau::N,굴,latibulum
150,Tier::N,짐승,bestia
151,Herde::N,가축의떼,grex
152,Kuh::N,암소,vacca
153,Bulle::N,황소,taurus
154,Pferd::N,말,equus
155,Schaf::N,양,ovis
156,Schwein::N,돼지,sus
157,Schwein::N,돼지,porcus
158,Hund::N,개,canis
159,Katze::N,고양이,felis
160,Bär::N,콤,ursus
161,Eichhörnchen::N,다람쥐,sciurus
162,Elch::N,고라니,alces
163,Fuchs::N,여우,vulpes
164,Hase::N,토끼,lepus
165,Maus::N,쥐,mus
166,Wolf::N,늑대,lupus
167,Vogel::N,새,avis
168,Schwarm::N,뗴,examen
169,Huhn::N,암탉,gallina
170,Hahn::N,수탉,gallus
171,Gans::N,거위,anser
172,Adler::N,수리,aquila
173,Ente::N,오리,anas
174,Eule::N,부엉이,ulula
175,Eule::N,부엉이,noctua
176,Kranich::N,두루미,grus
177,Krähe::N,까마귀,cornix
178,Kuckuck::N,뻐꾸기,cuculus
179,Schwan::N,배조,olor
180,Schwan::N,배조,cycnus
181,Fisch::N,물고기,piscis
182,Barsch::N,농어,perca
183,Hecht::N,에속스,esox
184,Schlange[Tier]::N,뱀,serpens
185,Wurm::N,벌레,vermis
186,Spinne::N,거미,aranea
187,Ameise::N,개미,formica
188,Laus::N,이,pediculus
