,Concept_ID,kl,mdf
0,Auge::N,isi,сельме
1,Ohr::N,siut,пиле
2,Mund::N,paaq,курга
3,Mund::N,qaneq,курга
4,Zahn::N,kigut,пей
5,Zunge::N,oqaq,кяль
6,Lippe::N,qarloq,търва́
7,Wange::N,ersaq,щёка
8,Gesicht::N,kiinaq,шама
9,Stirn::N,qaaq,коня
10,Haar::N,meqqoq,шя́ярь
11,Bart::N,umik,сакал
12,Kinn::N,talloq,ула
13,Kiefer[Anatomie]::N,alleroq,саласка
14,Kehle::N,malaq,кълдома
15,Kehle::N,malaq,кърга́парь
16,Hals::N,qungaseq,сялдаз
17,Genick::N,pukusuk,шовонь
18,Kopf::N,niaqoq,пря
19,Rücken::N,qimerlut,копорь
20,Bauch::N,naaq,пеке
21,Nabel::N,qalaseq,по́кон
22,Busen::N,iviangeq,потя
23,Brust::N,iviangeq,мяште
24,Schulter::N,ersik,лафту
25,Schulter::N,assaqqoq,лафту
26,Arm::N,taleq,кядь
27,Ellenbogen::N,ikusik,кенерьба́карь
28,Hand::N,assak,кядь
29,Handfläche::N,itumak,кядьлапш
30,Finger::N,inuak,сур
31,Fingernagel::N,kikiak,кенже
32,Nagel[Anatomie]::N,kukik,кенже
33,Zeh::N,isigak,пильгосу́р
34,Ferse::N,kimmik,кочкяря
35,Knie::N,seeqqoq,эль
36,Knie::N,seeqqoq,пълма́нжа
37,Oberschenkel::N,uppat,пильгепукша
38,Oberschenkel::N,quttoraq,пильгепукша
39,Bein::N,isigak,пильге
40,Körper::N,timi,ро́нга
41,Körper::N,timi,по́нда
42,Haut::N,mattak,киське
43,Blut::N,aak,вер
44,Ader::N,taqaq,сан
45,Ader::N,taqaq,верза́н
46,Sehne::N,ujalu,коське сан
47,Sehne::N,ujaloq,коське сан
48,Knochen::N,saanikut,пакарь
49,Gehirn::N,qarasaq,уй
50,Herz::N,uummat,седи
51,Magen::N,aqajaroq,коткърдазь
52,Leber::N,tinguk,макса
53,Atem::N,anerneq,лекома
54,Atem::N,anerneq,ваймонь тарксема
55,Hunger::N,kaanneq,вачеши
56,Träne::N,qia,сельмове́дь
57,Träne::N,qiak,сельмове́дь
58,Geschmack::N,qilanaartuut,таньф
59,Geruch::N,tipi,шине
60,Geruch::N,tipik,шине
61,Traum::N,sinnattoq,он
62,Traum::N,sinnattugaq,он
63,Himmel::N,qilak,менель
64,Sonne::N,seqineq,ши
65,Mond::N,qaammat,ков
66,Stern::N,ulloriaq,тяште
67,Luft::N,silaannaq,кожф
68,Wind::N,anori,варма
69,Wind::N,anorsarik,варма
70,Welle::N,aalappaa,тавла
71,Wasser::N,imeq,ведь
72,Stein::N,ujarak,кев
73,Boden::N,nateq,мода
74,Boden::N,nateq,потмакс
75,Erde::N,issoq,мода
76,Erde::N,issoq,мастор
77,Staub::N,pujualanerit,пуль
78,Staub::N,pujoralanerit,пуль
79,Rauch::N,iseq,качам
80,Rauch::N,pujoq,качам
81,Funke::N,illoorneq,ця́тка
82,Feuer::N,inneq,тол
83,Licht::N,qaamaneq,ва́лда
84,Schatten::N,tarraq,цильф
85,Wetter::N,sila,уша
86,Nebel::N,pujoq,тума́н
87,Wolke::N,nuia,ковол
88,Regen::N,sialuk,пизем
89,Schnee::N,aput,лов
90,Eis::N,siku,эй
91,Frost::N,issi,ке́льме
92,Frost::N,issik,ке́льме
93,Kälte::N,issi,якшама
94,Hitze::N,kianneq,пси
95,Hitze::N,kiassuseq,пси
96,Raureif::N,kaneq,леш
97,Regenbogen::N,neriusaaq,а́тямъёнга
98,Donner::N,kalleq,атям
99,Tropfen::N,kuseriarneq,путькс
100,Tropfen::N,kuseriarneq,пътняфкс
101,Schaum::N,qapuk,шов
102,Schmutz::N,minguk,ърда́з
103,See::N,taseq,эрьхке
104,Sumpf::N,maqulluk,шяй
105,Wiese::N,masarsuk,луга
106,Hügel::N,qattuneq,губо́р
107,Hügel::N,qattuneq,пандоня
108,Hügel::N,majuariaq,губо́р
109,Hügel::N,majuariaq,пандоня
110,Hügel::N,majorajaaq,губо́р
111,Hügel::N,majorajaaq,пандоня
112,Hügel::N,qaqqannguaq,губо́р
113,Hügel::N,qaqqannguaq,пандоня
114,Berg::N,qaqqaq,панда
115,Höhle::N,qaarusuk,у́нда
116,Abhang::N,ippik,па́нда ша́ма
117,Abhang::N,sivinganeq,па́нда ша́ма
118,Abhang::N,sivingajaaq,па́нда ша́ма
119,Abhang::N,kussangajaaq,па́нда ша́ма
120,Bach::N,kuunnguaq,шудерькс
121,Fluss::N,kuuk,ляй
122,Ufer::N,sissap sinaa,търва́
123,Küste::N,sineriak,ляйтърва́
124,Meer::N,imaq,моря
125,Bucht::N,ikeq,ведьуське
126,Bucht::N,kangerluk,ведьуське
127,Bucht::N,kangerliumaneq,ведьуське
128,Insel::N,qeqertaq,цёнга
129,Blume::N,naasoq,панчф
130,Gras::N,ivigaq,тише
131,Wurzel::N,niulutaq,юр
132,Wurzel::N,niulutaq,ункс
133,Baum::N,orpik,шуфта
134,Stamm::N,kanaartaq,ро́нга
135,Rinde::N,ameraq,кер
136,Ast::N,avalequt,морга
137,Zweig::N,avalequt,тарад
138,Blatt::N,pilutaq,лопа
139,Birke::N,patitsit,ке́лу
140,Weide[Baum]::N,palleq,каль
141,Tanne::N,orsuerneq,куз
142,Horn::N,nassuk,сюра
143,Feder::N,suluk,толга
144,Fell::N,ameq,кедь
145,Flügel::N,suluk,паця
146,Flügel::N,isaroq,паця
147,Klaue::N,kukik,кенже
148,Kralle::N,kukik,кенже
149,Schwanz::N,pamioq,пула
150,Schwanz::N,paperuusaq,пула
151,Ei::N,mannik,ал
152,Nest::N,ullut,пиза
153,Bau::N,ini,пиза
154,Tier::N,uumasoq,жува́та
155,Herde::N,unguukkat,нал
156,Herde::N,unguukkat,стада
157,Kuh::N,ussik,скал
158,Kuh::N,ussik,тракс
159,Bulle::N,angukulak,бука
160,Bulle::N,anguteralak,бука
161,Bulle::N,angutikulooq,бука
162,Schaf::N,sava,уча́
163,Schwein::N,puuluki,тува
164,Hund::N,qimmeq,пине
165,Katze::N,puisaaq,катоня
166,Katze::N,puisaaq,аваката
167,Bär::N,allaq,офта
168,Eichhörnchen::N,sissinnguaq,ур
169,Fuchs::N,terianniaq,келазь
170,Hase::N,ukaleq,ну́мол
171,Maus::N,teriannguaq,шеер
172,Wolf::N,amaroq,върьгаз
173,Vogel::N,timmiaq,нармонь
174,Huhn::N,kukkukooq,сараз
175,Huhn::N,marloraaqaaq,сараз
176,Hahn::N,kiasiusaq,а́тякш
177,Gans::N,nerleq,маци
178,Adler::N,nattoralik,куцькан
179,Eule::N,uppik,ко́рож
180,Kranich::N,qorlorfik,ка́рга
181,Krähe::N,tuluatsiaq,ва́рси
182,Kuckuck::N,kukkooq,ку́ку
183,Schwan::N,qussuk,ло́ксти
184,Fisch::N,aalisagaq,кал
185,Schlange[Tier]::N,pulateriarsuk,куй
186,Schlange[Tier]::N,pulateriaarsuk,куй
187,Spinne::N,aasiaq,унжа́
188,Spinne::N,nissavaarsuk,унжа́
189,Ameise::N,uniaaluk,панжам
190,Laus::N,kumak,си
191,Mücke::N,ippernaq,ся́ське
192,Fliege::N,ippernaq,кару
193,Schmetterling::N,paluaq,ме́лав
194,Schmetterling::N,pakkaluaq,ме́лав
195,Schmetterling::N,utsuppaluaq,ме́лав
196,Schmetterling::N,taqaleqisaaq,ме́лав
197,Beere::N,paarmaq,и́мож
198,Beere::N,paarngaq,и́мож
199,Apfel::N,iipili,марь
200,Pilz::N,anngiusaq,панга
201,Zwiebel::N,uanitsoq,шурьхкя́
202,Saat::N,naatsiiassaq,видьмот
203,Korn::N,maannineq,сёра
204,Schale::N,niutsivik,кедь
205,Schale::N,ilulissaq qaartussaq,кедь
206,Grube::N,itersaq,лотка
207,Falle::N,pualavoq,туфкс
208,Falle::N,pualavoq,кунда́ма
209,Schlinge::N,orseq,килькш
210,Schlinge::N,norloq,килькш
211,Spur::N,tumaa,пильгоки́
212,Asche::N,arsat,кулу
213,Dreck::N,minguk,ърда́з
214,Eisen::N,savimineq,кшни
215,Eisen::N,saffiugassaq,кшни
216,Gold::N,kuulti,ока
217,Gold::N,kuulti,золота
218,Silber::N,siilviuvoq,сия́
219,Kohle::N,aamarsuit aamaruutissat,седь
220,Kohle::N,aamarsuit aamaruutissat,седьвальмя
221,Glas::N,igalaaq,кля́нцек
222,Glas::N,imertarfik,кля́нцек
223,Glas::N,igalaamineq,кля́нцек
224,Lehm::N,marraq,сёвонь
225,Sand::N,sioqqat,шува́р
226,Mensch::N,inuk,ломань
227,Mensch::N,silamiu,ломань
228,Mann::N,angut,аля
229,Mann::N,angut,цёраломань
230,Frau::N,arnaq,ава
231,Kind::N,meeraq,идь
232,Kind::N,meeraq,шаба
233,Junge::N,nukappiaraq,цёраня
234,Mädchen::N,arnannguaq,стирня́
235,Familie::N,ilaqutakka,тнал
236,Familie::N,ilaqutakka,семья
237,Familie::N,ilaqutariit,тнал
238,Familie::N,ilaqutariit,семья
239,Großvater::N,aatak,атя
240,Großvater::N,aatak,щя́тя
241,Großmutter::N,aanaq,баба
