,Concept_ID,sk,av
0,Auge::N,oko,
1,Ohr::N,ucho,гӏин
2,Nase::N,nos,мегӏер
3,Mund::N,ústa,кӏал
4,Zahn::N,zub,гӏус
5,Zunge::N,jazyk,мацӏ
6,Lippe::N,pera,кӏветӏ
7,Wange::N,líce,гӏоно
8,Gesicht::N,tvár,гьумер
9,Gesicht::N,obličaj,гьумер
10,Stirn::N,čelo,нодо
11,Haar::N,vlas,рас
12,Schnurrbart::N,fúzy,михъ
13,Bart::N,brada,мегеж
14,Kinn::N,brada,нилъу
15,Kiefer[Anatomie]::N,čeľusť,чанагъ
16,Kehle::N,hrdlo,щекъер
17,Hals::N,krk,габур
18,Genick::N,väzy,гъванща
19,Kopf::N,hlava,бетӏер
20,Rücken::N,chrbát,мугъ
21,Bauch::N,brucho,чехь
22,Nabel::N,pupok,цӏину
23,Busen::N,prsia,керен
24,Brust::N,hruď,керен
25,Schulter::N,plece,гъажазубетӏер
26,Arm::N,rameno,гъеж
27,Ellenbogen::N,lakeť,гӏункӏрукь
28,Hand::N,ruka,квер
29,Handfläche::N,dlaň,огъохъат
30,Handfläche::N,dlaň,жанисахъат
31,Finger::N,prst,килищ
32,Fingernagel::N,necht,малъ
33,Nagel[Anatomie]::N,necht,малъ
34,Zeh::N,prst na nohe,килищ
35,Fuß::N,noha,хӏетӏ
36,Fuß::N,noha,хӏетӏе
37,Ferse::N,päta,эгъе
38,Knie::N,koleno,наку
39,Oberschenkel::N,stehno,мачӏ
40,Bein::N,noha,бох
41,Körper::N,telo,къаркъала
42,Haut::N,koža,тӏом
43,Blut::N,krv,би
44,Ader::N,žila,бидурихь
45,Sehne::N,šľacha,
46,Knochen::N,kosť,ракьа
47,Gehirn::N,mozog,гӏадалнах
48,Herz::N,srdce,ракӏ
49,Magen::N,žalúdok,кванирукъ
50,Leber::N,pečeň,тӏул
51,Atem::N,dych,хӏухь
52,Hunger::N,hlad,ракъи
53,Träne::N,slza,магӏу
54,Geschmack::N,chuť,тату
55,Geruch::N,pach,махӏ
56,Schlaf::N,spánok,макьу
57,Traum::N,sen,макьу
58,Himmel::N,nebo,зоб
59,Sonne::N,slnko,бакъ
60,Mond::N,mesiac,моцӏ
61,Stern::N,hviezda,цӏва
62,Luft::N,vzduch,гьава
63,Wind::N,vietor,гьури
64,Welle::N,vlna,карачел
65,Wasser::N,voda,лъим
66,Stein::N,kameň,гьецӏо
67,Boden::N,zem,ракь
68,Boden::N,pôda,ракь
69,Erde::N,zem,ракь
70,Erde::N,zem,дуниял
71,Staub::N,prach,хӏур
72,Rauch::N,dym,кӏкӏуй
73,Funke::N,iskra,
74,Feuer::N,oheň,цӏа
75,Licht::N,svetlo,канлъи
76,Schatten::N,tieň,рагӏад
77,Wetter::N,počasie,гьава-бакъ
78,Nebel::N,hmla,гӏодобнакӏкӏ
79,Wolke::N,oblak,накӏкӏ
80,Wolke::N,mračno,накӏкӏ
81,Regen::N,dážď,цӏад
82,Schnee::N,sneh,гӏазу
83,Eis::N,ľad,цӏер
84,Frost::N,mráz,замгьари
85,Kälte::N,zima,квач
86,Kälte::N,chlad,квач
87,Hitze::N,horúčava,багӏари
88,Raureif::N,srieň,мартӏ
89,Raureif::N,inovať,мартӏ
90,Regenbogen::N,dúha,нур
91,Regenbogen::N,dúha,чамбара
92,Donner::N,hrom,гъугъай
93,Donner::N,hrom,гъугъади
94,Strömung::N,prúdenie,чвахи
95,Tropfen::N,kvapka,резел
96,Tropfen::N,kvapka,тӏинкӏ
97,Tropfen::N,kvapka,къатӏра
98,Tropfen::N,kvapka,тӏенкӏел
99,Schaum::N,pena,полоп
100,Schmutz::N,špina,чороклъи
101,Schmutz::N,nečistota,чороклъи
102,See::N,jazero,хӏор
103,Sumpf::N,bahno,хьуцӏ
104,Moor::N,močiar,
105,Wiese::N,lúka,мегъ
106,Wiese::N,lúka,гӏурдаллъи
107,Wald::N,les,рохь
108,Wald::N,hora,рохь
109,Hügel::N,vŕšok,гохӏ
110,Anhöhe::N,výšina,сийитма
111,Anhöhe::N,vyvýšenina,сийитма
112,Berg::N,hora,мегӏер
113,Gipfel::N,vrchol,тӏогь
114,Höhle::N,jaskyňa,нохъо
115,Abhang::N,úbočie,лабаллъи
116,Quelle::N,prameň,ицц
117,Bach::N,potok,лъар
118,Fluss::N,rieka,гӏор
119,Ufer::N,breh,рагӏал
120,Küste::N,pobrežie,рагӏал
121,Festland::N,pevnina,ракь
122,Festland::N,pevnina,ракъдаллъи
123,Meer::N,more,ралъад
124,Bucht::N,záliv,кӏветӏ
125,Bucht::N,zátoka,кӏветӏ
126,Insel::N,ostrov,чӏинкӏиллъи
127,Blume::N,kvet,тӏегь
128,Blume::N,kvetina,тӏегь
129,Gras::N,tráva,хер
130,Wurzel::N,koreň,кьибил
131,Baum::N,strom,гъветӏ
132,Stamm::N,kmeň,рохти
133,Rinde::N,kôra,макъар
134,Ast::N,konár,ноцӏ
135,Zweig::N,vetva,гӏаркьел
136,Blatt::N,list,тӏамах
137,Birke::N,breza,мах
138,Birke::N,breza,махигъветӏ
139,Kiefer[Baum]::N,sosna,накӏкӏигъветӏ
140,Kiefer[Baum]::N,borovica,накӏкӏигъветӏ
141,Weide[Baum]::N,vŕba,рицӏцӏ
142,Weide[Baum]::N,vŕba,рицӏцӏигъветӏ
143,Tanne::N,jedľa,ёлка
144,Horn::N,roh,лълъар
145,Feder::N,pero,хӏули
146,Fell::N,koža,тӏом
147,Fell::N,koža,цӏоко
148,Fell::N,kožušina,тӏом
149,Fell::N,kožušina,цӏоко
150,Flügel::N,krídlo,кваркьи
151,Klaue::N,paznecht,галъ
152,Kralle::N,pazúr,квачӏ
153,Kralle::N,pazúr,катиквачӏ
154,Schwanz::N,chvost,рачӏ
155,Ei::N,vajce,хоно
156,Ei::N,vajíčko,хоно
157,Nest::N,hniezdo,бусен
158,Bau::N,nora,каратӏ
159,Tier::N,zviera,хӏайван
160,Herde::N,stádo,рехъен
161,Herde::N,stádo,рехъед
162,Kuh::N,krava,гӏака
163,Bulle::N,býk,оц
164,Pferd::N,kôň,чу
165,Schaf::N,ovca,чахъу
166,Schwein::N,sviňa,болъон
167,Hund::N,pes,гьой
168,Katze::N,mačka,кету
169,Bär::N,medveď,ци
170,Eichhörnchen::N,veverička,гвангва
171,Elch::N,los,
172,Fuchs::N,líška,цер
173,Hase::N,zajac,гӏанкӏ
174,Maus::N,myš,гӏункӏкӏ
175,Wolf::N,vlk,бацӏ
176,Vogel::N,vták,хӏинчӏ
177,Schwarm::N,roj,тӏел
178,Huhn::N,kurča,гӏанкӏу
179,Huhn::N,sliepka,гӏанкӏу
180,Hahn::N,kohút,хӏелеко
181,Gans::N,hus,хъаз
182,Adler::N,orol,цӏум
183,Ente::N,kačka,ордек
184,Ente::N,kačica,ордек
185,Eule::N,sova,беццаруз
186,Kranich::N,žeriav,къункъра
187,Krähe::N,vrana,гъеду
188,Kuckuck::N,kukučka,гагу
189,Schwan::N,labuť,хӏанкъва
190,Fisch::N,ryba,ччугӏа
191,Barsch::N,ostriež,окунь
192,Hecht::N,šťuka,щука
193,Schlange[Tier]::N,had,борохь
194,Wurm::N,červ,хӏапара
195,Spinne::N,pavúk,хъанхъра
