,Concept_ID,lez,lt
0,Auge::N,вил,akis
1,Ohr::N,яб,ausis
2,Nase::N,нер,nosis
3,Mund::N,сив,burna
4,Zahn::N,сас,dantis
5,Zahn::N,свах,dantis
6,Zunge::N,мез,liežuvis
7,Lippe::N,пӏуз,lūpa
8,Wange::N,хъвехъ,žandas
9,Wange::N,хъвехъ,skruostas
10,Gesicht::N,ччин,veidas
11,Stirn::N,пел,kakta
12,Haar::N,чӏар,plaukai
13,Schnurrbart::N,спел,ūsai
14,Schnurrbart::N,спелар,ūsai
15,Bart::N,ччуру,barzda
16,Kinn::N,чене,smakras
17,Kiefer[Anatomie]::N,чене,žandikaulis
18,Kehle::N,туьд,gerklė
19,Hals::N,гардан,kaklas
20,Genick::N,кьам,sprandas
21,Kopf::N,кьил,galva
22,Rücken::N,далу,nugara
23,Bauch::N,руфун,pilvas
24,Nabel::N,пицӏ,bamba
25,Busen::N,мам,krūtinė
26,Brust::N,хур,krūtis
27,Schulter::N,къуьн,petys
28,Arm::N,гъил,ranka
29,Ellenbogen::N,кьуьнт,alkūnė
30,Hand::N,капаш,ranka
31,Hand::N,капаш,plaštaka
32,Handfläche::N,капан юкь,delnas
33,Handfläche::N,капан юкь,plaštaka
34,Finger::N,тӏуб,pirštas
35,Fingernagel::N,кек,nagas
36,Nagel[Anatomie]::N,кек,nagas
37,Zeh::N,кул,pirštas
38,Fuß::N,кӏвач,pėda
39,Ferse::N,дабан,kulnas
40,Knie::N,мет,kelis
41,Bein::N,кӏвач,koja
42,Körper::N,беден,kūnas
43,Haut::N,хам,oda
44,Blut::N,иви,kraujas
45,Ader::N,дамар,kraujagyslė
46,Sehne::N,кьуру дамар,sausgyslė
47,Knochen::N,кӏараб,kaulas
48,Gehirn::N,мефт,smegenys
49,Herz::N,рикӏ,širdis
50,Magen::N,хук,skrandis
51,Leber::N,лекь,kepenys
52,Atem::N,ял,kvapas
53,Atem::N,нефес,kvapas
54,Hunger::N,каш,badas
55,Hunger::N,каш,alkis
56,Träne::N,вилин нагъв,ašara
57,Geschmack::N,дад,skonis
58,Geschmack::N,тӏям,skonis
59,Geruch::N,ни,kvapas
60,Schlaf::N,ахвар,miegas
61,Traum::N,ахвар,sapnas
62,Himmel::N,цав,dangus
63,Sonne::N,рагъ,saulė
64,Mond::N,варз,mėnulis
65,Stern::N,гъед,žvaigždė
66,Luft::N,гьава,oras
67,Wind::N,гар,vėjas
68,Welle::N,лепе,banga
69,Welle::N,лепе,vilnis
70,Wasser::N,яд,vanduo
71,Stein::N,къван,akmuo
72,Boden::N,накьв,žemė
73,Boden::N,накьв,dugnas
74,Erde::N,ччил,žemė
75,Staub::N,руг,dulkės
76,Rauch::N,гум,dūmai
77,Funke::N,цӏелхем,kibirkštis
78,Feuer::N,цӏай,ugnis
79,Licht::N,экв,šviesa
80,Schatten::N,серин,paūksmė
81,Wetter::N,гьава,oras
82,Nebel::N,ччилин циф,migla
83,Nebel::N,ччилин циф,rūkas
84,Wolke::N,циф,debesis
85,Regen::N,марф,lietus
86,Schnee::N,жив,sniegas
87,Eis::N,мурк,ledas
88,Frost::N,аяз,šalna
89,Kälte::N,мекь,šaltis
90,Kälte::N,мекьивал,šaltis
91,Hitze::N,зегьем,karštis
92,Raureif::N,къирав,šerkšnas
93,Regenbogen::N,яргъируш,vaivorykštė
94,Donner::N,цавун ван,perkūnas
95,Donner::N,цавун ван,griaustinis
96,Tropfen::N,стӏал,lašas
97,Schaum::N,каф,putos
98,Schmutz::N,чирк,purvas
99,Schmutz::N,кьуруш,purvas
100,See::N,вир,ežeras
101,Sumpf::N,уьлен,klampynė
102,Sumpf::N,уьлен,liūnas
103,Wiese::N,векь,pieva
104,Wald::N,там,miškas
105,Hügel::N,кӏунтӏ,kalva
106,Anhöhe::N,тепе,kauburys
107,Anhöhe::N,гьуьндуьрвал,kauburys
108,Berg::N,дагъ,kalnas
109,Gipfel::N,кӏукӏ,viršūnė
110,Höhle::N,кьветӏ,ola
111,Abhang::N,гуьне,šlaitas
112,Abhang::N,гуьне,nuokalnė
113,Quelle::N,чешме,versmė
114,Quelle::N,чешме,šaltinis
115,Bach::N,булах,upelis
116,Fluss::N,вацӏ,upė
117,Ufer::N,къерех,krantas
118,Küste::N,къерех,pajūris
119,Festland::N,кьурамат,sausuma
120,Meer::N,гьуьл,jūra
121,Bucht::N,бухта,įlanka
122,Bucht::N,бухта,užutekis
123,Insel::N,остров,sala
124,Blume::N,цуьк,gėlė
125,Gras::N,хъач,žolė
126,Wurzel::N,дувул,šaknis
127,Baum::N,ттар,medis
128,Stamm::N,тан,kamienas
129,Rinde::N,чкал,žievė
130,Ast::N,тӏур,šaka
131,Zweig::N,хел,šakelė
132,Blatt::N,пеш,lapas
133,Birke::N,верх,beržas
134,Kiefer[Baum]::N,шамагъаж,pušis
135,Weide[Baum]::N,цӏвелин ттар,karklas
136,Tanne::N,ель,eglė
137,Tanne::N,ель,kėnis
138,Horn::N,карч,ragas
139,Feder::N,цӏакул,plunksna
140,Fell::N,хам,kailis
141,Flügel::N,лув,sparnas
142,Klaue::N,къармах,kanopa
143,Kralle::N,пац,nagas
144,Kralle::N,тапас,nagas
145,Schwanz::N,ттум,uodega
146,Ei::N,кака,kiaušinis
147,Nest::N,муг,gūžta
148,Nest::N,муг,lizdas
149,Bau::N,тӏеквен,ola
150,Tier::N,гьайван,gyvūnas
151,Herde::N,суьруь,banda
152,Herde::N,суьруь,kaimenė
153,Kuh::N,ккал,karvė
154,Bulle::N,яц,bulius
155,Bulle::N,бугъа,bulius
156,Pferd::N,балкӏан,arklys
157,Schaf::N,хеб,avis
158,Schwein::N,вак,kiaulė
159,Hund::N,кицӏ,šuo
160,Katze::N,кац,katė
161,Bär::N,сев,lokys
162,Eichhörnchen::N,белка,voveraitė
163,Elch::N,лось,briedis
164,Fuchs::N,сикӏ,lapė
165,Hase::N,къуьр,kiškas
166,Maus::N,кьиф,pelė
167,Wolf::N,жанавур,vilkas
168,Vogel::N,луван ничхир,paukštis
169,Schwarm::N,луж,spiečius
170,Huhn::N,верч,višta
171,Hahn::N,кӏек,gaidys
172,Gans::N,къаз,žąsis
173,Adler::N,лекь,erelis
174,Ente::N,пӏатӏ,antis
175,Eule::N,тӏиб,pelėda
176,Kranich::N,дурна,gervė
177,Krähe::N,къаргъа,varna
178,Kuckuck::N,кукупӏ,gegužė
179,Schwan::N,къугь,gulbė
180,Fisch::N,гъед,žuvis
181,Barsch::N,окунь,ešerys
182,Hecht::N,щука,lydeka
183,Schlange[Tier]::N,илан,gyvatė
184,Schlange[Tier]::N,гъуьлягъ,gyvatė
185,Wurm::N,квак,kirmėlė
186,Spinne::N,хуьшрекан,voras
187,Ameise::N,цегв,skruzdė
188,Laus::N,нет,utėlė
189,Mücke::N,ветӏ,uodas
190,Fliege::N,тӏветӏ,musė
191,Schmetterling::N,чепелукь,drugys
192,Schmetterling::N,чепелукь,peteliškė
193,Beere::N,куьлуь емиш,uoga
194,Apfel::N,ич,obuolys
195,Pilz::N,къарникъуз,grybas
196,Zwiebel::N,чичӏек,svogūnas
197,Saat::N,тумар,sėkla
198,Korn::N,твар,grūdai
199,Heu::N,векь,šienas
200,Heu::N,векьер,šienas
201,Schale::N,пириш,žievelė
202,Schale::N,хъуьруьш,žievelė
203,Grube::N,фур,duobė
204,Falle::N,ракьар,pinklės
205,Falle::N,ракьар,žabangai
206,Schlinge::N,гьалкъа,kilpa
207,Spur::N,гел,vėžė
208,Spur::N,гел,pėdos
209,Spur::N,гел,pėdsakas
210,Asche::N,руьхъ,pelenai
211,Dreck::N,чирк,purvas
212,Dreck::N,кьуруш,purvas
213,Eisen::N,ракь,geležis
214,Gold::N,алтун,auksas
215,Silber::N,гимиш,sidabras
216,Kohle::N,цӏивин,anglis
217,Glas::N,шуьше,stiklas
218,Lehm::N,ччеб,molis
219,Sand::N,къум,smėlis
220,Mensch::N,инсан,žmogus
221,Mann::N,итим,vyras
222,Mann::N,итим,vyriškis
223,Frau::N,паб,moteris
224,Frau::N,дишегьли,moteris
225,Kind::N,аял,vaikas
226,Junge::N,гада,vaikinas
227,Junge::N,гада,berniukas
228,Mädchen::N,руш,mergytė
229,Mädchen::N,руш,mergaitė
230,Familie::N,хзан,šeima
231,Familie::N,килфет,šeima
232,Großvater::N,чӏехи буба,senelis
233,Großmutter::N,чӏехи диде,senelė
234,Eltern::N,диде-буба,tėvai
235,Vater::N,буба,tėvas
236,Mutter::N,диде,motina
237,Sohn::N,хва,sūnus
238,Tochter::N,руш,duktė
239,Bruder::N,стха,brolis
240,Schwester::N,вах,sesuo
241,Onkel::N,ими,dėdė
242,Onkel::N,халу,dėdė
243,Tante::N,эме,teta
244,Tante::N,хала,teta
245,Ehemann::N,гъуьл,vyras
246,Ehefrau::N,паб,žmona
247,Freude::N,шадвал,džiaugsmas
248,Gelächter::N,хъвер,juokas
249,Glück::N,бахт,laimė
250,Kummer::N,дерт,vargas
251,Kummer::N,дерт,rūpestis
252,Kummer::N,хажалат,vargas
253,Kummer::N,хажалат,rūpestis
254,Wunsch::N,мурад,troškimas
255,Wunsch::N,мурад,pageidavimas
256,Lust::N,гьевес,noras
257,Lust::N,гьевес,geidulys
