,Concept_ID,fi,hy
0,Auge::N,silmä,աչք
1,Ohr::N,korva,ականջ
2,Nase::N,nenä,քիթ
3,Mund::N,suu,բերան
4,Zahn::N,hammas,ատամ
5,Zunge::N,kieli,լեզու
6,Lippe::N,huuli,շրթունք
7,Wange::N,poski,այտ
8,Wange::N,poski,թուշ
9,Gesicht::N,naama,դեմք
10,Gesicht::N,kasvot,դեմք
11,Stirn::N,otsa,ճակատ
12,Haar::N,hius,մազ
13,Haar::N,tukka,մազ
14,Schnurrbart::N,viikset,բեղ
15,Bart::N,parta,մորուք
16,Kinn::N,leuka,կզակ
17,Kiefer[Anatomie]::N,leukaluu,ծնոտ
18,Kehle::N,kurkku,կոկորդ
19,Hals::N,kaula,վիզ
20,Hals::N,kaula,պարանոց
21,Genick::N,niska,ծոծրակ
22,Kopf::N,pää,գլուխ
23,Rücken::N,selkä,մեջք
24,Bauch::N,maha,փոր
25,Bauch::N,maha,որովայն
26,Bauch::N,vatsa,փոր
27,Bauch::N,vatsa,որովայն
28,Nabel::N,napa,պորտ
29,Busen::N,rinta,ծոց
30,Brust::N,rinta,կուրծք
31,Schulter::N,olka,ուս
32,Schulter::N,hartia,ուս
33,Schulter::N,olkapää,ուս
34,Arm::N,käsivarsi,թեւ
35,Arm::N,käsivarsi,բազուկ
36,Ellenbogen::N,kyynärpää,արմունկ
37,Hand::N,käsi,ձեռք
38,Handfläche::N,kämmen,ափ
39,Finger::N,sormi,մատ
40,Fingernagel::N,kynsi,եղունգ
41,Nagel[Anatomie]::N,kynsi,եղունգ
42,Zeh::N,varvas,ոտքի մատ
43,Fuß::N,jalka,ոտք
44,Ferse::N,kantapää,գարշապար
45,Knie::N,polvi,ծունկ
46,Oberschenkel::N,reisi,ազդր
47,Bein::N,jalka,ոտք
48,Körper::N,keho,մարմին
49,Körper::N,ruumis,մարմին
50,Haut::N,iho,մաշկ
51,Blut::N,veri,արյուն
52,Ader::N,suoni,երակ
53,Sehne::N,jänne,ջիղ
54,Sehne::N,jänne,ձգտան
55,Knochen::N,luu,ոսկոր
56,Gehirn::N,aivot,խելք
57,Herz::N,sydän,սիրտ
58,Magen::N,maha,ստամոքս
59,Magen::N,vatsa,ստամոքս
60,Leber::N,maksa,լյարդ
61,Atem::N,henki,շունչ
62,Atem::N,hengitys,շունչ
63,Hunger::N,nälkä,քաղց
64,Träne::N,kyynel,արտասուք
65,Geschmack::N,maku,համ
66,Geschmack::N,maku,բուրմունք
67,Geruch::N,haju,հոտ
68,Geruch::N,haju,բուրում
69,Schlaf::N,uni,քուն
70,Traum::N,uni,երազ
71,Himmel::N,taivas,երկինք
72,Sonne::N,aurinko,արեւ
73,Mond::N,kuu,լուսին
74,Stern::N,tähti,աստղ
75,Luft::N,ilma,օդ
76,Wind::N,tuuli,քամի
77,Welle::N,aalto,ալիք
78,Wasser::N,vesi,ջուր
79,Stein::N,kivi,քար
80,Boden::N,maa,գետին
81,Boden::N,maaperä,գետին
82,Erde::N,maa,հող
83,Staub::N,pöly,փոշի
84,Rauch::N,savu,ծուխ
85,Funke::N,kipinä,կայծ
86,Feuer::N,tuli,կրակ
87,Feuer::N,tuli,հրդեհ
88,Licht::N,valo,լույս
89,Schatten::N,varjo,ստվեր
90,Wetter::N,sää,եղանակ
91,Nebel::N,sumu,մեգ
92,Nebel::N,sumu,մառախուղ
93,Wolke::N,pilvi,ամպ
94,Regen::N,sade,անձրև
95,Schnee::N,lumi,ձյուն
96,Eis::N,jää,սառույց
97,Frost::N,halla,սառնամանիք
98,Frost::N,pakkanen,սառնամանիք
99,Kälte::N,vilu,դող
100,Kälte::N,kylmyys,դող
101,Hitze::N,helle,շոգ
102,Hitze::N,kuumuus,շոգ
103,Raureif::N,huurre,ցօղեղեամ
104,Regenbogen::N,sateenkaari,ծիածան
105,Donner::N,jyrinä,որոտ
106,Strömung::N,virtaus,հոսանք
107,Tropfen::N,tippa,կաթիլ
108,Tropfen::N,pisara,կաթիլ
109,Schaum::N,vaahto,փրփուր
110,Schmutz::N,loka,կեղտ
111,See::N,järvi,լիճ
112,Sumpf::N,suo,ճահիճ
113,Moor::N,räme,ճահիճ
114,Wiese::N,niitty,մարգագետին
115,Wald::N,metsä,անտառ
116,Hügel::N,mäki,բլուր
117,Hügel::N,kumpu,բլուր
118,Hügel::N,kukkula,բլուր
119,Anhöhe::N,mäki,բարձունք
120,Anhöhe::N,kumpare,բարձունք
