,Concept_ID,be,ku
0,Auge::N,вока,çav
1,Ohr::N,вуха,guh
2,Nase::N,нос,bêvil
3,Mund::N,рот,dev
4,Zahn::N,зуб,didan
5,Zunge::N,язык,ziman
6,Lippe::N,губа,lêv
7,Wange::N,шчака,dêm
8,Wange::N,шчака,hinarik
9,Gesicht::N,твар,rû
10,Stirn::N,лоб,enî
11,Haar::N,волас,por
12,Haar::N,валасы,por
13,Schnurrbart::N,вус,simbêl
14,Schnurrbart::N,вусы,simbêl
15,Bart::N,барада,rih
16,Kinn::N,падбародак,zenî
17,Kiefer[Anatomie]::N,сківіца,arguşk
18,Kehle::N,горла,qirik
19,Hals::N,шыя,stû
20,Hals::N,шыя,qirik
21,Genick::N,патыліца,stû
22,Kopf::N,галава,serî
23,Rücken::N,спіна,pişt
24,Bauch::N,жывот,ûr
25,Bauch::N,жывот,zik
26,Nabel::N,пупок,navik
27,Busen::N,грудзі,sîng
28,Brust::N,грудзі,sîng
29,Schulter::N,плячо,mil
30,Arm::N,рука,çepil
31,Ellenbogen::N,локаць,enîşk
32,Hand::N,кісць,dest
33,Handfläche::N,далонь,kefadest
34,Finger::N,палец,tilî
35,Fingernagel::N,ногаць,neynuk
36,Nagel[Anatomie]::N,ногаць,bizmar
37,Zeh::N,палец,tilî linga
38,Fuß::N,нага,ling
39,Ferse::N,пята,pahnî
40,Ferse::N,пятка,pahnî
41,Knie::N,калена,kabok
42,Oberschenkel::N,бядро,rahn
43,Oberschenkel::N,сцягно,rahn
44,Bein::N,нага,çip
45,Körper::N,цела,laş
46,Körper::N,цела,gowde
47,Haut::N,скура,çerm
48,Blut::N,кроў,xwîn
49,Ader::N,вена,reh
50,Ader::N,сасуд,reh
51,Sehne::N,жыла,reh
52,Sehne::N,цеціва,reh
53,Sehne::N,сухажылле,reh
54,Knochen::N,косць,hestî
55,Gehirn::N,мозг,mêjî
56,Herz::N,сэрца,dil
57,Magen::N,страўнік,navêş
58,Leber::N,печань,kezeb
59,Atem::N,дыханне,hilm
60,Hunger::N,голад,birçîtî
61,Träne::N,сляза,hêstir
62,Geschmack::N,смак,tam
63,Geruch::N,пах,bêhn
64,Schlaf::N,сон,xew
65,Traum::N,сон,xewn
66,Himmel::N,неба,ezman
67,Sonne::N,сонца,roj
68,Mond::N,месяц,heyv
69,Stern::N,зорка,stêrk
70,Luft::N,паветра,ba
71,Wind::N,вецер,ba
72,Welle::N,хваля,şewl
73,Wasser::N,вада,av
74,Stein::N,камень,kevir
75,Boden::N,глеба,herd
76,Erde::N,зямля,ax
77,Staub::N,пыл,toz
78,Rauch::N,дым,dû
79,Funke::N,іскра,çirûşk
80,Feuer::N,агонь,agir
81,Licht::N,святло,ronahî
82,Schatten::N,цень,sî
83,Wetter::N,пагода,hewa
84,Wetter::N,надворʼе,hewa
