,Concept_ID,mrj,ba
0,Auge::N,сӹнзӓ,күҙ
1,Ohr::N,пӹлӹш,ҡолаҡ
2,Nase::N,нер,танау
3,Mund::N,ышма,ауыҙ
4,Zahn::N,пӱ,теш
5,Zunge::N,йӹлмӹ,тел
6,Lippe::N,тӹрвӹ,ирен
7,Wange::N,шӹргӹ,яцаҡтар
8,Gesicht::N,лицӓ,бит
9,Stirn::N,лепкӓ,маңлай
10,Haar::N,ӱп,сәс
11,Schnurrbart::N,öрш,мылтыҡ
12,Bart::N,пандаш,һаҡал
13,Kinn::N,онгылаш,эйэк
14,Kiefer[Anatomie]::N,пӱ арата,яңаҡ һөйәге
15,Kehle::N,логер,тамаҡ
16,Hals::N,шӱ,муйын
17,Genick::N,ланга,соңҡа
18,Kopf::N,вуй,баш
19,Rücken::N,туп,арҡа
20,Bauch::N,мӹшкӹр,ҡорһаҡ
21,Nabel::N,кӹлӹмдӹ,кендек
22,Busen::N,цӹзӹ,күкрәк
23,Brust::N,мел,түш
24,Schulter::N,ӹнгӹжӓ,яурын
25,Arm::N,кид,ҡул
26,Ellenbogen::N,кӹнервуй,терһәк
27,Hand::N,лапа,ҡул
28,Hand::N,лапа,ҡул суғы
29,Handfläche::N,кид лапа,ус төбө
30,Finger::N,парня,бармаҡ
31,Fingernagel::N,кӹч,тырнаҡ
32,Nagel[Anatomie]::N,кӹч,тырнаҡ
33,Zeh::N,парня,бармаҡ
34,Fuß::N,ял лапа,табан
35,Ferse::N,ялгавал,үксә
36,Ferse::N,ял кавал,үксә
37,Knie::N,пылвуй,тубыҡ
38,Oberschenkel::N,ӓрдӹ,сандыр
39,Bein::N,ял,аяҡ
40,Körper::N,монгыр,тән
41,Haut::N,кавашты,тире
42,Blut::N,вӹр,ҡан
43,Ader::N,вӹршӓр,тамыр
44,Sehne::N,кукшышӱн,һеңер
45,Sehne::N,кукшышӱн,тарамыш
46,Knochen::N,лу,һойәк
47,Gehirn::N,вим,мейе
48,Herz::N,шӱм,йорәк
49,Magen::N,шӱм,ашҡаҙан
50,Leber::N,мокш,бауыр
51,Atem::N,шӱлӹш,һулыш
52,Hunger::N,шужымаш,аслыҡ
53,Träne::N,сӹнзӓвӹд,күҙ иәше
54,Geschmack::N,тот,тәм
55,Geruch::N,пыш,еҫ
56,Schlaf::N,ом,йоҡлау
57,Traum::N,ом,төш
58,Himmel::N,пӹлгом,күк
59,Sonne::N,кечӹ,ҡояш
60,Mond::N,тӹлзӹ,ай
61,Stern::N,шӹдӹр,йондоҙ
62,Luft::N,юж,һауа
63,Luft::N,воздух,һауа
64,Wind::N,мардеж,ел
65,Welle::N,ко,тулҡын
