,Concept_ID,sl,ba
0,Auge::N,okó,күҙ
1,Ohr::N,uhó,ҡолаҡ
2,Nase::N,nós,танау
3,Mund::N,ústa,ауыҙ
4,Zahn::N,zób,теш
5,Zunge::N,jêzik,тел
6,Lippe::N,ústnica,ирен
7,Wange::N,líce,яцаҡтар
8,Gesicht::N,oblíčje,бит
9,Stirn::N,čêlo,маңлай
10,Haar::N,lás,сәс
11,Schnurrbart::N,bŕki,мылтыҡ
12,Bart::N,bráda,һаҡал
13,Kinn::N,bráda,эйэк
14,Kiefer[Anatomie]::N,čeljúst,яңаҡ һөйәге
15,Kehle::N,gŕlo,тамаҡ
16,Hals::N,vrát,муйын
17,Genick::N,zatílnik,соңҡа
18,Kopf::N,gláva,баш
19,Rücken::N,hrbèt,арҡа
20,Bauch::N,trébuh,ҡорһаҡ
21,Nabel::N,pópek,кендек
22,Busen::N,nédrja,күкрәк
23,Brust::N,pŕsi,түш
24,Schulter::N,ráma,яурын
25,Schulter::N,plêče,яурын
26,Arm::N,rôka,ҡул
27,Ellenbogen::N,komólec,терһәк
28,Hand::N,rôka,ҡул
29,Hand::N,rôka,ҡул суғы
30,Handfläche::N,dlán,ус төбө
31,Finger::N,pŕst,бармаҡ
32,Fingernagel::N,nóht na rôki,тырнаҡ
33,Nagel[Anatomie]::N,nóht,тырнаҡ
34,Zeh::N,pŕst na nôgi,бармаҡ
35,Fuß::N,nôga,табан
36,Ferse::N,pêta,үксә
37,Knie::N,koléno,тубыҡ
38,Oberschenkel::N,stêgno,сандыр
39,Bein::N,nôga,аяҡ
40,Körper::N,teló,тән
41,Haut::N,kóža,тире
42,Blut::N,krí,ҡан
43,Ader::N,žíla,тамыр
44,Sehne::N,kíta,һеңер
45,Sehne::N,kíta,тарамыш
46,Knochen::N,kóst,һойәк
47,Gehirn::N,možgáni,мейе
48,Herz::N,srcé,йорәк
49,Magen::N,želódec,ашҡаҙан
50,Leber::N,jétra,бауыр
51,Atem::N,díh,һулыш
52,Hunger::N,glád,аслыҡ
53,Träne::N,sólza,күҙ иәше
54,Geschmack::N,okús,тәм
55,Geruch::N,vónj,еҫ
56,Schlaf::N,sèn,йоҡлау
57,Schlaf::N,spánec,йоҡлау
58,Traum::N,sánje,төш
59,Himmel::N,nebó,күк
60,Sonne::N,sónce,ҡояш
61,Mond::N,lúna,ай
62,Mond::N,mésec,ай
63,Stern::N,zvézda,йондоҙ
