,Concept_ID,mdf,zh
0,Auge::N,сельме,眼睛
1,Ohr::N,пиле,耳朵
2,Nase::N,шалхка,鼻子
3,Mund::N,курга,嘴
4,Zahn::N,пей,牙齿
5,Zunge::N,кяль,舌头
6,Lippe::N,търва́,嘴唇
7,Wange::N,щёка,面颊
8,Gesicht::N,шама,脸
9,Stirn::N,коня,额
10,Haar::N,шя́ярь,头发
11,Schnurrbart::N,уса́,髭须
12,Bart::N,сакал,胡子
13,Kinn::N,ула,下巴
14,Kiefer[Anatomie]::N,саласка,颌
15,Kehle::N,кълдома,嗓子
16,Kehle::N,кърга́парь,嗓子
17,Hals::N,сялдаз,颈
18,Genick::N,шовонь,后颈
19,Kopf::N,пря,头
20,Rücken::N,копорь,背
21,Bauch::N,пеке,肚子
22,Nabel::N,по́кон,肚脐
23,Busen::N,потя,胸脯
24,Brust::N,мяште,胸
25,Schulter::N,лафту,肩膀
26,Arm::N,кядь,臂膀
27,Ellenbogen::N,кенерьба́карь,肘
28,Hand::N,кядь,手
29,Handfläche::N,кядьлапш,手掌
30,Finger::N,сур,手指
31,Fingernagel::N,кенже,指甲
32,Nagel[Anatomie]::N,кенже,指甲
33,Zeh::N,пильгосу́р,脚趾
34,Fuß::N,пильге,脚
35,Fuß::N,пильгелапа,脚
36,Ferse::N,кочкяря,后跟
37,Knie::N,эль,膝
38,Knie::N,пълма́нжа,膝
39,Oberschenkel::N,пильгепукша,大腿
40,Bein::N,пильге,腿
41,Körper::N,ро́нга,身体
42,Körper::N,по́нда,身体
43,Haut::N,киське,皮肤
44,Blut::N,вер,血
45,Ader::N,сан,血管
46,Ader::N,верза́н,血管
47,Sehne::N,коське сан,腱
48,Knochen::N,пакарь,骨
49,Gehirn::N,уй,脑
50,Herz::N,седи,心
51,Magen::N,коткърдазь,胃
52,Leber::N,макса,肝
53,Atem::N,лекома,呼吸
54,Atem::N,ваймонь тарксема,呼吸
55,Hunger::N,вачеши,饿
56,Träne::N,сельмове́дь,眼泪
57,Geschmack::N,таньф,味道
58,Geruch::N,шине,气味
59,Schlaf::N,удома́,睡眠
60,Traum::N,он,梦
61,Himmel::N,менель,天空
62,Sonne::N,ши,太阳
63,Mond::N,ков,月亮
64,Stern::N,тяште,星
65,Luft::N,кожф,空气
66,Wind::N,варма,风
67,Welle::N,тавла,波
68,Wasser::N,ведь,水
69,Stein::N,кев,石头
70,Boden::N,мода,地面
71,Boden::N,потмакс,地面
72,Erde::N,мода,地
73,Erde::N,мастор,地
74,Staub::N,пуль,灰尘
75,Rauch::N,качам,烟
76,Funke::N,ця́тка,火花
77,Feuer::N,тол,火
78,Licht::N,ва́лда,光
79,Schatten::N,цильф,影子
80,Wetter::N,уша,天气
81,Nebel::N,тума́н,雾
82,Wolke::N,ковол,云
83,Regen::N,пизем,雨
84,Schnee::N,лов,雪
85,Eis::N,эй,冰
86,Frost::N,ке́льме,霜冻
87,Kälte::N,якшама,寒冷
88,Hitze::N,пси,炎热
89,Raureif::N,леш,霜
90,Regenbogen::N,а́тямъёнга,虹
91,Donner::N,атям,雷
92,Strömung::N,шудема́,水流
93,Tropfen::N,путькс,滴
94,Tropfen::N,пътняфкс,滴
95,Schaum::N,шов,泡沫
96,Schmutz::N,ърда́з,赃物
97,See::N,эрьхке,湖
98,Sumpf::N,шяй,沼泽
99,Moor::N,шяй,沼泽
100,Wiese::N,луга,草地
101,Wald::N,вирь,森林
102,Hügel::N,губо́р,丘陵
103,Hügel::N,пандоня,丘陵
104,Anhöhe::N,губо́р,山丘
105,Berg::N,панда,山
106,Gipfel::N,пря,峰
107,Höhle::N,у́нда,洞穴
108,Abhang::N,па́нда ша́ма,斜坡
109,Quelle::N,эшиня,泉
110,Bach::N,шудерькс,溪
111,Fluss::N,ляй,河流
112,Ufer::N,търва́,岸
113,Küste::N,ляйтърва́,海岸
114,Festland::N,мода,大陆
115,Meer::N,моря,海
116,Bucht::N,ведьуське,海湾
117,Insel::N,цёнга,岛
118,Blume::N,панчф,花
119,Gras::N,тише,草
120,Wurzel::N,юр,根
121,Wurzel::N,ункс,根
122,Baum::N,шуфта,树
123,Stamm::N,ро́нга,树干
124,Rinde::N,кер,树皮
125,Ast::N,морга,树枝
126,Zweig::N,тарад,树枝
127,Blatt::N,лопа,叶子
128,Birke::N,ке́лу,桦木
