,Concept_ID,el,te
0,Auge::N,μάτι,కన్ను
1,Auge::N,οφθαλμός,కన్ను
2,Ohr::N,αυτί,చెవి
3,Nase::N,μύτη,ముక్కు
4,Mund::N,στόμα,నోరు
5,Zahn::N,δόντι,పల్లు
6,Zunge::N,γλώσσα,నాలుక
7,Lippe::N,χείλος,పెదవి
8,Wange::N,παρειά,చెంప
9,Wange::N,μάγουλο,చెంప
10,Gesicht::N,πρόσωπο,ముఖము
11,Stirn::N,μέτωπο,నుదురు
12,Haar::N,μαλλιά,వెండ్రుక
13,Schnurrbart::N,μουστάκι,మీసము
14,Bart::N,γένια,గడ్డము
15,Kinn::N,πιγούνι,గడ్డము
16,Kiefer[Anatomie]::N,σαγόνι,దౌడ
17,Kehle::N,λαρύγγι,గొంతు
18,Hals::N,λαιμός,మెడ
19,Genick::N,σβέρκος,మూపు
20,Kopf::N,κεφάλι,తల
21,Rücken::N,ράχη,వెన్ను
22,Bauch::N,κοιλιά,కడుపు
23,Nabel::N,αφαλός,బొడ్డు
24,Busen::N,στήθος,స్తనము
25,Brust::N,στήθος,ఱొమ్ము
26,Schulter::N,ώμος,భుజము
27,Arm::N,χέρι,చేయి
28,Arm::N,μπράτςο,చేయి
29,Ellenbogen::N,αγκώνας,మోచేయి
30,Hand::N,χέρι,చేయి
31,Handfläche::N,παλάμη,అరచేయు
32,Finger::N,δάχτυλο,చేతిప్రేలు
33,Fingernagel::N,νύχι,గోరు
34,Nagel[Anatomie]::N,νύχι,గోరు
35,Zeh::N,δάχτυλο του ποδιού,కాలిప్రేలు
36,Fuß::N,πόδι,అడుగు
37,Ferse::N,φτέρνα,మడమ
38,Knie::N,γόνατο,మోకాలు
39,Oberschenkel::N,μηρός,తొడ
40,Bein::N,πόδι,కాలు
41,Körper::N,σώμα,కాయము
42,Körper::N,κορμί,కాయము
43,Haut::N,πετσί,చర్మము
44,Blut::N,αίμα,రక్తము
45,Ader::N,φλέβα,సిర
46,Sehne::N,νεύρο,స్నాయువు
47,Sehne::N,τένοντας,స్నాయువు
48,Knochen::N,οστό,ఎముక
49,Knochen::N,κόκκαλο,ఎముక
50,Gehirn::N,μυαλό,మెదడు
51,Gehirn::N,εγκέφαλος,మెదడు
52,Herz::N,καρδιά,హృదయము
53,Magen::N,στομάχι,కడుపు
54,Leber::N,ήπαρ,కాలేయము
55,Leber::N,συκωτί,కాలేయము
56,Atem::N,αναπνοή,ఉపిరి
57,Hunger::N,πείνα,ఆకలి
58,Träne::N,δάκρυ,కన్నీటిచుక్క
59,Geschmack::N,γεύση,రుచి
60,Geruch::N,οσμή,వాసన
61,Geruch::N,μυρωδία,వాసన
62,Schlaf::N,ύπνος,నిద్ర
63,Traum::N,όνειρο,కల
64,Himmel::N,ουρανός,ఆకాశము
65,Sonne::N,ήλιος,సూర్యుడు
66,Mond::N,σελήνη,చంద్రుడు
67,Mond::N,φεγγάρι,చంద్రుడు
68,Stern::N,άστρο,నక్షత్రము
69,Stern::N,αστέρι,నక్షత్రము
70,Luft::N,αέρας,గాలి
71,Wind::N,αέρας,వీచుచున్నగాలి
72,Wind::N,άνεμος,వీచుచున్నగాలి
73,Welle::N,κύμα,అల
74,Wasser::N,νερό,నీరు
75,Stein::N,πέτρα,ఱాయి
76,Boden::N,χώμα,నేల
77,Erde::N,γη,మన్ను
78,Staub::N,σκόνη,దుమ్ము
79,Rauch::N,καπνός,పొగ
80,Funke::N,σπίθα,అగ్నికణము
81,Funke::N,σπινθήρας,అగ్నికణము
82,Feuer::N,φωτιά,అగ్ని
83,Licht::N,φως,కాంతి
84,Schatten::N,σκιά,నీడ
85,Schatten::N,ίσκιος,నీడ
86,Wetter::N,καιρός,వాతావరణ స్థితి
87,Nebel::N,ομίχλη,పొగమంచు
88,Wolke::N,σύννεφο,మేఘము
89,Regen::N,βροχή,వాన
90,Schnee::N,χιόνι,హిమము
91,Eis::N,πάγος,మంచుగడ్డ
92,Frost::N,παγωνία,పేరిన మంచు
93,Kälte::N,κρύο,చలి
94,Kälte::N,ψύχος,చలి
95,Hitze::N,ζέστη,వేడిమి
96,Raureif::N,πάχνη,మంచు
97,Regenbogen::N,ουράνιο τόξο,ఇంద్రధనుస్సు
98,Donner::N,βροντή,ఉరుము
99,Strömung::N,ρεύμα,ప్రవాహము
100,Tropfen::N,στάλα,చుక్క
101,Schaum::N,αφρός,నురుగు
102,Schmutz::N,βρωμιά,మైల
103,See::N,λίμνη,సరస్సు
104,Sumpf::N,βάλτος,చిత్తడినేల
105,Moor::N,έλος,చిత్తడినేల
106,Wiese::N,λιβάδι,పచ్చిక బయలు
107,Wald::N,δάσος,అడవి
108,Hügel::N,λόφος,చివ్నకొండ
109,Anhöhe::N,ύψωμα,కొండ
110,Berg::N,όρος,పర్వతము
111,Berg::N,βουνό,పర్వతము
112,Gipfel::N,κορυφή,శిఖరము
113,Höhle::N,σπηλιά,గుహ
114,Abhang::N,πλαγιά,ఏటవాలు
115,Quelle::N,πηγή,మూలము
116,Quelle::N,βρύση,మూలము
117,Bach::N,ρυάκι,కాలువ
118,Fluss::N,ποτάμι,నది
119,Fluss::N,ποταμός,నది
120,Ufer::N,όχθη,తీరము
121,Küste::N,ακτή,తీరము
122,Küste::N,ακρογιαλιά,తీరము
123,Festland::N,στεριά,భూమి
124,Meer::N,θάλασσα,సముద్రము
125,Bucht::N,κόλπος,మరుగు
126,Insel::N,νησί,దీవి
127,Insel::N,νήσος,దీవి
128,Blume::N,άνθος,పుష్పము
129,Blume::N,λουλούδι,పుష్పము
130,Gras::N,χόρτο,పచ్చగడ్డి
131,Gras::N,χορτάρι,పచ్చగడ్డి
132,Wurzel::N,ρίζα,వేరు
