,Concept_ID,sah,sah
0,Auge::N,харах,харах
1,Ohr::N,кулгаах,кулгаах
2,Nase::N,мурун,мурун
3,Mund::N,айах,айах
4,Zahn::N,тиис,тиис
5,Zunge::N,тыл,тыл
6,Lippe::N,уос,уос
7,Wange::N,иэдэс,иэдэс
8,Gesicht::N,сирэй,сирэй
9,Stirn::N,сүүс,сүүс
10,Haar::N,баттах,баттах
11,Schnurrbart::N,уос бытыга,уос бытыга
12,Bart::N,сэҥийэ бытыга,сэҥийэ бытыга
13,Kinn::N,сэҥийэ,сэҥийэ
14,Kiefer[Anatomie]::N,сыҥаах,сыҥаах
15,Kehle::N,тамах,тамах
16,Kehle::N,тамах,күөмэй
17,Kehle::N,күөмэй,тамах
18,Kehle::N,күөмэй,күөмэй
19,Hals::N,моой,моой
20,Genick::N,кэтэх,кэтэх
21,Kopf::N,бас,бас
22,Rücken::N,көҕүс,көҕүс
23,Bauch::N,ис,ис
24,Nabel::N,киин,киин
25,Busen::N,эмиий,эмиий
26,Brust::N,түөс,түөс
27,Schulter::N,сарын,сарын
28,Arm::N,илии,илии
29,Ellenbogen::N,тоҕонох,тоҕонох
30,Hand::N,илии,илии
31,Handfläche::N,ытыс,ытыс
32,Finger::N,тарбах,тарбах
33,Fingernagel::N,тыҥырах,тыҥырах
34,Nagel[Anatomie]::N,тыҥырах,тыҥырах
35,Zeh::N,тарбах,тарбах
36,Fuß::N,уллуҥах,уллуҥах
37,Ferse::N,тилэх,тилэх
38,Knie::N,тобук,тобук
39,Knie::N,тобук,дьилбэк
40,Knie::N,дьилбэк,тобук
41,Knie::N,дьилбэк,дьилбэк
42,Oberschenkel::N,уллук,уллук
43,Oberschenkel::N,уллук,өттүк
44,Oberschenkel::N,өттүк,уллук
45,Oberschenkel::N,өттүк,өттүк
46,Bein::N,атах,атах
47,Körper::N,бэйэ,бэйэ
48,Haut::N,тирии,тирии
49,Blut::N,хаан,хаан
50,Ader::N,вена,вена
51,Ader::N,вена,күөх_тымыр
52,Ader::N,күөх_тымыр,вена
53,Ader::N,күөх_тымыр,күөх_тымыр
54,Sehne::N,иҥиир,иҥиир
55,Knochen::N,уҥуох,уҥуох
56,Knochen::N,уҥуох,уҥгуох
57,Knochen::N,уҥгуох,уҥуох
58,Knochen::N,уҥгуох,уҥгуох
59,Gehirn::N,мэйии,мэйии
60,Herz::N,сүрэх,сүрэх
61,Magen::N,куртах,куртах
62,Leber::N,быар,быар
63,Atem::N,тыын,тыын
64,Hunger::N,аас,аас
65,Träne::N,харах уута,харах уута
66,Geschmack::N,амтан,амтан
67,Geruch::N,сыт,сыт
68,Schlaf::N,утуйуу,утуйуу
69,Traum::N,түүл,түүл
70,Himmel::N,халлаан,халлаан
71,Sonne::N,күн,күн
72,Mond::N,ый,ый
73,Stern::N,сулус,сулус
74,Luft::N,салгын,салгын
75,Wind::N,тыал,тыал
76,Welle::N,долгун,долгун
77,Welle::N,долгун,балхаан
78,Welle::N,балхаан,долгун
79,Welle::N,балхаан,балхаан
80,Wasser::N,уу,уу
81,Stein::N,таас,таас
82,Boden::N,сир,сир
83,Erde::N,буор,буор
84,Staub::N,быыл,быыл
85,Rauch::N,буруо,буруо
86,Funke::N,кыым,кыым
87,Feuer::N,уот,уот
88,Licht::N,уот,уот
89,Schatten::N,күлүк,күлүк
90,Wetter::N,күн-дьыл,күн-дьыл
91,Nebel::N,туман,туман
92,Wolke::N,былыт,былыт
93,Regen::N,самыыр,самыыр
94,Schnee::N,хаар,хаар
95,Eis::N,муус,муус
96,Frost::N,тымныы,тымныы
97,Kälte::N,тымныы,тымныы
98,Hitze::N,куйаас,куйаас
99,Raureif::N,кырыа,кырыа
100,Regenbogen::N,кустук,кустук
101,Donner::N,этиҥ,этиҥ
102,Strömung::N,сүүрүк,сүүрүк
103,Tropfen::N,таммах,таммах
104,Tropfen::N,таммах,хааппыла
