,Concept_ID,ady,av
0,Auge::N,нэ,
1,Ohr::N,тхьакӏу́м,гӏин
2,Nase::N,пэ,мегӏер
3,Mund::N,жэ,кӏал
4,Zahn::N,цэ,гӏус
5,Zunge::N,бзэгу,мацӏ
6,Lippe::N,ӏупшӏэ́,кӏветӏ
7,Wange::N,нэкӏу́шъу,гӏоно
8,Gesicht::N,нэ́гу,гьумер
9,Stirn::N,натӏэ́,нодо
10,Haar::N,шъхьацы́,рас
11,Bart::N,жакӏэ́,мегеж
12,Kinn::N,жэкӏэпэпкъ,нилъу
13,Kiefer[Anatomie]::N,жэпкъы́,чанагъ
14,Kehle::N,чый,щекъер
15,Hals::N,пшъэ,габур
16,Genick::N,шъхьэпхэтыку,гъванща
17,Kopf::N,шъхьэ́,бетӏер
18,Rücken::N,кӏыбы́,мугъ
19,Bauch::N,ныбэ́,чехь
20,Busen::N,бгъэ́,керен
21,Brust::N,бгъэ́,керен
22,Schulter::N,блыпкъ,гъажазубетӏер
23,Arm::N,ӏэ,гъеж
24,Ellenbogen::N,ӏэнтэ́гъу,гӏункӏрукь
25,Hand::N,ӏэтхьэцу,квер
26,Handfläche::N,ӏэ́гу,огъохъат
27,Handfläche::N,ӏэ́гу,жанисахъат
28,Finger::N,ӏэхъуа́мб,килищ
29,Fingernagel::N,ӏэбжъа́н,малъ
30,Nagel[Anatomie]::N,ӏэбжъа́н,малъ
31,Zeh::N,ӏэхъуа́мб,килищ
32,Fuß::N,лъэгу,хӏетӏ
33,Fuß::N,лъэгу,хӏетӏе
34,Ferse::N,лъэдакъэ,эгъе
35,Knie::N,лъагуа́ндж,наку
36,Oberschenkel::N,ко,мачӏ
37,Bein::N,лъакъо́,бох
38,Körper::N,пкъышъол,къаркъала
39,Haut::N,кӏы́шъу,тӏом
40,Blut::N,лъы,би
41,Ader::N,льытф,бидурихь
42,Sehne::N,фэ,
43,Knochen::N,къупшъхьэ́,ракьа
44,Gehirn::N,куцӏы,гӏадалнах
45,Herz::N,гу,ракӏ
46,Magen::N,мышкӏу,кванирукъ
47,Leber::N,шӏу,тӏул
48,Atem::N,къэщэныр,хӏухь
49,Hunger::N,гъаблэ́,ракъи
50,Träne::N,нэпсы,магӏу
51,Geschmack::N,ӏэшӏугъа́кӏ,тату
52,Geruch::N,мэ,махӏ
53,Schlaf::N,пчыхьы́пӏ,макьу
54,Traum::N,пчыхьы́пӏ,макьу
55,Himmel::N,уашъо́,зоб
56,Sonne::N,тыгъэ,бакъ
57,Mond::N,мазэ,моцӏ
58,Stern::N,жъуагъо́,цӏва
59,Luft::N,жьы,гьава
60,Wind::N,жьыбгъэ́,гьури
61,Welle::N,ор,карачел
62,Welle::N,оры,карачел
63,Wasser::N,псы,лъим
64,Stein::N,мыжъо́,гьецӏо
65,Boden::N,чӏ́ыгу,ракь
66,Erde::N,чӏ́ыгу,ракь
67,Erde::N,чӏ́ыгу,дуниял
68,Staub::N,сап,хӏур
69,Rauch::N,ӏугъо́,кӏкӏуй
70,Funke::N,мэшӏуа́ч,
71,Feuer::N,машӏо́,цӏа
72,Licht::N,нэфы,канлъи
73,Licht::N,нэфын,канлъи
74,Schatten::N,жьау́,рагӏад
75,Schatten::N,ныбжьыкъу,рагӏад
76,Nebel::N,пща́гъу,гӏодобнакӏкӏ
77,Wolke::N,ошъуапщэ,накӏкӏ
78,Regen::N,ощхы,цӏад
79,Schnee::N,осы́,гӏазу
80,Eis::N,мылы,цӏер
81,Kälte::N,чъыӏэ́,квач
82,Hitze::N,фэба́е,багӏари
83,Regenbogen::N, лэгъупэкъо́пс,нур
84,Regenbogen::N, лэгъупэкъо́пс,чамбара
85,Donner::N,шыблэ́,гъугъай
86,Donner::N,шыблэ́,гъугъади
87,Strömung::N,ток,чвахи
88,Tropfen::N,ткӏопс,резел
89,Tropfen::N,ткӏопс,тӏинкӏ
90,Tropfen::N,ткӏопс,къатӏра
91,Tropfen::N,ткӏопс,тӏенкӏел
92,Tropfen::N,гъуаткӏу,резел
93,Tropfen::N,гъуаткӏу,тӏинкӏ
94,Tropfen::N,гъуаткӏу,къатӏра
95,Tropfen::N,гъуаткӏу,тӏенкӏел
96,Schaum::N,тхъурбэ,полоп
97,Schmutz::N,псынжъы,чороклъи
98,See::N,хыку́м,хӏор
99,See::N,псыхъура́й,хӏор
100,Sumpf::N,орыжъ,хьуцӏ
101,Moor::N,орыжъ,
102,Wiese::N,хъупӏэ́,мегъ
103,Wiese::N,хъупӏэ́,гӏурдаллъи
104,Wiese::N,мэкъупӏ,мегъ
105,Wiese::N,мэкъупӏ,гӏурдаллъи
106,Wald::N,мэзы́,рохь
107,Hügel::N,ӏуашъхь,гохӏ
108,Anhöhe::N,чӏыӏэтыгъ,сийитма
109,Berg::N,къушъхьэ́,мегӏер
110,Gipfel::N,шыгу,тӏогь
111,Höhle::N,гъочӏэгъ,нохъо
112,Abhang::N,чапэ,лабаллъи
113,Quelle::N,псынэчэ́чъ,ицц
