,Concept_ID,os,az
0,Auge::N,цӕст,göz
1,Ohr::N,хъус,qulaq
2,Nase::N,фындз,burun
3,Mund::N,дзых,ağız
4,Zahn::N,дӕндаг,diş
5,Zunge::N,ӕвзаг,dil
6,Lippe::N,был,dodaq
7,Wange::N,рус,yanaq
8,Wange::N,уадул,yanaq
9,Wange::N,ӕхсӕрфарс,yanaq
10,Gesicht::N,цӕсгом,üz
11,Stirn::N,ных,alın
12,Haar::N,хил,saç
13,Schnurrbart::N,рихи,bığ
14,Bart::N,зачъе,saqqal
15,Kinn::N,роцъо,çənə
16,Kiefer[Anatomie]::N,ӕфсӕр,çənə
17,Kehle::N,хъуыр,boğaz
18,Hals::N,къубал,boyun
19,Genick::N,къӕбут,ənsə
20,Kopf::N,сӕр,baş
21,Rücken::N,фӕсонтӕ,bel
22,Bauch::N,гуыбын,qarın
23,Nabel::N,бикъ,göbək
24,Busen::N,дзидзи,məmə
25,Brust::N,риу,döş
26,Schulter::N,уӕхск,çiyin
27,Arm::N,цонг,qol
28,Ellenbogen::N,рæмбын,dirsək
29,Hand::N,къух,əl
30,Handfläche::N,армытъӕпӕн,ovuc
31,Finger::N,ӕнруылдз,barmaq
32,Fingernagel::N,ных,barmaq dırnağı
33,Nagel[Anatomie]::N,ных,dırnak
34,Zeh::N,къух,ayaq barmağı
35,Fuß::N,фад,ayaq
36,Ferse::N,зӕвӕт,daban
37,Knie::N,уӕраг,diz
38,Oberschenkel::N,агъд,bud
39,Bein::N,зӕнг,qıç
40,Körper::N,буар,əndam
41,Haut::N,царм,dəri
42,Blut::N,туг,qan
43,Ader::N,дадзин,damar
44,Ader::N,тугдадзин,damar
45,Sehne::N,хъиутæ,vətər
46,Sehne::N,нуар,vətər
47,Knochen::N,стӕг,sümük
48,Gehirn::N,магъз,beyin
49,Herz::N,зӕрдӕ,ürək
50,Magen::N,ахсӕн,mədə
51,Leber::N,игæр,qara ciyər
52,Atem::N,улӕфт,nəfəs
53,Hunger::N,стонг,aclıq
54,Träne::N,цæссыг,göz yaşı
55,Geschmack::N,ад,tam
56,Geschmack::N,ад,ləzzət
57,Geruch::N,смаг,qoxu
58,Schlaf::N,хуыссӕг,yuxu
59,Traum::N,фын,röya
60,Himmel::N,арв,göy
61,Himmel::N,арв,səma
62,Himmel::N,уӕларв,göy
63,Himmel::N,уӕларв,səma
64,Sonne::N,хур,günəş
65,Mond::N,мӕй,ay
66,Stern::N,стъалы,ulduz
67,Luft::N,уӕлдӕф,hava
68,Wind::N,дымгӕ,yel
69,Wind::N,дымгӕ,külək
70,Welle::N,уылӕн,dalğa
71,Wasser::N,дон,su
72,Stein::N,дур,daş
73,Boden::N,зӕхх,yer
74,Boden::N,зӕхх,zəmin
75,Erde::N,сыджыт,yer torpaq
76,Staub::N,рыг,toz
77,Rauch::N,фӕздӕг,tüstü
78,Funke::N,цӕхӕр,qığılcım
79,Feuer::N,зынг,od
80,Licht::N,рухс,işıq
81,Schatten::N,аууон,kölgə
82,Wetter::N,боныхъӕд,hava
83,Nebel::N,мигъ,duman
84,Wolke::N,ӕврагъ,bulud
85,Regen::N,уарын,yağış
