,Concept_ID,kv,hu
0,Auge::N,син,szem
1,Ohr::N,пель,fül
2,Nase::N,ныр,orr
3,Mund::N,ӧм,száj
4,Zahn::N,пинь,fog
5,Zunge::N,кыв,nyelv
6,Lippe::N,тырп,ajak
7,Wange::N,рожабан,orca
8,Gesicht::N,бан,arc
9,Stirn::N,кымӧс,homlok
10,Haar::N,юрси,haj
11,Schnurrbart::N,уссэз,bajusz
12,Bart::N,тош,szakáll
13,Kinn::N,тшӧка,áll
14,Kiefer[Anatomie]::N,ан,állkapocs
15,Kehle::N,юан,gége
16,Kehle::N,юан,torok
17,Hals::N,юан,nyak
18,Genick::N,юр бӧр,tarkó
19,Kopf::N,юр,fő
20,Kopf::N,юр,fej
21,Rücken::N,мышк,hát
22,Bauch::N,кынӧм,has
23,Nabel::N,гӧг,köldök
24,Busen::N,морос,mell
25,Busen::N,морос,kebel
26,Brust::N,морос,mell
27,Schulter::N,пельпон,váll
28,Arm::N,ки,kar
29,Ellenbogen::N,гырдзза,könyök
30,Hand::N,кикар,kéz
31,Handfläche::N,ки пыдӧс,tenyér
32,Finger::N,чунь,ujj
33,Fingernagel::N,гыж,köröm
34,Nagel[Anatomie]::N,гыж,köröm
35,Zeh::N,чунь,lábujj
36,Fuß::N,кокпыдӧс,láb
37,Ferse::N,кокдзир,sarok
38,Knie::N,пидзӧс,térd
39,Oberschenkel::N,лядьбей,comb
40,Bein::N,кок,láb
41,Bein::N,кок,lábszár
42,Körper::N,вывтыр,test
43,Haut::N,кучик,bőr
44,Blut::N,вир,vér
45,Ader::N,сӧн,ér
46,Sehne::N,жила,ín
47,Knochen::N,коска,csont
48,Gehirn::N,вем,agy
49,Gehirn::N,вем,agyvelő
50,Herz::N,сьӧлӧм,szív
51,Magen::N,жӧвдӧк,gyomor
52,Leber::N,мус,máj
53,Atem::N,лолалӧм,lehelet
54,Atem::N,лолалӧм,lélegzet
55,Hunger::N,тшыг,éhség
56,Träne::N,синва,könny
57,Geschmack::N,кӧр,íz
58,Geruch::N,дук,szag
59,Schlaf::N,он,álom
60,Schlaf::N,он,alvás
61,Traum::N,вӧт,álom
62,Himmel::N,небо,ég
63,Himmel::N,небо,menny
64,Sonne::N,шондi,nap
65,Mond::N,тӧлiсь,hold
66,Stern::N,кӧдзыв,csillag
67,Luft::N,ру,levegő
68,Wind::N,тӧв,szél
69,Welle::N,гы,hullám
70,Wasser::N,ва,víz
71,Stein::N,из,kő
72,Boden::N,му,föld
73,Boden::N,му,talaj
74,Erde::N,му,föld
75,Staub::N,бус,por
76,Rauch::N,тшын,füst
77,Funke::N,бичир,szikra
78,Feuer::N,би,tűz
79,Licht::N,би,fény
80,Schatten::N,вуджӧр,árnyék
81,Wetter::N,погоддя,idő
82,Wetter::N,погоддя,időjárás
83,Nebel::N,туман,köd
84,Wolke::N,кымӧр,felhő
85,Regen::N,зэр,eső
86,Schnee::N,лым,hó
87,Eis::N,йы,jég
88,Frost::N,мороз,fagy
89,Kälte::N,кӧдзыт,hideg
90,Hitze::N,ӧд,hő
91,Hitze::N,ӧд,hőség
92,Raureif::N,кижа,zúzmara
93,Regenbogen::N,енӧшка,szivárvány
94,Donner::N,гым,dörgés
95,Donner::N,гым,mennydörgés
96,Strömung::N,визывтӧм,áramlat
97,Tropfen::N,тёп,csepp
98,Schaum::N,быг,hab
99,Schaum::N,быг,tajték
100,Schmutz::N,нять,piszok
101,See::N,ты,tó
102,Sumpf::N,арай,mocsár
103,Moor::N,нюр,láp
104,Wiese::N,видз,rét
105,Wiese::N,видз,mező
106,Wald::N,вӧр,erdő
107,Hügel::N,мыльк,domb
108,Anhöhe::N,вывтас,magaslat
109,Anhöhe::N,вылынін,magaslat
110,Berg::N,керӧс,hegy
111,Gipfel::N,йыв,csúcs
112,Höhle::N,нора,barlang
113,Abhang::N,покат,lejtő
114,Quelle::N,больган,forrás
115,Bach::N,шор,patak
116,Fluss::N,ю,folyó
117,Ufer::N,берег,part
118,Küste::N,берег,tengerpart
119,Festland::N,му,szárazföld
120,Meer::N,море,tenger
121,Bucht::N,курья,öböl
122,Blume::N,цветок,virág
123,Gras::N,турун,fű
124,Wurzel::N,вуж,gyökér
125,Baum::N,пу,fa
126,Stamm::N,мыр,tő
127,Stamm::N,мыр,törzs
128,Stamm::N,кер,tő
129,Stamm::N,кер,törzs
130,Rinde::N,кач,kéreg
131,Ast::N,ув,ág
132,Zweig::N,ув,gally
133,Blatt::N,лист,levél
134,Birke::N,кыдз,nyír
135,Kiefer[Baum]::N,пожум,fenyő
136,Weide[Baum]::N,бадь,fűz
137,Tanne::N,кӧз,fenyő
138,Horn::N,сюр,szarv
139,Feder::N,гӧн,toll
140,Fell::N,кучик,szőr
141,Fell::N,кучик,bunda
142,Flügel::N,борд,szárny
143,Klaue::N,гыж,köröm
144,Kralle::N,кабыр,karom
145,Schwanz::N,бӧж,farok
146,Ei::N,кольть,tojás
147,Nest::N,поз,fészek
148,Bau::N,осьта,odú
149,Bau::N,нора,odú
150,Tier::N,зверь,állat
151,Herde::N,гурт,nyáj
152,Herde::N,гурт,csorda
153,Kuh::N,мӧс,tehén
154,Bulle::N,ӧшка,bika
155,Pferd::N,вӧв,ló
156,Schaf::N,баля,juh
157,Schaf::N,баля,birka
158,Schwein::N,порсь,sertés
159,Hund::N,пон,eb
160,Hund::N,пон,kutya
161,Katze::N,кань,macska
162,Bär::N,ош,medve
163,Eichhörnchen::N,ур,mókus
164,Elch::N,вӧр мӧс,jávorszarvas
165,Fuchs::N,руч,róka
166,Hase::N,кӧч,nyúl
167,Maus::N,шыр,egér
168,Wolf::N,кӧин,farkas
169,Vogel::N,кай,madár
170,Schwarm::N,стая,raj
