,Concept_ID,ku,hi
0,Auge::N,çav,आँख
1,Auge::N,çav,चक्षु
2,Ohr::N,guh,कान
3,Ohr::N,guh,कर्ण
4,Nase::N,bêvil,नाक
5,Nase::N,bêvil,नासा
6,Mund::N,dev,मुख
7,Mund::N,dev,मुँह
8,Zahn::N,didan,दंत
9,Zahn::N,didan,दाँत
10,Zunge::N,ziman,जीभ
11,Zunge::N,ziman,ज़बान
12,Zunge::N,ziman,जिह्वा
13,Lippe::N,lêv,ओंठ
14,Lippe::N,lêv,होंठ
15,Wange::N,dêm,गाल
16,Wange::N,dêm,कपोल
17,Wange::N,hinarik,गाल
18,Wange::N,hinarik,कपोल
19,Gesicht::N,rû,मुँह
20,Gesicht::N,rû,चेहरा
21,Stirn::N,enî,माथा
22,Stirn::N,enî,मस्तक
23,Haar::N,por,बाल
24,Schnurrbart::N,simbêl,मूँछें
25,Bart::N,rih,दाढ़ी
26,Kinn::N,zenî,चिबुक
27,Kiefer[Anatomie]::N,arguşk,जबड़ा
28,Kehle::N,qirik,गला
29,Hals::N,stû,गला
30,Hals::N,stû,गरदन
31,Hals::N,qirik,गला
32,Hals::N,qirik,गरदन
33,Genick::N,stû,गरदन
34,Genick::N,stû,ग्रीवा
35,Kopf::N,serî,सिर
36,Kopf::N,serî,शीर्ष
37,Rücken::N,pişt,पीठ
38,Bauch::N,ûr,उदर
39,Bauch::N,zik,उदर
40,Nabel::N,navik,नाभि
41,Nabel::N,navik,ढोंढी
42,Busen::N,sîng,कुच
43,Busen::N,sîng,स्तन
44,Brust::N,sîng,वक्ष
45,Schulter::N,mil,कंधा
46,Schulter::N,mil,स्कंध
47,Arm::N,çepil,बाँह
48,Arm::N,çepil,बाज़ू
49,Ellenbogen::N,enîşk,कुहनी
50,Hand::N,dest,हाथ
51,Hand::N,dest,हस्त
52,Handfläche::N,kefadest,हथेली
53,Finger::N,tilî,उँगली
54,Finger::N,tilî,अँगुली
55,Fingernagel::N,neynuk,नख
56,Fingernagel::N,neynuk,नाख़ून
57,Nagel[Anatomie]::N,bizmar,नख
58,Nagel[Anatomie]::N,bizmar,नाख़ून
59,Zeh::N,tilî linga,उँगली
60,Zeh::N,tilî linga,पाँव की उँगली
61,Fuß::N,ling,चरण
62,Fuß::N,ling,पाँव
63,Ferse::N,pahnî,एड़ी
64,Knie::N,kabok,जानु
65,Knie::N,kabok,घुटना
66,Oberschenkel::N,rahn,उरु
67,Bein::N,çip,टाँग
68,Körper::N,laş,तन
69,Körper::N,laş,देह
70,Körper::N,laş,शरीर
71,Körper::N,gowde,तन
72,Körper::N,gowde,देह
73,Körper::N,gowde,शरीर
74,Haut::N,çerm,चर्म
75,Haut::N,çerm,त्वचा
76,Blut::N,xwîn,लहू
77,Blut::N,xwîn,ख़ून
78,Ader::N,reh,रग
79,Ader::N,reh,शिरा
80,Sehne::N,reh,कंडरा
81,Sehne::N,reh,स्नायु
82,Knochen::N,hestî,अस्थि
83,Gehirn::N,mêjî,दिमाग़
84,Gehirn::N,mêjî,मस्तिष्क
