,Concept_ID,ko,sv
0,Auge::N,눈,öga
1,Ohr::N,귀,öra
2,Nase::N,코,näsa
3,Mund::N,입,mun
4,Zahn::N,이,tand
5,Zunge::N,혀,tunga
6,Lippe::N,입술,läpp
7,Wange::N,뺨,kind
8,Gesicht::N,얼굴,syn
9,Gesicht::N,얼굴,ansikte
10,Stirn::N,이마,panna
11,Haar::N,털,hår
12,Schnurrbart::N,윗수몀,mustasch
13,Schnurrbart::N,코밑수염,mustasch
14,Bart::N,수엄,skägg
15,Kinn::N,아래턱,haka
16,Kiefer[Anatomie]::N,턱,käke
17,Kehle::N,인후,strupe
18,Hals::N,목,hals
19,Genick::N,먹덜이,nacke
20,Kopf::N,머리,huvud
21,Rücken::N,든,rygg
22,Bauch::N,배,buk
23,Bauch::N,배,mage
24,Nabel::N,배꼽,navel
25,Busen::N,가슴속,barm
26,Brust::N,가슴,bröst
27,Schulter::N,어깨,skuldra
28,Arm::N,팔,arm
29,Ellenbogen::N,팔쿰치,armbåge
30,Hand::N,손,hand
31,Handfläche::N,손바닥,handflata
32,Finger::N,속가락,finger
33,Fingernagel::N,손톱,fingernagel
34,Nagel[Anatomie]::N,손톱,nagel
35,Zeh::N,발가락,tå
36,Fuß::N,발,fot
37,Ferse::N,발꿈치,häl
38,Knie::N,무릎,knä
39,Oberschenkel::N,허벅다리,lår
40,Bein::N,다리,ben
41,Körper::N,구간,kropp
42,Haut::N,살갗,hud
43,Haut::N,살갗,skinn
44,Blut::N,피,blod
45,Ader::N,정맥,åder
46,Sehne::N,현,sena
47,Knochen::N,뼈,ben
48,Gehirn::N,뇌,hjärna
49,Gehirn::N,뇌수,hjärna
50,Herz::N,염통,hjärta
51,Magen::N,위,mage
52,Leber::N,간,lever
53,Atem::N,기식,anda
54,Atem::N,기식,andedräkt
55,Hunger::N,공복,svält
56,Hunger::N,공복,hunger
57,Träne::N,눈물,tår
58,Geschmack::N,기호,smak
59,Geruch::N,냄새,lukt
60,Schlaf::N,수면,sömn
61,Traum::N,쿰,dröm
62,Himmel::N,하늘,himmel
63,Sonne::N,해,sol
64,Mond::N,달,måne
65,Stern::N,별,stjärna
66,Luft::N,동준,luft
67,Luft::N,가스채,luft
68,Wind::N,바람,vind
69,Welle::N,물결,våg
70,Welle::N,물결,bölja
71,Wasser::N,물,vatten
72,Stein::N,돌,sten
73,Boden::N,바닥,mark
74,Erde::N,흙,jord
75,Staub::N,먼지,damm
76,Rauch::N,연기,rök
77,Funke::N,불티,gnista
78,Feuer::N,불,eld
79,Licht::N,불,ljus
80,Schatten::N,어스레함,skugga
81,Wetter::N,기상,väder
82,Nebel::N,안개,dimma
83,Nebel::N,안개,töcken
84,Wolke::N,구름,sky
85,Wolke::N,구름,moln
86,Regen::N,비,regn
87,Schnee::N,눈,snö
88,Eis::N,얼음,is
89,Frost::N,혹한,frost
90,Kälte::N,추위,köld
91,Kälte::N,차가움,köld
92,Hitze::N,고온,hetta
93,Hitze::N,더위,hetta
94,Regenbogen::N,무지개,regnbåge
95,Donner::N,뇌명,åska
96,Donner::N,뇌명,dunder
97,Strömung::N,유동,strömning
98,Tropfen::N,물방울,dropper
99,Schaum::N,포말,skum
100,Schmutz::N,때,lort
101,Schmutz::N,때,smuts
102,See::N,호수,sjö
103,Sumpf::N,습지,träsk
104,Moor::N,저습지,myr
105,Moor::N,저습지,mosse
106,Wiese::N,목초지,äng
107,Wald::N,숲,skog
108,Hügel::N,언덕,höjd
109,Hügel::N,언덕,kulle
110,Anhöhe::N,언덕,höjd
111,Anhöhe::N,언덕,backe
112,Berg::N,산,berg
113,Berg::N,산,fjäll
114,Gipfel::N,졀졍,topp
115,Höhle::N,공동,håla
116,Höhle::N,공동,grotta
117,Abhang::N,몰매,slänt
118,Abhang::N,몰매,sluttning
119,Quelle::N,근원,källa
120,Bach::N,내,bäck
121,Fluss::N,강,älv
122,Fluss::N,강,flod
123,Ufer::N,강변,strand
124,Ufer::N,바닷가,strand
125,Küste::N,해변,kust
126,Küste::N,해변가,kust
127,Festland::N,본토,fastland
128,Meer::N,바다,hav
129,Bucht::N,협만,vik
130,Bucht::N,협만,bukt
131,Insel::N,섬,ö
132,Blume::N,꽃,blomma
133,Blume::N,꽃,blomster
134,Gras::N,풀,gräs
135,Wurzel::N,뿌리,rot
136,Baum::N,나무,träd
137,Stamm::N,대,stam
138,Rinde::N,나무껍질,bark
139,Ast::N,가지,gren
140,Zweig::N,가지,kvist
141,Blatt::N,잎,löv
142,Blatt::N,잎,blad
143,Birke::N,자작나무,björk
144,Kiefer[Baum]::N,소나무,tall
145,Weide[Baum]::N,쉬양버들,pil
146,Weide[Baum]::N,쉬양버들,vide
147,Tanne::N,전나무,gran
148,Horn::N,뿔,horn
149,Feder::N,깃털,fjäder
150,Fell::N,피혁모피,fäll
151,Fell::N,피혁모피,skinn
152,Flügel::N,날개,vinge
153,Klaue::N,갈고리 발톺,klöv
154,Kralle::N,발툭,klo
155,Schwanz::N,꼬리,svans
156,Schwanz::N,꼬리,stjärt
157,Ei::N,알,ägg
158,Nest::N,보금자리,rede
159,Nest::N,보금자리,näste
160,Bau::N,굴,bo
161,Tier::N,짐승,djur
162,Herde::N,가축의떼,flock
163,Kuh::N,암소,ko
164,Bulle::N,황소,tjur
165,Pferd::N,말,häst
166,Schaf::N,양,får
167,Schwein::N,돼지,svin
168,Hund::N,개,hund
169,Katze::N,고양이,katt
170,Bär::N,콤,björn
171,Eichhörnchen::N,다람쥐,ekorre
172,Elch::N,고라니,älg
173,Fuchs::N,여우,räv
174,Hase::N,토끼,hare
