,Concept_ID,de,zh
0,Auge::N,Auge,眼睛
1,Ohr::N,Ohr,耳朵
2,Nase::N,Nase,鼻子
3,Mund::N,Mund,嘴
4,Zahn::N,Zahn,牙齿
5,Zunge::N,Zunge,舌头
6,Lippe::N,Lippe,嘴唇
7,Wange::N,Wange,面颊
8,Gesicht::N,Gesicht,脸
9,Stirn::N,Stirn,额
10,Haar::N,Haar,头发
11,Schnurrbart::N,Schnurrbart,髭须
12,Bart::N,Bart,胡子
13,Kinn::N,Kinn,下巴
14,Kiefer[Anatomie]::N,Kiefer,颌
15,Kehle::N,Kehle,嗓子
16,Hals::N,Hals,颈
17,Genick::N,Genick,后颈
18,Kopf::N,Kopf,头
19,Rücken::N,Rücken,背
20,Bauch::N,Bauch,肚子
21,Nabel::N,Nabel,肚脐
22,Busen::N,Busen,胸脯
23,Brust::N,Brust,胸
24,Schulter::N,Schulter,肩膀
25,Arm::N,Arm,臂膀
26,Ellenbogen::N,Ellenbogen,肘
27,Hand::N,Hand,手
28,Handfläche::N,Handfläche,手掌
29,Finger::N,Finger,手指
30,Fingernagel::N,Fingernagel,指甲
31,Nagel[Anatomie]::N,Nagel,指甲
32,Zeh::N,Zeh,脚趾
33,Fuß::N,Fuß,脚
34,Ferse::N,Ferse,后跟
35,Knie::N,Knie,膝
36,Oberschenkel::N,Oberschenkel,大腿
37,Bein::N,Bein,腿
38,Körper::N,Körper,身体
39,Haut::N,Haut,皮肤
40,Blut::N,Blut,血
41,Ader::N,Ader,血管
42,Sehne::N,Sehne,腱
43,Knochen::N,Knochen,骨
44,Gehirn::N,Gehirn,脑
45,Herz::N,Herz,心
46,Magen::N,Magen,胃
47,Leber::N,Leber,肝
48,Atem::N,Atem,呼吸
49,Hunger::N,Hunger,饿
50,Träne::N,Träne,眼泪
51,Geschmack::N,Geschmack,味道
52,Geruch::N,Geruch,气味
53,Schlaf::N,Schlaf,睡眠
54,Traum::N,Traum,梦
55,Himmel::N,Himmel,天空
56,Sonne::N,Sonne,太阳
57,Mond::N,Mond,月亮
58,Stern::N,Stern,星
59,Luft::N,Luft,空气
60,Wind::N,Wind,风
61,Welle::N,Welle,波
62,Wasser::N,Wasser,水
63,Stein::N,Stein,石头
64,Boden::N,Boden,地面
65,Erde::N,Erde,地
66,Staub::N,Staub,灰尘
67,Rauch::N,Rauch,烟
68,Funke::N,Funke,火花
69,Feuer::N,Feuer,火
70,Licht::N,Licht,光
71,Schatten::N,Schatten,影子
72,Wetter::N,Wetter,天气
73,Nebel::N,Nebel,雾
74,Wolke::N,Wolke,云
75,Regen::N,Regen,雨
76,Schnee::N,Schnee,雪
77,Eis::N,Eis,冰
78,Frost::N,Frost,霜冻
79,Kälte::N,Kälte,寒冷
80,Hitze::N,Hitze,炎热
81,Raureif::N,Raureif,霜
82,Regenbogen::N,Regenbogen,虹
83,Donner::N,Donner,雷
84,Strömung::N,Strömung,水流
85,Tropfen::N,Tropfen,滴
86,Schaum::N,Schaum,泡沫
87,Schmutz::N,Schmutz,赃物
88,See::N,See,湖
89,Sumpf::N,Sumpf,沼泽
90,Moor::N,Moor,沼泽
91,Wiese::N,Wiese,草地
92,Wald::N,Wald,森林
93,Hügel::N,Hügel,丘陵
94,Anhöhe::N,Anhöhe,山丘
95,Berg::N,Berg,山
96,Gipfel::N,Gipfel,峰
97,Höhle::N,Höhle,洞穴
98,Abhang::N,Abhang,斜坡
99,Quelle::N,Quelle,泉
100,Bach::N,Bach,溪
101,Fluss::N,Fluss,河流
102,Ufer::N,Ufer,岸
103,Küste::N,Küste,海岸
104,Festland::N,Festland,大陆
105,Meer::N,Meer,海
106,Bucht::N,Bucht,海湾
107,Insel::N,Insel,岛
108,Blume::N,Blume,花
109,Gras::N,Gras,草
110,Wurzel::N,Wurzel,根
111,Baum::N,Baum,树
112,Stamm::N,Stamm,树干
113,Rinde::N,Rinde,树皮
114,Ast::N,Ast,树枝
115,Zweig::N,Zweig,树枝
116,Blatt::N,Blatt,叶子
117,Birke::N,Birke,桦木
118,Kiefer[Baum]::N,Kiefer,松树
119,Weide[Baum]::N,Weide,柳树
120,Tanne::N,Tanne,冷杉
121,Horn::N,Horn,角
122,Feder::N,Feder,羽毛
123,Fell::N,Fell,皮毛
124,Flügel::N,Flügel,翅膀
125,Klaue::N,Klaue,爪子
126,Kralle::N,Kralle,爪子
127,Schwanz::N,Schwanz,尾巴
128,Ei::N,Ei,蛋
129,Nest::N,Nest,巢
130,Bau::N,Bau,穴
131,Tier::N,Tier,动物
132,Herde::N,Herde,群
133,Kuh::N,Kuh,母牛
134,Bulle::N,Bulle,公牛
135,Pferd::N,Pferd,马
136,Schaf::N,Schaf,羊
137,Schwein::N,Schwein,猪
138,Hund::N,Hund,狗
139,Katze::N,Katze,猫
140,Bär::N,Bär,熊
141,Eichhörnchen::N,Eichhörnchen,松鼠
142,Elch::N,Elch,麋鹿
143,Fuchs::N,Fuchs,狐狸
144,Hase::N,Hase,兔子
145,Maus::N,Maus,老鼠
146,Wolf::N,Wolf,狼
147,Vogel::N,Vogel,鸟
148,Schwarm::N,Schwarm,群
149,Huhn::N,Huhn,鸡
150,Hahn::N,Hahn,公鸡
151,Gans::N,Gans,鹅
152,Adler::N,Adler,鹰
153,Ente::N,Ente,鸭
154,Eule::N,Eule,猫头鹰
155,Kranich::N,Kranich,鹤
156,Krähe::N,Krähe,乌鸦
157,Kuckuck::N,Kuckuck,布谷鸟
158,Schwan::N,Schwan,天鹅
159,Fisch::N,Fisch,鱼
160,Barsch::N,Barsch,鲈鱼
161,Hecht::N,Hecht,狗鱼
162,Schlange[Tier]::N,Schlange,蛇
163,Wurm::N,Wurm,蠕虫
164,Spinne::N,Spinne,蜘蛛
165,Ameise::N,Ameise,蚂蚁
166,Laus::N,Laus,虱子
167,Mücke::N,Mücke,蚊子
168,Fliege::N,Fliege,苍蝇
169,Schmetterling::N,Schmetterling,蝴蝶
170,Beere::N,Beere,将果
171,Apfel::N,Apfel,苹果
172,Pilz::N,Pilz,蘑菇
173,Zwiebel::N,Zwiebel,洋葱
174,Saat::N,Saat,种子
175,Korn::N,Korn,谷粒
176,Heu::N,Heu,干草
177,Schale::N,Schale,壳
178,Grube::N,Grube,坑
179,Falle::N,Falle,圈套
180,Schlinge::N,Schlinge,活扣
181,Spur::N,Spur,踪迹
182,Asche::N,Asche,灰烬
183,Dreck::N,Dreck,污垢
184,Eisen::N,Eisen,铁
185,Gold::N,Gold,金子
186,Silber::N,Silber,银
187,Kohle::N,Kohle,煤
188,Glas::N,Glas,玻璃
189,Lehm::N,Lehm,粘土
190,Sand::N,Sand,沙
191,Mensch::N,Mensch,人
192,Mann::N,Mann,男子
193,Frau::N,Frau,妇女
194,Kind::N,Kind,小孩
195,Junge::N,Junge,男孩
196,Mädchen::N,Mädchen,女孩
197,Familie::N,Familie,家庭
198,Großvater::N,Großvater,祖父
199,Großmutter::N,Großmutter,祖母
200,Eltern::N,Eltern,父母
201,Vater::N,Vater,父亲
202,Mutter::N,Mutter,母亲
203,Sohn::N,Sohn,儿子
204,Tochter::N,Tochter,女儿
205,Bruder::N,Bruder,兄弟
206,Schwester::N,Schwester,姐妹
207,Onkel::N,Onkel,伯父
208,Tante::N,Tante,阿姨
209,Ehemann::N,Ehemann,丈夫
210,Ehefrau::N,Ehefrau,妻子
211,Freude::N,Freude,愉快
212,Gelächter::N,Gelächter,大笑
