,Concept_ID,os,ba
0,Auge::N,цӕст,күҙ
1,Ohr::N,хъус,ҡолаҡ
2,Nase::N,фындз,танау
3,Mund::N,дзых,ауыҙ
4,Zahn::N,дӕндаг,теш
5,Zunge::N,ӕвзаг,тел
6,Lippe::N,был,ирен
7,Wange::N,рус,яцаҡтар
8,Wange::N,уадул,яцаҡтар
9,Wange::N,ӕхсӕрфарс,яцаҡтар
10,Gesicht::N,цӕсгом,бит
11,Stirn::N,ных,маңлай
12,Haar::N,хил,сәс
13,Schnurrbart::N,рихи,мылтыҡ
14,Bart::N,зачъе,һаҡал
15,Kinn::N,роцъо,эйэк
16,Kiefer[Anatomie]::N,ӕфсӕр,яңаҡ һөйәге
17,Kehle::N,хъуыр,тамаҡ
18,Hals::N,къубал,муйын
19,Genick::N,къӕбут,соңҡа
20,Kopf::N,сӕр,баш
21,Rücken::N,фӕсонтӕ,арҡа
22,Bauch::N,гуыбын,ҡорһаҡ
23,Nabel::N,бикъ,кендек
24,Busen::N,дзидзи,күкрәк
25,Brust::N,риу,түш
26,Schulter::N,уӕхск,яурын
27,Arm::N,цонг,ҡул
28,Ellenbogen::N,рæмбын,терһәк
29,Hand::N,къух,ҡул
30,Hand::N,къух,ҡул суғы
31,Handfläche::N,армытъӕпӕн,ус төбө
32,Finger::N,ӕнруылдз,бармаҡ
33,Fingernagel::N,ных,тырнаҡ
34,Nagel[Anatomie]::N,ных,тырнаҡ
35,Zeh::N,къух,бармаҡ
36,Fuß::N,фад,табан
37,Ferse::N,зӕвӕт,үксә
38,Knie::N,уӕраг,тубыҡ
39,Oberschenkel::N,агъд,сандыр
40,Bein::N,зӕнг,аяҡ
41,Körper::N,буар,тән
42,Haut::N,царм,тире
43,Blut::N,туг,ҡан
44,Ader::N,дадзин,тамыр
45,Ader::N,тугдадзин,тамыр
46,Sehne::N,хъиутæ,һеңер
47,Sehne::N,хъиутæ,тарамыш
48,Sehne::N,нуар,һеңер
49,Sehne::N,нуар,тарамыш
50,Knochen::N,стӕг,һойәк
51,Gehirn::N,магъз,мейе
52,Herz::N,зӕрдӕ,йорәк
53,Magen::N,ахсӕн,ашҡаҙан
54,Leber::N,игæр,бауыр
55,Atem::N,улӕфт,һулыш
56,Hunger::N,стонг,аслыҡ
57,Träne::N,цæссыг,күҙ иәше
58,Geschmack::N,ад,тәм
59,Geruch::N,смаг,еҫ
60,Schlaf::N,хуыссӕг,йоҡлау
61,Traum::N,фын,төш
62,Himmel::N,арв,күк
63,Himmel::N,уӕларв,күк
64,Sonne::N,хур,ҡояш
65,Mond::N,мӕй,ай
66,Stern::N,стъалы,йондоҙ
67,Luft::N,уӕлдӕф,һауа
68,Wind::N,дымгӕ,ел
69,Welle::N,уылӕн,тулҡын
70,Wasser::N,дон,һыу
71,Stein::N,дур,таш
72,Boden::N,зӕхх,тупраҡ
73,Erde::N,сыджыт,балсҡ
74,Staub::N,рыг,туҙан
75,Rauch::N,фӕздӕг,төтөн
76,Funke::N,цӕхӕр,осҡон
77,Feuer::N,зынг,ут
78,Licht::N,рухс,яҡтылыҡ
79,Schatten::N,аууон,күләгә
80,Wetter::N,боныхъӕд,һауа торошо
81,Nebel::N,мигъ,төман
82,Wolke::N,ӕврагъ,болот
83,Regen::N,уарын,ямғыр
84,Schnee::N,мит,ҡар
85,Eis::N,их,боҙ
86,Frost::N,ихæн,һалҡын
87,Kälte::N,уазал,һыуыҡ
88,Hitze::N,ӕнтӕф,томра
89,Hitze::N,ӕнтӕф,эҫелек
90,Raureif::N,халас,ҡырау
91,Regenbogen::N,арвырон,йәйғор
92,Regenbogen::N,арвырдын,йәйғор
93,Donner::N,æрвнæрын,күк күкрәү
94,Strömung::N,цыд,ағым
95,Tropfen::N,æртах,тамсы
96,Schaum::N,фынк,күбек
97,Schmutz::N,цъыф,батҡаҡ
98,See::N,цад,күл
99,Sumpf::N,цъыфдзаст,һаҙлык
100,Moor::N,цъыфдзаст,һаҙ
101,Wiese::N,уыгӕрдӕн,болон
102,Wald::N,хъӕд,урман
103,Hügel::N,обау,түбә
104,Hügel::N,къуыбыр,түбә
105,Anhöhe::N,уæлвæз,түбә
106,Anhöhe::N,уæлвæз,ҡалҡыулыҡ
107,Anhöhe::N,уæлхох,түбә
108,Anhöhe::N,уæлхох,ҡалҡыулыҡ
109,Berg::N,хох,тау
110,Gipfel::N,цъупп,түбә
111,Höhle::N,лӕгӕт,мәмерйә
112,Abhang::N,къул,ипкен
113,Quelle::N,суадон,шишмә
114,Bach::N,мӕсчъыдон,шишмә
115,Fluss::N,дон,йылға
116,Fluss::N,цӕугӕдон,йылға
117,Ufer::N,был,яр
118,Küste::N,донбыл,яр буйы
119,Festland::N,сурзæхх,ҡоро ер
120,Meer::N,денджыз,диңгез
121,Bucht::N,донбакæлæн,бухта
122,Insel::N,сакъадах,үтрау
123,Blume::N,дидинӕг,сәскә
124,Gras::N,кӕрдӕг,үлән
125,Wurzel::N,уидаг,тамыр
126,Baum::N,бӕлас,ағас
127,Stamm::N,хӕтӕл,олон
128,Stamm::N,хӕтӕл,көбәк
129,Rinde::N,цъар,ҡабыҡ
130,Ast::N,арх,ботаҡ
131,Zweig::N,къалиу,ботаҡ
132,Zweig::N,къалиу,тармаҡ
133,Blatt::N,сыф,япраҡ
134,Birke::N,бæрз,ҡайын
135,Kiefer[Baum]::N,нӕзы,ҡарғай
136,Weide[Baum]::N,хӕрис,тал
137,Tanne::N,наз,шыршы
138,Horn::N,сыкъа,мөғөҙ
139,Feder::N,сис,ҡауырһын
140,Fell::N,царм,тире
141,Flügel::N,базыр,ҡанат
142,Klaue::N,ных,тырнаҡ
143,Kralle::N,дзӕмбы,аяҡ
144,Schwanz::N,къӕдзил,ҡойроҡ
145,Ei::N,айк,йомортҡа
146,Nest::N,ахстон,оя
147,Bau::N,хуынкъ,оң
148,Tier::N,сырд,жайуан
149,Tier::N,сырд,йыртҡыс
150,Tier::N,цӕрӕгой,жайуан
151,Tier::N,цӕрӕгой,йыртҡыс
152,Herde::N,дзуг,көтөү
153,Herde::N,рӕгъау,көтөү
154,Kuh::N,хъуг,һыйыр
155,Bulle::N,гал,үгеҙ
156,Pferd::N,бӕх,ат
157,Schaf::N,фыс,һарыҡ
158,Schwein::N,хуы,сусҡа
159,Hund::N,куыдз,эт
160,Katze::N,гӕды,бесәй
161,Bär::N,арс,айыу
162,Eichhörnchen::N,æхсæрæг,тейен
163,Elch::N,цæгатаг саг,мышы
164,Fuchs::N,рувас,төлкө
165,Hase::N,тæрхъус,ҡуян
166,Maus::N,мыст,сысҡан
167,Wolf::N,бирӕгъ,бүре
168,Vogel::N,цъиу,ҡош
169,Vogel::N,маргъ,ҡош
170,Schwarm::N,бал,көтөү
171,Huhn::N,карк,тауыҡ
172,Hahn::N,уасӕг,әтәс
173,Gans::N,хъаз,ҡаҙ
174,Adler::N,цӕргӕс,бөркөт
175,Ente::N,ацц,өйрәк
176,Eule::N, уыг,өкө
177,Eule::N, уыг,ябалаҡ
178,Eule::N,сидахъ,өкө
179,Eule::N,сидахъ,ябалаҡ
180,Kranich::N,зырнæг,торна
181,Kranich::N,хърихъупп,торна
182,Krähe::N,халон,ҡарға
183,Kuckuck::N,гаккук,кәкүк
184,Schwan::N,доныхъаз,аҡҡош
185,Fisch::N,кӕсаг,балыҡ
186,Barsch::N,окунь,алабуға
187,Hecht::N,хихор кӕсаг,суртан
188,Schlange[Tier]::N,калм,йылан
189,Wurm::N,зулкъ,селяүсен
190,Wurm::N,къуыдыргалм,селяүсен
191,Spinne::N,хӕлуарӕг,үрмәксе
192,Ameise::N,мæлдзыг,ҡырмыҫҡа
193,Laus::N,сыст,бет
194,Mücke::N,къогъо,серәкәй
195,Fliege::N,бындз,себен
196,Schmetterling::N,гæлæбу,күбәләк
197,Beere::N,гагадыргъ,еләк
198,Apfel::N,фӕткъуы,алма
199,Pilz::N,зокъо,бәшмәк
200,Pilz::N,къозо,бәшмәк
201,Zwiebel::N,хъӕдындз,һуган
202,Saat::N,тауинаг,орлоҡ
203,Saat::N,мыггаг,орлоҡ
204,Korn::N,мыггаг,иген
205,Korn::N,тауинаг,иген
206,Heu::N,хос,бесән
207,Schale::N,цъар,ҡабыҡ
208,Grube::N,урм,соҡор
209,Grube::N,къахт,соҡор
210,Grube::N,дзыхъхъ,соҡор
211,Falle::N,цъысым,тоҙак
212,Falle::N,цъысым,ҡапҡан
213,Falle::N,къӕппӕг,тоҙак
214,Falle::N,къӕппӕг,ҡапҡан
