,Concept_ID,hy,hu
0,Auge::N,աչք,szem
1,Ohr::N,ականջ,fül
2,Nase::N,քիթ,orr
3,Mund::N,բերան,száj
4,Zahn::N,ատամ,fog
5,Zunge::N,լեզու,nyelv
6,Lippe::N,շրթունք,ajak
7,Wange::N,այտ,orca
8,Wange::N,թուշ,orca
9,Gesicht::N,դեմք,arc
10,Stirn::N,ճակատ,homlok
11,Haar::N,մազ,haj
12,Schnurrbart::N,բեղ,bajusz
13,Bart::N,մորուք,szakáll
14,Kinn::N,կզակ,áll
15,Kiefer[Anatomie]::N,ծնոտ,állkapocs
16,Kehle::N,կոկորդ,gége
17,Kehle::N,կոկորդ,torok
18,Hals::N,վիզ,nyak
19,Hals::N,պարանոց,nyak
20,Genick::N,ծոծրակ,tarkó
21,Kopf::N,գլուխ,fő
22,Kopf::N,գլուխ,fej
23,Rücken::N,մեջք,hát
24,Bauch::N,փոր,has
25,Bauch::N,որովայն,has
26,Nabel::N,պորտ,köldök
27,Busen::N,ծոց,mell
28,Busen::N,ծոց,kebel
29,Brust::N,կուրծք,mell
30,Schulter::N,ուս,váll
31,Arm::N,թեւ,kar
32,Arm::N,բազուկ,kar
33,Ellenbogen::N,արմունկ,könyök
34,Hand::N,ձեռք,kéz
35,Handfläche::N,ափ,tenyér
36,Finger::N,մատ,ujj
37,Fingernagel::N,եղունգ,köröm
38,Nagel[Anatomie]::N,եղունգ,köröm
39,Zeh::N,ոտքի մատ,lábujj
40,Fuß::N,ոտք,láb
41,Ferse::N,գարշապար,sarok
42,Knie::N,ծունկ,térd
43,Oberschenkel::N,ազդր,comb
44,Bein::N,ոտք,láb
45,Bein::N,ոտք,lábszár
46,Körper::N,մարմին,test
47,Haut::N,մաշկ,bőr
48,Blut::N,արյուն,vér
49,Ader::N,երակ,ér
50,Sehne::N,ջիղ,ín
51,Sehne::N,ձգտան,ín
52,Knochen::N,ոսկոր,csont
53,Gehirn::N,խելք,agy
54,Gehirn::N,խելք,agyvelő
55,Herz::N,սիրտ,szív
56,Magen::N,ստամոքս,gyomor
57,Leber::N,լյարդ,máj
58,Atem::N,շունչ,lehelet
59,Atem::N,շունչ,lélegzet
60,Hunger::N,քաղց,éhség
61,Träne::N,արտասուք,könny
62,Geschmack::N,համ,íz
63,Geschmack::N,բուրմունք,íz
64,Geruch::N,հոտ,szag
65,Geruch::N,բուրում,szag
66,Schlaf::N,քուն,álom
67,Schlaf::N,քուն,alvás
68,Traum::N,երազ,álom
69,Himmel::N,երկինք,ég
70,Himmel::N,երկինք,menny
71,Sonne::N,արեւ,nap
72,Mond::N,լուսին,hold
73,Stern::N,աստղ,csillag
74,Luft::N,օդ,levegő
75,Wind::N,քամի,szél
76,Welle::N,ալիք,hullám
77,Wasser::N,ջուր,víz
78,Stein::N,քար,kő
79,Boden::N,գետին,föld
80,Boden::N,գետին,talaj
81,Erde::N,հող,föld
82,Staub::N,փոշի,por
83,Rauch::N,ծուխ,füst
84,Funke::N,կայծ,szikra
85,Feuer::N,կրակ,tűz
86,Feuer::N,հրդեհ,tűz
87,Licht::N,լույս,fény
88,Schatten::N,ստվեր,árnyék
89,Wetter::N,եղանակ,idő
90,Wetter::N,եղանակ,időjárás
91,Nebel::N,մեգ,köd
92,Nebel::N,մառախուղ,köd
93,Wolke::N,ամպ,felhő
94,Regen::N,անձրև,eső
95,Schnee::N,ձյուն,hó
96,Eis::N,սառույց,jég
97,Frost::N,սառնամանիք,fagy
98,Kälte::N,դող,hideg
99,Hitze::N,շոգ,hő
100,Hitze::N,շոգ,hőség
101,Raureif::N,ցօղեղեամ,zúzmara
102,Regenbogen::N,ծիածան,szivárvány
103,Donner::N,որոտ,dörgés
104,Donner::N,որոտ,mennydörgés
105,Strömung::N,հոսանք,áramlat
106,Tropfen::N,կաթիլ,csepp
107,Schaum::N,փրփուր,hab
108,Schaum::N,փրփուր,tajték
109,Schmutz::N,կեղտ,piszok
110,See::N,լիճ,tó
111,Sumpf::N,ճահիճ,mocsár
112,Moor::N,ճահիճ,láp
113,Wiese::N,մարգագետին,rét
114,Wiese::N,մարգագետին,mező
115,Wald::N,անտառ,erdő
116,Hügel::N,բլուր,domb
117,Anhöhe::N,բարձունք,magaslat
118,Berg::N,լեռ,hegy
119,Gipfel::N,գագաթ,csúcs
120,Gipfel::N,կատար,csúcs
121,Höhle::N,քարայր,barlang
122,Abhang::N,լանջ,lejtő
123,Abhang::N,զառիվայր,lejtő
124,Quelle::N,աղբյուր,forrás
125,Bach::N,վտակ,patak
126,Fluss::N,գետ,folyó
127,Ufer::N,ծովափ,part
128,Küste::N,ափ,tengerpart
129,Küste::N,ծովափ,tengerpart
130,Festland::N,ցամաք,szárazföld
131,Meer::N,ծով,tenger
132,Bucht::N,հաչիւն,öböl
133,Insel::N,վղզի,sziget
134,Blume::N,ծաղիկ,virág
135,Gras::N,խոտ,fű
136,Wurzel::N,արմատ,gyökér
137,Baum::N,ծառ,fa
138,Stamm::N,իրան,tő
139,Stamm::N,իրան,törzs
140,Rinde::N,կեղեւ,kéreg
141,Rinde::N,հաչոց,kéreg
142,Ast::N,ճյուղ,ág
143,Zweig::N,ճյուղ,gally
144,Blatt::N,տերեւ,levél
145,Birke::N,ցարասի,nyír
146,Kiefer[Baum]::N,սոճի,fenyő
147,Weide[Baum]::N,ուռենի,fűz
148,Tanne::N,եղեւին,fenyő
149,Feder::N,փետուր,toll
150,Fell::N,մորթի,szőr
151,Fell::N,մորթի,bunda
152,Flügel::N,թեւ,szárny
153,Klaue::N,չանչ,köröm
154,Kralle::N,ճանկ,karom
155,Schwanz::N,պոչ,farok
156,Ei::N,ձու,tojás
157,Nest::N,բույն,fészek
