,Concept_ID,mrj,pl
0,Auge::N,сӹнзӓ,oko
1,Ohr::N,пӹлӹш,ucho
2,Nase::N,нер,nos
3,Mund::N,ышма,usta
4,Zahn::N,пӱ,ząb
5,Zunge::N,йӹлмӹ,język
6,Lippe::N,тӹрвӹ,warga
7,Wange::N,шӹргӹ,policzek
8,Gesicht::N,лицӓ,twarz
9,Stirn::N,лепкӓ,czoło
10,Haar::N,ӱп,włos
11,Haar::N,ӱп,włosy
12,Schnurrbart::N,öрш,wąsy
13,Bart::N,пандаш,broda
14,Kinn::N,онгылаш,podbródek
15,Kiefer[Anatomie]::N,пӱ арата,czeluść
16,Kehle::N,логер,gardło
17,Hals::N,шӱ,szyja
18,Genick::N,ланга,kark
19,Kopf::N,вуй,głowa
20,Rücken::N,туп,plecy
21,Rücken::N,туп,grzbiet
22,Bauch::N,мӹшкӹр,brzuch
23,Nabel::N,кӹлӹмдӹ,pępek
24,Busen::N,цӹзӹ,biust
25,Brust::N,мел,pierś
26,Schulter::N,ӹнгӹжӓ,bark
27,Schulter::N,ӹнгӹжӓ,ramię
28,Arm::N,кид,ręka
29,Arm::N,кид,ramię
30,Ellenbogen::N,кӹнервуй,łokieć
31,Hand::N,лапа,dłoń
32,Handfläche::N,кид лапа,dłoń
33,Finger::N,парня,palec
34,Fingernagel::N,кӹч,paznokieć
35,Nagel[Anatomie]::N,кӹч,paznokieć
36,Zeh::N,парня,palec
37,Fuß::N,ял лапа,stopa
38,Ferse::N,ялгавал,pięta
39,Ferse::N,ял кавал,pięta
40,Knie::N,пылвуй,kolano
41,Oberschenkel::N,ӓрдӹ,udo
42,Bein::N,ял,noga
43,Körper::N,монгыр,ciało
44,Haut::N,кавашты,skóra
45,Blut::N,вӹр,krew
46,Ader::N,вӹршӓр,żyła
47,Sehne::N,кукшышӱн,ścięgno
48,Knochen::N,лу,kość
49,Gehirn::N,вим,mózg
50,Herz::N,шӱм,serce
51,Magen::N,шӱм,żołądek
52,Leber::N,мокш,wątroba
53,Atem::N,шӱлӹш,dech
54,Atem::N,шӱлӹш,oddech
55,Hunger::N,шужымаш,głód
56,Träne::N,сӹнзӓвӹд,łza
57,Geschmack::N,тот,smak
58,Geruch::N,пыш,woń
59,Geruch::N,пыш,zapach
60,Schlaf::N,ом,sen
61,Traum::N,ом,sen
62,Himmel::N,пӹлгом,niebo
63,Sonne::N,кечӹ,słońce
64,Mond::N,тӹлзӹ,księżyc
65,Stern::N,шӹдӹр,gwiazda
66,Luft::N,юж,powietrze
67,Luft::N,воздух,powietrze
68,Wind::N,мардеж,wiatr
69,Welle::N,ко,fala
70,Welle::N,коэ,fala
71,Wasser::N,вӹд,woda
72,Stein::N,кӱ,kamień
