,Concept_ID,cy,cy
0,Auge::N,llygad,llygad
1,Ohr::N,clust,clust
2,Nase::N,trwyn,trwyn
3,Mund::N,ceg,ceg
4,Zahn::N,dant,dant
5,Zunge::N,tafod,tafod
6,Lippe::N,gwefus,gwefus
7,Wange::N,boch,boch
8,Gesicht::N,wyneb,wyneb
9,Stirn::N,talcen,talcen
10,Haar::N,blew,blew
11,Schnurrbart::N,mwstas,mwstas
12,Bart::N,barf,barf
13,Kinn::N,gên,gên
14,Kiefer[Anatomie]::N,gên,gên
15,Kehle::N,gwddf,gwddf
16,Hals::N,gwddf,gwddf
17,Genick::N,gwar,gwar
18,Genick::N,gwar,gwegil
19,Genick::N,gwegil,gwar
20,Genick::N,gwegil,gwegil
21,Kopf::N,pen,pen
22,Rücken::N,cefn,cefn
23,Bauch::N,bol,bol
24,Nabel::N,bogail,bogail
25,Busen::N,bron,bron
26,Brust::N,brest,brest
27,Schulter::N,ysgwydd,ysgwydd
28,Arm::N,braich,braich
29,Ellenbogen::N,penelin,penelin
30,Hand::N,llaw,llaw
31,Handfläche::N,palf,palf
32,Finger::N,bys,bys
33,Fingernagel::N,ewin,ewin
34,Nagel[Anatomie]::N,ewin,ewin
35,Zeh::N,bys troed,bys troed
36,Fuß::N,troed,troed
37,Ferse::N,sawdl,sawdl
38,Knie::N,glin,glin
39,Oberschenkel::N,clun,clun
40,Bein::N,coes,coes
41,Körper::N,corff,corff
42,Haut::N,croen,croen
43,Blut::N,gwaed,gwaed
44,Ader::N,gwythïen,gwythïen
45,Sehne::N,gewyn,gewyn
46,Knochen::N,asgwrn,asgwrn
47,Gehirn::N,ymennydd,ymennydd
48,Herz::N,calon,calon
49,Magen::N,cylla,cylla
50,Magen::N,cylla,stumog
51,Magen::N,stumog,cylla
52,Magen::N,stumog,stumog
53,Leber::N,iau,iau
54,Atem::N,anadl,anadl
55,Hunger::N,newyn,newyn
56,Träne::N,deigryn,deigryn
57,Geschmack::N,cyflas,cyflas
58,Geruch::N,aroglau,aroglau
59,Schlaf::N,cwsg,cwsg
60,Traum::N,breuddwyd,breuddwyd
61,Himmel::N,awyr,awyr
62,Sonne::N,haul,haul
63,Mond::N,lleuad,lleuad
64,Stern::N,seren,seren
65,Luft::N,awyr,awyr
66,Wind::N,gwynt,gwynt
67,Welle::N,ton,ton
68,Wasser::N,dŵr,dŵr
69,Stein::N,carreg,carreg
70,Boden::N,llawr,llawr
71,Erde::N,pridd,pridd
72,Staub::N,llwch,llwch
73,Rauch::N,mwg,mwg
74,Funke::N,gwreichioni,gwreichioni
75,Feuer::N,tân,tân
76,Licht::N,golau,golau
77,Schatten::N,cysgod,cysgod
78,Wetter::N,tywydd,tywydd
79,Nebel::N,niwl,niwl
80,Wolke::N,cwmwl,cwmwl
81,Regen::N,glaw,glaw
