,Concept_ID,fa,sl
0,Auge::N,چشم,okó
1,Ohr::N,گوش,uhó
2,Nase::N,بینی,nós
3,Mund::N,دهان,ústa
4,Zahn::N,دندان,zób
5,Zunge::N,زبان,jêzik
6,Lippe::N,لب,ústnica
7,Wange::N,لپ,líce
8,Gesicht::N,رو,oblíčje
9,Gesicht::N,چهره,oblíčje
10,Stirn::N,پیشانی,čêlo
11,Haar::N,مو,lás
12,Schnurrbart::N,سبیل,bŕki
13,Bart::N,ریش,bráda
14,Kinn::N,چانه,bráda
15,Kiefer[Anatomie]::N,فک,čeljúst
16,Kiefer[Anatomie]::N,آرواره,čeljúst
17,Kehle::N,حلق,gŕlo
18,Hals::N,گردن,vrát
19,Genick::N,پشت گردن,zatílnik
20,Kopf::N,سر,gláva
21,Kopf::N,کله,gláva
22,Rücken::N,پشت,hrbèt
23,Bauch::N,شکم,trébuh
24,Nabel::N,ناف,pópek
25,Busen::N,پستان,nédrja
26,Brust::N,سینه,pŕsi
27,Schulter::N,دوش,ráma
28,Schulter::N,دوش,plêče
29,Schulter::N,شانه,ráma
30,Schulter::N,شانه,plêče
31,Arm::N,بازو,rôka
32,Ellenbogen::N,آرنج,komólec
33,Hand::N,دست,rôka
34,Handfläche::N,کف دست,dlán
35,Finger::N,انگشت,pŕst
36,Fingernagel::N,ناخن دست,nóht na rôki
37,Nagel[Anatomie]::N,ناخن,nóht
38,Zeh::N,انگشت پا,pŕst na nôgi
39,Fuß::N,پا,nôga
40,Ferse::N,پاشنه,pêta
41,Knie::N,زانو,koléno
42,Oberschenkel::N,ران,stêgno
43,Bein::N,پا,nôga
44,Bein::N,لنگ,nôga
45,Körper::N,تن,teló
46,Körper::N,بدن,teló
47,Haut::N,پوست,kóža
48,Blut::N,خون,krí
49,Ader::N,رگ,žíla
50,Sehne::N,زردپی,kíta
51,Knochen::N,استخوان,kóst
52,Gehirn::N,مخ,možgáni
53,Gehirn::N,مغز,možgáni
54,Herz::N,دل,srcé
55,Herz::N,قلب,srcé
56,Magen::N,معده,želódec
57,Leber::N,کبد,jétra
58,Atem::N,نفس,díh
59,Hunger::N,گرسنگی,glád
60,Träne::N,اشک,sólza
61,Geschmack::N,مزه,okús
62,Geruch::N,بو,vónj
63,Schlaf::N,خواب,sèn
64,Schlaf::N,خواب,spánec
65,Traum::N,رؤیا,sánje
66,Himmel::N,فلک,nebó
67,Himmel::N,آسمان,nebó
68,Sonne::N,آفتاب,sónce
69,Sonne::N,خورشید,sónce
70,Mond::N,ماه,lúna
71,Mond::N,ماه,mésec
72,Stern::N,ستاره,zvézda
73,Luft::N,هوا,zràk
74,Wind::N,باد,véter
75,Welle::N,موج,vál
76,Wasser::N,آب,vôda
77,Stein::N,سنگ,kámen
78,Boden::N,زمین,tlà
79,Erde::N,خاک,pŕst
80,Erde::N,خاک,zêmlja
81,Erde::N,زمین,pŕst
82,Erde::N,زمین,zêmlja
83,Staub::N,گرد,práh
84,Staub::N,غبار,práh
85,Rauch::N,دود,dìm
86,Funke::N,جرقه,ískra
87,Feuer::N,آتش,ôgenj
88,Licht::N,نور,lúč
89,Licht::N,روشنی,lúč
90,Schatten::N,سایه,sénca
91,Wetter::N,هوا,vrême
92,Nebel::N,مه,meglà
93,Wolke::N,ابر,oblák
94,Regen::N,باران,dèž
95,Schnee::N,برف,snég
96,Eis::N,یخ,léd
97,Frost::N,یخبندان,zmrzál
98,Kälte::N,سرما,mràz
99,Hitze::N,گرما,pripéka
100,Hitze::N,حرارت,pripéka
101,Raureif::N,برف ریزه,ívje
102,Raureif::N,برف ریزه,slána
103,Regenbogen::N,رنگین‌کمان,mávrica
104,Donner::N,رعد,gròm
105,Strömung::N,جریان,strúja
106,Tropfen::N,قطره,káplja
107,Schaum::N,کف,péna
108,Schmutz::N,گل,nesnága
109,Schmutz::N,کثافت,nesnága
110,See::N,دریاچه,jézero
111,Sumpf::N,مرداب,močvírje
112,Sumpf::N,باتلاق,močvírje
113,Moor::N,باتلاق,bárje
114,Wiese::N,چمن,trávnik
115,Wald::N,جنگل,lés
116,Wald::N,جنگل,gòzd
117,Hügel::N,تل,brég
118,Hügel::N,تل,goríca
119,Hügel::N,تپه,brég
120,Hügel::N,تپه,goríca
121,Anhöhe::N,بلندی,gríč
122,Anhöhe::N,بلندی,višína
123,Berg::N,کوه,gôra
124,Berg::N,کوه,planína
125,Gipfel::N,قله,vŕh
126,Höhle::N,غار,jáma
127,Höhle::N,غار,votlína
128,Abhang::N,سرازیری,pobóčje
129,Quelle::N,چشمه,izvír
130,Bach::N,نهر,pôtok
131,Fluss::N,رود,réka
132,Ufer::N,ساحل,brég
133,Ufer::N,کرانه,brég
134,Küste::N,ساحل,obála
135,Küste::N,ساحل,obréžje
136,Festland::N,خشکی,celína
137,Festland::N,خشکی,kopnína
138,Meer::N,دریا,mórje
139,Bucht::N,خلیج,zalív
140,Insel::N,جزیره,ôtok
141,Blume::N,گل,cvetlíca
142,Gras::N,علف,tráva
143,Wurzel::N,ریشه,korenína
144,Baum::N,درخت,drevó
145,Stamm::N,تنه,dêblo
146,Rinde::N,توژ,lúbje
147,Rinde::N,توژ,skórja
148,Rinde::N,پوست,lúbje
149,Rinde::N,پوست,skórja
150,Ast::N,شاخه,véja
151,Zweig::N,شاخه,véja
152,Blatt::N,برگ,líst
153,Birke::N,غان,bréza
154,Kiefer[Baum]::N,کاج,bòr
155,Weide[Baum]::N,بید,vŕba
156,Tanne::N,صنوبر,hója
157,Horn::N,شاخ,róg
158,Feder::N,پر,peró
159,Fell::N,خز,kŕzno
160,Flügel::N,پر,krílo
161,Flügel::N,بال,krílo
162,Klaue::N,چنگ,párkelj
163,Klaue::N,پنجه,párkelj
164,Kralle::N,پنجه,krémpelj
165,Schwanz::N,دم,rèp
166,Ei::N,تخم,jájce
167,Nest::N,لانه,gnézdo
168,Bau::N,بنا,brlòg
169,Bau::N,ساختمان,brlòg
170,Tier::N,هیوان,živál
171,Herde::N,رمه,čréda
172,Kuh::N,گاو,kráva
173,Bulle::N,گاو نر,bìk
174,Pferd::N,اسب,kònj
175,Schaf::N,گوسفند,ôvca
176,Schwein::N,خوک,svínja
177,Hund::N,سگ,pès
178,Katze::N,گربه,máčka
179,Bär::N,خرس,mêdved
180,Eichhörnchen::N,سنجاب,véverica
181,Elch::N,گوزن شمالی,lós
182,Fuchs::N,روباه,lisíca
183,Hase::N,خرگوش,zájec
184,Maus::N,موش,mìš
185,Wolf::N,گرگ,vólk
186,Vogel::N,پرنده,ptìč
187,Vogel::N,پرنده,ptíca
188,Schwarm::N,دسته,játa
189,Huhn::N,مرغ,kokóš
190,Hahn::N,خروس,petêlin
191,Gans::N,غاز,gós
192,Adler::N,عقاب,ôrel
193,Ente::N,اردک,ráca
194,Ente::N,مرغابی,ráca
195,Eule::N,جغد,sôva
196,Kranich::N,درنا,žerjàv
197,Krähe::N,زاغ,vrána
198,Krähe::N,کلاغ,vrána
199,Kuckuck::N,فاخته,kúkavica
200,Schwan::N,قو,labód
201,Fisch::N,ماهی,ríba
202,Barsch::N,ماهی خاردار,ostríž
203,Hecht::N,اردک ماهی,ščúka
204,Schlange[Tier]::N,مار,káča
205,Wurm::N,کرم,čr̀v
206,Wurm::N,کرم,glísta
207,Spinne::N,عنکبوت,pájek
208,Ameise::N,مورچه,mrávlja
209,Laus::N,شپش,úš
210,Mücke::N,پشه,komár
211,Fliege::N,مگس,múha
212,Schmetterling::N,پروانه,metúlj
213,Beere::N,گیله,jágoda
214,Apfel::N,سیب,jábolko
215,Pilz::N,قارچ,góba
216,Zwiebel::N,پیاز,čebúla
217,Saat::N,بذر,séme
218,Korn::N,تخم,zŕno
219,Korn::N,دانه,zŕno
220,Heu::N,علف خشک,senó
221,Schale::N,پوست,lupína
222,Grube::N,گودال,jáma
223,Falle::N,دام,pást
224,Schlinge::N,حلقه,zánka
225,Schlinge::N,حلقه,pêtlja
226,Spur::N,رد,sléd
227,Asche::N,خاکستر,pepél
228,Dreck::N,کثافت,bláto
229,Eisen::N,آهن,želézo
230,Gold::N,زر,zlató
231,Gold::N,طلا,zlató
232,Silber::N,نقره,srebró
233,Kohle::N,زغال,ógel
234,Glas::N,شیشه,stêklo
235,Lehm::N,گل,ílo
236,Sand::N,شن,pések
237,Sand::N,ماسه,pések
238,Mensch::N,آدم,člôvek
239,Mensch::N,انسان,člôvek
240,Mann::N,مرد,móž
241,Mann::N,مرد,môški
242,Frau::N,زن,gospá
243,Frau::N,زن,žénska
244,Kind::N,بچه,déte
245,Kind::N,بچه,otròk
246,Kind::N,کودک,déte
247,Kind::N,کودک,otròk
248,Junge::N,پسر,fànt
249,Junge::N,پسر,déček
250,Mädchen::N,دختر,deklè
251,Mädchen::N,دختر,déklica
252,Familie::N,فامیل,družína
253,Familie::N,خانواده,družína
254,Großvater::N,پدربزرگ,dèd
255,Großvater::N,پدربزرگ,dédek
256,Großmutter::N,مادر‌بزرگ,bábica
257,Eltern::N,والدین,stárši
258,Eltern::N,پدر‌و‌مادر,stárši
259,Vater::N,پدر,ôče
260,Mutter::N,مادر,máma
261,Sohn::N,پسر,sín
262,Tochter::N,دختر,hčí
263,Tochter::N,دختر,hčérka
264,Bruder::N,برادر,bràt
265,Schwester::N,خواهر,sêstra
266,Onkel::N,عمو,újec
267,Onkel::N,عمو,stríc
268,Onkel::N,دایی,újec
269,Onkel::N,دایی,stríc
270,Tante::N,عمه,têta
271,Tante::N,عمه,strína
272,Tante::N,خاله,têta
273,Tante::N,خاله,strína
274,Ehemann::N,همسر,móž
275,Ehemann::N,همسر,sopróg
276,Ehefrau::N,همسر,žêna
277,Ehefrau::N,همسر,sopróga
278,Freude::N,شادی,rádost
279,Freude::N,شادی,vesêlje
280,Gelächter::N,خنده,sméh
281,Gelächter::N,خنده,grohòt
282,Gelächter::N,قاه‌قاه,sméh
283,Gelächter::N,قاه‌قاه,grohòt
284,Glück::N,اقبال,sréča
285,Kummer::N,غم,gorjé
286,Kummer::N,غصه,gorjé
287,Wunsch::N,آرزو,žêlja
288,Lust::N,هوس,poželênje
