,Concept_ID,br,et
0,Auge::N,lagad,silm
1,Ohr::N,skouarn,kõrv
2,Nase::N,fri,nina
3,Mund::N,genoù,suu
4,Zahn::N,dant,hammas
5,Zunge::N,teod,keel
6,Lippe::N,muzell,huul
7,Wange::N,chot,põsk
8,Gesicht::N,dremm,nägu
9,Stirn::N,tal,otsmik
10,Haar::N,blev,juus
11,Schnurrbart::N,mourenn,vurrud
12,Schnurrbart::N,mourenn,vuntsid
13,Bart::N,barv,habe
14,Kinn::N,groñj,lõug
15,Kiefer[Anatomie]::N,javed,lõualuu
16,Kehle::N,gouzoug,kõri
17,Hals::N,gouzoug,kael
18,Genick::N,choug,kukal
19,Kopf::N,penn,pea
20,Rücken::N,kein,selg
21,Bauch::N,kof,kõht
22,Nabel::N,begel,naba
23,Busen::N,bronn,rind
24,Brust::N,bruched,rind
25,Schulter::N,skoaz,õlg
26,Arm::N,brec'h,käsivars
27,Ellenbogen::N,ilin,küünarnukk
28,Hand::N,dorn,käsi
29,Handfläche::N,palv,pihk
30,Finger::N,biz,sõrm
31,Fingernagel::N,ivin,küüs
32,Nagel[Anatomie]::N,ivin,küüs
33,Zeh::N,biz-troad,varvas
34,Fuß::N,troad,jalg
35,Ferse::N,seul,kand
36,Knie::N,glin,põlv
37,Oberschenkel::N,morzhed,reis
38,Bein::N,gar,jalg
39,Körper::N,korf,ihu
40,Körper::N,korf,keha
41,Haut::N,kroc'hen,nahk
42,Blut::N,gwad,veri
43,Ader::N,gwazhi,veen
44,Sehne::N,stir,kõõlus
45,Knochen::N,askorn,luu
46,Gehirn::N,empenn,aju
47,Herz::N,kalon,süda
48,Magen::N,stomog,magu
49,Leber::N,avu,maks
50,Atem::N,anal,hingeõhk
51,Atem::N,anal,hingamine
52,Hunger::N,naon,nälg
53,Träne::N,daer,pisar
54,Geschmack::N,blaz,maitse
55,Geruch::N,c'hwezh,lõhn
56,Schlaf::N,kousked,uni
57,Traum::N,hune,unenägu
58,Himmel::N,oabl,taevas
59,Sonne::N,heol,päike
60,Mond::N,loar,kuu
61,Stern::N,steredenn,täht
62,Luft::N,aer,õhk
63,Wind::N,avel,tuul
64,Welle::N,houlenn,laine
65,Wasser::N,dour,vesi
66,Stein::N,maen,kivi
67,Boden::N,tachenn,maa
68,Boden::N,tachenn,pinnas
69,Erde::N,douar,maa
70,Staub::N,poultr,põrm
71,Rauch::N,moged,suits
72,Funke::N,ful,säde
73,Feuer::N,tan,tuli
74,Licht::N,gouloù,valgus
75,Schatten::N,disheol,vari
76,Wetter::N,amzer,ilm
77,Nebel::N,brumenn,udu
78,Wolke::N,koumoulenn,pilv
79,Regen::N,glav,sadu
80,Schnee::N,erc'h,lumi
81,Eis::N,skorn,jää
82,Frost::N,rev,pakane
83,Kälte::N,yen,külm
84,Kälte::N,yen,külmus
85,Hitze::N,tommder,kuumus
86,Hitze::N,tommder,palavus
87,Raureif::N,frim,härmatis
88,Regenbogen::N,gwareg-ar-glav,vikerkaar
89,Donner::N,kurun,kõu
90,Donner::N,kurun,müristamine
91,Strömung::N,red,voolus
92,Strömung::N,red,jõevool
93,Tropfen::N,bannac'h,tilk
94,Tropfen::N,takenn,tilk
95,Schaum::N,spoum,vaht
96,Schmutz::N,fank,pori
97,Schmutz::N,fank,mustus
98,See::N,lenn,järv
99,Sumpf::N,gwern,soo
100,Moor::N,taouarc'heg,raba
101,Wiese::N,prad,aas
102,Wiese::N,prad,nurm
103,Wald::N,koad,mets
