,Concept_ID,cy,la
0,Auge::N,llygad,oculus
1,Ohr::N,clust,auris
2,Nase::N,trwyn,nasus
3,Mund::N,ceg,os
4,Zahn::N,dant,dens
5,Zunge::N,tafod,lingua
6,Lippe::N,gwefus,labrum
7,Wange::N,boch,gena
8,Gesicht::N,wyneb,vultus
9,Stirn::N,talcen,frons
10,Haar::N,blew,capillus
11,Schnurrbart::N,mwstas,barba labri superioris
12,Bart::N,barf,barba
13,Kinn::N,gên,mentum
14,Kiefer[Anatomie]::N,gên,mala
15,Kehle::N,gwddf,iugulums
16,Hals::N,gwddf,collum
17,Genick::N,gwar,cervices
18,Genick::N,gwegil,cervices
19,Kopf::N,pen,caput
20,Rücken::N,cefn,tergum
21,Bauch::N,bol,venter
22,Nabel::N,bogail,umbilicus
23,Busen::N,bron,sinus
24,Brust::N,brest,pectus
25,Schulter::N,ysgwydd,umerus
26,Arm::N,braich,bracchium
27,Ellenbogen::N,penelin,cubitum
28,Hand::N,llaw,manus
29,Handfläche::N,palf,palma
30,Finger::N,bys,digitus
31,Fingernagel::N,ewin,unguiculus
32,Nagel[Anatomie]::N,ewin,unguis
33,Zeh::N,bys troed,digitus
34,Fuß::N,troed,pes
35,Ferse::N,sawdl,calx
36,Knie::N,glin,genu
37,Oberschenkel::N,clun,femur
38,Bein::N,coes,crus
39,Körper::N,corff,corpus
40,Haut::N,croen,cutis
41,Haut::N,croen,pellis
42,Blut::N,gwaed,sanguis
43,Ader::N,gwythïen,vena
44,Sehne::N,gewyn,nervus
45,Knochen::N,asgwrn,os
46,Gehirn::N,ymennydd,cerebrum
47,Herz::N,calon,cor
48,Herz::N,calon,animus
49,Magen::N,cylla,stomachus
50,Magen::N,stumog,stomachus
51,Leber::N,iau,iecur
52,Atem::N,anadl,spiritus
53,Hunger::N,newyn,fames
54,Träne::N,deigryn,lacrima
55,Geschmack::N,cyflas,sapor
56,Geschmack::N,cyflas,gustus
57,Geruch::N,aroglau,odor
58,Schlaf::N,cwsg,somnus
59,Traum::N,breuddwyd,somnium
60,Himmel::N,awyr,caelum
61,Sonne::N,haul,sol
62,Mond::N,lleuad,luna
63,Stern::N,seren,sidus
64,Stern::N,seren,stella
65,Luft::N,awyr,aer
66,Wind::N,gwynt,ventus
67,Welle::N,ton,unda
68,Wasser::N,dŵr,aqua
69,Stein::N,carreg,lapis
70,Boden::N,llawr,solum
71,Erde::N,pridd,terra
72,Staub::N,llwch,pulvis
73,Rauch::N,mwg,fumus
74,Funke::N,gwreichioni,scintilla
75,Feuer::N,tân,ignis
76,Licht::N,golau,lux
77,Licht::N,golau,lumen
78,Schatten::N,cysgod,umbra
79,Wetter::N,tywydd,caelum
80,Wetter::N,tywydd,tempestas
81,Nebel::N,niwl,nebula
82,Wolke::N,cwmwl,nubes
83,Regen::N,glaw,imber
84,Regen::N,glaw,pluvia
85,Schnee::N,ôd,nix
86,Schnee::N,eira,nix
87,Eis::N,iâ,glacies
88,Frost::N,rhew,gelu
89,Kälte::N,oerni,frigus
90,Kälte::N,annwyd,frigus
91,Hitze::N,gwres,calor
92,Hitze::N,gwres,aestus
93,Raureif::N,barrug,pruina
94,Regenbogen::N,enfys,arcus
95,Donner::N,tyrfau,tonitrus
96,Strömung::N,cerrynt,fluctus
97,Tropfen::N,dafn,gutta
