,Concept_ID,kn,ps
0,Auge::N,ಕಣ್ಣು,سترګه
1,Ohr::N,ಕಿವಿ,غوږ
2,Nase::N,ಮೂಗು,پوزه
3,Mund::N,ಬಾಯಿ,خوله
4,Zahn::N,ಹಲ್ಲು,غاښ
5,Zunge::N,ನಾಲಿಗೆ,جبه
6,Lippe::N,ತುಟಿ,شونډه
7,Wange::N,ಗಲ್ಲ,باړخو
8,Gesicht::N,ಮುಖ,مخ
9,Stirn::N,ಹಣೆ,تندی
10,Stirn::N,ಹಣೆ,وچولی
11,Haar::N,ಕೂದಲು,وېښته
12,Schnurrbart::N,ಮೀಸೆ,برېت
13,Bart::N,ಗಡ್ಡ,ږیره
14,Kinn::N,ಗದ್ದ,زنه
15,Kiefer[Anatomie]::N,ದವಡೆ,جامه
16,Kehle::N,ಗಂಟಲು,غاړه
17,Hals::N,ಕೊರಳು,غاړه
18,Genick::N,ಹಿಂಗತ್ತು,ورمېږ
19,Kopf::N,ತಲೆ,سر
20,Rücken::N,ಬೆನ್ನು,شا
21,Bauch::N,ಹೊಟ್ಟೆ,نس
22,Bauch::N,ಹೊಟ್ಟೆ,ګېډه
23,Nabel::N,ಹೊಕ್ಕುಳು,نوم
24,Busen::N,ಸ್ತನ,تی
25,Brust::N,ಎದೆ,سینه
26,Schulter::N,ಭುಜ,اوږه
27,Arm::N,ತೋಳು,لاس
28,Ellenbogen::N,ಮೊಣಕೈ,څنګل
29,Hand::N,ಕೈ,لاس
30,Handfläche::N,ಅಂಗೈ,ورغوی
31,Finger::N,ಕೈಬೆರಳು,ګوته
32,Fingernagel::N,ಉಗುರು,نوک
33,Nagel[Anatomie]::N,ಉಗುರು,نوک
34,Zeh::N,ಕಾಲ್ಬೆರಳು,ګوته
35,Fuß::N,ಪಾದ,پښه
36,Ferse::N,ಹಿಮ್ಮಡಿ,پونده
37,Knie::N,ಮಂಡಿ,زنګون
38,Oberschenkel::N,ತೊಡೆ,پتون
39,Bein::N,ಕಾಲು,پښه
40,Körper::N,ದೇಹ,ځان
41,Haut::N,ಚರ್ಮ,پوټکی
42,Blut::N,ರಕ್ತ,وینه
43,Ader::N,ನರ,رګ
44,Sehne::N,ನರ,پله
45,Knochen::N,ಮೂಳೆ,هډوکی
46,Gehirn::N,ಮಿದುಳು,ماغزه
47,Herz::N,ಹೃದಯ,زړه
48,Magen::N,ಉದರ,معده
49,Leber::N,ಯಕೃತ್ತು,ينه
50,Leber::N,ಯಕೃತ್ತು,ځیګر
51,Atem::N,ಉಸಿರು,نفس
52,Hunger::N,ಹಸಿವು,ولږه
53,Träne::N,ಕಣ್ಣೀರು,اوښکه
54,Geschmack::N,ರುಚಿ,مزه
55,Geschmack::N,ರುಚಿ,خوند
56,Geruch::N,ವಾಸನೆ,بوی
57,Schlaf::N,ನಿದ್ರೆ,خوب
58,Traum::N,ಕನಸು,خوب
59,Himmel::N,ಬಾನು,اسمان
60,Sonne::N,ಸೂರ್ಯ,لمر
61,Mond::N,ಚಂದ್ರ,سپوږمۍ
