,Concept_ID,lbe,vep
0,Auge::N,я,sil'm
1,Ohr::N,вичӏи,korv
2,Nase::N,май,nena
3,Mund::N,кьацӏ,su
4,Zahn::N,ккарччи,pi
5,Zahn::N,ккарччи,hambaz
6,Zunge::N,маз,kel'
7,Lippe::N,мурччи,hul'
8,Wange::N,чӏав,modpolišk
9,Gesicht::N,лажин,mod
10,Stirn::N,ненттабакӏ,oc
11,Haar::N,чӏара,tuk
12,Haar::N,чӏара,hibuz
13,Schnurrbart::N,ссирссилтту,habinod
14,Bart::N,чӏири,bard
15,Kinn::N,лунттубакӏ,löug
16,Kiefer[Anatomie]::N,ххинчулул,hambazlu
17,Kehle::N,кьакьари,kurk
18,Hals::N,ссурссу,kagl
19,Genick::N,махъабакӏ,tagarai
20,Kopf::N,бакӏ,pä
21,Rücken::N,ттиликӏ,sel'g
22,Bauch::N,лякьа,vac
23,Bauch::N,лякьа,koht
24,Nabel::N,цӏумуккутӏ,naba
25,Busen::N,ккукку,niža
26,Brust::N,хъазам,rind
27,Schulter::N,хъачӏ,oug
28,Arm::N,ка,käzi
29,Ellenbogen::N,ссюрхъ,künambruz
30,Hand::N,бартка,käzi
31,Hand::N,бартка,käzitera
32,Handfläche::N,хъат,kämen
33,Handfläche::N,битӏянхъ,kämen
34,Finger::N,кӏисса,sor'm
35,Fingernagel::N,михь,künz'
36,Nagel[Anatomie]::N,михь,künz'
37,Zeh::N,кӏисса,barbaz
38,Fuß::N,чӏанччан,jaug
39,Ferse::N,никъа,kand
40,Knie::N,ник,komb
41,Knie::N,ник,pol'v
42,Oberschenkel::N,жира,riiže
43,Bein::N,ччан,jaug
44,Körper::N,чурх,hibj
45,Haut::N,бурчу,nahk
46,Blut::N,оь,čak
47,Blut::N,оь,veri
48,Ader::N,тунну,son'
49,Sehne::N,хьхьа,jände
50,Knochen::N,ттаркӏ,lu
51,Gehirn::N,ня,aivod
52,Herz::N,дакӏ,südäin
53,Herz::N,къюкӏ,südäin
54,Magen::N,лякьа,südäikoht
55,Atem::N,ссихӏ ласаву,hengaiduz
56,Atem::N,ссихӏ бигьаву,hengaiduz
57,Hunger::N,ккаши,näl'g
58,Träne::N,макь,kündal'
59,Geschmack::N,тӏин,magu
60,Geschmack::N,тӏааьн,magu
61,Geruch::N,кьанкь,haju
62,Schlaf::N,шану,uni
63,Traum::N,макӏру,unikuva
64,Himmel::N,ссав,taivaz
65,Sonne::N,баргъ,päiväine
66,Mond::N,барз,kudmaine
67,Stern::N,цӏуку,tähtaz
68,Luft::N,гьава,il'm
69,Wind::N,марч,döl
70,Wind::N,марч,tullei
71,Welle::N,щатӏи,ald
72,Welle::N,щатӏи,laineh
73,Wasser::N,щин,vezi
74,Stein::N,чару,kivi
75,Boden::N,аьрщи,ma
76,Boden::N,аьрщи,pohj
77,Erde::N,аьрщи,ma
78,Staub::N,ххит,pölü
79,Rauch::N,пуркӏу,savu
80,Funke::N,пиягь,kibin
81,Feuer::N,цӏу,lämoi
82,Licht::N,чани,vauktuz
83,Schatten::N,ххют,pil'vez
84,Schatten::N,ххют,kuvahaine
85,Wetter::N,гьава,sä
86,Nebel::N,шархь ттурлу,sumeg
87,Wolke::N,ттурлу,pil'v
88,Regen::N,гъарал,vihm
89,Schnee::N,марххала,lumi
90,Eis::N,микӏ,jä
91,Frost::N,дяркъу,hala
92,Frost::N,дяркъу,pakaine
93,Frost::N,замгьар,hala
94,Frost::N,замгьар,pakaine
95,Kälte::N,дяркъу,vilu
96,Hitze::N,кӏиришиву,räk
97,Raureif::N,сил,hüde
98,Raureif::N,бурса,hüde
99,Regenbogen::N,ссурул ккуртта,jumalanbembel'
100,Donner::N,къув,juru
101,Donner::N,къув,jumalanjuru
102,Strömung::N,экьинанаву,joksmuz
103,Tropfen::N,кӏунтӏ,tilkuine
104,Schaum::N,хьама,vaht
105,Schmutz::N,кьяркьи,redu
106,Schmutz::N,кьяркьи,pačak
107,See::N,бяр,järv
108,Sumpf::N,кунцӏа,so
109,Wiese::N,кьан,nit
110,Wald::N,вацӏа,mec
111,Hügel::N,бакӏу,kukaz
112,Berg::N,зунтту,mägi
113,Gipfel::N,мицӏ,ladv
114,Höhle::N,нух,mägionduz
115,Abhang::N,сун,paute
116,Quelle::N,дайдихьу,lähte
117,Quelle::N,бакӏ,lähte
118,Bach::N,чӏрир нех,oja
119,Fluss::N,нех,jogi
120,Ufer::N,зума,rand
121,Küste::N,зумаинхалу,randišt
122,Küste::N,зуманицӏалу,randišt
123,Festland::N,кьири,kuivma
124,Meer::N,хьхьири,meri
125,Insel::N,жазира,sar'
126,Blume::N,тӏутӏи,änik
127,Gras::N,уртту,hein
128,Wurzel::N,мархха,jur'
129,Baum::N,мурхь,pu
130,Stamm::N,ттарцӏ,tüvi
131,Rinde::N,ккамара,kor'
132,Ast::N,матӏи,oks
133,Zweig::N,къяртта,oks
134,Zweig::N,къяртта,barb
135,Blatt::N,чӏапӏи,lehtez
136,Birke::N,кӏялахӏи,koiv
137,Birke::N,кӏялахӏилул мурхь,koiv
138,Kiefer[Baum]::N,ттар,pedai
139,Kiefer[Baum]::N,ттарлил мурхь,pedai
140,Weide[Baum]::N,щавщи,raid
141,Tanne::N,ттарлил мурхь,kuz'
142,Horn::N,хъи,sar'v
143,Feder::N,лелуххул тӏиму,höuneh
144,Fell::N,бурчу,nahk
145,Flügel::N,хъа,suug
146,Flügel::N,ххурупӏайрал тӏиму,suug
147,Klaue::N,михь,künz'
148,Kralle::N,ххяппа,künz'
149,Schwanz::N,магъ,händ
150,Ei::N,ккунук,muna
151,Nest::N,кюру,peza
152,Bau::N,цукъуккутӏ,uru
153,Tier::N,хӏайван,živat
154,Herde::N,газу,kogo
155,Kuh::N,оьл,lehm
156,Bulle::N,ниц,härg
157,Pferd::N,чу,hebo
158,Schaf::N,тта,lambaz
159,Schwein::N,дунгъуз,siga
160,Hund::N,ккаччи,koir
161,Katze::N,ччиту,kaži
162,Bär::N,цуша,kondi
163,Eichhörnchen::N,бюрхттукку,orav
164,Elch::N,ниц-бюрин,hirb'
165,Fuchs::N,цулчӏа,reboi
166,Fuchs::N,куча цулчӏа,reboi
167,Hase::N,бюрх,jäniš
168,Maus::N,кӏулу,hir'
169,Wolf::N,барцӏ,händikaz
170,Vogel::N,лелуххи,lind
171,Schwarm::N,гьухъала,parveh
172,Huhn::N,аьнакӏи,kana
173,Hahn::N,ажари,kukoi
174,Gans::N,къаз,hanh'
175,Adler::N,барзу,orl
176,Ente::N,урдак,sorz
177,Eule::N,ису,hir'pulo
178,Eule::N,ччиккумяв,hir'pulo
179,Kranich::N,кьурукь,kurg
180,Krähe::N,хъатӏу,variš
181,Kuckuck::N,ччикку,kägi
182,Schwan::N,урттил къаз,joucen
183,Fisch::N,чавахъ,kala
184,Schlange[Tier]::N,шатта,kü
185,Schlange[Tier]::N,шатта,mado
186,Wurm::N,кьюнукьай шатта,mado
187,Spinne::N,ххялцу,hämähouk
188,Ameise::N,митӏикьукьу,murahaine
189,Mücke::N,мичӏак,säs'k
190,Fliege::N,зимиз,kärbhaine
191,Schmetterling::N,чӏимучӏали,lipkaine
192,Beere::N,хӏаллил ахъулсса,marj
193,Apfel::N,гьивч,jablok
194,Pilz::N,ттуккул иис,sen'
195,Pilz::N,ттуккул иис,babuk
196,Zwiebel::N,лаччул чсмусул бакӏ,lauk
197,Saat::N,гьанна,semned
198,Korn::N,къама,jüvä
199,Korn::N,къама,vill'
200,Heu::N,ххулув,hein
201,Schale::N,ккиртту,kor'
202,Grube::N,кӏаланг,kop
203,Falle::N,къатӏа,rida
204,Schlinge::N,хӏатӏ,rihm
205,Spur::N,ша,jäl'g
206,Asche::N,лах,tuhk
207,Dreck::N,кьяркьи,redu
208,Dreck::N,кьяркьи,pačak
209,Dreck::N,венп,redu
210,Dreck::N,венп,pačak
211,Eisen::N,мах,raud
212,Gold::N,муси,kuld
213,Silber::N,арцу,hobed
214,Kohle::N,кӏалаш,hil'
215,Kohle::N,хъуручӏ,hil'
216,Glas::N,пюрун,stökol
217,Lehm::N,сина аьрщи,savi
218,Sand::N,къун,lete
219,Mensch::N,инсан,mez'
220,Mensch::N,инсан,ristit
221,Mann::N,чув,mez'
222,Mann::N,адимина,mez'
223,Frau::N,щарсса,naine
224,Frau::N,хъамитайпа,naine
225,Kind::N,чӏиви оьрчӏ,laps'
226,Junge::N,оьрчӏ,poig
227,Junge::N,оьрчӏ,prihaine
228,Junge::N,бурхьин оьрчӏ,poig
229,Junge::N,бурхьин оьрчӏ,prihaine
230,Mädchen::N,душ,neičukaine
231,Familie::N,кулпат,kanz
232,Familie::N,кулпат,pereh
233,Großvater::N,ттатта,ded
234,Großvater::N,ниттил ппу,ded
235,Großmutter::N,буттал нину,bab
236,Eltern::N,нину-ппу,vanhembad
237,Eltern::N,нину-ппу,kazvatajad
238,Vater::N,ппу,tat
239,Mutter::N,нину,mam
240,Sohn::N,арс,poig
241,Tochter::N,душ,tütär
242,Bruder::N,уссу,veik
243,Bruder::N,уссу,vell'
244,Schwester::N,ссу,čiža
245,Schwester::N,ссу,sizar
246,Onkel::N,буттауссу,däd'
247,Tante::N,буттал ссу,tädi
248,Ehemann::N,лас,mužik
249,Ehefrau::N,щар,ak
250,Ehefrau::N,щарсса,ak
251,Freude::N,шадшиву,ilo
252,Freude::N,шадшиву,ihastuz
253,Freude::N,ххаришиву,ilo
254,Freude::N,ххаришиву,ihastuz
255,Gelächter::N,хъяхъаву,nagr
256,Glück::N,талихӏ,oza
257,Kummer::N,дард,gor'a
258,Wunsch::N,мурад,taht
259,Lust::N,гьавас,himo
260,Lust::N,ччаву,himo
261,Geist::N,рухӏ,heng
262,Gedanke::N,пикри,meletuz
263,Gedächtnis::N,дакӏний личӏаву,mušt
264,Verstand::N,аькьлу,mel'
265,Sinn::N,мяъна,jüvä
266,Grund::N,багьана,sü
267,Wahrheit::N,тӏайламур,tozi
268,Wahrheit::N,хӏакьмур,tozi
269,Gespräch::N,ихтилат,lodu
270,Gespräch::N,ихтилат,pagin
271,Märchen::N,магьа,sarn
272,Erzählung::N,хавар,sanutez
273,Nachricht::N,хавар,tedotuz
274,Neuigkeit::N,хавар,uzištuz
275,Name::N,цӏа,nimi
276,Rätsel::N,ссигьа,ozoitez
277,Rede::N,гъалгъа,pagin
278,Rede::N,гъалгъа,sanad
279,Sprache::N,маз,kel'
280,Stimme::N,чӏу,än'
281,Stimme::N,чӏукӏа,än'
282,Wort::N,махъ,sana
283,Zeichen::N,лишан,znam
284,Lärm::N,чӏу,judu
285,Laut::N,чӏу,kulund
286,Ton::N,чӏу,kulund
287,Lied::N,балай,pajo
288,Ruhe::N,дигьалагру,lebu
289,Leute::N,инсантал,rahvaz
290,Volk::N,ил,rahvaz
291,Volk::N,халкь,rahvaz
292,Arbeit::N,заву,tö
293,Arbeit::N,заву,rad
294,Gast::N,хъамаличу,adiv
295,Geschenk::N,бухчакарши,lahj
296,Geschenk::N,лажинккакку,lahj
297,Spiel::N,тӏуркӏу,vänd
298,Gesellschaft::N,жямат,sebr
299,Gesellschaft::N,ккуран,sebr
300,Hilfe::N,кумаг,abu
301,Freund::N,дус,sebranik
302,Kamerad::N,хӏаласу,sebranik
303,Angelegenheit::N,иш,azj
304,Anzahl::N,аьдад,lugu
305,Art::N,жинс,rod
306,Art::N,жинс,rodsugu
307,Stück::N,касак,pala
308,Stück::N,касак,supal
309,Teil::N,бутӏа,pala
310,Hälfte::N,дачӏи,pol'
311,Kreis::N,кюрщан,ümbruz
312,Kreis::N,кюрщан,kehkruz
313,Kreuz::N,ххач,rist
314,Linie::N,щва,pird
315,Strich::N,щва,pird
316,Abstand::N,манзил,keskust
317,Entfernung::N,манзил,matk
318,Gegend::N,кӏану,taho
319,Ort::N,кӏану,koht
320,Seite::N,чул,pol'
321,Seite::N,чул,kül'g
322,Seite::N,чулухалу,pol'
323,Seite::N,чулухалу,kül'g
324,Mitte::N,дя,kesk
325,Gegenstand::N,зат,kalu
326,Sache::N,зат,azj
327,Rand::N,зума,röun
328,Ecke::N,мурцӏу,saum
329,Spitze::N,мицӏ,agjaine
330,Ende::N,зума,agj
331,Loch::N,ккутӏ,reig
332,Winkel::N,мурцӏу,čoga
333,Winkel::N,мурцӏу,saum
334,Muster::N,накьич,kirjam
335,Länge::N,лахъишиву,piduz
336,Höhe::N,лахъшиву,korktuz'
337,Gewicht::N,дуццин,jügu
338,Gewicht::N,дуццин,vedäduz
339,Gewicht::N,кӏушиву,jügu
340,Gewicht::N,кӏушиву,vedäduz
341,Haufen::N,бакӏу,kogo
342,Reihe::N,кьюкьа,rivi
343,Boot::N,луткка,veneh
344,Ruder::N,весло,air
345,Ruder::N,чӏатӏа,air
346,Schlitten::N,чана,regi
347,Schlitten::N,чана,regut
348,Schlitten::N,санкка,regi
349,Schlitten::N,санкка,regut
350,Ski::N,лижарду,suks'
351,Lagerfeuer::N,къавтӏн,nodj
352,Lagerfeuer::N,къавтӏн,pažag
353,Last::N,гьиву,jüguz
354,Gang::N,нанаву,astund
355,Schritt::N,ша,hašk
356,Norden::N,ухссав,pohjoine
357,Norden::N,ухссавнил чулухалу,pohjoine
358,Süden::N,кьилва,suvi
359,Westen::N,баргълагавал,päivlaskm
360,Westen::N,баргълагавал чул,päivlaskm
361,Osten::N,баргъбуккай чулухалу,päivnouzm
362,Holz::N,тӏама,pu
363,Brett::N,тахта,laud
364,Platte::N,гъуни,keitim
365,Stütze::N,гьалакӏу,tugi
366,Stange::N,къазихъ,arz'
367,Stock::N,ттархь,kalu
368,Stab::N,ччантӏакъу,seibaz
369,Rohr::N,бургъу,torv
370,Haus::N,къатта,pert'
371,Heim::N,къатта,kodi
372,Ofen::N,пач,päč
373,Fußboden::N,чӏанкъатта,lava
374,Tisch::N,усттул,laud
375,Tisch::N,усттул,stal'c
376,Stuhl::N,кӏану,ištim
377,Wiege::N,оьрчӏал кӏану,kätte
378,Bett::N,тах,sija
379,Bett::N,тах,magaduzsija
380,Regal::N,чӏаму,palič
381,Kiste::N,яшикӏ,mülütim
382,Kiste::N,къурши,mülütim
383,Fenster::N,чӏавахьулу,ikun
384,Tür::N,нуз,uks'
385,Tür::N,нузкьун,uks'
386,Tor::N,къапу,verai
387,Tor::N,дарваза,verai
388,Zaun::N,дайгьузанну,aid
389,Dach::N,магъи,katuz
390,Dach::N,цӏиялу,katuz
391,Leiter::N,чуртту,pordhad
392,Besen::N,чӏатлу,lud
393,Besen::N,чӏатлу,vast
394,Spaten::N,бил,labid
395,Schaufel::N,чӏатӏа,labid
396,Gabel::N,гьиссилу,hangoine
397,Löffel::N,къуса,luzik
398,Messer::N,чӏила,veič
399,Nagel::N,мяр,nagl
400,Netz::N,къери,verk
401,Haken::N,къича,kouk
402,Griff::N,куяму,kägä
403,Griff::N,куяму,varz'
404,Schloss::N,кьункьула,lukkol
405,Bild::N,сурат,kuva
406,Puppe::N,ссихьу,tätüine
407,Beutel::N,чантай,havad
408,Bündel::N,гьи,toppaz
409,Bündel::N,гьи,käč
410,Bündel::N,къар,toppaz
411,Bündel::N,къар,käč
412,Eimer::N,бадра,vädr
413,Deckel::N,къапаза,katuz
414,Geschirr::N,пюрунчӏул,astii
415,Geschirr::N,тӏахӏникӏичӏу,astii
416,Sack::N,къап,havad
417,Sack::N,дарваг,havad
418,Tasse::N,пижан,čašk
419,Tasse::N,пинжан,čašk
420,Tasse::N,инкираччатӏи,čašk
421,Tasse::N,цинцилттал бушкъап,čašk
422,Topf::N,кӏункӏур,pada
423,Kessel::N,чаг,katil
424,Kessel::N,кӏункӏур,katil
425,Essen::N,дукия,sönd
426,Essen::N,дукин,sönd
427,Nahrung::N,дукра,söm
428,Speise::N,дукра,sömine
429,Fleisch::N,дикӏ,liha
430,Getreide::N,къама,vill'
431,Brei::N,ккурч,pudr
432,Brot::N,ччатӏ,leib
433,Scheibe::N,парча,bibaleh
434,Scheibe::N,парча,šlik
435,Fett::N,аьгъушиву,razv
436,Butter::N,нагь,voi
437,Butter::N,лагаву,voi
438,Salz::N,цӏву,sol
439,Suppe::N,накь,lem'
440,Suppe::N,накь,keitoz
441,Honig::N,ницӏ,mezi
442,Milch::N,накӏ,maid
443,Tee::N,чяй,čai
444,Leder::N,бурчу,nahk
445,Wolle::N,ппал,vill
446,Stoff::N,янна,kangaz
447,Nadel::N,ххалаххи,negl
448,Faden::N,ххал,nit'
449,Knopf::N,банд,nübl'
450,Knoten::N,къурхъ,sol'm
451,Farbe::N,сир,muju
452,Kleidung::N,янна,sobad
453,Kleidung::N,лаххия,sobad
454,Hemd::N,гьухъа,paid
455,Kragen::N,дарвач,kagluz
456,Ärmel::N,кахха,hijam
457,Hose::N,хӏажак,štanad
458,Gürtel::N,мухӏлу,vö
459,Mütze::N,кьяпа,šapuk
