,Concept_ID,fi,lez
0,Auge::N,silmä,вил
1,Ohr::N,korva,яб
2,Nase::N,nenä,нер
3,Mund::N,suu,сив
4,Zahn::N,hammas,сас
5,Zahn::N,hammas,свах
6,Zunge::N,kieli,мез
7,Lippe::N,huuli,пӏуз
8,Wange::N,poski,хъвехъ
9,Gesicht::N,naama,ччин
10,Gesicht::N,kasvot,ччин
11,Stirn::N,otsa,пел
12,Haar::N,hius,чӏар
13,Haar::N,tukka,чӏар
14,Schnurrbart::N,viikset,спел
15,Schnurrbart::N,viikset,спелар
16,Bart::N,parta,ччуру
17,Kinn::N,leuka,чене
18,Kiefer[Anatomie]::N,leukaluu,чене
19,Kehle::N,kurkku,туьд
20,Hals::N,kaula,гардан
21,Genick::N,niska,кьам
22,Kopf::N,pää,кьил
23,Rücken::N,selkä,далу
24,Bauch::N,maha,руфун
25,Bauch::N,vatsa,руфун
26,Nabel::N,napa,пицӏ
27,Busen::N,rinta,мам
28,Brust::N,rinta,хур
29,Schulter::N,olka,къуьн
30,Schulter::N,hartia,къуьн
31,Schulter::N,olkapää,къуьн
32,Arm::N,käsivarsi,гъил
33,Ellenbogen::N,kyynärpää,кьуьнт
34,Hand::N,käsi,капаш
35,Handfläche::N,kämmen,капан юкь
36,Finger::N,sormi,тӏуб
37,Fingernagel::N,kynsi,кек
38,Nagel[Anatomie]::N,kynsi,кек
39,Zeh::N,varvas,кул
40,Fuß::N,jalka,кӏвач
41,Ferse::N,kantapää,дабан
42,Knie::N,polvi,мет
43,Oberschenkel::N,reisi,
44,Bein::N,jalka,кӏвач
45,Körper::N,keho,беден
46,Körper::N,ruumis,беден
47,Haut::N,iho,хам
48,Blut::N,veri,иви
49,Ader::N,suoni,дамар
50,Sehne::N,jänne,кьуру дамар
51,Knochen::N,luu,кӏараб
52,Gehirn::N,aivot,мефт
53,Herz::N,sydän,рикӏ
54,Magen::N,maha,хук
55,Magen::N,vatsa,хук
56,Leber::N,maksa,лекь
57,Atem::N,henki,ял
58,Atem::N,henki,нефес
59,Atem::N,hengitys,ял
