,Concept_ID,de,lbe
103,Höhle::N,Höhle,нух
104,Abhang::N,Abhang,сун
105,Quelle::N,Quelle,дайдихьу
106,Quelle::N,Quelle,бакӏ
107,Bach::N,Bach,чӏрир нех
108,Fluss::N,Fluss,нех
109,Ufer::N,Ufer,зума
110,Küste::N,Küste,зумаинхалу
111,Küste::N,Küste,зуманицӏалу
112,Festland::N,Festland,кьири
113,Meer::N,Meer,хьхьири
114,Bucht::N,Bucht,
115,Insel::N,Insel,жазира
116,Blume::N,Blume,тӏутӏи
117,Gras::N,Gras,уртту
118,Wurzel::N,Wurzel,мархха
119,Baum::N,Baum,мурхь
120,Stamm::N,Stamm,ттарцӏ
121,Rinde::N,Rinde,ккамара
122,Ast::N,Ast,матӏи
123,Zweig::N,Zweig,къяртта
124,Blatt::N,Blatt,чӏапӏи
125,Birke::N,Birke,кӏялахӏи
126,Birke::N,Birke,кӏялахӏилул мурхь
127,Kiefer[Baum]::N,Kiefer,ттар
128,Kiefer[Baum]::N,Kiefer,ттарлил мурхь
129,Weide[Baum]::N,Weide,щавщи
130,Tanne::N,Tanne,ттарлил мурхь
131,Horn::N,Horn,хъи
132,Feder::N,Feder,лелуххул тӏиму
133,Fell::N,Fell,бурчу
134,Flügel::N,Flügel,хъа
135,Flügel::N,Flügel,ххурупӏайрал тӏиму
136,Klaue::N,Klaue,михь
137,Kralle::N,Kralle,ххяппа
138,Schwanz::N,Schwanz,магъ
139,Ei::N,Ei,ккунук
140,Nest::N,Nest,кюру
141,Bau::N,Bau,цукъуккутӏ
142,Tier::N,Tier,хӏайван
143,Herde::N,Herde,газу
144,Kuh::N,Kuh,оьл
145,Bulle::N,Bulle,ниц
146,Pferd::N,Pferd,чу
147,Schaf::N,Schaf,тта
148,Schwein::N,Schwein,дунгъуз
149,Hund::N,Hund,ккаччи
150,Katze::N,Katze,ччиту
151,Bär::N,Bär,цуша
152,Eichhörnchen::N,Eichhörnchen,бюрхттукку
153,Elch::N,Elch,ниц-бюрин
154,Fuchs::N,Fuchs,цулчӏа
155,Fuchs::N,Fuchs,куча цулчӏа
156,Hase::N,Hase,бюрх
157,Maus::N,Maus,кӏулу
158,Wolf::N,Wolf,барцӏ
159,Vogel::N,Vogel,лелуххи
160,Schwarm::N,Schwarm,гьухъала
161,Huhn::N,Huhn,аьнакӏи
162,Hahn::N,Hahn,ажари
163,Gans::N,Gans,къаз
164,Adler::N,Adler,барзу
165,Ente::N,Ente,урдак
166,Eule::N,Eule,ису
167,Eule::N,Eule,ччиккумяв
168,Kranich::N,Kranich,кьурукь
169,Krähe::N,Krähe,хъатӏу
170,Kuckuck::N,Kuckuck,ччикку
171,Schwan::N,Schwan,урттил къаз
172,Fisch::N,Fisch,чавахъ
173,Barsch::N,Barsch,
174,Hecht::N,Hecht,
175,Schlange[Tier]::N,Schlange,шатта
176,Wurm::N,Wurm,кьюнукьай шатта
177,Spinne::N,Spinne,ххялцу
178,Ameise::N,Ameise,митӏикьукьу
179,Laus::N,Laus,
180,Mücke::N,Mücke,мичӏак
181,Fliege::N,Fliege,зимиз
182,Schmetterling::N,Schmetterling,чӏимучӏали
183,Beere::N,Beere,хӏаллил ахъулсса
184,Apfel::N,Apfel,гьивч
185,Pilz::N,Pilz,ттуккул иис
186,Zwiebel::N,Zwiebel,лаччул чсмусул бакӏ
187,Saat::N,Saat,гьанна
188,Korn::N,Korn,къама
189,Heu::N,Heu,ххулув
190,Schale::N,Schale,ккиртту
191,Grube::N,Grube,кӏаланг
192,Falle::N,Falle,къатӏа
193,Schlinge::N,Schlinge,хӏатӏ
194,Spur::N,Spur,ша
195,Asche::N,Asche,лах
196,Dreck::N,Dreck,кьяркьи
197,Dreck::N,Dreck,венп
198,Eisen::N,Eisen,мах
199,Gold::N,Gold,муси
200,Silber::N,Silber,арцу
201,Kohle::N,Kohle,кӏалаш
202,Kohle::N,Kohle,хъуручӏ
203,Glas::N,Glas,пюрун
204,Lehm::N,Lehm,сина аьрщи
205,Sand::N,Sand,къун
206,Mensch::N,Mensch,инсан
207,Mann::N,Mann,чув
208,Mann::N,Mann,адимина
209,Frau::N,Frau,щарсса
210,Frau::N,Frau,хъамитайпа
211,Kind::N,Kind,чӏиви оьрчӏ
212,Junge::N,Junge,оьрчӏ
213,Junge::N,Junge,бурхьин оьрчӏ
214,Mädchen::N,Mädchen,душ
215,Familie::N,Familie,кулпат
216,Großvater::N,Großvater,ттатта
217,Großvater::N,Großvater,ниттил ппу
218,Großmutter::N,Großmutter,буттал нину
219,Eltern::N,Eltern,нину-ппу
220,Vater::N,Vater,ппу
221,Mutter::N,Mutter,нину
222,Sohn::N,Sohn,арс
223,Tochter::N,Tochter,душ
224,Bruder::N,Bruder,уссу
225,Schwester::N,Schwester,ссу
226,Onkel::N,Onkel,буттауссу
227,Tante::N,Tante,буттал ссу
228,Ehemann::N,Ehemann,лас
229,Ehefrau::N,Ehefrau,щар
230,Ehefrau::N,Ehefrau,щарсса
231,Freude::N,Freude,шадшиву
232,Freude::N,Freude,ххаришиву
233,Gelächter::N,Gelächter,хъяхъаву
234,Glück::N,Glück,талихӏ
235,Kummer::N,Kummer,дард
236,Wunsch::N,Wunsch,мурад
237,Lust::N,Lust,гьавас
238,Lust::N,Lust,ччаву
239,Geist::N,Geist,рухӏ
240,Gedanke::N,Gedanke,пикри
241,Gedächtnis::N,Gedächtnis,дакӏний личӏаву
242,Verstand::N,Verstand,аькьлу
243,Sinn::N,Sinn,мяъна
244,Grund::N,Grund,багьана
245,Wahrheit::N,Wahrheit,тӏайламур
246,Wahrheit::N,Wahrheit,хӏакьмур
247,Gespräch::N,Gespräch,ихтилат
