,Concept_ID,bg,fa
0,Auge::N,око,چشم
1,Ohr::N,ухо,گوش
2,Nase::N,нос,بینی
3,Mund::N,уста,دهان
4,Zahn::N,зъб,دندان
5,Zunge::N,език,زبان
6,Lippe::N,устна,لب
7,Wange::N,буза,لپ
8,Gesicht::N,лице,رو
9,Gesicht::N,лице,چهره
10,Gesicht::N,образ,رو
11,Gesicht::N,образ,چهره
12,Stirn::N,чело,پیشانی
13,Haar::N,коса,مو
14,Haar::N,косъм,مو
15,Schnurrbart::N,мустаци,سبیل
16,Bart::N,брада,ریش
17,Kinn::N,брада,چانه
18,Kinn::N,брадичка,چانه
19,Kiefer[Anatomie]::N,челюст,فک
20,Kiefer[Anatomie]::N,челюст,آرواره
21,Kehle::N,гърло,حلق
22,Hals::N,врат,گردن
23,Genick::N,тил,پشت گردن
24,Kopf::N,глава,سر
25,Kopf::N,глава,کله
26,Rücken::N,гръб,پشت
27,Bauch::N,корем,شکم
28,Nabel::N,пъп,ناف
29,Busen::N,бозка,پستان
30,Brust::N,гръд,سینه
31,Schulter::N,рамо,دوش
32,Schulter::N,рамо,شانه
33,Schulter::N,плещи,دوش
34,Schulter::N,плещи,شانه
35,Arm::N,ръка,بازو
36,Ellenbogen::N,лакът,آرنج
37,Hand::N,ръка,دست
38,Hand::N,китка,دست
39,Handfläche::N,длан,کف دست
40,Finger::N,пръст,انگشت
41,Fingernagel::N,нокът,ناخن دست
42,Nagel[Anatomie]::N,нокът,ناخن
43,Zeh::N,пръст на крак,انگشت پا
44,Fuß::N,крак,پا
45,Fuß::N,нога,پا
46,Ferse::N,пета,پاشنه
47,Knie::N,коляно,زانو
48,Oberschenkel::N,бедро,ران
49,Bein::N,крак,پا
50,Bein::N,крак,لنگ
51,Bein::N,нога,پا
52,Bein::N,нога,لنگ
53,Körper::N,тяло,تن
54,Körper::N,тяло,بدن
55,Haut::N,кожа,پوست
56,Blut::N,кръв,خون
57,Ader::N,вена,رگ
58,Ader::N,артерия,رگ
59,Sehne::N,жила,زردپی
60,Sehne::N,сухожилие,زردپی
61,Knochen::N,кост,استخوان
62,Gehirn::N,мозък,مخ
63,Gehirn::N,мозък,مغز
64,Herz::N,сърце,دل
65,Herz::N,сърце,قلب
66,Magen::N,стомах,معده
67,Leber::N,черен дроб,کبد
68,Atem::N,дишане,نفس
69,Hunger::N,глад,گرسنگی
70,Träne::N,сълза,اشک
71,Geschmack::N,вкус,مزه
72,Geruch::N,миризма,بو
73,Schlaf::N,сън,خواب
74,Traum::N,сън,رؤیا
75,Himmel::N,небе,فلک
76,Himmel::N,небе,آسمان
77,Sonne::N,слънце,آفتاب
78,Sonne::N,слънце,خورشید
79,Mond::N,луна,ماه
80,Mond::N,месец,ماه
81,Stern::N,звезда,ستاره
82,Luft::N,въздух,هوا
83,Wind::N,вятър,باد
84,Welle::N,вълна,موج
85,Wasser::N,вода,آب
86,Stein::N,камък,سنگ
87,Boden::N,земя,زمین
88,Boden::N,почва,زمین
89,Erde::N,земя,خاک
90,Erde::N,земя,زمین
91,Erde::N,почва,خاک
92,Erde::N,почва,زمین
93,Staub::N,прах,گرد
94,Staub::N,прах,غبار
95,Rauch::N,дим,دود
96,Rauch::N,пушек,دود
97,Funke::N,искра,جرقه
98,Feuer::N,огън,آتش
99,Licht::N,светлина,نور
100,Licht::N,светлина,روشنی
101,Schatten::N,сянка,سایه
102,Wetter::N,време,هوا
103,Nebel::N,мъгла,مه
104,Wolke::N,облак,ابر
105,Regen::N,дъжд,باران
106,Schnee::N,сняг,برف
107,Eis::N,лед,یخ
108,Frost::N,мраз,یخبندان
109,Kälte::N,студ,سرما
110,Hitze::N,жега,گرما
111,Hitze::N,жега,حرارت
112,Hitze::N,горещина,گرما
113,Hitze::N,горещина,حرارت
114,Raureif::N,скреж,برف ریزه
115,Raureif::N,слана,برف ریزه
116,Regenbogen::N,дъга,رنگین‌کمان
117,Donner::N,гръм,رعد
118,Strömung::N,течение,جریان
119,Tropfen::N,капка,قطره
120,Schaum::N,пяна,کف
121,Schmutz::N,кал,گل
122,Schmutz::N,кал,کثافت
123,Schmutz::N,мръсотия,گل
124,Schmutz::N,мръсотия,کثافت
125,See::N,езеро,دریاچه
126,Sumpf::N,блато,مرداب
127,Sumpf::N,блато,باتلاق
128,Moor::N,мочурище,باتلاق
129,Wiese::N,ливада,چمن
130,Wald::N,гора,جنگل
131,Hügel::N,рид,تل
132,Hügel::N,рид,تپه
133,Hügel::N,хълм,تل
134,Hügel::N,хълм,تپه
135,Anhöhe::N,могила,بلندی
136,Anhöhe::N,възвишение,بلندی
137,Berg::N,планина,کوه
138,Gipfel::N,връх,قله
139,Höhle::N,пещера,غار
140,Abhang::N,склон,سرازیری
141,Abhang::N,стръмнина,سرازیری
142,Quelle::N,извор,چشمه
143,Bach::N,поток,نهر
144,Fluss::N,река,رود
145,Ufer::N,бряг,ساحل
146,Ufer::N,бряг,کرانه
147,Küste::N,бряг,ساحل
148,Küste::N,крайбрежие,ساحل
149,Festland::N,суша,خشکی
150,Meer::N,море,دریا
151,Bucht::N,залив,خلیج
152,Insel::N,остров,جزیره
153,Blume::N,цвете,گل
154,Gras::N,трева,علف
155,Wurzel::N,корен,ریشه
156,Baum::N,дърво,درخت
157,Stamm::N,стъбло,تنه
158,Rinde::N,кора,توژ
159,Rinde::N,кора,پوست
160,Ast::N,клон,شاخه
161,Zweig::N,клон,شاخه
162,Blatt::N,лист,برگ
163,Birke::N,бреза,غان
164,Kiefer[Baum]::N,бор,کاج
165,Weide[Baum]::N,върба,بید
166,Tanne::N,ела,صنوبر
167,Horn::N,рог,شاخ
168,Feder::N,перо,پر
169,Fell::N,кожа,خز
170,Flügel::N,крило,پر
171,Flügel::N,крило,بال
172,Klaue::N,нокът,چنگ
173,Klaue::N,нокът,پنجه
174,Kralle::N,нокът,پنجه
