,Concept_ID,hi,ja
0,Auge::N,आँख,目
1,Auge::N,चक्षु,目
2,Ohr::N,कान,耳
3,Ohr::N,कर्ण,耳
4,Nase::N,नाक,鼻
5,Nase::N,नासा,鼻
6,Mund::N,मुख,口
7,Mund::N,मुँह,口
8,Zahn::N,दंत,歯
9,Zahn::N,दाँत,歯
10,Zunge::N,जीभ,舌
11,Zunge::N,ज़बान,舌
12,Zunge::N,जिह्वा,舌
13,Lippe::N,ओंठ,唇
14,Lippe::N,होंठ,唇
15,Wange::N,गाल,頬
16,Wange::N,कपोल,頬
17,Gesicht::N,मुँह,顔
18,Gesicht::N,चेहरा,顔
19,Stirn::N,माथा,額
20,Stirn::N,मस्तक,額
21,Haar::N,बाल,髪
22,Schnurrbart::N,मूँछें,口髭
23,Bart::N,दाढ़ी,髭
24,Kinn::N,चिबुक,顎
25,Kiefer[Anatomie]::N,जबड़ा,顎
26,Kehle::N,गला,喉
27,Hals::N,गला,首
28,Hals::N,गरदन,首
29,Genick::N,गरदन,首
30,Genick::N,ग्रीवा,首
31,Kopf::N,सिर,頭
32,Kopf::N,शीर्ष,頭
33,Rücken::N,पीठ,背中
34,Bauch::N,उदर,腹
35,Bauch::N,उदर,お腹
36,Nabel::N,नाभि,へそ
37,Nabel::N,ढोंढी,へそ
38,Busen::N,कुच,乳房
39,Busen::N,स्तन,乳房
40,Brust::N,वक्ष,胸
41,Schulter::N,कंधा,肩
42,Schulter::N,स्कंध,肩
43,Arm::N,बाँह,腕
44,Arm::N,बाज़ू,腕
45,Ellenbogen::N,कुहनी,肘
46,Hand::N,हाथ,手
47,Hand::N,हस्त,手
48,Handfläche::N,हथेली,手のひら
49,Finger::N,उँगली,指
50,Finger::N,अँगुली,指
51,Fingernagel::N,नख,爪
52,Fingernagel::N,नाख़ून,爪
53,Nagel[Anatomie]::N,नख,爪
54,Nagel[Anatomie]::N,नाख़ून,爪
55,Zeh::N,उँगली,足の指
56,Zeh::N,पाँव की उँगली,足の指
57,Fuß::N,चरण,足
58,Fuß::N,पाँव,足
59,Ferse::N,एड़ी,かかと
60,Knie::N,जानु,膝
61,Knie::N,घुटना,膝
62,Oberschenkel::N,उरु,上腿
63,Bein::N,टाँग,足
64,Körper::N,तन,体
65,Körper::N,देह,体
66,Körper::N,शरीर,体
67,Haut::N,चर्म,皮膚
68,Haut::N,त्वचा,皮膚
69,Blut::N,लहू,血
70,Blut::N,ख़ून,血
71,Ader::N,रग,血管
72,Ader::N,शिरा,血管
73,Sehne::N,कंडरा,腱
74,Sehne::N,स्नायु,腱
75,Knochen::N,अस्थि,骨
76,Gehirn::N,दिमाग़,脳
77,Gehirn::N,मस्तिष्क,脳
78,Herz::N,दिल,心
79,Herz::N,दिल,心臓
80,Herz::N,हृदय,心
81,Herz::N,हृदय,心臓
82,Magen::N,मेदा,胃
83,Magen::N,अमाशय,胃
84,Leber::N,जिगर,肝臓
85,Leber::N,यकृत्,肝臓
86,Atem::N,दम,息
87,Atem::N,दम,呼吸
88,Atem::N,साँस,息
89,Atem::N,साँस,呼吸
90,Atem::N,श्वास,息
91,Atem::N,श्वास,呼吸
92,Hunger::N,भूख,空腹
93,Hunger::N,क्षुधा,空腹
94,Träne::N,आँसू,涙
95,Träne::N,अश्रु,涙
96,Geschmack::N,स्वाद,味
97,Geschmack::N,ज़ायक़ा,味
98,Geruch::N,बू,匂い
99,Geruch::N,गंध,匂い
100,Schlaf::N,नींद,睡眠
101,Schlaf::N,निद्रा,睡眠
102,Traum::N,सपना,夢
103,Traum::N,स्वप्न,夢
104,Himmel::N,आकाश,空
105,Himmel::N,आसमान,空
106,Sonne::N,रवि,太陽
107,Sonne::N,सूरज,太陽
108,Sonne::N,सूर्य,太陽
109,Mond::N,चाँद,月
110,Mond::N,चंद्र,月
111,Stern::N,तारा,星
112,Stern::N,सितारा,星
113,Luft::N,हवा,空気
114,Luft::N,वायु,空気
115,Wind::N,पाद,風
116,Welle::N,लहर,波
117,Welle::N,तरंग,波
118,Wasser::N,जल,水
119,Wasser::N,पानी,水
120,Stein::N,पत्थर,石
121,Boden::N,मिट्टी,土地
122,Erde::N,भूमि,土
123,Erde::N,ज़मीन,土
124,Staub::N,धूल,埃
125,Rauch::N,धूआँ,煙
126,Rauch::N,धुम्र,煙
127,Funke::N,चिनगारी,火花
128,Funke::N,स्फुलिंग,火花
129,Feuer::N,आग,火
130,Feuer::N,आतिश,火
131,Feuer::N,अग्नि,火
132,Licht::N,रोशनी,光
133,Licht::N,प्रकाश,光
134,Schatten::N,छाया,陰
135,Schatten::N,परछाई,陰
136,Wetter::N,ऋतु,天気
137,Wetter::N,मौसम,天気
138,Nebel::N,धुँध,霧
139,Nebel::N,कुहरा,霧
140,Wolke::N,मेघ,雲
141,Wolke::N,अभ्र,雲
142,Regen::N,मेंह,雨
143,Regen::N,बारिश,雨
144,Schnee::N,हिम,雪
145,Schnee::N,बर्फ़,雪
146,Eis::N,हिम,氷
147,Eis::N,बर्फ़,氷
148,Frost::N,ठंड,霜
149,Kälte::N,सर्दी,寒さ
150,Kälte::N,शीतलता,寒さ
151,Hitze::N,ताप,暑さ
152,Hitze::N,गरमी,暑さ
153,Raureif::N,पाला,霧氷
154,Regenbogen::N,इंद्र-धनुष,虹
155,Donner::N,गरज,雷
156,Donner::N,मेघ-गर्जन,雷
157,Strömung::N,बहाव,流れ
158,Strömung::N,प्रवाह,流れ
159,Tropfen::N,बूँद,滴
160,Schaum::N,झाग,泡
161,Schmutz::N,गंद,汚れ
162,Schmutz::N,कीचड़,汚れ
163,See::N,झील,湖
164,See::N,सरोवर,湖
165,Sumpf::N,दलदल,沼
166,Sumpf::N,धँसान,沼
167,Moor::N,झाबर,湿原
168,Moor::N,धँसान,湿原
169,Wiese::N,घास-स्थल,草原
170,Wald::N,जंगल,森
171,Hügel::N,टीला,丘
172,Hügel::N,पहाड़,丘
173,Anhöhe::N,टीला,高み
174,Anhöhe::N,पहाड़ी,高み
175,Berg::N,पहाड़,山
176,Gipfel::N,शिखर,頂上
177,Höhle::N,गुहा,洞窟
178,Höhle::N,गुफ़ा,洞窟
179,Abhang::N,ढाल,斜面
180,Abhang::N,ढलान,斜面
181,Quelle::N,चश्मा,泉
182,Bach::N,सोता,小川
183,Bach::N,नदिका,小川
184,Fluss::N,नदी,川
185,Fluss::N,सरिता,川
186,Ufer::N,तट,岸
187,Ufer::N,किनारा,岸
188,Küste::N,समुद्र-तट,海岸
189,Festland::N,महाद्वीप,陸
190,Meer::N,सागर,海
191,Meer::N,समुद्र,海
192,Bucht::N,खाड़ी,湾
193,Insel::N,टापू,島
194,Insel::N,द्वीप,島
195,Blume::N,फूल,花
196,Blume::N,पुष्प,花
197,Gras::N,घास,草
198,Wurzel::N,मूल,根
199,Baum::N,पेड़,木
200,Baum::N,वृक्ष,木
201,Stamm::N,धड़,幹
202,Rinde::N,छाल,皮層
203,Rinde::N,वल्कल,皮層
204,Ast::N,डाल,枝
205,Ast::N,शाखा,枝
206,Zweig::N,टहनी,小枝
207,Blatt::N,पत्र,葉
208,Blatt::N,पत्ता,葉
209,Birke::N,भूर्ज,樺
210,Kiefer[Baum]::N,पाइन-वृक्ष,松
211,Weide[Baum]::N,बेंत,柳
212,Tanne::N,फ़र,樅
213,Horn::N,सींग,角
214,Horn::N,विषाण,角
215,Feder::N,पर,羽根
216,Feder::N,पंख,羽根
217,Fell::N,खाल,毛皮
218,Fell::N,पशु-चर्म,毛皮
219,Flügel::N,पंख,羽
220,Flügel::N,डैना,羽
221,Klaue::N,पंजा,鉤爪
222,Kralle::N,पंजा,爪
223,Kralle::N,नाख़ून,爪
224,Schwanz::N,पूँछ,尻尾
225,Ei::N,अंडा,卵
226,Nest::N,नीड़,巣
227,Nest::N,घोंसला,巣
228,Bau::N,बिल,穴
229,Bau::N,माँद,穴
230,Tier::N,पशु,動物
231,Tier::N,जानवर,動物
232,Herde::N,गल्ला,群れ
233,Kuh::N,गौ,牛
234,Kuh::N,गाय,牛
235,Bulle::N,साँड़,雄牛
236,Pferd::N,अश्व,馬
237,Pferd::N,घोड़ा,馬
238,Schaf::N,भेड़,羊
239,Schwein::N,शूकर,豚
240,Hund::N,श्वान,犬
241,Hund::N,कुत्ता,犬
242,Katze::N,बिल्ली,猫
243,Bär::N,रीछ,熊
244,Bär::N,भालू,熊
245,Eichhörnchen::N,गिलहरी,栗鼠
246,Elch::N,एल्क,ヘラジカ
247,Fuchs::N,लोमड़ी,狐
248,Hase::N,खरहा,兎
249,Hase::N,ख़रगोश,兎
250,Maus::N,मूष,鼠
251,Maus::N,चूहा,鼠
252,Wolf::N,वृक,狼
253,Wolf::N,भेड़िया,狼
254,Vogel::N,पक्षी,鳥
255,Vogel::N,चिड़िया,鳥
256,Schwarm::N,झुंड,群れ
257,Huhn::N,मुर्ग़ी,鶏
258,Hahn::N,मुर्ग़ा,雄鶏
259,Gans::N,हंस,ガチョウ
260,Gans::N,हंसिनी,ガチョウ
261,Adler::N,उक़ाब,鷲
262,Ente::N,बतख़,鴨
263,Ente::N,बत्तक,鴨
264,Eule::N,उल्लू,フクロウ
265,Kranich::N,सारस,鶴
266,Kranich::N,क्रौंंच,鶴
267,Krähe::N,काक,烏
268,Kuckuck::N,कोयल,郭公
269,Kuckuck::N,कोकिल,郭公
270,Schwan::N,हंस,白鳥
271,Schwan::N,मराल,白鳥
272,Fisch::N,मछली,魚
273,Fisch::N,मत्स्य,魚
274,Barsch::N,पर्च,鱸
275,Hecht::N,पाइक,川魳
276,Schlange[Tier]::N,सर्प,蛇
277,Wurm::N,कृमि,虫
278,Wurm::N,कीड़ा,虫
279,Spinne::N,लूता,蜘蛛
280,Spinne::N,मकड़ी,蜘蛛
281,Ameise::N,चींटी,蟻
282,Laus::N,जूँ,虱
283,Mücke::N,डाँस,蚊
284,Fliege::N,मक्खी,蝿
285,Fliege::N,मक्षिका,蝿
286,Schmetterling::N,तितली,蝶
287,Beere::N,बेरी,漿果
288,Apfel::N,सेब,林檎
289,Pilz::N,खुंबी,茸
290,Zwiebel::N,प्याज़,玉葱
291,Saat::N,बीज,種
292,Korn::N,दाना,粒
293,Heu::N,मूखी घास,干し草
294,Schale::N,बकला,皮
295,Schale::N,छिलका,皮
296,Grube::N,गड्ढा,穴
297,Falle::N,जाल,わな
298,Falle::N,फँदा,わな
299,Schlinge::N,फँदा,輪
300,Spur::N,सुराग़,跡
301,Spur::N,पद-चिह्न,跡
302,Asche::N,राख,灰
