,Concept_ID,lt,es
0,Auge::N,akis,ojo
1,Ohr::N,ausis,oreja
2,Nase::N,nosis,nariz
3,Mund::N,burna,boca
4,Zahn::N,dantis,diente
5,Zunge::N,liežuvis,lengua
6,Lippe::N,lūpa,labio
7,Wange::N,žandas,mejilla
8,Wange::N,skruostas,mejilla
9,Gesicht::N,veidas,cara
10,Stirn::N,kakta,frente
11,Haar::N,plaukai,cabello
12,Schnurrbart::N,ūsai,bigote
13,Bart::N,barzda,barba
14,Kinn::N,smakras,barbilla
15,Kiefer[Anatomie]::N,žandikaulis,mandíbula
16,Kehle::N,gerklė,garganta
17,Hals::N,kaklas,cuello
18,Genick::N,sprandas,nuca
19,Genick::N,sprandas,cerviz
20,Kopf::N,galva,cabeza
21,Rücken::N,nugara,espalda
22,Bauch::N,pilvas,vientre
23,Nabel::N,bamba,ombligo
24,Busen::N,krūtinė,pecho
25,Brust::N,krūtis,pecho
26,Schulter::N,petys,hombro
27,Arm::N,ranka,brazo
28,Ellenbogen::N,alkūnė,codo
29,Hand::N,ranka,mano
30,Hand::N,plaštaka,mano
31,Handfläche::N,delnas,palma
32,Handfläche::N,plaštaka,palma
33,Finger::N,pirštas,dedo
34,Fingernagel::N,nagas,uña
35,Nagel[Anatomie]::N,nagas,uña
36,Zeh::N,pirštas,dedo del pie
37,Fuß::N,pėda,pie
38,Ferse::N,kulnas,talón
39,Knie::N,kelis,rodilla
40,Oberschenkel::N,kulšis,muslo
41,Oberschenkel::N,šlaunis,muslo
42,Bein::N,koja,pierna
43,Körper::N,kūnas,cuerpo
44,Haut::N,oda,piel
45,Blut::N,kraujas,sangre
46,Ader::N,kraujagyslė,vena
47,Sehne::N,sausgyslė,tendón
48,Knochen::N,kaulas,hueso
49,Gehirn::N,smegenys,cerebro
50,Gehirn::N,smegenys,encéfalo
51,Herz::N,širdis,corazón
52,Magen::N,skrandis,estómago
53,Leber::N,kepenys,hígado
54,Atem::N,kvapas,aliento
55,Hunger::N,badas,hambre
56,Hunger::N,alkis,hambre
57,Träne::N,ašara,lágrima
58,Geschmack::N,skonis,gusto
59,Geruch::N,kvapas,olor
60,Schlaf::N,miegas,sueño
61,Traum::N,sapnas,sueño
62,Traum::N,sapnas,ensueño
63,Himmel::N,dangus,cielo
64,Sonne::N,saulė,sol
65,Mond::N,mėnulis,luna
66,Stern::N,žvaigždė,estrella
67,Luft::N,oras,aire
68,Wind::N,vėjas,viento
69,Welle::N,banga,ola
70,Welle::N,banga,onda
71,Welle::N,vilnis,ola
72,Welle::N,vilnis,onda
73,Wasser::N,vanduo,agua
74,Stein::N,akmuo,piedra
75,Boden::N,žemė,suelo
76,Boden::N,dugnas,suelo
77,Erde::N,žemė,tierra
78,Staub::N,dulkės,polvo
79,Rauch::N,dūmai,humo
80,Funke::N,kibirkštis,chispa
81,Feuer::N,ugnis,fuego
82,Licht::N,šviesa,luz
83,Schatten::N,paūksmė,sombra
84,Wetter::N,oras,tiempo
85,Nebel::N,migla,niebla
86,Nebel::N,rūkas,niebla
87,Wolke::N,debesis,nube
88,Regen::N,lietus,lluvia
89,Schnee::N,sniegas,nieve
90,Eis::N,ledas,hielo
91,Frost::N,šalna,helada
92,Kälte::N,šaltis,frío
93,Hitze::N,karštis,calor
