,Concept_ID,la,tr
0,Auge::N,oculus,göz
1,Ohr::N,auris,kulak
2,Nase::N,nasus,burun
3,Mund::N,os,ağız
4,Zahn::N,dens,diş
5,Zunge::N,lingua,dil
6,Lippe::N,labrum,dudak
7,Wange::N,gena,yanak
8,Gesicht::N,vultus,yüz
9,Stirn::N,frons,alın
10,Haar::N,capillus,saç
11,Schnurrbart::N,barba labri superioris,bıyık
12,Bart::N,barba,sakal
13,Kinn::N,mentum,çene
14,Kiefer[Anatomie]::N,mala,çene
15,Kehle::N,iugulums,boğaz
16,Hals::N,collum,boyun
17,Hals::N,collum,gerdan
18,Genick::N,cervices,ense
19,Kopf::N,caput,baş
20,Kopf::N,caput,kafa
21,Rücken::N,tergum,arka
22,Bauch::N,venter,karın
23,Nabel::N,umbilicus,göbek
24,Busen::N,sinus,koyun
25,Brust::N,pectus,göğüs
26,Schulter::N,umerus,omuz
27,Arm::N,bracchium,kol
28,Ellenbogen::N,cubitum,dirsek
29,Hand::N,manus,el
30,Handfläche::N,palma,avuç
31,Handfläche::N,palma,el ayası
32,Finger::N,digitus,parmak
33,Fingernagel::N,unguiculus,el tırnağı
34,Nagel[Anatomie]::N,unguis,tırnak
35,Zeh::N,digitus,ayak parmağı
36,Fuß::N,pes,ayak
37,Ferse::N,calx,topuk
38,Knie::N,genu,diz
39,Oberschenkel::N,femur,uyluk
40,Bein::N,crus,bacak
41,Körper::N,corpus,vücut
42,Haut::N,cutis,cilt
43,Haut::N,pellis,cilt
44,Blut::N,sanguis,kan
45,Ader::N,vena,damar
46,Sehne::N,nervus,kiriş
47,Knochen::N,os,kemik
48,Gehirn::N,cerebrum,beyin
49,Herz::N,cor,kalp
50,Herz::N,cor,yürek
51,Herz::N,animus,kalp
52,Herz::N,animus,yürek
53,Magen::N,stomachus,mide
54,Leber::N,iecur,karaciğer
55,Atem::N,spiritus,nefes
56,Hunger::N,fames,açlık
57,Träne::N,lacrima,gözyaşı
58,Geschmack::N,sapor,tat
59,Geschmack::N,sapor,lezzet
60,Geschmack::N,gustus,tat
61,Geschmack::N,gustus,lezzet
62,Geruch::N,odor,koku
63,Schlaf::N,somnus,uyku
64,Traum::N,somnium,düş
65,Traum::N,somnium,rüya
66,Himmel::N,caelum,gök
67,Sonne::N,sol,güneş
68,Mond::N,luna,ay
69,Stern::N,sidus,yıldız
70,Stern::N,stella,yıldız
71,Luft::N,aer,hava
72,Wind::N,ventus,yel
73,Wind::N,ventus,rüzgâr
74,Welle::N,unda,dalga
75,Wasser::N,aqua,su
76,Stein::N,lapis,taş
77,Boden::N,solum,yer
78,Boden::N,solum,zemin
79,Erde::N,terra,toprak
80,Staub::N,pulvis,toz
81,Rauch::N,fumus,duman
82,Funke::N,scintilla,kıvılcım
83,Feuer::N,ignis,ateş
84,Licht::N,lux,ışık
85,Licht::N,lumen,ışık
86,Schatten::N,umbra,gölge
87,Wetter::N,caelum,hava
88,Wetter::N,tempestas,hava
89,Nebel::N,nebula,pus
90,Wolke::N,nubes,bulut
91,Regen::N,imber,yağmur
92,Regen::N,pluvia,yağmur
93,Schnee::N,nix,kar
94,Eis::N,glacies,buz
95,Frost::N,gelu,don
96,Kälte::N,frigus,soğukluk
97,Hitze::N,calor,sıcaklık
98,Hitze::N,aestus,sıcaklık
99,Raureif::N,pruina,kırç
100,Regenbogen::N,arcus,gökkuşağı
101,Donner::N,tonitrus,gök gürlemesi
102,Strömung::N,fluctus,akıntı
103,Strömung::N,fluctus,cereyan
104,Tropfen::N,gutta,damla
105,Schaum::N,spuma,köpük
106,Schmutz::N,sordes,çamur
107,Schmutz::N,sordes,pislik
108,Schmutz::N,squalor,çamur
109,Schmutz::N,squalor,pislik
110,See::N,lacus,göl
111,Sumpf::N,palus,batak
112,Moor::N,palus,cılgıt
113,Wiese::N,pratum,çimen
114,Wald::N,silva,koru
115,Wald::N,silva,orman
116,Hügel::N,collis,tepe
117,Anhöhe::N,specula,tümsek
118,Anhöhe::N,specula,yükseklik
119,Berg::N,mons,dağ
120,Gipfel::N,vertex,zirve
121,Höhle::N,caverna,in
122,Höhle::N,caverna,mağara
123,Höhle::N,spelunca,in
124,Höhle::N,spelunca,mağara
125,Abhang::N,declivum,bayır
126,Quelle::N,fons,pınar
127,Quelle::N,fons,kaynak
128,Bach::N,rivus,çay
129,Bach::N,rivus,dere
130,Fluss::N,flumen,nehir
131,Ufer::N,ripa,kıyı
132,Ufer::N,ripa,sahil
133,Küste::N,litus,kıyı
134,Küste::N,litus,sahil
135,Festland::N,continens,kara
136,Meer::N,mare,deniz
137,Bucht::N,sinus,koy
138,Bucht::N,sinus,körfez
139,Insel::N,insula,ada
140,Blume::N,flos,çiçek
141,Gras::N,herba,ot
142,Gras::N,herba,çim
143,Gras::N,gramen,ot
144,Gras::N,gramen,çim
145,Wurzel::N,radix,kök
146,Baum::N,arbor,ağaç
147,Stamm::N,truncus,gövde
148,Rinde::N,cortex,kabuk
149,Ast::N,ramus,dal
150,Ast::N,ramus,budak
151,Zweig::N,ramus,dal
152,Blatt::N,folium,yaprak
153,Birke::N,betulla,huş
154,Kiefer[Baum]::N,pinus,çam
155,Weide[Baum]::N,salix,söğüt
156,Tanne::N,abies,çam
157,Tanne::N,abies,köknar
158,Horn::N,cornu,boynuz
159,Feder::N,penna,tüy
160,Fell::N,pellis,post
161,Flügel::N,ala,kanat
162,Klaue::N,unguis,pençe
163,Kralle::N,unguis,tırnak
