,Concept_ID,ka,hi
0,Auge::N,თვალი,आँख
1,Auge::N,თვალი,चक्षु
2,Ohr::N,ყური,कान
3,Ohr::N,ყური,कर्ण
4,Nase::N,ცხვირი,नाक
5,Nase::N,ცხვირი,नासा
6,Mund::N,პირი,मुख
7,Mund::N,პირი,मुँह
8,Zahn::N,კბილი,दंत
9,Zahn::N,კბილი,दाँत
10,Zunge::N,ენა,जीभ
11,Zunge::N,ენა,ज़बान
12,Zunge::N,ენა,जिह्वा
13,Lippe::N,ბაგე,ओंठ
14,Lippe::N,ბაგე,होंठ
15,Wange::N,ლოყა,गाल
16,Wange::N,ლოყა,कपोल
17,Gesicht::N,სახე,मुँह
18,Gesicht::N,სახე,चेहरा
19,Stirn::N,შუბლი,माथा
20,Stirn::N,შუბლი,मस्तक
21,Haar::N,თმა,बाल
22,Schnurrbart::N,ულვაში,मूँछें
23,Bart::N,წვერი,दाढ़ी
24,Kinn::N,ნიკაპი,चिबुक
25,Kiefer[Anatomie]::N,ყბა,जबड़ा
26,Kehle::N,ყელი,गला
27,Hals::N,ყელი,गला
28,Hals::N,ყელი,गरदन
29,Hals::N,კისერი,गला
30,Hals::N,კისერი,गरदन
31,Genick::N,კეფა,गरदन
32,Genick::N,კეფა,ग्रीवा
33,Kopf::N,თავი,सिर
34,Kopf::N,თავი,शीर्ष
35,Rücken::N,ზურგი,पीठ
36,Bauch::N,მუცელი,उदर
37,Nabel::N,ჭიპი,नाभि
38,Nabel::N,ჭიპი,ढोंढी
39,Busen::N,ძუძუ,कुच
40,Busen::N,ძუძუ,स्तन
41,Brust::N,მკერდი,वक्ष
42,Schulter::N,მხარი,कंधा
43,Schulter::N,მხარი,स्कंध
44,Schulter::N,მკლავი,कंधा
45,Schulter::N,მკლავი,स्कंध
46,Arm::N,ხელი,बाँह
47,Arm::N,ხელი,बाज़ू
48,Ellenbogen::N,იდაყვი,कुहनी
49,Hand::N,ხელი,हाथ
50,Hand::N,ხელი,हस्त
51,Handfläche::N,ნები,हथेली
52,Handfläche::N,ხელისგული,हथेली
53,Finger::N,თითი,उँगली
54,Finger::N,თითი,अँगुली
55,Fingernagel::N,ფრჩხილი,नख
56,Fingernagel::N,ფრჩხილი,नाख़ून
57,Nagel[Anatomie]::N,ფრჩხილი,नख
58,Nagel[Anatomie]::N,ფრჩხილი,नाख़ून
59,Zeh::N,ფეხის თითი,उँगली
60,Zeh::N,ფეხის თითი,पाँव की उँगली
61,Fuß::N,ტერფი,चरण
62,Fuß::N,ტერფი,पाँव
63,Fuß::N,ფეხისგული,चरण
64,Fuß::N,ფეხისგული,पाँव
65,Ferse::N,ქუსლი,एड़ी
66,Knie::N,მუხლი,जानु
67,Knie::N,მუხლი,घुटना
68,Oberschenkel::N,ბარძაყი,उरु
69,Bein::N,ფეხი,टाँग
70,Körper::N,ტანი,तन
71,Körper::N,ტანი,देह
72,Körper::N,ტანი,शरीर
73,Körper::N,სხეული,तन
74,Körper::N,სხეული,देह
75,Körper::N,სხეული,शरीर
76,Haut::N,კანი,चर्म
77,Haut::N,კანი,त्वचा
78,Blut::N,სისხლი,लहू
79,Blut::N,სისხლი,ख़ून
80,Ader::N,ძარღვი,रग
81,Ader::N,ძარღვი,शिरा
82,Sehne::N,მყესი,कंडरा
83,Sehne::N,მყესი,स्नायु
84,Knochen::N,ძვალი,अस्थि
85,Gehirn::N,ტვინი,दिमाग़
86,Gehirn::N,ტვინი,मस्तिष्क
87,Herz::N,გული,दिल
88,Herz::N,გული,हृदय
89,Magen::N,კუჭი,मेदा
90,Magen::N,კუჭი,अमाशय
91,Leber::N,ღვიძლი,जिगर
92,Leber::N,ღვიძლი,यकृत्
93,Atem::N,სუნთქვა,दम
94,Atem::N,სუნთქვა,साँस
95,Atem::N,სუნთქვა,श्वास
96,Hunger::N,შიმშილი,भूख
97,Hunger::N,შიმშილი,क्षुधा
98,Träne::N,ცრემლი,आँसू
99,Träne::N,ცრემლი,अश्रु
100,Geschmack::N,გემო,स्वाद
101,Geschmack::N,გემო,ज़ायक़ा
102,Geruch::N,სუნი,बू
103,Geruch::N,სუნი,गंध
104,Schlaf::N,ძილი,नींद
105,Schlaf::N,ძილი,निद्रा
106,Traum::N,სიზმარი,सपना
107,Traum::N,სიზმარი,स्वप्न
108,Himmel::N,ცა,आकाश
109,Himmel::N,ცა,आसमान
110,Sonne::N,მზე,रवि
111,Sonne::N,მზე,सूरज
112,Sonne::N,მზე,सूर्य
113,Mond::N,მთვარე,चाँद
114,Mond::N,მთვარე,चंद्र
115,Stern::N,ვარსკვლავი,तारा
116,Stern::N,ვარსკვლავი,सितारा
117,Luft::N,ჰაერი,हवा
118,Luft::N,ჰაერი,वायु
119,Wind::N,ქარი,पाद
120,Welle::N,ტალღა,लहर
121,Welle::N,ტალღა,तरंग
122,Wasser::N,წყალი,जल
123,Wasser::N,წყალი,पानी
124,Stein::N,ქვა,पत्थर
125,Boden::N,მიწა,मिट्टी
126,Erde::N,ნიადაგი,भूमि
127,Erde::N,ნიადაგი,ज़मीन
128,Staub::N,მტვერი,धूल
129,Rauch::N,ბოლი,धूआँ
130,Rauch::N,ბოლი,धुम्र
131,Rauch::N,კვამლი,धूआँ
132,Rauch::N,კვამლი,धुम्र
133,Funke::N,ნაკვესი,चिनगारी
134,Funke::N,ნაკვესი,स्फुलिंग
135,Feuer::N,ცეცხლი,आग
136,Feuer::N,ცეცხლი,आतिश
137,Feuer::N,ცეცხლი,अग्नि
138,Licht::N,შუქი,रोशनी
139,Licht::N,შუქი,प्रकाश
140,Licht::N,სინათლე,रोशनी
141,Licht::N,სინათლე,प्रकाश
142,Schatten::N,ლანდი,छाया
143,Schatten::N,ლანდი,परछाई
144,Schatten::N,ჩრდილი,छाया
145,Schatten::N,ჩრდილი,परछाई
146,Wetter::N,ამინდი,ऋतु
147,Wetter::N,ამინდი,मौसम
148,Nebel::N,ნისლი,धुँध
149,Nebel::N,ნისლი,कुहरा
150,Wolke::N,ღრუბელი,मेघ
151,Wolke::N,ღრუბელი,अभ्र
152,Regen::N,წვიმა,मेंह
153,Regen::N,წვიმა,बारिश
154,Schnee::N,თოვლი,हिम
155,Schnee::N,თოვლი,बर्फ़
156,Eis::N,თოში,हिम
157,Eis::N,თოში,बर्फ़
158,Eis::N,ყინული,हिम
159,Eis::N,ყინული,बर्फ़
160,Frost::N,ყინვა,ठंड
161,Kälte::N,სიცივე,सर्दी
162,Kälte::N,სიცივე,शीतलता
163,Hitze::N,სიცხე,ताप
164,Hitze::N,სიცხე,गरमी
165,Raureif::N,ჭირხლი,पाला
166,Raureif::N,თრთვილი,पाला
167,Regenbogen::N,ცისარტყელა,इंद्र-धनुष
168,Donner::N,ქუხილი,गरज
169,Donner::N,ქუხილი,मेघ-गर्जन
170,Strömung::N,დინება,बहाव
171,Strömung::N,დინება,प्रवाह
172,Tropfen::N,წვეთი,बूँद
173,Schaum::N,ქაფი,झाग
174,Schaum::N,დორბლი,झाग
175,Schmutz::N,ჭუჭყი,गंद
176,Schmutz::N,ჭუჭყი,कीचड़
177,Schmutz::N,ტალახი,गंद
178,Schmutz::N,ტალახი,कीचड़
179,See::N,ტბა,झील
180,See::N,ტბა,सरोवर
181,Sumpf::N,ჭაობი,दलदल
182,Sumpf::N,ჭაობი,धँसान
183,Moor::N,ტორფნარი,झाबर
184,Moor::N,ტორფნარი,धँसान
185,Wiese::N,ველი,घास-स्थल
186,Wiese::N,მდელო,घास-स्थल
187,Wald::N,ტყე,जंगल
188,Hügel::N,ბორცვი,टीला
189,Hügel::N,ბორცვი,पहाड़
190,Anhöhe::N,მაღლობი,टीला
