,Concept_ID,ba,no
0,Auge::N,күҙ,øye
1,Ohr::N,ҡолаҡ,øre
2,Nase::N,танау,nese
3,Mund::N,ауыҙ,munn
4,Zahn::N,теш,tann
5,Zunge::N,тел,tunge
6,Lippe::N,ирен,leppe
7,Wange::N,яцаҡтар,kinn
8,Gesicht::N,бит,fjes
9,Gesicht::N,бит,ansikt
10,Stirn::N,маңлай,panne
11,Haar::N,сәс,hår
12,Schnurrbart::N,мылтыҡ,bart
13,Bart::N,һаҡал,skjegg
14,Kinn::N,эйэк,hake
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,kjeve
16,Kehle::N,тамаҡ,strupe
17,Hals::N,муйын,hals
18,Genick::N,соңҡа,nakke
19,Kopf::N,баш,hode
20,Rücken::N,арҡа,rygg
21,Bauch::N,ҡорһаҡ,buk
22,Bauch::N,ҡорһаҡ,mage
23,Nabel::N,кендек,navle
24,Busen::N,күкрәк,barm
25,Brust::N,түш,bryst
26,Schulter::N,яурын,skulder
27,Arm::N,ҡул,arm
28,Ellenbogen::N,терһәк,albue
29,Hand::N,ҡул,hånd
30,Hand::N,ҡул суғы,hånd
31,Handfläche::N,ус төбө,håndflate
32,Finger::N,бармаҡ,finger
33,Fingernagel::N,тырнаҡ,fingernegl
34,Nagel[Anatomie]::N,тырнаҡ,negl
35,Zeh::N,бармаҡ,tå
36,Fuß::N,табан,fot
37,Ferse::N,үксә,hæl
38,Knie::N,тубыҡ,kne
39,Oberschenkel::N,сандыр,lår
40,Bein::N,аяҡ,bein
41,Körper::N,тән,kropp
42,Körper::N,тән,legeme
43,Haut::N,тире,hud
44,Haut::N,тире,skinn
45,Blut::N,ҡан,blod
46,Ader::N,тамыр,åre
47,Sehne::N,һеңер,sene
48,Sehne::N,тарамыш,sene
49,Knochen::N,һойәк,bein
50,Knochen::N,һойәк,knokkel
51,Gehirn::N,мейе,hjerne
52,Herz::N,йорәк,hjerte
53,Magen::N,ашҡаҙан,mage
54,Leber::N,бауыр,lever
