,Concept_ID,vep,lv
0,Auge::N,sil'm,син
1,Auge::N,sil'm,acs
2,Ohr::N,korv,пель
3,Ohr::N,korv,auss
4,Nase::N,nena,ныр
5,Nase::N,nena,deguns
6,Mund::N,su,вом
7,Mund::N,su,mute
8,Zahn::N,pi,пинь
9,Zahn::N,pi,zobs
10,Zahn::N,hambaz,пинь
11,Zahn::N,hambaz,zobs
12,Zunge::N,kel',кыв
13,Zunge::N,kel',mēle
14,Lippe::N,hul',вом дор
15,Lippe::N,hul',lūpa
16,Wange::N,modpolišk,бан
17,Wange::N,modpolišk,vaigs
18,Gesicht::N,mod,чужӧм
19,Gesicht::N,mod,seja
20,Gesicht::N,mod,ģīmis
21,Stirn::N,oc,плеш
22,Stirn::N,oc,кымӧс
23,Stirn::N,oc,piere
24,Haar::N,tuk,си
25,Haar::N,tuk,юрси
26,Haar::N,tuk,mats
27,Haar::N,hibuz,си
28,Haar::N,hibuz,юрси
29,Haar::N,hibuz,mats
30,Schnurrbart::N,habinod,ус
31,Schnurrbart::N,habinod,пыртсим
32,Schnurrbart::N,habinod,ūsas
33,Bart::N,bard,тош
34,Bart::N,bard,bārda
35,Kinn::N,löug,тшӧка
36,Kinn::N,löug,zods
37,Kinn::N,löug,smakrs
38,Kiefer[Anatomie]::N,hambazlu,черлы
39,Kiefer[Anatomie]::N,hambazlu,алака лы
40,Kiefer[Anatomie]::N,hambazlu,вомкӧтш лы
41,Kiefer[Anatomie]::N,hambazlu,žoklis
42,Kehle::N,kurk,голя
43,Kehle::N,kurk,rīkle
44,Hals::N,kagl,сьылі
45,Hals::N,kagl,kakls
46,Genick::N,tagarai,юрбӧр
47,Genick::N,tagarai,балябӧж
48,Genick::N,tagarai,sprands
49,Kopf::N,pä,юр
50,Kopf::N,pä,galva
51,Rücken::N,sel'g,мыш
52,Rücken::N,sel'g,mugura
53,Bauch::N,vac,рушку
54,Bauch::N,vac,vēders
55,Bauch::N,koht,рушку
56,Bauch::N,koht,vēders
57,Nabel::N,naba,гӧг
58,Nabel::N,naba,naba
59,Busen::N,niža,морӧс
60,Busen::N,niža,krūts
61,Brust::N,rind,морӧс
62,Brust::N,rind,krūts
63,Schulter::N,oug,пельпом
64,Schulter::N,oug,plecs
65,Arm::N,käzi,ки
66,Arm::N,käzi,roka
67,Arm::N,käzi,delms
68,Ellenbogen::N,künambruz,гырддза
69,Ellenbogen::N,künambruz,elkonis
70,Hand::N,käzi,ки
71,Hand::N,käzi,roka
72,Hand::N,käzi,plauksta
73,Hand::N,käzitera,ки
74,Hand::N,käzitera,roka
75,Hand::N,käzitera,plauksta
76,Handfläche::N,kämen,ки пыдӧс
77,Handfläche::N,kämen,delna
78,Handfläche::N,kämen,plauksta
79,Finger::N,sor'm,чунь
80,Finger::N,sor'm,pirksts
81,Fingernagel::N,künz',гыж
82,Fingernagel::N,künz',nags
83,Nagel[Anatomie]::N,künz',гыж
84,Nagel[Anatomie]::N,künz',nags
85,Zeh::N,barbaz,кок чунь
86,Zeh::N,barbaz,pirksts
87,Fuß::N,jaug,кок
88,Fuß::N,jaug,kāja
89,Ferse::N,kand,кокбӧр
90,Ferse::N,kand,papēdis
91,Knie::N,komb,пидзӧс
92,Knie::N,komb,celis
93,Knie::N,pol'v,пидзӧс
94,Knie::N,pol'v,celis
95,Oberschenkel::N,riiže,лядьвей
96,Oberschenkel::N,riiže,бек
97,Oberschenkel::N,riiže,ciska
98,Oberschenkel::N,riiže,augšstilbs
99,Bein::N,jaug,кок
100,Bein::N,jaug,kāja
101,Körper::N,hibj,туша
102,Körper::N,hibj,вывтыр
103,Körper::N,hibj,miesa
104,Körper::N,hibj,ķermenis
105,Haut::N,nahk,ку
106,Haut::N,nahk,āda
107,Blut::N,čak,вир
108,Blut::N,čak,asins
109,Blut::N,veri,вир
110,Blut::N,veri,asins
111,Ader::N,son',сӧн
112,Ader::N,son',asinsvads
113,Sehne::N,jände,вез
114,Sehne::N,jände,dzīsla
115,Knochen::N,lu,лы
116,Knochen::N,lu,kauls
117,Gehirn::N,aivod,вем
118,Gehirn::N,aivod,smadzenes
119,Herz::N,südäin,сьӧлӧм
120,Herz::N,südäin,sirds
121,Magen::N,südäikoht,кынӧм
122,Magen::N,südäikoht,kuņģis
123,Leber::N,maks,мус
124,Leber::N,maks,aknas
125,Atem::N,hengaiduz,лов
126,Atem::N,hengaiduz,elpa
127,Hunger::N,näl'g,тшыг
128,Hunger::N,näl'g,bads
129,Hunger::N,näl'g,izsalkums
130,Träne::N,kündal',синва
131,Träne::N,kündal',asara
132,Geschmack::N,magu,кӧр
133,Geschmack::N,magu,чӧсмӧс
134,Geschmack::N,magu,garša
135,Geruch::N,haju,зын
136,Geruch::N,haju,дук
137,Geruch::N,haju,smaka
138,Schlaf::N,uni,узьӧм
139,Schlaf::N,uni,miegs
140,Traum::N,unikuva,вӧт
141,Traum::N,unikuva,вӧтасьӧм
142,Traum::N,unikuva,sapnis
143,Himmel::N,taivaz,енэж
144,Himmel::N,taivaz,debess
145,Sonne::N,päiväine,шонді
146,Sonne::N,päiväine,saule
147,Mond::N,kudmaine,тӧлысь
148,Mond::N,kudmaine,mēness
149,Stern::N,tähtaz,кодзув
150,Stern::N,tähtaz,zvaigzne
151,Luft::N,il'm,сынӧд
152,Luft::N,il'm,gaiss
153,Wind::N,döl,тӧв
154,Wind::N,döl,vējš
155,Wind::N,tullei,тӧв
156,Wind::N,tullei,vējš
157,Welle::N,ald,гы
158,Welle::N,ald,vilnis
159,Welle::N,laineh,гы
160,Welle::N,laineh,vilnis
161,Wasser::N,vezi,ва
162,Wasser::N,vezi,ūdens
163,Stein::N,kivi,из
164,Stein::N,kivi,akmens
165,Boden::N,ma,му
166,Boden::N,ma,augsne
167,Boden::N,pohj,му
168,Boden::N,pohj,augsne
169,Erde::N,ma,му
170,Erde::N,ma,му-ва
171,Erde::N,ma,zeme
