,Concept_ID,ab,tr
0,Auge::N,ала,göz
1,Ohr::N,алымҳа,kulak
2,Nase::N,аҧынҵа,burun
3,Mund::N,аҧышə,ağız
4,Zahn::N,ахаҧыц,diş
5,Zunge::N,абз,dil
6,Lippe::N,ақьышə,dudak
7,Wange::N,аӡамҩа,yanak
8,Gesicht::N,аҿы,yüz
9,Stirn::N,алахь,alın
10,Haar::N,ахəыц,saç
11,Schnurrbart::N,аҧаҵа,bıyık
12,Bart::N,ажакьа,sakal
13,Kinn::N,ацламкəыгə,çene
14,Kiefer[Anatomie]::N,ацламҳəа,çene
15,Kehle::N,ахəда,boğaz
16,Hals::N,ахəда,boyun
17,Hals::N,ахəда,gerdan
18,Genick::N,ахəдаџьал,ense
19,Kopf::N,ахы,baş
20,Kopf::N,ахы,kafa
21,Rücken::N,азқəа,arka
22,Bauch::N,амгəа,karın
23,Nabel::N,аҷапан,göbek
24,Busen::N,агəыҧҳəы,koyun
25,Brust::N,агəышҧы,göğüs
26,Schulter::N,ажəҩахыр,omuz
27,Arm::N,амахəар,kol
28,Ellenbogen::N,амашьхəылҵ,dirsek
29,Hand::N,анапы,el
30,Handfläche::N,анапсаргəыҵа,avuç
31,Handfläche::N,анапсаргəыҵа,el ayası
32,Finger::N,анацəа,parmak
33,Fingernagel::N,анапхыц,el tırnağı
34,Nagel[Anatomie]::N,ашьапхыц,tırnak
35,Zeh::N,ашьацəа,ayak parmağı
36,Fuß::N,ашьапсыргəыҵа,ayak
37,Ferse::N,ашьхəа,topuk
38,Knie::N,ашьамхы,diz
39,Oberschenkel::N,ауаҭəа,uyluk
40,Bein::N,ашьапы,bacak
41,Körper::N,ацəеижь,vücut
42,Haut::N,ацəа,cilt
43,Blut::N,ашьа,kan
44,Ader::N,ада,damar
45,Sehne::N,адаш,kiriş
46,Knochen::N,абаҩ,kemik
47,Gehirn::N,ахшлыбаҩ,beyin
48,Gehirn::N,ахшыбаҩ,beyin
49,Herz::N,агəы,kalp
50,Herz::N,агəы,yürek
51,Magen::N,аца,mide
52,Magen::N,ацар,mide
53,Leber::N,агəаҵəа,karaciğer
54,Atem::N,аҧсыҧлагаҩгара,nefes
55,Hunger::N,амла,açlık
56,Träne::N,алабжыш,gözyaşı
57,Geschmack::N,агьама,tat
58,Geschmack::N,агьама,lezzet
59,Geruch::N,афҩы,koku
60,Schlaf::N,ацəа,uyku
61,Traum::N,аҧхыӡ,düş
62,Traum::N,аҧхыӡ,rüya
63,Himmel::N,ажəҩан,gök
64,Sonne::N,амра,güneş
65,Mond::N,амза,ay
66,Stern::N,аеҵəа,yıldız
67,Luft::N,аҳаир,hava
68,Wind::N,аҧша,yel
69,Wind::N,аҧша,rüzgâr
70,Welle::N,ацəқəырҧа,dalga
71,Wasser::N,аӡы,su
72,Stein::N,ахаҳə,taş
73,Boden::N,адгьыл,yer
74,Boden::N,адгьыл,zemin
75,Erde::N,адгьыл,toprak
76,Staub::N,асаба,toz
77,Rauch::N,алҩа,duman
78,Funke::N,акəиц,kıvılcım
79,Funke::N,ацҧхь,kıvılcım
80,Feuer::N,амца,ateş
81,Licht::N,алашара,ışık
82,Schatten::N,ашəшьыра,gölge
83,Wetter::N,амш,hava
84,Nebel::N,анаҟəа,pus
85,Wolke::N,аҧсҭҳəа,bulut
86,Regen::N,ақəа,yağmur
87,Schnee::N,асы,kar
88,Eis::N,аҵаа,buz
89,Frost::N,аҵаа,don
90,Kälte::N,ахьҭа,soğukluk
91,Hitze::N,ашоура,sıcaklık
92,Raureif::N,аҵааҧшқа,kırç
93,Regenbogen::N,ацəаҟəа,gökkuşağı
94,Donner::N,адыд,gök gürlemesi
95,Strömung::N,аиасра,akıntı
96,Strömung::N,аиасра,cereyan
97,Strömung::N,амҩасра,akıntı
98,Strömung::N,амҩасра,cereyan
99,Tropfen::N,ацəыкəбар,damla
100,Schaum::N,ашəах,köpük
101,Schmutz::N,алымт,çamur
102,Schmutz::N,алымт,pislik
103,See::N,аӡиа,göl
104,Sumpf::N,аӡмах,batak
105,Wiese::N,адəы,çimen
106,Wald::N,абна,koru
107,Wald::N,абна,orman
108,Hügel::N,ахəы,tepe
109,Anhöhe::N,аҳаракыра,tümsek
110,Anhöhe::N,аҳаракыра,yükseklik
111,Berg::N,ашьха,dağ
112,Gipfel::N,ацəқəа,zirve
113,Höhle::N,аҳаҧы,in
114,Höhle::N,аҳаҧы,mağara
115,Abhang::N,анаара,bayır
116,Quelle::N,аҵҵырҭа,pınar
117,Quelle::N,аҵҵырҭа,kaynak
118,Bach::N,акəараҷҷа,çay
119,Bach::N,акəараҷҷа,dere
120,Fluss::N,аӡиас,nehir
121,Ufer::N,ахықə,kıyı
122,Ufer::N,ахықə,sahil
123,Küste::N,ахықə,kıyı
124,Küste::N,ахықə,sahil
125,Festland::N,абарра,kara
126,Meer::N,амшын,deniz
127,Bucht::N,аӡбжьахала,koy
128,Bucht::N,аӡбжьахала,körfez
129,Insel::N,адгьылбжьаха,ada
130,Blume::N,ашəҭ,çiçek
131,Gras::N,аҳасакьын,ot
132,Gras::N,аҳасакьын,çim
133,Wurzel::N,адац,kök
134,Baum::N,аҵла,ağaç
135,Stamm::N,ашьапы,gövde
136,Rinde::N,ацəа,kabuk
137,Ast::N,амахə,dal
138,Ast::N,амахə,budak
139,Ast::N,амахəҭа,dal
140,Ast::N,амахəҭа,budak
141,Zweig::N,амахə,dal
142,Zweig::N,амахəҭа,dal
143,Blatt::N,абҕьы,yaprak
144,Birke::N,аҵааҵла,huş
145,Kiefer[Baum]::N,амза,çam
146,Weide[Baum]::N,аҧслыш,söğüt
147,Tanne::N,аҧсаӡ,çam
148,Tanne::N,аҧсаӡ,köknar
149,Horn::N,атəыҩа,boynuz
150,Feder::N,ахӡы,tüy
151,Fell::N,ацəа,post
152,Flügel::N,амҵəыжəа,kanat
153,Klaue::N,ашьапхыц,pençe
154,Schwanz::N,аҵыхəа,kuyruk
155,Ei::N,акəтаӷь,yumurta
156,Nest::N,аҭра,yuva
157,Nest::N,аҵысҭра,yuva
158,Bau::N,аҭыҩра,in
159,Tier::N,аҧстəы,hayvan
160,Tier::N,агыгшəыг,hayvan
161,Herde::N,агəарҭа,sürü
162,Kuh::N,ажə,inek
163,Bulle::N,ацə,boğa
164,Pferd::N,аҽы,at
165,Pferd::N,аҽы,beygir
166,Schaf::N,ауаса,koyun
167,Schwein::N,аҳəа,domuz
168,Hund::N,ала,it
169,Hund::N,ала,köpek
170,Katze::N,ацгəы,kedi
171,Bär::N,амшə,ayı
172,Eichhörnchen::N,аеш,sincap
173,Elch::N,аҽаҩа,büyük kuzey geyiği
174,Fuchs::N,абгахəыҷы,tilki
175,Hase::N,ажьа,tavşan
176,Maus::N,аҳəынаҧ,fare
177,Maus::N,аҳəынаҧ,sıçan
178,Wolf::N,абгаду,kurt
179,Vogel::N,аҧсаатə,kuş
180,Huhn::N,акəты,tavuk
181,Hahn::N,арбаҕь,horoz
182,Gans::N,аҟыз,kaz
183,Adler::N,ауарба,kartal
184,Adler::N,ауарба,karakuş
185,Ente::N,акəата,ördek
186,Eule::N,аты,baykuş
187,Kranich::N,апҟа,turna
188,Krähe::N,аҟəараан,karga
189,Kuckuck::N,акəыкəу,guguk
190,Schwan::N,агьад,kuğu
191,Fisch::N,аҧсыӡ,balık
192,Barsch::N,ацəыбла,hani
193,Barsch::N,ацəыбла,levrek
194,Hecht::N,ахиаала,turnabalığı
195,Schlange[Tier]::N,амаҭ,yılan
196,Wurm::N,ахəа,kurt
197,Wurm::N,ахəа,solucan
198,Wurm::N,ахəац,kurt
199,Wurm::N,ахəац,solucan
200,Spinne::N,абызкаҭаҳа,örümcek
201,Ameise::N,ашышкамс,karınca
202,Laus::N,аҵа,bit
203,Mücke::N,акəыбры,sivrisinek
204,Fliege::N,амҵ,sinek
205,Schmetterling::N,аҧарҧалыкь,kelebek
206,Beere::N,аргуц,tane
207,Apfel::N,аҵəа,elma
208,Pilz::N,акəкəбаа,mantar
209,Zwiebel::N,аџьымшьы,soğan
210,Zwiebel::N,аџьымшьхы,soğan
211,Saat::N,ажəла,ekin
212,Korn::N,арыц,tane
213,Heu::N,аҭəа,kuru ot
214,Schale::N,ацəа,kabuk
215,Grube::N,ажра,çukur
216,Grube::N,атыша,çukur
217,Falle::N,арыҧҟьа,tuzak
218,Schlinge::N,аҟəараҟəантə,ilmik
219,Spur::N,ашьҭа,iz
220,Asche::N,ахəа,kül
221,Dreck::N,аҳəынҵəа,pislik
222,Dreck::N,аҟьамсар,pislik
223,Eisen::N,аиха,demir
224,Gold::N,ахьы,altın
225,Silber::N,аразны,gümüş
226,Kohle::N,арацəа,kömür
227,Glas::N,асаркьа,cam
