,Concept_ID,az,kn
0,Auge::N,göz,ಕಣ್ಣು
1,Ohr::N,qulaq,ಕಿವಿ
2,Nase::N,burun,ಮೂಗು
3,Mund::N,ağız,ಬಾಯಿ
4,Zahn::N,diş,ಹಲ್ಲು
5,Zunge::N,dil,ನಾಲಿಗೆ
6,Lippe::N,dodaq,ತುಟಿ
7,Wange::N,yanaq,ಗಲ್ಲ
8,Gesicht::N,üz,ಮುಖ
9,Stirn::N,alın,ಹಣೆ
10,Haar::N,saç,ಕೂದಲು
11,Schnurrbart::N,bığ,ಮೀಸೆ
12,Bart::N,saqqal,ಗಡ್ಡ
13,Kinn::N,çənə,ಗದ್ದ
14,Kiefer[Anatomie]::N,çənə,ದವಡೆ
15,Kehle::N,boğaz,ಗಂಟಲು
16,Hals::N,boyun,ಕೊರಳು
17,Genick::N,ənsə,ಹಿಂಗತ್ತು
18,Kopf::N,baş,ತಲೆ
19,Rücken::N,bel,ಬೆನ್ನು
20,Bauch::N,qarın,ಹೊಟ್ಟೆ
21,Nabel::N,göbək,ಹೊಕ್ಕುಳು
22,Busen::N,məmə,ಸ್ತನ
23,Brust::N,döş,ಎದೆ
24,Schulter::N,çiyin,ಭುಜ
25,Arm::N,qol,ತೋಳು
26,Ellenbogen::N,dirsək,ಮೊಣಕೈ
27,Hand::N,əl,ಕೈ
28,Handfläche::N,ovuc,ಅಂಗೈ
29,Finger::N,barmaq,ಕೈಬೆರಳು
30,Fingernagel::N,barmaq dırnağı,ಉಗುರು
31,Nagel[Anatomie]::N,dırnak,ಉಗುರು
32,Zeh::N,ayaq barmağı,ಕಾಲ್ಬೆರಳು
33,Fuß::N,ayaq,ಪಾದ
34,Ferse::N,daban,ಹಿಮ್ಮಡಿ
35,Knie::N,diz,ಮಂಡಿ
36,Oberschenkel::N,bud,ತೊಡೆ
37,Bein::N,qıç,ಕಾಲು
38,Körper::N,əndam,ದೇಹ
39,Haut::N,dəri,ಚರ್ಮ
40,Blut::N,qan,ರಕ್ತ
41,Ader::N,damar,ನರ
42,Sehne::N,vətər,ನರ
43,Knochen::N,sümük,ಮೂಳೆ
44,Gehirn::N,beyin,ಮಿದುಳು
45,Herz::N,ürək,ಹೃದಯ
46,Magen::N,mədə,ಉದರ
47,Leber::N,qara ciyər,ಯಕೃತ್ತು
48,Atem::N,nəfəs,ಉಸಿರು
49,Hunger::N,aclıq,ಹಸಿವು
50,Träne::N,göz yaşı,ಕಣ್ಣೀರು
51,Geschmack::N,tam,ರುಚಿ
52,Geschmack::N,ləzzət,ರುಚಿ
53,Geruch::N,qoxu,ವಾಸನೆ
54,Schlaf::N,yuxu,ನಿದ್ರೆ
55,Traum::N,röya,ಕನಸು
56,Himmel::N,göy,ಬಾನು
57,Himmel::N,səma,ಬಾನು
58,Sonne::N,günəş,ಸೂರ್ಯ
59,Mond::N,ay,ಚಂದ್ರ
60,Stern::N,ulduz,ಚುಕ್ಕಿ
61,Luft::N,hava,ವಾಯು
62,Wind::N,yel,ಗಾಳಿ
63,Wind::N,külək,ಗಾಳಿ
64,Welle::N,dalğa,ಅಲೆ
65,Wasser::N,su,ನೀರು
66,Stein::N,daş,ಕಲ್ಲು
67,Boden::N,yer,ನೆಲ
68,Boden::N,zəmin,ನೆಲ
69,Erde::N,yer torpaq,ಭೂಮಿ
70,Staub::N,toz,ದೂಳು
71,Rauch::N,tüstü,ಹೊಗೆ
72,Funke::N,qığılcım,ಕಿಡಿ
73,Feuer::N,od,ಬೆಂಕಿ
74,Licht::N,işıq,ಬೆಳಕು
75,Schatten::N,kölgə,ನೆರಳು
76,Wetter::N,hava,ಹವ
77,Nebel::N,duman,ಮಂಜು
78,Wolke::N,bulud,ಮೋಡ
79,Regen::N,yağış,ಮಳೆ
80,Regen::N,yağmur,ಮಳೆ
81,Schnee::N,qar,ಹಿಮ
82,Eis::N,buz,ಮಂಜುಗಡ್ಡೆ
83,Frost::N,ayaz,ಮಂಜು
84,Kälte::N,soyuq,ಹಿಮ
85,Hitze::N,coşğunluq,ಉಷ್ಣ
86,Raureif::N,qırov,ಇಬ್ಬನಿ
87,Regenbogen::N,göy qurşağı,ಇಂದ್ರಚಾಪ
88,Donner::N,göy gurultusu,ಗುಡುಗು
89,Strömung::N,axın,ಪ್ರವಾಹ
90,Tropfen::N,damcı,ತೊಟ್ಟು
91,Schaum::N,köpük,ನೊರೆ
92,Schmutz::N,çamır,ಕಸ
93,See::N,göl,ಸರೋವರ
94,Sumpf::N,bataqlıq,ಜೌಗುಸ್ಥಳ
95,Moor::N,bataqlıq,ಬಂಜರು ಭೂಮಿ
96,Wiese::N,çəmən,ಹುಲ್ಲುಗಾವಲು
97,Wald::N,meşə,ಕಾಡು
98,Hügel::N,təpə,ಗುಡ್ಡೆ
99,Anhöhe::N,təpə,ದಿಬ್ಬ
100,Berg::N,dağ,ಮಲೆ
101,Berg::N,dağ,ಪರ್ವತ
102,Gipfel::N,zirvə,ಶೃಂಗ
103,Höhle::N,mağara,ಗುಹೆ
104,Abhang::N,yamac,ಇಳಿಜಾರು
105,Quelle::N,bulaq,ಮೂಲ
106,Bach::N,kiçik çay,ತೊರೆ
107,Fluss::N,çay,ನದಿ
108,Ufer::N,kənar,ತೀರ
109,Küste::N,sahil,ದಂಡೆ
110,Festland::N,materik,ಭೂಮಿ
111,Meer::N,dəniz,ಕಡಲು
112,Bucht::N,körfəz,ಖಾರಿ
113,Insel::N,ada,ದ್ವೀಪ
114,Blume::N,çiçək,ಸುಮ
115,Gras::N,ot,ಹುಲ್ಲು
116,Wurzel::N,kök,ಬೇರು
117,Baum::N,ağac,ಮರ
118,Stamm::N,gövdə,ಕಾಂಡ
119,Rinde::N,qabıq,ತೂಗಟಿ
120,Ast::N,şax,ಶಾಖೆ
121,Zweig::N,budaq,ರೆಂಬೆ
122,Blatt::N,yarpaq,ಎಲೆ
123,Birke::N,tozağacı,ಬರ್ಚ್ ಮರ
124,Kiefer[Baum]::N,şam,ದೇವದಾರು ಮರ
125,Weide[Baum]::N,söyüd,ವಿಲೋಮರ
126,Tanne::N,küknar,ಭದ್ರದಾರು
127,Horn::N,buynuz,ಕೊಂಬು
128,Feder::N,tük,ಪುಕ್ಕ
129,Feder::N,lələk,ಪುಕ್ಕ
130,Fell::N,xəz,ರೋಮ
131,Flügel::N,qanad,ರೆಕ್ಕೆ
132,Klaue::N,pəncə,ಪಂಜ
133,Kralle::N,dırnaq,ಉಗುರು
134,Schwanz::N,quyruq,ಬಾಲ
135,Ei::N,yumurta,ಮೊಟ್ಟೆ
136,Nest::N,yuva,ಗೂಡು
137,Bau::N,yuva,ಅಡಗುದಾಣ
138,Tier::N,heyvan,ಪ್ರಾಣಿ
139,Herde::N,sürü,ಗುಂಪು
140,Kuh::N,inək,ಹಸು
141,Bulle::N,öküz,ಗೂಳಿ
142,Pferd::N,at,ಕುದುರೆ
143,Schaf::N,qoyun,ಕುರಿ
144,Schwein::N,donuz,ಹಂದಿ
145,Hund::N,it,ನಾಯಿ
146,Hund::N,köpək,ನಾಯಿ
147,Katze::N,pişik,ಬೆಕ್ಕು
148,Bär::N,ayı,ಕರಡಿ
149,Eichhörnchen::N,dələ,ಉಡುತೆ
150,Elch::N,sığın,ಕಡವೆ
151,Fuchs::N,tülkü,ನರಿ
152,Hase::N,dovşan,ಮೊಲ
153,Maus::N,siçan,ಇಲಿ
154,Wolf::N,qurd,ತೋಳ
155,Vogel::N,quş,ಪಕ್ಷಿ
156,Schwarm::N,sürü,ಗುಂಪು
157,Huhn::N,toyuq,ಚಿಕ್
158,Hahn::N,xoruz,ಹುಂಜ
159,Gans::N,qaz,ವರಟೆ
160,Adler::N,qartal,ಗರುಡ
161,Adler::N,qaraquş,ಗರುಡ
162,Ente::N,ördək,ಬಾತು
163,Eule::N,bayquş,ಗೂಬೆ
164,Kranich::N,durna,ಕೊಕ್ಕರ
165,Krähe::N,qarğa,ಕಾಗೆ
166,Kuckuck::N,ququ,ಕೋಗಿಲೆ
167,Schwan::N,qu quşu,ಹಂಸಪಕ್ಷಿ
168,Fisch::N,balıq,ಮೀನು
169,Barsch::N,tar,ಪರ್ಚ್ ಮೀನು
170,Hecht::N,durnabalığı,ಪೈಕ್ ಮೀನು
171,Schlange[Tier]::N,ilan,ಹಾವು
172,Wurm::N,qurd,ಹುಳು
173,Spinne::N,hörümçək,ಊರ್ಣನಾಭ
174,Ameise::N,qarışqa,ಇರುವೆ
175,Laus::N,bit,ಹೇನು
176,Mücke::N,ağcaqanad,ಸೊಳ್ಳೆ
177,Fliege::N,milçək,ನೊಣ
178,Schmetterling::N,kəpənək,ಪತಂಗ
179,Beere::N,gilə,ನಯವಣ್ಣು
180,Apfel::N,alma,ಸೇಬು
181,Pilz::N,göbələk,ಅಣಬೆ
182,Zwiebel::N,soğan,ನೀರುಳ್ಳಿ
183,Saat::N,əkin,ಬಿತ್ತ
184,Korn::N,taxıl,ಬೀಜ
185,Heu::N,quru ot,ಕರಡ
186,Schale::N,qabıq,ಹೊಟ್ಟು
187,Grube::N,çuxur,ಗುಂಡಿ
188,Falle::N,tələ,ಬೋನು
189,Falle::N,duzaq,ಬೋನು
190,Schlinge::N,ilmək,ಉರುಲು
191,Spur::N,iz,ಜಾಡು
192,Asche::N,kül,ಬೂದಿ
193,Dreck::N,kir,ಹೊಲಸು
194,Eisen::N,dəmir,ಕಬ್ಬಿಣ
195,Gold::N,altun,ಚಿನ್ನ
196,Silber::N,gümüş,ಬೆಳ್ಳಿ
197,Kohle::N,kömür,ಕಲ್ಲಿದ್ದಲು
198,Glas::N,şüşə,ಗಾಜು
199,Lehm::N,gil,ಜೇಡಿಮಣ್ಣು
200,Lehm::N,palçıq,ಜೇಡಿಮಣ್ಣು
201,Sand::N,qum,ಮರಳು
202,Mensch::N,adam,ಪುರುಷ
203,Mensch::N,insan,ಪುರುಷ
204,Mann::N,kişi,ಆಳು
205,Frau::N,qadın,ಹೆಣ್ಣು
206,Kind::N,uşaq,ಮಗು
207,Junge::N,oğlan,ಹುಡುಗ
208,Mädchen::N,qız,ಹುಡುಗಿ
209,Familie::N,ailə,ಕುಟುಂಬ
210,Großvater::N,baba,ಅಜ್ಜ
211,Großmutter::N,nənə,ಅಮ್ಮ
212,Eltern::N,valideyn,ಹೆತ್ತವರು
213,Vater::N,ata,ತಂದೆ
214,Mutter::N,ana,ಅಮ್ಮ
215,Sohn::N,oğul,ಮಗ 
216,Tochter::N,qız,ಮಗಳು
217,Bruder::N,qardaş,ತಮ್ಮ
218,Schwester::N,bacı,ತಂಗಿ
219,Onkel::N,əmi,ಸೋದರಮಾವ
220,Onkel::N,əmi,ದೊಡ್ಡಪ್ಪ
221,Onkel::N,dayı,ಸೋದರಮಾವ
222,Onkel::N,dayı,ದೊಡ್ಡಪ್ಪ
223,Tante::N,bibi,ಚಿಕ್ಕಮ್ಮ
224,Ehemann::N,ər,ಗಂಡ
225,Ehefrau::N,arvad,ಹೆಂಡತಿ
226,Freude::N,nəşə,ನಲಿವು
227,Freude::N,sevinc,ನಲಿವು
228,Gelächter::N,gülüş,ನಗೆ
229,Gelächter::N,qəhqəhə,ನಗೆ
230,Glück::N,səadət,ಆನಂದ
231,Glück::N,xoşbəxtlik,ಆನಂದ
232,Kummer::N,qəm,ದುಃಖ
233,Kummer::N,kədər,ದುಃಖ
234,Wunsch::N,arzu,ಬಯಕೆ
235,Lust::N,həvəs,ಇಷ್ಟ
236,Geist::N,ruh,ಆತ್ಮ
237,Gedanke::N,fikir,ಯೋಚನೆ
238,Gedanke::N,düşüncə,ಯೋಚನೆ
239,Gedächtnis::N,xatir,ಸ್ಮರಣೆ
240,Gedächtnis::N,hafizə,ಸ್ಮರಣೆ
241,Verstand::N,ağıl,ಮನಸ್ಸು
242,Sinn::N,məna,ಅರ್ಥ
243,Grund::N,səbəb,ಕಾರಣ
244,Wahrheit::N,haqq,ಸತ್ಯ
245,Wahrheit::N,doğruluq,ಸತ್ಯ
246,Gespräch::N,söhbət,ಸಂಭಾಷಣೆ
247,Gespräch::N,qonuşma,ಸಂಭಾಷಣೆ
248,Märchen::N,nağıl,ಸುಳ್ಳು ಕಥೆ
249,Erzählung::N,hekayə,ಕಥೆ
250,Nachricht::N,xəbər,ಸಂದೇಶ
251,Neuigkeit::N,xəbər,ಸುದ್ದಿ
252,Neuigkeit::N,yenilik,ಸುದ್ದಿ
253,Name::N,ad,ಹೆಸರು
254,Rätsel::N,tapmaca,ಒಗಟು
255,Rede::N,nitq,ಮಾತು
256,Sprache::N,dil,ಭಾಷೆ
257,Stimme::N,səs,ಧ್ವನಿ
258,Wort::N,söz,ಮಾತು
259,Wort::N,kəlmə,ಮಾತು
260,Zeichen::N,nişan,ಗುರುತು
261,Ruf::N,çığırtı,ಕೂಗು
262,Lärm::N,gurultu,ಸದ್ದು
263,Laut::N,səs,ಶಬ್ದ
264,Ton::N,ton,ನಾದ
265,Lied::N,mahnı,ಗಾನ
266,Ruhe::N,sakitlik,ಶಾಂತಿ
267,Leute::N,xalq,ಮಂದಿ
268,Volk::N,millət,ಜನಾಂಗ
269,Arbeit::N,iş,ಕೆಲಸ
270,Arbeit::N,əmək,ಕೆಲಸ
271,Gast::N,qonaq,ಅತಿಥಿ
272,Gast::N,müsafir,ಅತಿಥಿ
273,Geschenk::N,hədiyyə,ಕಾಣಿಕೆ
274,Spiel::N,oyun,ಆಟ
275,Spiel::N,tamaşa,ಆಟ
276,Gesellschaft::N,cəmiyyet,ಸಂಗ
277,Hilfe::N,kömək,ಸಹಾಯ
278,Hilfe::N,yardım,ಸಹಾಯ
279,Freund::N,dost,ಸ್ನೇಹಿತ
280,Kamerad::N,yoldaş,ಜೊತೆಗಾರ
281,Angelegenheit::N,iş,ವಿಚಾರ
282,Anzahl::N,say,ಎಣಿಕೆ
283,Art::N,çeşid,ತರ
284,Stück::N,dənə,ತುಂಡು
285,Stück::N,parça,ತುಂಡು
286,Teil::N,qisim,ಭಾಗ
287,Hälfte::N,yarım,ಅರ್ಧ
288,Kreis::N,dairə,ವೃತ್ತ
289,Kreuz::N,xaç,ಶಿಲುಬೆ
290,Linie::N,xətt,ರೀಖೆ
291,Strich::N,cızıq,ಗೀಟು
292,Abstand::N,məsafə,ಅಂತರ
293,Entfernung::N,məsafə,ದೂರ
294,Entfernung::N,uzaqlıq,ದೂರ
295,Gegend::N,bölgə,ವಿಸ್ತೀರ್ಣ
296,Platz::N,yer,ಅಂತರ
297,Ort::N,yer,ಸ್ಥಳ
298,Seite::N,yan,ಪಕ್ಷ
299,Seite::N,tərəf,ಪಕ್ಷ
300,Mitte::N,orta,ನಡು
301,Gegenstand::N,şey,ವಸ್ತು
302,Sache::N,şey,ವಸ್ತು
303,Rand::N,kənar,ಅಂಚು
304,Kante::N,tiyə,ಅಂಚು
305,Kante::N,kənar,ಅಂಚು
306,Ecke::N,bucaq,ಮೂಲೆ
307,Spitze::N,uc,ತುದಿ
308,Ende::N,son,ಕೊನೆ
309,Ende::N,axır,ಕೊನೆ
310,Loch::N,deşik,ತೂತು
311,Winkel::N,guşə,ಕೋನ
312,Muster::N,ülgü,ನಮೂನೆ
313,Größe::N,böyüklük,ಪ್ರಮಾಣ
314,Länge::N,uzunluq,ಉದ್ದ
315,Höhe::N,yüksəklik,ಎತ್ತರ
316,Gewicht::N,çəki,ತೂಕ
317,Gewicht::N,ağırlıq,ತೂಕ
318,Menge::N,miqdar,ಮೊತ್ತ
319,Haufen::N,yığın,ರಾಶಿ
320,Reihe::N,səf,ಸಾಲು
321,Reihe::N,sıra,ಸಾಲು
322,Boot::N,qayıq,ದೋಣಿ
323,Ruder::N,kürək,ಹುಟ್ಟು
324,Schlitten::N,kirşə,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ
325,Ski::N,xizək,ಜಾರುಪಟ್ಟಿ
326,Lagerfeuer::N,düşərgə tonqalı,ಶಿಬಿರಾಗ್ನಿ
327,Last::N,yük,ಹೊರೆ
328,Gang::N,yeriş,ತಿರುಗಾಟ
329,Schritt::N,addım,ಹೆಜ್ಜೆ
330,Norden::N,şimal,ಉತ್ತರ
331,Süden::N,cənub,ದಕ್ಷಿಣ
332,Westen::N,qərb,ಪಶ್ಚಿಮ
333,Osten::N,şərq,ಮೂಡಲು
334,Holz::N,ağac,ಚೌಬೀನೆ
335,Holz::N,taxta,ಚೌಬೀನೆ
336,Brett::N,taxta,ಹಲಗೆ
337,Platte::N,lövhə,ಹಲಗೆ
338,Stütze::N,dayaq,ಆಸರೆ
339,Stütze::N,dəstək,ಆಸರೆ
340,Stange::N,şüvül,ಕಂಬ
341,Stock::N,dəyənək,ಕೋಲು
342,Stab::N,əsa,ದೊಣ್ಣೆ
343,Stab::N,şüvül,ದೊಣ್ಣೆ
344,Rohr::N,boru,ನಳಿಕೆ
345,Rohr::N,truba,ನಳಿಕೆ
346,Haus::N,ev,ಮನೆ
347,Heim::N,ev,ಗೃಹ
348,Ofen::N,peç,ಒಲೆ
349,Ofen::N,soba,ಒಲೆ
350,Fußboden::N,döşəmə,ನೆಲ
351,Tisch::N,masa,ಮೇಜು
352,Stuhl::N,stul,ಕುರ್ಚಿ
353,Wiege::N,beşik,ತೊಟ್ಟಿಲು
354,Bett::N,yataq,ಹಾಸಿಗೆ
355,Regal::N,rəf,ಬೀರು
356,Kiste::N,yeşik,ಪಟ್ಟಿಗೆ
357,Kiste::N,sandıq,ಪಟ್ಟಿಗೆ
358,Fenster::N,pəncərə,ಕಿಟಕಿ
359,Tür::N,qapı,ಬಾಗಿಲು
360,Tor::N,darvaza,ಹೆಬ್ಬಾಗಿಲು
361,Zaun::N,çəpər,ಬೇಲಿ
362,Dach::N,dam,ಮಾಳಿಗೆ
363,Leiter::N,nərdivan,ಏಣಿ
364,Besen::N,süpürgə,ಪೊರಕೆ
365,Spaten::N,kürək,ಗುದ್ದಲಿ
366,Schaufel::N,kürək,ಸನಿಕೆ
367,Gabel::N,çəngəl,ಕವಲು
368,Löffel::N,qaşıq,ಚಮಚ
369,Messer::N,bıçaq,ಚಾಕು
370,Nagel::N,mıx,ಆಣಿ
371,Netz::N,tor,ಬಲೆ
372,Haken::N,çəngəl,ಕೊಂಡಿ
373,Griff::N,qulp,ಹಿಡಿ
374,Griff::N,tutacaq,ಹಿಡಿ
375,Schloss::N,qıfıl,ವೀಗ
376,Bild::N,rəsm,ಚಿತ್ರ
377,Figur::N,şəkil,ಆಕಾರ
378,Figur::N,heykəl,ಆಕಾರ
379,Puppe::N,kukla,ಗೊಂಬೆ
380,Puppe::N,gəlincik,ಗೊಂಬೆ
381,Beutel::N,kisə,ಸಂಚಿ
