,Concept_ID,myv,ar
0,Auge::N,сельме,عين
1,Ohr::N,пиле,أذن
2,Nase::N,судо,أنف
3,Mund::N,курго,فم
4,Zahn::N,пей,سن
5,Zunge::N,кель,لسان
6,Lippe::N,турва,شفة
7,Wange::N,чамабока,خد
8,Wange::N,чамабока,وجنة
9,Wange::N,чамаумарь,خد
10,Wange::N,чамаумарь,وجنة
11,Gesicht::N,чама,وجه
12,Stirn::N,коня,جبين
13,Haar::N,черь,شعر
14,Schnurrbart::N,ус,شارب
15,Schnurrbart::N,муюк,شارب
16,Bart::N,сакал,لحية
17,Kinn::N,уло,ذقن
18,Kiefer[Anatomie]::N,пейпакар,فك
19,Kiefer[Anatomie]::N,пейловажа,فك
20,Kehle::N,кирьгапарь,حلق
21,Hals::N,кирьга,عنق
22,Hals::N,кирьга,رقبة
23,Genick::N,човонь,قفا
24,Kopf::N,пря,رأس
25,Rücken::N,копорь,ظهر
26,Bauch::N,пеке,بطن
27,Nabel::N,почо,سرة
28,Busen::N,поте,ثدي
29,Brust::N,меште,صدر
30,Schulter::N,лавтов,كتف
31,Arm::N,кедь,ذراع
32,Ellenbogen::N,кенерепакарь,كوع
33,Hand::N,кедь,يد
34,Handfläche::N,кедькуншка,كف
35,Handfläche::N,кедьлапушка,كف
36,Finger::N,сур,إصبع
37,Fingernagel::N,кенже,ظفر
38,Nagel[Anatomie]::N,кенже,ظفر
39,Zeh::N,пильге сур,إصبع القدم
40,Fuß::N,пильге,قدم
41,Ferse::N,кочкаря,كعب
42,Knie::N,эле,ركبة
43,Knie::N,эзне,ركبة
44,Knie::N,кумажа,ركبة
45,Oberschenkel::N,качо,فخذ
46,Bein::N,пильге,ساق
47,Körper::N,рунго,جسم
48,Haut::N,киське,بشرة
49,Blut::N,верь,دم
50,Ader::N,сан,عرق
51,Sehne::N,коське сан,طنب
52,Knochen::N,пакарь,عظم
53,Gehirn::N,удем,دماغ
54,Herz::N,седей,قلب
55,Magen::N,пеке,معدة
56,Leber::N,максо,كبد
57,Atem::N,лексема,نفس
58,Atem::N,оймень таргсема,نفس
59,Hunger::N,вачочи,جوع
60,Träne::N,селведь,دمعة
61,Geschmack::N,тансть,طعم
62,Geschmack::N,тансть,مذاق
63,Geruch::N,чине,رائحة
64,Schlaf::N,удома,نوم
65,Schlaf::N,удома,منام
66,Traum::N,он,حلم
