,Concept_ID,vep,se
0,Auge::N,sil'm,tjelmie
1,Auge::N,sil'm,tjalmme
2,Auge::N,sil'm,čalbmi
3,Auge::N,sil'm,čalme
4,Auge::N,sil'm,čâ´lmm
5,Auge::N,sil'm,ча̄лльм
6,Ohr::N,korv,bieljie
7,Ohr::N,korv,biellje
8,Ohr::N,korv,beallji
9,Ohr::N,korv,pelji
10,Ohr::N,korv,pe´llj
11,Ohr::N,korv,пе̄лльй
12,Nase::N,nena,njuenie
13,Nase::N,nena,njunnje
14,Nase::N,nena,njunni
15,Nase::N,nena,njuṇe
16,Nase::N,nena,njuu´nn
17,Nase::N,nena,нюннҍ
18,Mund::N,su,njaelmie
19,Mund::N,su,njálmme
20,Mund::N,su,njálbmi
21,Mund::N,su,njälmi
22,Mund::N,su,njä´lmm
23,Mund::N,su,ня̄лльм
24,Zahn::N,pi,baenie
25,Zahn::N,pi,bádne
26,Zahn::N,pi,bátni
27,Zahn::N,pi,pääṇi
28,Zahn::N,pi,pää´nn
29,Zahn::N,pi,па̄ннҍ
30,Zahn::N,hambaz,baenie
31,Zahn::N,hambaz,bádne
32,Zahn::N,hambaz,bátni
33,Zahn::N,hambaz,pääṇi
34,Zahn::N,hambaz,pää´nn
35,Zahn::N,hambaz,па̄ннҍ
36,Zunge::N,kel',njoektjeme
37,Zunge::N,kel',njuovtjav
38,Zunge::N,kel',njuovčča
39,Zunge::N,kel',njuovčâ
40,Zunge::N,kel',njuhččâm
41,Zunge::N,kel',нюхчем
42,Lippe::N,hul',bangseme
43,Lippe::N,hul',njálmmerabdda
44,Lippe::N,hul',bavssa
45,Lippe::N,hul',poovsâ
46,Lippe::N,hul',põõus
47,Lippe::N,hul',пэ̄кс
48,Wange::N,modpolišk,skiehrie
49,Wange::N,modpolišk,nierra
50,Wange::N,modpolišk,muohtu
51,Wange::N,modpolišk,nieṛâ
52,Wange::N,modpolišk,njiõrr
53,Wange::N,modpolišk,нӣрр
54,Gesicht::N,mod,ååredæjja
55,Gesicht::N,mod,muohto
56,Gesicht::N,mod,muođut
57,Gesicht::N,mod,ámadadju
58,Gesicht::N,mod,muáđuh
59,Gesicht::N,mod,muâđ
60,Gesicht::N,mod,ка̄ссв
61,Stirn::N,oc,gaalloe
62,Stirn::N,oc,gállo
63,Stirn::N,oc,gállu
64,Stirn::N,oc,kállu
65,Stirn::N,oc,käll
66,Stirn::N,oc,вуэххьц
67,Haar::N,tuk,voepte
68,Haar::N,tuk,vuoppta
69,Haar::N,tuk,vuokta
70,Haar::N,tuk,vuop'tâ
71,Haar::N,tuk,vuõpt
72,Haar::N,tuk,вӯппт
73,Haar::N,hibuz,voepte
74,Haar::N,hibuz,vuoppta
75,Haar::N,hibuz,vuokta
76,Haar::N,hibuz,vuop'tâ
77,Haar::N,hibuz,vuõpt
78,Haar::N,hibuz,вӯппт
79,Schnurrbart::N,habinod,bijjie-skaavtjoe
80,Schnurrbart::N,habinod,njunjevuolskávttjá
81,Schnurrbart::N,habinod,seamu
82,Schnurrbart::N,habinod,siämu
83,Schnurrbart::N,habinod,ää´bben
84,Schnurrbart::N,habinod,о̄а̄бпан
85,Bart::N,bard,skaavtja
