,Concept_ID,ab,pt
0,Auge::N,ала,olho
1,Ohr::N,алымҳа,orelha
2,Nase::N,аҧынҵа,nariz
3,Mund::N,аҧышə,boca
4,Zahn::N,ахаҧыц,dente
5,Zunge::N,абз,língua
6,Lippe::N,ақьышə,lábio
7,Wange::N,аӡамҩа,face
8,Gesicht::N,аҿы,cara
9,Gesicht::N,аҿы,rosto
10,Stirn::N,алахь,testa
11,Haar::N,ахəыц,cabelo
12,Schnurrbart::N,аҧаҵа,bigode
13,Bart::N,ажакьа,barba
14,Kinn::N,ацламкəыгə,queixo
15,Kiefer[Anatomie]::N,ацламҳəа,maxila
16,Kiefer[Anatomie]::N,ацламҳəа,mandíbula
17,Kehle::N,ахəда,garganta
18,Hals::N,ахəда,colo
19,Hals::N,ахəда,pescoço
20,Genick::N,ахəдаџьал,nuca
21,Kopf::N,ахы,cabeça
22,Rücken::N,азқəа,dorso
23,Rücken::N,азқəа,costas
24,Bauch::N,амгəа,ventre
25,Bauch::N,амгəа,barriga
26,Nabel::N,аҷапан,umbigo
27,Busen::N,агəыҧҳəы,seio
28,Brust::N,агəышҧы,peito
29,Schulter::N,ажəҩахыр,ombro
30,Arm::N,амахəар,braço
31,Ellenbogen::N,амашьхəылҵ,cotovelo
32,Hand::N,анапы,mão
33,Handfläche::N,анапсаргəыҵа,palma
34,Handfläche::N,анапсаргəыҵа,palma da mão
35,Finger::N,анацəа,dedo
36,Fingernagel::N,анапхыц,unha
37,Nagel[Anatomie]::N,ашьапхыц,unha
38,Zeh::N,ашьацəа,dedo do pé
39,Fuß::N,ашьапсыргəыҵа,pé
40,Ferse::N,ашьхəа,calcanhar
41,Knie::N,ашьамхы,joelho
42,Oberschenkel::N,ауаҭəа,coxa
43,Bein::N,ашьапы,perna
44,Körper::N,ацəеижь,corpo
45,Haut::N,ацəа,pele
46,Blut::N,ашьа,sangue
47,Ader::N,ада,veia
48,Sehne::N,адаш,tendão
49,Knochen::N,абаҩ,osso
50,Gehirn::N,ахшлыбаҩ,cérebro
51,Gehirn::N,ахшыбаҩ,cérebro
52,Herz::N,агəы,coração
53,Magen::N,аца,estômago
54,Magen::N,ацар,estômago
55,Leber::N,агəаҵəа,fígado
56,Atem::N,аҧсыҧлагаҩгара,fôlego
57,Hunger::N,амла,fome
58,Träne::N,алабжыш,lágrima
59,Geschmack::N,агьама,gosto
