,Concept_ID,cy,uk
0,Auge::N,llygad,око
1,Ohr::N,clust,вухо
2,Nase::N,trwyn,ніс
3,Mund::N,ceg,рот
4,Zahn::N,dant,зуб
5,Zunge::N,tafod,язик
6,Lippe::N,gwefus,губа
7,Wange::N,boch,щока
8,Gesicht::N,wyneb,обличчя
9,Stirn::N,talcen,лоб
10,Haar::N,blew,волосся
11,Schnurrbart::N,mwstas,вуса
12,Bart::N,barf,борода
13,Kinn::N,gên,підборіддя
14,Kiefer[Anatomie]::N,gên,щелепа
15,Kehle::N,gwddf,горло
16,Hals::N,gwddf,шия
17,Genick::N,gwar,потилиця
18,Genick::N,gwegil,потилиця
19,Kopf::N,pen,голова
20,Rücken::N,cefn,спина
21,Bauch::N,bol,живіт
22,Nabel::N,bogail,пупок
23,Busen::N,bron,груди
24,Brust::N,brest,груди
25,Schulter::N,ysgwydd,плече
26,Arm::N,braich,рука
27,Ellenbogen::N,penelin,лікоть
28,Hand::N,llaw,рука
29,Handfläche::N,palf,долоня
30,Finger::N,bys,палець
31,Fingernagel::N,ewin,ніготь
32,Nagel[Anatomie]::N,ewin,ніготь
33,Zeh::N,bys troed,палець на нозі
34,Fuß::N,troed,нога
35,Ferse::N,sawdl,п’ятка
36,Knie::N,glin,коліно
37,Oberschenkel::N,clun,стегно
38,Bein::N,coes,нога
39,Körper::N,corff,тіло
40,Haut::N,croen,шкіра
41,Blut::N,gwaed,кров
42,Ader::N,gwythïen,вена
43,Sehne::N,gewyn,сухожилля
44,Knochen::N,asgwrn,кістка
45,Gehirn::N,ymennydd,мозок
46,Herz::N,calon,серце
47,Magen::N,cylla,шлунок
48,Magen::N,stumog,шлунок
49,Leber::N,iau,печінка
50,Atem::N,anadl,дихання
51,Hunger::N,newyn,голод
52,Träne::N,deigryn,сльоза
53,Geschmack::N,cyflas,смак
54,Geruch::N,aroglau,запах
55,Schlaf::N,cwsg,сон
56,Schlaf::N,cwsg,сплячка
57,Traum::N,breuddwyd,сон
58,Himmel::N,awyr,небо
59,Sonne::N,haul,сонце
60,Mond::N,lleuad,місяць
61,Stern::N,seren,зірка
62,Luft::N,awyr,повітря
63,Wind::N,gwynt,вітер
64,Welle::N,ton,хвиля
65,Wasser::N,dŵr,вода
66,Stein::N,carreg,камінь
67,Boden::N,llawr,ґрунт
68,Erde::N,pridd,земля
69,Staub::N,llwch,пил
70,Rauch::N,mwg,дим
71,Funke::N,gwreichioni,іскра
72,Feuer::N,tân,вогонь
73,Licht::N,golau,світло
74,Schatten::N,cysgod,тінь
75,Wetter::N,tywydd,погода
76,Nebel::N,niwl,туман
77,Wolke::N,cwmwl,хмара
78,Regen::N,glaw,дощ
79,Schnee::N,ôd,сніг
80,Schnee::N,eira,сніг
81,Eis::N,iâ,лід
82,Frost::N,rhew,мороз
83,Kälte::N,oerni,холод
84,Kälte::N,annwyd,холод
85,Hitze::N,gwres,жар
86,Raureif::N,barrug,іній
87,Regenbogen::N,enfys,райдуга
88,Donner::N,tyrfau,грім
89,Strömung::N,cerrynt,струмина
90,Tropfen::N,dafn,крапля
91,Tropfen::N,diferyn,крапля
92,Schaum::N,ewyn,піна
93,Schmutz::N,baw,бруд
94,Schmutz::N,budreddi,бруд
95,See::N,llyn,озеро
96,Sumpf::N,cors,драговина
97,Moor::N,rhos,болото
98,Wiese::N,dôl,луг
99,Wiese::N,dôl,лука
100,Wald::N,coedwig,ліс
101,Hügel::N,bryn,горб
102,Anhöhe::N,bryn,височина
103,Berg::N,mynydd,гора
104,Gipfel::N,copa,вершина
105,Höhle::N,ogof,печера
106,Abhang::N,llethr,схил
107,Quelle::N,tarddiad,джерело
108,Quelle::N,ffynhonnell,джерело
109,Bach::N,nant,струмок
110,Bach::N,afonig,струмок
111,Bach::N,cornant,струмок
112,Fluss::N,afon,річка
113,Ufer::N,glan,берег
114,Küste::N,traeth,узбережжя
115,Küste::N,arfordir,узбережжя
116,Festland::N,tir,суша
117,Meer::N,môr,море
118,Bucht::N,bae,бухта
119,Bucht::N,bae,затока
120,Insel::N,ynys,острів
121,Blume::N,blodyn,квітка
122,Gras::N,glaswellt,трава
123,Wurzel::N,gwreiddyn,корінь
124,Baum::N,coeden,дерево
125,Stamm::N,colfen,стовбур
126,Stamm::N,boncyff,стовбур
127,Rinde::N,rhisgl,кора
128,Ast::N,cangen,гілка
129,Zweig::N,cainc,галузь
130,Zweig::N,cangen,галузь
131,Blatt::N,deilen,лист
132,Birke::N,bedwen,береза
133,Kiefer[Baum]::N,pinwydden,сосна
134,Weide[Baum]::N,helygen,верба
135,Tanne::N,ffynidwydden,ялиця
136,Horn::N,corn,ріг
137,Feder::N,plufyn,перо
138,Fell::N,ffwr,хутро
139,Flügel::N,adain,крило
140,Klaue::N,crafanc,кіготь
141,Kralle::N,ewin,лапа
142,Schwanz::N,cwt,хвіст
143,Schwanz::N,cynffon,хвіст
144,Ei::N,wy,яйце
145,Nest::N,nyth,гніздо
146,Bau::N,ffau,лігво
147,Tier::N,anifail,тварина
148,Herde::N,praidd,стадо
149,Herde::N,diadell,стадо
150,Kuh::N,buwch,корова
151,Bulle::N,tarw,бик
152,Bulle::N,tarw,бугай
153,Pferd::N,ceffyl,кінь
154,Schaf::N,dafad,вівця
155,Schwein::N,mochyn,свиня
156,Hund::N,ci,собака
157,Katze::N,cath,кішка
158,Bär::N,arth,ведмідь
159,Eichhörnchen::N,gwiwer,білка
160,Elch::N,elc,лось
161,Fuchs::N,cadno,лисиця
162,Hase::N,ysgyfarnog,заєць
163,Maus::N,llygoden,миша
164,Wolf::N,blaidd,вовк
165,Vogel::N,aderyn,птах
166,Schwarm::N,haid,зграя
167,Huhn::N,cyw,курка
168,Hahn::N,ceiliog,півень
169,Gans::N,gŵydd,гуска
170,Adler::N,eryr,орел
171,Ente::N,hwyad,качка
172,Eule::N,tylluan,сова
173,Kranich::N,garan,журавель
174,Kranich::N,crychydd,журавель
175,Krähe::N,brân,ворона
176,Kuckuck::N,cog,зозуля
177,Kuckuck::N,cwcw,зозуля
178,Schwan::N,alarch,лебідь
179,Fisch::N,pysgod,риба
180,Barsch::N,draenog,окунь
181,Hecht::N,penhwyad,щука
182,Schlange[Tier]::N,neidr,змія
183,Wurm::N,abwydyn,черв’як
184,Wurm::N,pryf genwair,черв’як
185,Spinne::N,cor,павук
186,Spinne::N,pryf copyn,павук
187,Ameise::N,morgrugyn,мурашка
188,Laus::N,lleuen,воша
189,Mücke::N,gwybedyn,комар
190,Fliege::N,cleren,муха
191,Schmetterling::N,glöyn byw,метелик
192,Schmetterling::N,iâr fach yr haf,метелик
193,Beere::N,aeronen,ягода
194,Apfel::N,afal,яблуко
195,Pilz::N,madarch,гриб
196,Zwiebel::N,nionyn,цибуля
197,Zwiebel::N,winwnsyn,цибуля
198,Saat::N,had,сім’я
199,Korn::N,grawn,зерно
200,Heu::N,gwair,сіно
201,Schale::N,croen,шкірка
202,Schale::N,plisgyn,шкірка
203,Grube::N,pwll,яма
204,Grube::N,pydew,яма
205,Falle::N,magl,пастка
206,Schlinge::N,cwlwm rhedeg,петля
207,Spur::N,ôl,слід
208,Asche::N,lludw,зола
