,Concept_ID,ta,ja
0,Auge::N,கண்,目
1,Ohr::N,காது,耳
2,Nase::N,மூக்கு,鼻
3,Mund::N,வாய்,口
4,Zahn::N,பல்,歯
5,Zunge::N,நாக்கு,舌
6,Lippe::N,உதடு,唇
7,Wange::N,கன்னம்,頬
8,Gesicht::N,முகம்,顔
9,Stirn::N,முன்னெற்றி,額
10,Haar::N,முடி,髪
11,Schnurrbart::N,மீசை,口髭
12,Bart::N,தாடி,髭
13,Kinn::N,கீழதாடை,顎
14,Kiefer[Anatomie]::N,தாடை,顎
15,Kehle::N,தொண்டை,喉
16,Hals::N,கழுத்து,首
17,Genick::N,கழுத்து,首
18,Kopf::N,தலை,頭
19,Rücken::N,முதுகு,背中
20,Bauch::N,வயிறு,腹
21,Bauch::N,வயிறு,お腹
22,Nabel::N,தொப்புள்,へそ
23,Busen::N,மார்பகம்,乳房
24,Brust::N, மார்பு,胸
25,Schulter::N,தோள்பட்டை,肩
26,Arm::N,கரம்,腕
27,Ellenbogen::N,முழங்கை,肘
28,Hand::N,கை,手
29,Handfläche::N,உள்ளங்கை,手のひら
30,Finger::N,விரல்,指
31,Fingernagel::N,விரல் நகம்,爪
32,Nagel[Anatomie]::N,நகம்,爪
33,Zeh::N,கால்விரல்,足の指
34,Fuß::N,கால்,足
35,Ferse::N,குதிகால்,かかと
36,Knie::N,முழங்கால்,膝
37,Oberschenkel::N,தொடை,上腿
38,Bein::N,கால்,足
39,Körper::N,உடல்,体
40,Haut::N,சருமம்,皮膚
41,Blut::N,இரத்தம்,血
42,Ader::N,நாளம்,血管
43,Sehne::N,தசைநார்,腱
44,Knochen::N,எலுமபு,骨
45,Gehirn::N,மூனை,脳
46,Herz::N,இதயம,心
47,Herz::N,இதயம,心臓
48,Magen::N,வயிறு,胃
49,Leber::N,கல்லீரல்,肝臓
50,Atem::N,மூச்சு,息
51,Atem::N,மூச்சு,呼吸
52,Hunger::N,பசி,空腹
53,Träne::N,கண்ணீர்,涙
54,Geschmack::N,நறுமணம்,味
55,Geruch::N,துர்நாற்றம்,匂い
56,Schlaf::N,தூக்கம்,睡眠
57,Traum::N,கனவு,夢
58,Himmel::N,வானம்,空
59,Sonne::N,சூரியன்,太陽
60,Mond::N,சந்திரன்,月
61,Stern::N,நட்சத்திரம்,星
62,Luft::N,காறறு,空気
63,Wind::N,காற்று,風
64,Welle::N,அலை,波
65,Wasser::N,நீர்,水
66,Stein::N,கல்,石
67,Boden::N,தரை,土地
68,Erde::N,மண்,土
69,Staub::N,தூசி,埃
70,Rauch::N,புகை,煙
71,Funke::N,தீப்பொறி,火花
72,Feuer::N,தீ,火
73,Licht::N,வெளிச்சம்,光
74,Schatten::N,நிழல்,陰
75,Wetter::N,வானிலை,天気
76,Nebel::N,பனிமூட்டம்,霧
77,Wolke::N,மேகம்,雲
78,Regen::N,மழை,雨
79,Schnee::N,உறைபனி,雪
80,Eis::N,பனிக்கட்டி,氷
81,Frost::N,உறைபனி,霜
82,Kälte::N,குளிர்ந்த,寒さ
83,Hitze::N,சூடு,暑さ
84,Raureif::N,உறைபனி வெண்திரை,霧氷
85,Regenbogen::N,வானவில்,虹
86,Donner::N,இடி,雷
87,Strömung::N,நீரோட்டம்,流れ
88,Tropfen::N,துளி,滴
89,Schaum::N,நுரை,泡
90,Schmutz::N,அழுக்கு,汚れ
91,See::N,ஏரி,湖
92,Sumpf::N,சதுப்பு நிலம்,沼
93,Moor::N,முட்புதற்காடு,湿原
94,Wiese::N,பசும் புல்தரை,草原
95,Wald::N,காடு,森
96,Hügel::N,குன்று,丘
97,Anhöhe::N,பதுக்கை,高み
98,Berg::N,மலை,山
99,Gipfel::N,உச்சி மாநாடு,頂上
100,Höhle::N,குகை,洞窟
101,Abhang::N,சரிவு,斜面
102,Quelle::N,மூலம்,泉
103,Bach::N,ஓடை,小川
104,Fluss::N,ஆறு,川
105,Ufer::N,நீர்க்கரை,岸
106,Küste::N,கடற்கரை,海岸
107,Festland::N,நிலம்,陸
108,Meer::N,கடல்,海
109,Bucht::N,சிறுகுடா,湾
110,Insel::N,தீவு,島
111,Blume::N,பூ,花
112,Gras::N,புல்தரை,草
