,Concept_ID,mdf,hu
1355,anziehen::V,ща́фтомс,felvesz
1356,sich anziehen::V,щамс,öltözik
1357,sich anziehen::V,щамс,felöltözik
1358,kämmen::V,се́ендемс,fésül
1359,schmücken::V,на́ряжамс,díszít
1360,schmücken::V,ма́зоптомс,díszít
1361,sagen::V,азомс,mond
1362,sagen::V,мярьгомс,mond
1363,sprechen::V,корхтамс,beszél
1364,reden::V,корхнемс,beszél
1365,sich unterhalten::V,корхнемс,beszélget
1366,fragen::V,ки́зефтемс,kérdez
1367,bitten::V,а́намс,kér
1368,bitten::V,ве́шемс,kér
1369,erzählen::V,а́зондомс,mesél
1370,erzählen::V,а́зондомс,elbeszél
1371,mitteilen::V,азомс,közöl
1372,nennen::V,лемдемс,hív
1373,nennen::V,лемдемс,nevez
1374,nennen::V,путомс лем,hív
1375,nennen::V,путомс лем,nevez
1376,rufen::V,серьгядемс,hív
1377,prahlen::V,шна́фтомс пря́,dicsekszik
1378,übersetzen::V,ётафтомс,fordít
1379,denken::V,арьсемс,gondol
1380,glauben::V,кемамс,hisz
1381,bemerken::V,ня́емс,észrevesz
1382,erkennen::V,содамс,ráismer
1383,erkennen::V,содамс,felismer
1384,begreifen::V,сатомс,felfog
1385,verstehen::V,шарьхкодемс,ért
1386,verstehen::V,шарьхкодемс,megért
1387,lernen::V,тонафнемс,tanul
1388,lernen::V,тонафнемс,megtanul
1389,wissen::V,со́дамс,tud
1390,sich erinnern an::V,лятфтамс,emlékszik
1391,vergessen::V,юкстамс,felejt
1392,vergessen::V,юкстамс,elfelejt
1393,messen::V,ункснемс,mér
1394,messen::V,ункснемс,megmér
1395,zählen::V,лу́вомс,számol
1396,zählen::V,лу́вомс,megszámol
1397,zählen::V,а́рьсемс,számol
1398,zählen::V,а́рьсемс,megszámol
1399,rechnen::V,лувомс,számít
1400,lesen::V,лувомс,olvas
1401,lesen::V,морафтомс,olvas
1402,malen::V,рисова́ндамс,fest
1403,zeichnen::V,рисова́ндамс,rajzol
1404,schreiben::V,сёрмадомс,ír
1405,besitzen::V,улемс азоркс,birtokol
1406,kaufen::V,рамамс,vesz
1407,kaufen::V,рамамс,megvesz
1408,verkaufen::V,мимс,elad
1409,bezahlen::V,пандомс,fizet
1410,bezahlen::V,пандомс,kifizet
1411,zahlen::V,па́ндомс,fizet
1412,zahlen::V,па́ндомс,megfizet
1413,beherrschen::V,азорондамс,ural
1414,ertragen::V,кирдемс,elbír
1415,ertragen::V,кирдемс,elvisel
1416,Netz::N,,háló
