,Concept_ID,he,udm
0,Auge::N,עין,син
1,Ohr::N,אזן,пель
2,Nase::N,אף,ныр
3,Nase::N,חטם,ныр
4,Mund::N,פה,ым
5,Zahn::N,שן,пинь
6,Zunge::N,לשון,кыл
7,Lippe::N,שפה,ымдур
8,Wange::N,לחי,бам
9,Gesicht::N,פנים,ымныр
10,Stirn::N,מצח,кымес
11,Haar::N,שערה,йырси
12,Schnurrbart::N,שפם,мыйык
13,Bart::N,זקן,туш
14,Kinn::N,סנטר,ангес
15,Kiefer[Anatomie]::N,לסת,ан
16,Kiefer[Anatomie]::N,לסת,анлы
17,Kehle::N,גרון,гульым
18,Hals::N,צואר,чырты
19,Genick::N,ערף,йырбер
20,Kopf::N,ראש,йыр
21,Rücken::N,גב,мыш
22,Bauch::N,בטן,кӧт
23,Nabel::N,טבור,гогы
24,Busen::N,שד,ноны
25,Brust::N,חזה,мӧля
26,Schulter::N,כתף,пельпум
27,Arm::N,זרוע,суй
28,Ellenbogen::N,מרפק,гырпум
29,Hand::N,יד,ки
30,Handfläche::N,כף יד,ки пыдэс
31,Handfläche::N,כף יד,кырым пыдэс
32,Finger::N,אצבע,чиньы
33,Fingernagel::N,צפרן,гижы
34,Fingernagel::N,צפרן,гиждӥнь
35,Nagel[Anatomie]::N,צפרן,гижы
36,Zeh::N,אצבע,пыдчиньы
37,Fuß::N,רגל,пыд
38,Ferse::N,עקב,пыдбер
39,Knie::N,ברך,пыдес
40,Oberschenkel::N,ירך,макес
41,Bein::N,רגל,пыд
42,Körper::N,גוף,мугор
43,Körper::N,גוף,вылтыр
44,Haut::N,עור,ку
45,Blut::N,דם,вир
46,Ader::N,וריד,вирсэр
47,Sehne::N,גיד,вуж
48,Knochen::N,עצם,лы
49,Gehirn::N,מוח,вим
50,Herz::N,לב,сюлэм
51,Magen::N,קבה,ӝуш
52,Leber::N,כבד,мус
53,Atem::N,נשימה,лул
54,Atem::N,נשימה,шокан
55,Hunger::N,רעב,кӧтсюман
56,Träne::N,דמעה,синкыли
57,Geschmack::N,טעם,шӧм
58,Geruch::N,ריח,зын
59,Schlaf::N,שנה,вӧт
