,Concept_ID,kn,bg
0,Auge::N,ಕಣ್ಣು,око
1,Ohr::N,ಕಿವಿ,ухо
2,Nase::N,ಮೂಗು,нос
3,Mund::N,ಬಾಯಿ,уста
4,Zahn::N,ಹಲ್ಲು,зъб
5,Zunge::N,ನಾಲಿಗೆ,език
6,Lippe::N,ತುಟಿ,устна
7,Wange::N,ಗಲ್ಲ,буза
8,Gesicht::N,ಮುಖ,лице
9,Gesicht::N,ಮುಖ,образ
10,Stirn::N,ಹಣೆ,чело
11,Haar::N,ಕೂದಲು,коса
12,Haar::N,ಕೂದಲು,косъм
13,Schnurrbart::N,ಮೀಸೆ,мустаци
14,Bart::N,ಗಡ್ಡ,брада
15,Kinn::N,ಗದ್ದ,брада
16,Kinn::N,ಗದ್ದ,брадичка
17,Kiefer[Anatomie]::N,ದವಡೆ,челюст
18,Kehle::N,ಗಂಟಲು,гърло
19,Hals::N,ಕೊರಳು,врат
20,Genick::N,ಹಿಂಗತ್ತು,тил
21,Kopf::N,ತಲೆ,глава
22,Rücken::N,ಬೆನ್ನು,гръб
23,Bauch::N,ಹೊಟ್ಟೆ,корем
24,Nabel::N,ಹೊಕ್ಕುಳು,пъп
25,Busen::N,ಸ್ತನ,бозка
26,Brust::N,ಎದೆ,гръд
27,Schulter::N,ಭುಜ,рамо
28,Schulter::N,ಭುಜ,плещи
29,Arm::N,ತೋಳು,ръка
30,Ellenbogen::N,ಮೊಣಕೈ,лакът
31,Hand::N,ಕೈ,ръка
32,Hand::N,ಕೈ,китка
33,Handfläche::N,ಅಂಗೈ,длан
34,Finger::N,ಕೈಬೆರಳು,пръст
35,Fingernagel::N,ಉಗುರು,нокът
36,Nagel[Anatomie]::N,ಉಗುರು,нокът
37,Zeh::N,ಕಾಲ್ಬೆರಳು,пръст на крак
38,Fuß::N,ಪಾದ,крак
39,Fuß::N,ಪಾದ,нога
40,Ferse::N,ಹಿಮ್ಮಡಿ,пета
41,Knie::N,ಮಂಡಿ,коляно
42,Oberschenkel::N,ತೊಡೆ,бедро
43,Bein::N,ಕಾಲು,крак
44,Bein::N,ಕಾಲು,нога
45,Körper::N,ದೇಹ,тяло
46,Haut::N,ಚರ್ಮ,кожа
47,Blut::N,ರಕ್ತ,кръв
48,Ader::N,ನರ,вена
49,Ader::N,ನರ,артерия
50,Sehne::N,ನರ,жила
51,Sehne::N,ನರ,сухожилие
52,Knochen::N,ಮೂಳೆ,кост
53,Gehirn::N,ಮಿದುಳು,мозък
54,Herz::N,ಹೃದಯ,сърце
55,Magen::N,ಉದರ,стомах
56,Leber::N,ಯಕೃತ್ತು,черен дроб
57,Atem::N,ಉಸಿರು,дишане
58,Hunger::N,ಹಸಿವು,глад
59,Träne::N,ಕಣ್ಣೀರು,сълза
60,Geschmack::N,ರುಚಿ,вкус
61,Geruch::N,ವಾಸನೆ,миризма
62,Schlaf::N,ನಿದ್ರೆ,сън
63,Traum::N,ಕನಸು,сън
64,Himmel::N,ಬಾನು,небе
65,Sonne::N,ಸೂರ್ಯ,слънце
66,Mond::N,ಚಂದ್ರ,луна
67,Mond::N,ಚಂದ್ರ,месец
68,Stern::N,ಚುಕ್ಕಿ,звезда
69,Luft::N,ವಾಯು,въздух
70,Wind::N,ಗಾಳಿ,вятър
71,Welle::N,ಅಲೆ,вълна
72,Wasser::N,ನೀರು,вода
73,Stein::N,ಕಲ್ಲು,камък
74,Boden::N,ನೆಲ,земя
75,Boden::N,ನೆಲ,почва
76,Erde::N,ಭೂಮಿ,земя
77,Erde::N,ಭೂಮಿ,почва
78,Staub::N,ದೂಳು,прах
79,Rauch::N,ಹೊಗೆ,дим
80,Rauch::N,ಹೊಗೆ,пушек
81,Funke::N,ಕಿಡಿ,искра
82,Feuer::N,ಬೆಂಕಿ,огън
83,Licht::N,ಬೆಳಕು,светлина
84,Schatten::N,ನೆರಳು,сянка
85,Wetter::N,ಹವ,време
86,Nebel::N,ಮಂಜು,мъгла
87,Wolke::N,ಮೋಡ,облак
88,Regen::N,ಮಳೆ,дъжд
89,Schnee::N,ಹಿಮ,сняг
90,Eis::N,ಮಂಜುಗಡ್ಡೆ,лед
91,Frost::N,ಮಂಜು,мраз
92,Kälte::N,ಹಿಮ,студ
93,Hitze::N,ಉಷ್ಣ,жега
94,Hitze::N,ಉಷ್ಣ,горещина
95,Raureif::N,ಇಬ್ಬನಿ,скреж
96,Raureif::N,ಇಬ್ಬನಿ,слана
97,Regenbogen::N,ಇಂದ್ರಚಾಪ,дъга
98,Donner::N,ಗುಡುಗು,гръм
99,Strömung::N,ಪ್ರವಾಹ,течение
100,Tropfen::N,ತೊಟ್ಟು,капка
101,Schaum::N,ನೊರೆ,пяна
102,Schmutz::N,ಕಸ,кал
103,Schmutz::N,ಕಸ,мръсотия
104,See::N,ಸರೋವರ,езеро
105,Sumpf::N,ಜೌಗುಸ್ಥಳ,блато
106,Moor::N,ಬಂಜರು ಭೂಮಿ,мочурище
107,Wiese::N,ಹುಲ್ಲುಗಾವಲು,ливада
108,Wald::N,ಕಾಡು,гора
109,Hügel::N,ಗುಡ್ಡೆ,рид
110,Hügel::N,ಗುಡ್ಡೆ,хълм
111,Anhöhe::N,ದಿಬ್ಬ,могила
112,Anhöhe::N,ದಿಬ್ಬ,възвишение
113,Berg::N,ಮಲೆ,планина
114,Berg::N,ಪರ್ವತ,планина
115,Gipfel::N,ಶೃಂಗ,връх
116,Höhle::N,ಗುಹೆ,пещера
117,Abhang::N,ಇಳಿಜಾರು,склон
118,Abhang::N,ಇಳಿಜಾರು,стръмнина
119,Quelle::N,ಮೂಲ,извор
120,Bach::N,ತೊರೆ,поток
121,Fluss::N,ನದಿ,река
122,Ufer::N,ತೀರ,бряг
123,Küste::N,ದಂಡೆ,бряг
124,Küste::N,ದಂಡೆ,крайбрежие
125,Festland::N,ಭೂಮಿ,суша
126,Meer::N,ಕಡಲು,море
127,Bucht::N,ಖಾರಿ,залив
128,Insel::N,ದ್ವೀಪ,остров
129,Blume::N,ಸುಮ,цвете
130,Gras::N,ಹುಲ್ಲು,трева
131,Wurzel::N,ಬೇರು,корен
132,Baum::N,ಮರ,дърво
133,Stamm::N,ಕಾಂಡ,стъбло
134,Rinde::N,ತೂಗಟಿ,кора
135,Ast::N,ಶಾಖೆ,клон
136,Zweig::N,ರೆಂಬೆ,клон
137,Blatt::N,ಎಲೆ,лист
138,Birke::N,ಬರ್ಚ್ ಮರ,бреза
139,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,бор
140,Weide[Baum]::N,ವಿಲೋಮರ,върба
141,Tanne::N,ಭದ್ರದಾರು,ела
142,Horn::N,ಕೊಂಬು,рог
143,Feder::N,ಪುಕ್ಕ,перо
144,Fell::N,ರೋಮ,кожа
145,Flügel::N,ರೆಕ್ಕೆ,крило
146,Klaue::N,ಪಂಜ,нокът
147,Kralle::N,ಉಗುರು,нокът
148,Schwanz::N,ಬಾಲ,опашка
149,Ei::N,ಮೊಟ್ಟೆ,яйце
150,Nest::N,ಗೂಡು,гнездо
151,Bau::N,ಅಡಗುದಾಣ,дупка
152,Tier::N,ಪ್ರಾಣಿ,животно
153,Herde::N,ಗುಂಪು,стадо
154,Kuh::N,ಹಸು,крава
155,Bulle::N,ಗೂಳಿ,бик
156,Pferd::N,ಕುದುರೆ,кон
157,Schaf::N,ಕುರಿ,овца
158,Schwein::N,ಹಂದಿ,свиня
159,Hund::N,ನಾಯಿ,куче
160,Katze::N,ಬೆಕ್ಕು,котка
161,Bär::N,ಕರಡಿ,мечка
162,Eichhörnchen::N,ಉಡುತೆ,катерица
163,Elch::N,ಕಡವೆ,лос
164,Fuchs::N,ನರಿ,лисица
165,Hase::N,ಮೊಲ,заек
166,Maus::N,ಇಲಿ,мишка
167,Wolf::N,ತೋಳ,вълк
168,Vogel::N,ಪಕ್ಷಿ,птица
169,Schwarm::N,ಗುಂಪು,рой
170,Schwarm::N,ಗುಂಪು,рояк
171,Huhn::N,ಚಿಕ್,кокошка
172,Hahn::N,ಹುಂಜ,петел
173,Gans::N,ವರಟೆ,гъска
174,Adler::N,ಗರುಡ,орел
175,Ente::N,ಬಾತು,патица
176,Eule::N,ಗೂಬೆ,сова
177,Kranich::N,ಕೊಕ್ಕರ,жерав
178,Krähe::N,ಕಾಗೆ,врана
179,Kuckuck::N,ಕೋಗಿಲೆ,кукувица
180,Schwan::N,ಹಂಸಪಕ್ಷಿ,лебед
181,Fisch::N,ಮೀನು,риба
182,Barsch::N,ಪರ್ಚ್ ಮೀನು,костур
183,Hecht::N,ಪೈಕ್ ಮೀನು,щука
184,Schlange[Tier]::N,ಹಾವು,змия
185,Wurm::N,ಹುಳು,червей
186,Spinne::N,ಊರ್ಣನಾಭ,паяк
187,Ameise::N,ಇರುವೆ,мравка
188,Laus::N,ಹೇನು,въшка
189,Mücke::N,ಸೊಳ್ಳೆ,комар
190,Fliege::N,ನೊಣ,муха
191,Schmetterling::N,ಪತಂಗ,пеперуда
192,Beere::N,ನಯವಣ್ಣು,плод
193,Apfel::N,ಸೇಬು,ябълка
194,Pilz::N,ಅಣಬೆ,гъба
195,Zwiebel::N,ನೀರುಳ್ಳಿ,лук
196,Zwiebel::N,ನೀರುಳ್ಳಿ,кромид
197,Saat::N,ಬಿತ್ತ,семе
198,Korn::N,ಬೀಜ,зърно
199,Heu::N,ಕರಡ,сено
200,Schale::N,ಹೊಟ್ಟು,кора
201,Grube::N,ಗುಂಡಿ,яма
202,Grube::N,ಗುಂಡಿ,дупка
203,Falle::N,ಬೋನು,примка
204,Schlinge::N,ಉರುಲು,клуп
205,Spur::N,ಜಾಡು,диря
206,Spur::N,ಜಾಡು,следа
207,Asche::N,ಬೂದಿ,пепел
208,Dreck::N,ಹೊಲಸು,кал
209,Eisen::N,ಕಬ್ಬಿಣ,желязо
210,Gold::N,ಚಿನ್ನ,злато
211,Silber::N,ಬೆಳ್ಳಿ,сребро
212,Kohle::N,ಕಲ್ಲಿದ್ದಲು,въглища
213,Glas::N,ಗಾಜು,стъкло
214,Lehm::N,ಜೇಡಿಮಣ್ಣು,глина
215,Sand::N,ಮರಳು,пясък
216,Mensch::N,ಪುರುಷ,човек
217,Mann::N,ಆಳು,мъж
218,Frau::N,ಹೆಣ್ಣು,жена
219,Kind::N,ಮಗು,дете
220,Junge::N,ಹುಡುಗ,момче
221,Mädchen::N,ಹುಡುಗಿ,момиче
222,Familie::N,ಕುಟುಂಬ,фамилия
223,Familie::N,ಕುಟುಂಬ,семейство
224,Großvater::N,ಅಜ್ಜ,дядо
225,Großmutter::N,ಅಮ್ಮ,баба
226,Eltern::N,ಹೆತ್ತವರು,родители
227,Vater::N,ತಂದೆ,баща
228,Mutter::N,ಅಮ್ಮ,майка
229,Sohn::N,ಮಗ ,син
230,Tochter::N,ಮಗಳು,дъщеря
231,Bruder::N,ತಮ್ಮ,брат
232,Schwester::N,ತಂಗಿ,сестра
233,Onkel::N,ಸೋದರಮಾವ,чичо
234,Onkel::N,ಸೋದರಮಾವ,вуйчо
235,Onkel::N,ದೊಡ್ಡಪ್ಪ,чичо
236,Onkel::N,ದೊಡ್ಡಪ್ಪ,вуйчо
237,Tante::N,ಚಿಕ್ಕಮ್ಮ,леля
238,Ehemann::N,ಗಂಡ,съпруг
239,Ehefrau::N,ಹೆಂಡತಿ,съпруга
240,Freude::N,ನಲಿವು,радост
241,Gelächter::N,ನಗೆ,смях
242,Glück::N,ಆನಂದ,щастие
243,Kummer::N,ದುಃಖ,тъга
244,Wunsch::N,ಬಯಕೆ,желание
245,Lust::N,ಇಷ್ಟ,желание
246,Geist::N,ಆತ್ಮ,дух
247,Gedanke::N,ಯೋಚನೆ,мисъл
248,Gedächtnis::N,ಸ್ಮರಣೆ,памет
249,Verstand::N,ಮನಸ್ಸು,ум
250,Verstand::N,ಮನಸ್ಸು,разум
251,Sinn::N,ಅರ್ಥ,смисъл
252,Grund::N,ಕಾರಣ,причина
253,Wahrheit::N,ಸತ್ಯ,правда
254,Gespräch::N,ಸಂಭಾಷಣೆ,разговор
255,Märchen::N,ಸುಳ್ಳು ಕಥೆ,приказка
256,Erzählung::N,ಕಥೆ,разказ
257,Nachricht::N,ಸಂದೇಶ,вест
258,Nachricht::N,ಸಂದೇಶ,известие
259,Neuigkeit::N,ಸುದ್ದಿ,новина
260,Name::N,ಹೆಸರು,име
261,Rätsel::N,ಒಗಟು,гатанка
262,Rede::N,ಮಾತು,реч
263,Rede::N,ಮಾತು,слово
264,Sprache::N,ಭಾಷೆ,език
265,Stimme::N,ಧ್ವನಿ,глас
266,Wort::N,ಮಾತು,дума
267,Zeichen::N,ಗುರುತು,знак
268,Ruf::N,ಕೂಗು,зов
269,Lärm::N,ಸದ್ದು,шум
270,Lärm::N,ಸದ್ದು,глъчка
271,Laut::N,ಶಬ್ದ,звук
272,Ton::N,ನಾದ,тон
273,Lied::N,ಗಾನ,песен
274,Ruhe::N,ಶಾಂತಿ,тишина
275,Ruhe::N,ಶಾಂತಿ,спокойствие
276,Leute::N,ಮಂದಿ,хора
277,Volk::N,ಜನಾಂಗ,народ
278,Arbeit::N,ಕೆಲಸ,труд
279,Arbeit::N,ಕೆಲಸ,работа
280,Gast::N,ಅತಿಥಿ,гост
281,Geschenk::N,ಕಾಣಿಕೆ,дар
282,Geschenk::N,ಕಾಣಿಕೆ,подарък
283,Spiel::N,ಆಟ,игра
284,Gesellschaft::N,ಸಂಗ,общество
285,Hilfe::N,ಸಹಾಯ,помощ
286,Freund::N,ಸ್ನೇಹಿತ,приятел
287,Kamerad::N,ಜೊತೆಗಾರ,другар
288,Angelegenheit::N,ವಿಚಾರ,работа
289,Anzahl::N,ಎಣಿಕೆ,брой
290,Anzahl::N,ಎಣಿಕೆ,количество
291,Art::N,ತರ,вид
292,Stück::N,ತುಂಡು,къс
293,Stück::N,ತುಂಡು,парче
294,Teil::N,ಭಾಗ,дял
295,Teil::N,ಭಾಗ,част
296,Hälfte::N,ಅರ್ಧ,половина
297,Kreis::N,ವೃತ್ತ,кръг
298,Kreuz::N,ಶಿಲುಬೆ,кръст
299,Linie::N,ರೀಖೆ,черта
300,Strich::N,ಗೀಟು,щрих
301,Strich::N,ಗೀಟು,черта
302,Abstand::N,ಅಂತರ,дистанция
303,Abstand::N,ಅಂತರ,разстояние
304,Entfernung::N,ದೂರ,разстояние
305,Gegend::N,ವಿಸ್ತೀರ್ಣ,местност
306,Platz::N,ಅಂತರ,място
307,Ort::N,ಸ್ಥಳ,място
308,Seite::N,ಪಕ್ಷ,страна
309,Mitte::N,ನಡು,среда
310,Gegenstand::N,ವಸ್ತು,предмет
311,Sache::N,ವಸ್ತು,вещ
312,Rand::N,ಅಂಚು,ръб
313,Kante::N,ಅಂಚು,ръб
314,Kante::N,ಅಂಚು,кант
315,Ecke::N,ಮೂಲೆ,ъгъл
316,Spitze::N,ತುದಿ,връх
317,Spitze::N,ತುದಿ,острие
318,Ende::N,ಕೊನೆ,край
319,Loch::N,ತೂತು,дупка
320,Winkel::N,ಕೋನ,кът
321,Winkel::N,ಕೋನ,ъгъл
322,Muster::N,ನಮೂನೆ,десен
323,Muster::N,ನಮೂನೆ,образец
324,Größe::N,ಪ್ರಮಾಣ,големина
325,Länge::N,ಉದ್ದ,дължина
326,Höhe::N,ಎತ್ತರ,висота
327,Höhe::N,ಎತ್ತರ,височина
328,Gewicht::N,ತೂಕ,тегло
