,Concept_ID,tt,hr
0,Auge::N,күз,oko
1,Ohr::N,колак,uho
2,Nase::N,борын,nos
3,Mund::N,авыз,usta
4,Mund::N,тамак,usta
5,Zahn::N,теш,zub
6,Zunge::N,тел,jezik
7,Lippe::N,ирен,usna
8,Wange::N,яңак,obraz
9,Gesicht::N,йөз,lice
10,Stirn::N,маңгай,čelo
11,Haar::N,чәч,kosa
12,Schnurrbart::N,мыек,brkovi
13,Bart::N,сакал,brada
14,Kinn::N,ияк,brada
15,Kinn::N,ияк,podbradak
16,Kiefer[Anatomie]::N,казналык,čeljust
17,Kehle::N,тамак,grlo
18,Hals::N,бугаз,vrat
19,Genick::N,җилкә,zatiljak
20,Kopf::N,баш,glava
21,Rücken::N,сырт,leđa
22,Rücken::N,сырт,hrbat
23,Bauch::N,корсак,trbuh
24,Nabel::N,кендек,pupak
25,Busen::N,түш,sisa
26,Busen::N,түш,njedra
27,Brust::N,имчәк,prsa
28,Brust::N,күкрәк,prsa
29,Schulter::N,иңбаш,rame
30,Schulter::N,иңбаш,pleći
31,Schulter::N,кулбаш,rame
32,Schulter::N,кулбаш,pleći
33,Arm::N,кул,ruka
34,Ellenbogen::N,терсәк,lakat
35,Hand::N,кул,ruka
36,Handfläche::N,уч,dlan
37,Finger::N,бармак,prst
38,Fingernagel::N,тырнак,nokat
39,Nagel[Anatomie]::N,тырнак,nokat
40,Zeh::N,бармак,nozni prst
41,Fuß::N,табан,noga
42,Fuß::N,табан,stopalo
43,Ferse::N,үкчә,peta
44,Knie::N,тез,koljeno
45,Oberschenkel::N,бот,bedro
46,Bein::N,аяк,noga
47,Körper::N,тән,tijelo
48,Körper::N,җисем,tijelo
49,Haut::N,тире,put
50,Haut::N,тире,koža
51,Blut::N,кан,krv
52,Ader::N,тамыр,žila
53,Sehne::N,сеңер,tetiva
54,Knochen::N,сөяк,kost
55,Gehirn::N,ми,
56,Herz::N,йөрәк,srce
57,Magen::N,ашказаны,stomak
58,Magen::N,ашказаны,želudac
59,Leber::N,бавыр,jetra
60,Atem::N,сулыш,dah
61,Hunger::N,ачлык,glad
62,Träne::N,яшь,suza
63,Geschmack::N,тәм,ukus
64,Geschmack::N,зәвык,ukus
65,Geruch::N,ис,njuh
66,Geruch::N,ис,miris
67,Schlaf::N,йокы,san
68,Traum::N,төш,san
69,Himmel::N,күк,nebo
70,Sonne::N,кояш,sunce
71,Mond::N,ай,mjesec
72,Stern::N,йолдыз,zvijezda
73,Luft::N,һава,zrak
74,Wind::N,җил,vjetar
75,Welle::N,дулкын,val
76,Welle::N,дулкын,talas
77,Wasser::N,су,voda
78,Stein::N,таш,kamen
79,Boden::N,туфрак,tlo
80,Boden::N,туфрак,zemlja
81,Erde::N,җир,zemlja
82,Staub::N,тузан,prah
83,Staub::N,тузан,prašina
84,Rauch::N,төтен,dim
85,Funke::N,очкын,iskra
86,Funke::N,очкын,varnica
87,Feuer::N,ут,vatra
88,Licht::N,якты,svjetlo
89,Schatten::N,күләгә,hlad
90,Schatten::N,күләгә,sjena
91,Wetter::N,һава,vrijeme
92,Nebel::N,томан,magla
93,Wolke::N,болыт,oblak
94,Regen::N,яңгыр,kiša
95,Schnee::N,кар,snijeg
96,Eis::N,боз,led
97,Frost::N,суык,mraz
98,Frost::N,салкын,mraz
99,Kälte::N,суык,studen
100,Kälte::N,суык,hladnoća
101,Kälte::N,салкын,studen
102,Kälte::N,салкын,hladnoća
103,Hitze::N,эсселек,vrućina
104,Raureif::N,бәс,inje
105,Raureif::N,сыкы,inje
106,Regenbogen::N,салават күпере,duga
107,Donner::N,күкрәү,grom
108,Donner::N,күкрәү,grmljavina
109,Strömung::N,агыш'агым,struja
110,Strömung::N,агыш'агым,strujanje
111,Tropfen::N,тамчы,kap
112,Tropfen::N,тамчы,kaplja
113,Schaum::N,күбек,pjena
114,Schmutz::N,пычрак,nečistoća
115,Schmutz::N,пычрак,prljavština
116,See::N,күл,jezero
117,Sumpf::N,саз,bara
118,Moor::N,торфлык,močvara
119,Wiese::N,болын,livada
120,Wald::N,урман,šuma
121,Hügel::N,калку,brijeg
122,Hügel::N,калку,brežuljak
123,Anhöhe::N,үр,uzvišica
124,Berg::N,тау,brdo
125,Gipfel::N,оч,vrh
126,Höhle::N,мәгарә,pećina
127,Höhle::N,мәгарә,spilja
128,Abhang::N,кабырга,obronak
129,Abhang::N,кабырга,nizbrdica
130,Quelle::N,чишмә,izvor
131,Quelle::N,чишмә,vrelo
132,Bach::N,елга,potok
133,Fluss::N,дәрья,rijeka
134,Ufer::N,су кырые,obala
135,Küste::N,яр буе,obala
136,Küste::N,яр буе,morska obala
137,Festland::N,коры җир,kopno
138,Meer::N,диңгез,more
139,Bucht::N,бухта,zaliv
140,Bucht::N,култык,zaliv
141,Insel::N,атау,ada
142,Insel::N,атау,otok
143,Insel::N,утрау,ada
144,Insel::N,утрау,otok
145,Blume::N,чәчкә,cvijet
146,Gras::N,үлән,trava
147,Wurzel::N,тамыр,korijen
148,Baum::N,агач,drvo
149,Baum::N,агач,stablo
150,Stamm::N,кәүсә,deblo
151,Stamm::N,кәүсә,stablo
152,Rinde::N,кабык,kora
153,Ast::N,ботак,grana
154,Zweig::N,ботак,grana
155,Zweig::N,тармак,grana
156,Blatt::N,яфрак,list
157,Birke::N,каен,breza
158,Kiefer[Baum]::N,нарат,bor
159,Weide[Baum]::N,тал,iva
160,Weide[Baum]::N,тал,vŕba
161,Tanne::N,чыршы,jela
162,Horn::N,мөгез,rog
163,Feder::N,йон,pero
164,Fell::N,тире,koža
165,Flügel::N,канат,krilo
166,Klaue::N,тырнак,papak
167,Kralle::N,тырнак,pandža
168,Schwanz::N,койрык,rep
169,Ei::N,күкәй,jaje
170,Ei::N,йомырка,jaje
171,Nest::N,оя,gnijezdo
172,Bau::N,өн,jazbina
173,Tier::N,хайван,životinja
174,Herde::N,көтү,krdo
175,Herde::N,көтү,stado
176,Kuh::N,сыер,krava
177,Bulle::N,үгез,bik
178,Pferd::N,ат,konj
179,Schaf::N,сарык,ovca
180,Schwein::N,дуңгыз,svinja
181,Hund::N,эт,pas
182,Hund::N,эт,pseto
183,Katze::N,песи,mačka
184,Bär::N,аю,medvjed
185,Eichhörnchen::N,тиен,vjeverica
186,Elch::N,поши,los
187,Fuchs::N,төлке,lisica
188,Hase::N,куян,zec
189,Maus::N,тычкан,miš
190,Wolf::N,бүре,vuk
191,Wolf::N,бүре,kurjak
192,Vogel::N,кош,ptica
193,Schwarm::N,көтү,roj
194,Schwarm::N,көтү,jato
195,Huhn::N,тавык,kokoš
196,Hahn::N,әтәч,kokot
197,Hahn::N,әтәч,pijevac
198,Gans::N,каз,guska
199,Adler::N,каракош,orao
200,Ente::N,үрдәк,patka
201,Eule::N,ябалак,sova
202,Kranich::N,торна,ždral
203,Krähe::N,карга,vrana
204,Kuckuck::N,күке,kukavica
205,Kuckuck::N,кәккүк,kukavica
206,Schwan::N,аккош,labud
207,Fisch::N,балык,riba
208,Barsch::N,алабуга,grgeč
209,Hecht::N,чуртан,štuka
210,Schlange[Tier]::N,елан,guja
211,Schlange[Tier]::N,елан,zmija
212,Wurm::N,корт,crv
213,Spinne::N,үрмәкүч,pauk
214,Ameise::N,кырмыска,mrav
215,Laus::N,бет,uš
216,Mücke::N,черки,komarac
217,Mücke::N,озынборын,komarac
218,Fliege::N,чебен,muha
219,Schmetterling::N,күбәләк,leptir
220,Beere::N,җиләк,boba
221,Beere::N,җиләк,bobica
222,Apfel::N,алма,jabuka
223,Pilz::N,гөмбә,pečurka
224,Zwiebel::N,суган,luk
225,Zwiebel::N,суган,kapula
226,Zwiebel::N,суганбаш,luk
227,Zwiebel::N,суганбаш,kapula
228,Saat::N,орлык,sjemenje
229,Korn::N,иген,zrno
230,Korn::N,орлык,zrno
231,Heu::N,печән,sijeno
232,Schale::N,кабык,kora
233,Schale::N,кабык,ljuska
234,Grube::N,баз,jama
235,Grube::N,чокыр,jama
236,Falle::N,тозак,zamka
237,Falle::N,тозак,klopka
238,Falle::N,капкын,zamka
239,Falle::N,капкын,klopka
240,Schlinge::N,элмәк,uzao
241,Schlinge::N,элмәк,petlja
242,Spur::N,эз,trag
243,Spur::N,эз,slijed
244,Asche::N,көл,pepeo
245,Dreck::N,пычрак,blato
246,Eisen::N,тимер,željezo
247,Gold::N,алтын,zlato
248,Silber::N,көмеш,srebro
249,Kohle::N,күмер,ugalj
250,Kohle::N,күмер,ugljen
251,Glas::N,пыяла,staklo
252,Lehm::N,балчык,glina
253,Lehm::N,балчык,ilovača
254,Sand::N,ком,pijesak
255,Mensch::N,адәм,čovjek
256,Mensch::N,инсан,čovjek
257,Mann::N,ир,muškarac
258,Frau::N,хатын,žena
259,Kind::N,бала,čedo
260,Kind::N,бала,dijete
261,Junge::N,малай,momče
262,Junge::N,малай,dječak
263,Mädchen::N,кыз,djevojka
264,Mädchen::N,кыз,djevojčica
265,Familie::N,гаилә,obitelj
266,Familie::N,гаилә,porodica
267,Großvater::N,бабай,djed
268,Großmutter::N,әби,baka
269,Eltern::N,ата-ана,roditelji
270,Vater::N,ата,otac
271,Mutter::N,ана,majka
272,Sohn::N,ул,sin
273,Tochter::N,кыз,kći
274,Tochter::N,кыз,kćerka
275,Bruder::N,кардәш,brat
276,Schwester::N,апа,sestra
277,Schwester::N,сеңел,sestra
278,Onkel::N,дәдә,čika
279,Onkel::N,дәдә,ujak
280,Onkel::N,дәдәй,čika
281,Onkel::N,дәдәй,ujak
282,Tante::N,түти,ujna
283,Tante::N,түти,tetka
284,Tante::N,тәтәй,ujna
285,Tante::N,тәтәй,tetka
286,Ehemann::N,ир,muž
287,Ehemann::N,ир,suprug
288,Ehefrau::N,хатын,žena
289,Ehefrau::N,хатын,supruga
290,Freude::N,сөенеч,radost
291,Gelächter::N,көлү,grohot
292,Gelächter::N,көлеш,grohot
293,Glück::N,бәхет,sreća
294,Kummer::N,хәсрәт,jad
295,Kummer::N,хәсрәт,briga
296,Wunsch::N,теләк,želja
297,Lust::N,теләк,volja
298,Lust::N,теләү,volja
299,Geist::N,рух,duh
300,Gedanke::N,уй,misao
301,Gedanke::N,фикер,misao
302,Gedächtnis::N,хәтер,pamćenje
303,Verstand::N,акыл,um
304,Verstand::N,акыл,razum
305,Sinn::N,мәгънә,smisao
