,Concept_ID,myv,ro
0,Auge::N,сельме,ochi
1,Ohr::N,пиле,ureche
2,Nase::N,судо,nas
3,Mund::N,курго,gură
4,Zahn::N,пей,dinte
5,Zunge::N,кель,limbă
6,Lippe::N,турва,buză
7,Wange::N,чамабока,bucă
8,Wange::N,чамабока,obraz
9,Wange::N,чамаумарь,bucă
10,Wange::N,чамаумарь,obraz
11,Gesicht::N,чама,față
12,Gesicht::N,чама,figură
13,Stirn::N,коня,frunte
14,Haar::N,черь,păr
15,Schnurrbart::N,ус,mustață
16,Schnurrbart::N,муюк,mustață
17,Bart::N,сакал,barbă
18,Kinn::N,уло,bărbie
19,Kiefer[Anatomie]::N,пейпакар,falcă
20,Kiefer[Anatomie]::N,пейловажа,falcă
21,Kehle::N,кирьгапарь,beregată
22,Hals::N,кирьга,gât
23,Genick::N,човонь,ceafă
24,Kopf::N,пря,cap
25,Rücken::N,копорь,dos
26,Rücken::N,копорь,spate
27,Rücken::N,копорь,spinare
28,Bauch::N,пеке,burtă
29,Bauch::N,пеке,pântece
30,Nabel::N,почо,buric
31,Busen::N,поте,sân
32,Brust::N,меште,piept
33,Schulter::N,лавтов,umăr
34,Schulter::N,лавтов,spate
35,Arm::N,кедь,braț
36,Ellenbogen::N,кенерепакарь,cot
37,Hand::N,кедь,mână
38,Handfläche::N,кедькуншка,palmă
39,Handfläche::N,кедьлапушка,palmă
40,Finger::N,сур,deget
41,Fingernagel::N,кенже,unghie
42,Nagel[Anatomie]::N,кенже,unghie
43,Zeh::N,пильге сур,deget de la picior
44,Fuß::N,пильге,picior
45,Ferse::N,кочкаря,călcâi
46,Knie::N,эле,genunchi
47,Knie::N,эзне,genunchi
48,Knie::N,кумажа,genunchi
49,Oberschenkel::N,качо,coapsă
50,Bein::N,пильге,picior
51,Körper::N,рунго,corp
52,Haut::N,киське,piele
53,Blut::N,верь,sânge
54,Ader::N,сан,vână
55,Ader::N,сан,arteră
56,Sehne::N,коське сан,tendon
57,Knochen::N,пакарь,os
58,Gehirn::N,удем,creier
59,Herz::N,седей,inimă
60,Magen::N,пеке,stomac
61,Leber::N,максо,ficat
62,Atem::N,лексема,răsuflare
63,Atem::N,лексема,respirație
64,Atem::N,оймень таргсема,răsuflare
65,Atem::N,оймень таргсема,respirație
66,Hunger::N,вачочи,foame
67,Träne::N,селведь,lacrimă
68,Geschmack::N,тансть,gust
69,Geruch::N,чине,miros
70,Schlaf::N,удома,somn
71,Traum::N,он,vis
72,Himmel::N,менель,cer
73,Sonne::N,чи,soare
74,Mond::N,ков,lună
75,Stern::N,теште,stea
76,Luft::N,кошт,aer
77,Wind::N,варма,vânt
78,Welle::N,толкун,val
79,Welle::N,толкун,undă
80,Wasser::N,ведь,apă
81,Stein::N,кев,piatră
82,Boden::N,мода,sol
83,Boden::N,мода,pământ
84,Erde::N,мастор,pământ
85,Staub::N,пуль,praf
86,Rauch::N,качамо,fum
87,Funke::N,сятко,scânteie
88,Feuer::N,тол,foc
89,Licht::N,валдо,lumină
90,Schatten::N,сулей,umbră
91,Schatten::N,сулейкс,umbră
92,Wetter::N,ушо,timp
93,Wetter::N,ушо,vreme
94,Nebel::N,сув,ceață
95,Nebel::N,сув,negură
96,Wolke::N,пель,nor
97,Regen::N,пиземс,ploaie
98,Schnee::N,лов,zăpadă
99,Eis::N,эй,gheață
100,Frost::N,кельме,ger
101,Kälte::N,якшамо,frig
102,Hitze::N,пси,arșiță
103,Hitze::N,пси,căldură
104,Raureif::N,лекш,chiciură
105,Regenbogen::N,пурьгинечирьке,curcubeu
106,Regenbogen::N,пурьгинеёнкс,curcubeu
107,Donner::N,пурьгине,tunet
108,Strömung::N,чудема,curent
109,Strömung::N,чудевкс,curent
110,Tropfen::N,петнявкс,picătură
111,Schaum::N,чов,spumă
112,Schmutz::N,рудаз,murdărie
113,See::N,эрьке,lac
114,Sumpf::N,чей,mlaștină
115,Moor::N,чей,bărăgan
116,Wiese::N,луга,fânaț
117,Wiese::N,луга,livadă
118,Wald::N,вирь,codru
119,Wald::N,вирь,pădure
120,Hügel::N,губорь,deal
121,Hügel::N,губорь,movilă
122,Hügel::N,пандыне,deal
123,Hügel::N,пандыне,movilă
124,Anhöhe::N,губорь,deal
125,Anhöhe::N,губорь,ridicătură
126,Anhöhe::N,пандыне,deal
127,Anhöhe::N,пандыне,ridicătură
128,Berg::N,пандо,munte
129,Gipfel::N,пря,pisc
130,Höhle::N,пещера,peșteră
131,Abhang::N,пандочама,pantă
132,Abhang::N,пандочама,versant
133,Quelle::N,ушодкс,izvor
134,Bach::N,чудикерькс,gârlă
135,Fluss::N,лей,râu
136,Fluss::N,лей,fluviu
137,Ufer::N,чире,mal
138,Ufer::N,чире,țărm
139,Küste::N,лейчире,coastă
140,Festland::N,мода,uscat
141,Meer::N,моря,mare
142,Bucht::N,усия,golf
143,Insel::N,усия,insulă
144,Blume::N,цеця,floare
145,Gras::N,тикше,iarbă
146,Wurzel::N,юр,rădăcină
147,Wurzel::N,ундокс,rădăcină
148,Baum::N,чувто,copac
149,Baum::N,чувто,arbore
150,Stamm::N,рунго,tulpină
151,Rinde::N,суд,scoarță
152,Rinde::N,керь,scoarță
153,Ast::N,морго,cracă
154,Ast::N,морго,creangă
155,Zweig::N,тарад,ramură
156,Zweig::N,тарад,creangă
157,Blatt::N,лопа,frunză
158,Birke::N,килей,mesteacăn
159,Kiefer[Baum]::N,пиче,pin
160,Weide[Baum]::N,каль,salcie
161,Weide[Baum]::N,каль,răchită
162,Tanne::N,куз,brad
163,Horn::N,сюро,corn
164,Feder::N,толга,pană
165,Fell::N,пона,piele
166,Flügel::N,сёлмо,aripă
167,Klaue::N,кенже,gheară
168,Kralle::N,кенже,labă
169,Kralle::N,кенже,gheară
170,Schwanz::N,пуло,coadă
171,Ei::N,ал,ou
172,Nest::N,пизэ,cuib
173,Bau::N,варя,bârlog
174,Bau::N,варя,vizuină
175,Bau::N,пизе,bârlog
176,Bau::N,пизе,vizuină
177,Tier::N,ракша,animal
178,Herde::N,стада,turmă
179,Herde::N,стада,cireadă
180,Kuh::N,скал,vacă
181,Bulle::N,бука,taur
182,Pferd::N,лишме,cal
183,Schaf::N,реве,oaie
184,Schwein::N,туво,porc
185,Hund::N,пине,câine
186,Hund::N,киска,câine
187,Katze::N,псака,pisică
188,Bär::N,овто,urs
189,Eichhörnchen::N,ур,veveriță
190,Elch::N,сярдо,elan
191,Fuchs::N,ривезь,vulpe
192,Hase::N,нумоло,iepure
193,Maus::N,чеерь,șoarece
194,Wolf::N,верьгиз,lup
195,Vogel::N,нармунь,pasăre
196,Schwarm::N,полк,cârd
197,Schwarm::N,стада,cârd
198,Huhn::N,сараз,găină
199,Hahn::N,атякш,cocoș
200,Gans::N,гала,gâscă
201,Gans::N,мацей,gâscă
202,Adler::N,куцькан,vultur
203,Adler::N,тумоатякш,vultur
204,Ente::N,яксярго,rață
205,Eule::N,корж,bufniță
206,Kranich::N,карго,cocor
207,Krähe::N,варака,cioară
208,Kuckuck::N,куко,cuc
209,Schwan::N,локсей,lebădă
210,Fisch::N,кал,pește
211,Barsch::N,окунь,biban
212,Hecht::N,щука,știucă
213,Schlange[Tier]::N,гуй,șarpe
214,Wurm::N,сукс,vierme
215,Spinne::N,шанжав,păianjen
216,Ameise::N,коткудав,furnică
217,Laus::N,сий,păduche
218,Mücke::N,сеське,țânțar
219,Fliege::N,карво,muscă
220,Schmetterling::N,нимиляв,fluture
221,Beere::N,умарь,boabă
222,Apfel::N,умарь,măr
223,Pilz::N,панго,burete
224,Pilz::N,панго,ciupercă
225,Zwiebel::N,чурька,ceapă
226,Saat::N,видьметь,semănătură
227,Korn::N,сюро,grâu
228,Heu::N,тикше,fân
229,Schale::N,кедь,coajă
230,Schale::N,ваткавкс,coajă
231,Grube::N,латко,groapă
232,Falle::N,тувор,cursă
233,Falle::N,тувор,capcană
234,Falle::N,кундамка,cursă
235,Falle::N,кундамка,capcană
236,Schlinge::N,килькш,laț
237,Spur::N,челькс,dâră
238,Spur::N,пильгеки,dâră
239,Asche::N,кулов,cenușă
240,Dreck::N,рудаз,noroi
