,Concept_ID,kk,hr
0,Auge::N,көз,oko
1,Ohr::N,құлақ,uho
2,Nase::N,мұрын,nos
3,Mund::N,ауыз,usta
4,Zahn::N,тіс,zub
5,Zunge::N,тіл,jezik
6,Lippe::N,ерін,usna
7,Wange::N,ұрт,obraz
8,Gesicht::N,бет-аузы,lice
9,Stirn::N,маңдай,čelo
10,Haar::N,қыл,kosa
11,Schnurrbart::N,мұрт,brkovi
12,Bart::N,сақал,brada
13,Kinn::N,иек,brada
14,Kinn::N,иек,podbradak
15,Kiefer[Anatomie]::N,жақ,čeljust
16,Kehle::N,алқым,grlo
17,Hals::N,мойын,vrat
18,Genick::N,желке,zatiljak
19,Kopf::N,кәллә,glava
20,Rücken::N,арқа,leđa
21,Rücken::N,арқа,hrbat
22,Bauch::N,қарын,trbuh
23,Nabel::N,кіндік,pupak
24,Busen::N,омырау,sisa
25,Busen::N,омырау,njedra
26,Brust::N,кеуде,prsa
27,Schulter::N,иық,rame
28,Schulter::N,иық,pleći
29,Arm::N,қол,ruka
30,Ellenbogen::N,шынтақ,lakat
31,Hand::N,қол,ruka
32,Handfläche::N,алақан,dlan
33,Finger::N,саусақ,prst
34,Fingernagel::N,тырнақ,nokat
35,Nagel[Anatomie]::N,тырнақ,nokat
36,Zeh::N,тырнақ,nozni prst
37,Zeh::N,тұяқ,nozni prst
38,Fuß::N,аяқ-басы,noga
39,Fuß::N,аяқ-басы,stopalo
40,Ferse::N,өкше,peta
41,Ferse::N,өкшелік,peta
42,Knie::N,тізе,koljeno
43,Oberschenkel::N,жамбас,bedro
44,Bein::N,аяқ,noga
45,Körper::N,дене,tijelo
46,Haut::N,тері,put
47,Haut::N,тері,koža
48,Blut::N,қан,krv
49,Ader::N,көктамыр,žila
50,Ader::N,күретамыр,žila
51,Sehne::N,сіңір,tetiva
52,Knochen::N,жілік,kost
53,Gehirn::N,ми,
54,Herz::N,жүрек,srce
55,Magen::N,асқазан,stomak
56,Magen::N,асқазан,želudac
57,Leber::N,бауыр,jetra
58,Atem::N,леп,dah
59,Hunger::N,ашаршылық,glad
60,Träne::N,жас,suza
61,Geschmack::N,дәм,ukus
62,Geschmack::N,татым,ukus
63,Geschmack::N,талғам,ukus
64,Geruch::N,иіс,njuh
65,Geruch::N,иіс,miris
66,Schlaf::N,ұйқы,san
67,Schlaf::N,ұйықтау,san
68,Traum::N,түс,san
69,Himmel::N,аспан,nebo
70,Himmel::N,көқ,nebo
71,Himmel::N,таңдай,nebo
