,Concept_ID,mn,ja
0,Auge::N,нүд,目
1,Ohr::N,чих,耳
2,Nase::N,хамар,鼻
3,Mund::N,ам,口
4,Zahn::N,шүд,歯
5,Zunge::N,хэл,舌
6,Lippe::N,уруул,唇
7,Wange::N,хацар,頬
8,Gesicht::N,царай,顔
9,Gesicht::N,нүүр,顔
10,Stirn::N,дух,額
11,Haar::N,үс,髪
12,Schnurrbart::N,дээд сахал,口髭
13,Schnurrbart::N,живэр сахал,口髭
14,Bart::N,сахал,髭
15,Kinn::N,эрүү,顎
16,Kiefer[Anatomie]::N,эрүү,顎
17,Kehle::N,хоолой,喉
18,Hals::N,хүзүү,首
19,Genick::N,шил,首
20,Genick::N,хүзүү,首
21,Kopf::N,толгой,頭
22,Rücken::N,ар,背中
23,Rücken::N,нуруу,背中
24,Bauch::N,хэвлий,腹
25,Bauch::N,хэвлий,お腹
26,Bauch::N,гэдэс,腹
27,Bauch::N,гэдэс,お腹
28,Nabel::N,хүйс,へそ
29,Busen::N,хөх,乳房
30,Brust::N,цээж,胸
31,Schulter::N,мөр,肩
32,Schulter::N,бугалга,肩
33,Arm::N,гар,腕
34,Ellenbogen::N,тохой,肘
35,Hand::N,гар,手
36,Hand::N,алга,手
37,Handfläche::N,алга,手のひら
38,Finger::N,хуруу,指
39,Fingernagel::N,хурууны хумс,爪
40,Nagel[Anatomie]::N,хумс,爪
41,Zeh::N,хуруу,足の指
42,Fuß::N,хөл,足
43,Ferse::N,өсгий,かかと
44,Knie::N,өвдөг,膝
45,Oberschenkel::N,гуя,上腿
46,Bein::N,хөл,足
47,Körper::N,бие,体
48,Haut::N,арьс,皮膚
49,Blut::N,цус,血
50,Ader::N,судас,血管
51,Sehne::N,бүлх,腱
52,Sehne::N,шандас,腱
53,Knochen::N,яс,骨
54,Gehirn::N,тархи,脳
55,Herz::N,зүрх,心
56,Herz::N,зүрх,心臓
57,Magen::N,ходоод,胃
58,Leber::N,элэг,肝臓
59,Atem::N,амьсгаа,息
60,Atem::N,амьсгаа,呼吸
61,Hunger::N,өлсгөлөн,空腹
62,Träne::N,нулимс,涙
63,Geschmack::N,амт,味
64,Geruch::N,үнэр,匂い
65,Schlaf::N,нойр,睡眠
66,Traum::N,зүүд,夢
67,Himmel::N,тэнгэр,空
68,Himmel::N,огторгуй,空
69,Sonne::N,нар,太陽
70,Mond::N,сар,月
71,Stern::N,од,星
72,Luft::N,агаар,空気
73,Wind::N,салхи,風
74,Welle::N,долгио,波
75,Welle::N,давалгаа,波
76,Wasser::N,ус,水
77,Stein::N,чулуу,石
78,Boden::N,хөрс,土地
79,Erde::N,газар,土
80,Erde::N,шороо,土
81,Staub::N,тоос,埃
82,Rauch::N,утаа,煙
83,Funke::N,оч,火花
84,Feuer::N,гал,火
85,Licht::N,гэрэл,光
86,Licht::N,гэгээ,光
87,Schatten::N,сүүдэр,陰
88,Wetter::N,тэнгэр,天気
89,Wetter::N,цаг уур,天気
90,Nebel::N,будан,霧
91,Wolke::N,үүл,雲
92,Regen::N,бороо,雨
93,Schnee::N,цас,雪
94,Eis::N,мөс,氷
95,Frost::N,хүйт,霜
96,Kälte::N,хүйт,寒さ
97,Hitze::N,халуун,暑さ
98,Raureif::N,цан,霧氷
99,Raureif::N,хяруу,霧氷
100,Regenbogen::N,солонго,虹
101,Donner::N,тэнгэрийн дуу,雷
102,Strömung::N,урсгал,流れ
103,Tropfen::N,дусал,滴
104,Schaum::N,хөөс,泡
105,Schmutz::N,хир,汚れ
106,Schmutz::N,шавхай,汚れ
107,See::N,нуур,湖
108,Sumpf::N,намаг,沼
109,Sumpf::N,балчиг,沼
110,Moor::N,хүлрийн намаг,湿原
111,Wiese::N,нуга,草原
112,Wald::N,ой,森
