,Concept_ID,fr,es
0,Auge::N,œil,ojo
1,Ohr::N,oreille,oreja
2,Nase::N,nez,nariz
3,Mund::N,bouche,boca
4,Zahn::N,dent,diente
5,Zunge::N,langue,lengua
6,Lippe::N,lèvre,labio
7,Wange::N,joue,mejilla
8,Gesicht::N,face,cara
9,Gesicht::N,visage,cara
10,Stirn::N,front,frente
11,Haar::N,cheveu,cabello
12,Schnurrbart::N,moustache,bigote
13,Bart::N,barbe,barba
14,Kinn::N,menton,barbilla
15,Kiefer[Anatomie]::N,mâchoire,mandíbula
16,Kehle::N,gorge,garganta
17,Hals::N,cou,cuello
18,Genick::N,nuque,nuca
19,Genick::N,nuque,cerviz
20,Kopf::N,tête,cabeza
21,Rücken::N,dos,espalda
22,Bauch::N,ventre,vientre
23,Nabel::N,nombril,ombligo
24,Busen::N,sein,pecho
25,Brust::N,poitrine,pecho
26,Schulter::N,épaule,hombro
27,Arm::N,bras,brazo
28,Ellenbogen::N,coude,codo
29,Hand::N,main,mano
30,Handfläche::N,paume,palma
31,Finger::N,doigt,dedo
32,Fingernagel::N,ongle,uña
33,Nagel[Anatomie]::N,ongle,uña
34,Zeh::N,orteil,dedo del pie
35,Zeh::N,doigt de pied,dedo del pie
36,Fuß::N,pied,pie
37,Ferse::N,talon,talón
38,Knie::N,genou,rodilla
39,Oberschenkel::N,cuisse,muslo
40,Bein::N,jambe,pierna
41,Körper::N,corps,cuerpo
42,Haut::N,peau,piel
43,Blut::N,sang,sangre
44,Ader::N,veine,vena
45,Sehne::N,tendon,tendón
46,Knochen::N,os,hueso
47,Gehirn::N,cerveau,cerebro
48,Gehirn::N,cerveau,encéfalo
49,Herz::N,cœur,corazón
50,Magen::N,estomac,estómago
51,Leber::N,foie,hígado
52,Atem::N,haleine,aliento
53,Hunger::N,faim,hambre
54,Träne::N,larme,lágrima
55,Geschmack::N,goût,gusto
56,Geschmack::N,saveur,gusto
57,Geruch::N,odeur,olor
58,Schlaf::N,sommeil,sueño
59,Traum::N,songe,sueño
60,Traum::N,songe,ensueño
61,Himmel::N,ciel,cielo
62,Sonne::N,soleil,sol
63,Mond::N,lune,luna
64,Stern::N,étoile,estrella
65,Luft::N,air,aire
66,Wind::N,vent,viento
67,Welle::N,vague,ola
68,Welle::N,vague,onda
69,Wasser::N,eau,agua
70,Stein::N,pierre,piedra
71,Boden::N,sol,suelo
72,Boden::N,terrain,suelo
73,Erde::N,terre,tierra
74,Staub::N,poussière,polvo
75,Rauch::N,fumée,humo
76,Funke::N,étincelle,chispa
77,Feuer::N,feu,fuego
78,Licht::N,lumière,luz
79,Schatten::N,ombre,sombra
80,Wetter::N,temps,tiempo
81,Nebel::N,brume,niebla
82,Nebel::N,brouillard,niebla
83,Wolke::N,nuage,nube
84,Regen::N,pluie,lluvia
85,Schnee::N,neige,nieve
86,Eis::N,glace,hielo
87,Frost::N,gel,helada
88,Frost::N,gelée,helada
89,Kälte::N,froid,frío
90,Hitze::N,chaleur,calor
91,Raureif::N,givre,escarcha
92,Regenbogen::N,arc-en-ciel,arco iris
93,Donner::N,tonnerre,trueno
94,Strömung::N,courant,corriente
95,Tropfen::N,goutte,gota
96,Schaum::N,écume,espuma
97,Schaum::N,mousse,espuma
98,Schmutz::N,boue,suciedad
99,Schmutz::N,saleté,suciedad
100,See::N,lac,lago
101,Sumpf::N,marais,pantano
102,Sumpf::N,marécage,pantano
103,Moor::N,tourbière,turbera
104,Wiese::N,pré,prado
105,Wiese::N,pré,pradera
106,Wald::N,bois,bosque
107,Wald::N,forêt,bosque
108,Hügel::N,coteau,colina
109,Hügel::N,colline,colina
110,Anhöhe::N,éminence,cerro
111,Anhöhe::N,élévation,cerro
112,Berg::N,mont,monte
113,Berg::N,mont,montaña
114,Berg::N,montagne,monte
115,Berg::N,montagne,montaña
116,Gipfel::N,cime,cima
117,Gipfel::N,cime,cumbre
118,Gipfel::N,sommet,cima
119,Gipfel::N,sommet,cumbre
120,Höhle::N,caverne,cueva
121,Höhle::N,caverne,caverna
122,Abhang::N,pente,cuesta
123,Abhang::N,pente,declive
124,Abhang::N,versant,cuesta
125,Abhang::N,versant,declive
126,Quelle::N,source,fuente
127,Quelle::N,source,manantial
128,Quelle::N,fontaine,fuente
129,Quelle::N,fontaine,manantial
130,Bach::N,ruisseau,arroyo
131,Fluss::N,fleuve,río
132,Fluss::N,rivière,río
133,Ufer::N,bord,orilla
134,Ufer::N,rivage,orilla
135,Küste::N,côte,costa
136,Festland::N,terre ferme,tierra firme
137,Meer::N,mer,mar
138,Bucht::N,baie,cala
139,Bucht::N,baie,bahía
140,Insel::N,île,isla
141,Blume::N,fleur,flor
142,Gras::N,herbe,hierba
143,Wurzel::N,racine,raíz
144,Baum::N,arbre,árbol
145,Stamm::N,tronc,tronco
146,Rinde::N,écorce,corteza
147,Ast::N,branche,rama
148,Zweig::N,rameau,ramo
149,Blatt::N,feuille,hoja
150,Birke::N,bouleau,abedul
151,Kiefer[Baum]::N,pin,pino
152,Weide[Baum]::N,saule,sauce
153,Tanne::N,sapin,abeto
154,Horn::N,corne,asta
155,Horn::N,corne,cuerno
156,Feder::N,plume,pluma
157,Fell::N,peau,piel
158,Flügel::N,aile,ala
159,Klaue::N,serre,garra
160,Kralle::N,ongle,uña
161,Kralle::N,ongle,garra
162,Kralle::N,griffe,uña
163,Kralle::N,griffe,garra
164,Schwanz::N,queue,cola
165,Ei::N,œuf,huevo
166,Nest::N,nid,nido
167,Bau::N,terrier,madriguera
168,Tier::N,animal,animal
169,Herde::N,troupeau,rebaño
170,Kuh::N,vache,vaca
171,Bulle::N,taureau,toro
172,Pferd::N,cheval,caballo
173,Schaf::N,mouton,oveja
174,Schwein::N,porc,cerdo
175,Schwein::N,cochon,cerdo
176,Hund::N,chien,perro
177,Katze::N,chat,gato
178,Bär::N,ours,oso
179,Eichhörnchen::N,écureuil,ardilla
180,Elch::N,élan,alce
181,Fuchs::N,renard,zorro
182,Hase::N,lièvre,liebre
183,Maus::N,souris,ratón
184,Wolf::N,loup,lobo
185,Vogel::N,oiseau,ave
186,Vogel::N,oiseau,pájaro
187,Schwarm::N,nuée,bandada
188,Schwarm::N,volée,bandada
189,Huhn::N,poule,gallina
190,Hahn::N,coq,gallo
191,Gans::N,oie,oca
192,Gans::N,oie,ganso
193,Adler::N,aigle,águila
194,Ente::N,canard,pato
195,Eule::N,hibou,lechuza
196,Kranich::N,grue,grulla
197,Krähe::N,corneille,corneja
198,Kuckuck::N,coucou,cuco
199,Schwan::N,cygne,cisne
200,Fisch::N,poisson,pez
201,Barsch::N,perche,perca
202,Hecht::N,brochet,lucio
203,Schlange[Tier]::N,serpent,serpiente
204,Wurm::N,ver,gusano
205,Spinne::N,araignée,araña
206,Ameise::N,fourmi,hormiga
207,Laus::N,pou,piojo
208,Mücke::N,moucheron,mosquito
209,Fliege::N,mouche,mosca
210,Schmetterling::N,papillon,mariposa
211,Beere::N,baie,baya
212,Apfel::N,pomme,manzana
213,Pilz::N,champignon,seta
214,Pilz::N,champignon,hongo
215,Zwiebel::N,oignon,cebolla
216,Saat::N,semence,siembra
217,Korn::N,grain,grano
218,Heu::N,foin,heno
219,Schale::N,pelure,cáscara
220,Grube::N,fosse,foso
221,Falle::N,piège,trampa
222,Schlinge::N,lacs,lazo
223,Spur::N,trace,huella
224,Asche::N,cendre,ceniza
225,Dreck::N,crotte,suciedad
226,Eisen::N,fer,hierro
227,Gold::N,or,oro
