,Concept_ID,sah,ka
0,Auge::N,харах,თვალი
1,Ohr::N,кулгаах,ყური
2,Nase::N,мурун,ცხვირი
3,Mund::N,айах,პირი
4,Zahn::N,тиис,კბილი
5,Zunge::N,тыл,ენა
6,Lippe::N,уос,ბაგე
7,Wange::N,иэдэс,ლოყა
8,Gesicht::N,сирэй,სახე
9,Stirn::N,сүүс,შუბლი
10,Haar::N,баттах,თმა
11,Schnurrbart::N,уос бытыга,ულვაში
12,Bart::N,сэҥийэ бытыга,წვერი
13,Kinn::N,сэҥийэ,ნიკაპი
14,Kiefer[Anatomie]::N,сыҥаах,ყბა
15,Kehle::N,тамах,ყელი
16,Kehle::N,күөмэй,ყელი
17,Hals::N,моой,ყელი
18,Hals::N,моой,კისერი
19,Genick::N,кэтэх,კეფა
20,Kopf::N,бас,თავი
21,Rücken::N,көҕүс,ზურგი
22,Bauch::N,ис,მუცელი
23,Nabel::N,киин,ჭიპი
24,Busen::N,эмиий,ძუძუ
25,Brust::N,түөс,მკერდი
26,Schulter::N,сарын,მხარი
27,Schulter::N,сарын,მკლავი
28,Arm::N,илии,ხელი
29,Ellenbogen::N,тоҕонох,იდაყვი
30,Hand::N,илии,ხელი
31,Handfläche::N,ытыс,ნები
32,Handfläche::N,ытыс,ხელისგული
33,Finger::N,тарбах,თითი
34,Fingernagel::N,тыҥырах,ფრჩხილი
35,Nagel[Anatomie]::N,тыҥырах,ფრჩხილი
36,Zeh::N,тарбах,ფეხის თითი
37,Fuß::N,уллуҥах,ტერფი
38,Fuß::N,уллуҥах,ფეხისგული
39,Ferse::N,тилэх,ქუსლი
40,Knie::N,тобук,მუხლი
41,Knie::N,дьилбэк,მუხლი
42,Oberschenkel::N,уллук,ბარძაყი
43,Oberschenkel::N,өттүк,ბარძაყი
44,Bein::N,атах,ფეხი
45,Körper::N,бэйэ,ტანი
46,Körper::N,бэйэ,სხეული
47,Haut::N,тирии,კანი
48,Blut::N,хаан,სისხლი
49,Ader::N,вена,ძარღვი
50,Ader::N,күөх_тымыр,ძარღვი
51,Sehne::N,иҥиир,მყესი
52,Knochen::N,уҥуох,ძვალი
53,Knochen::N,уҥгуох,ძვალი
54,Gehirn::N,мэйии,ტვინი
55,Herz::N,сүрэх,გული
56,Magen::N,куртах,კუჭი
57,Leber::N,быар,ღვიძლი
58,Atem::N,тыын,სუნთქვა
59,Hunger::N,аас,შიმშილი
60,Träne::N,харах уута,ცრემლი
61,Geschmack::N,амтан,გემო
62,Geruch::N,сыт,სუნი
63,Schlaf::N,утуйуу,ძილი
64,Traum::N,түүл,სიზმარი
65,Himmel::N,халлаан,ცა
66,Sonne::N,күн,მზე
67,Mond::N,ый,მთვარე
68,Stern::N,сулус,ვარსკვლავი
69,Luft::N,салгын,ჰაერი
70,Wind::N,тыал,ქარი
