,Concept_ID,da,lbe
0,Auge::N,øje,я
1,Ohr::N,øre,вичӏи
2,Nase::N,næse,май
3,Mund::N,mund,кьацӏ
4,Zahn::N,tand,ккарччи
5,Zunge::N,tunge,маз
6,Lippe::N,læbe,мурччи
7,Wange::N,kind,чӏав
8,Gesicht::N,ansigt,лажин
9,Stirn::N,pande,ненттабакӏ
10,Haar::N,hår,чӏара
11,Schnurrbart::N,overskæg,ссирссилтту
12,Bart::N,skæg,чӏири
13,Kinn::N,hage,лунттубакӏ
14,Kiefer[Anatomie]::N,kæbe,ххинчулул
15,Kehle::N,strube,кьакьари
16,Hals::N,hals,ссурссу
17,Genick::N,nakke,махъабакӏ
18,Kopf::N,hoved,бакӏ
19,Rücken::N,ryg,ттиликӏ
20,Bauch::N,mave,лякьа
21,Nabel::N,navle,цӏумуккутӏ
22,Busen::N,barm,ккукку
23,Brust::N,bryst,хъазам
24,Schulter::N,skulder,хъачӏ
25,Arm::N,arm,ка
26,Ellenbogen::N,albue,ссюрхъ
27,Hand::N,hånd,бартка
28,Handfläche::N,håndflade,хъат
29,Handfläche::N,håndflade,битӏянхъ
30,Finger::N,finger,кӏисса
31,Fingernagel::N,fingernegl,михь
32,Nagel[Anatomie]::N,negl,михь
33,Zeh::N,tå,кӏисса
34,Fuß::N,fod,чӏанччан
35,Ferse::N,hæl,никъа
36,Knie::N,knæ,ник
37,Oberschenkel::N,lår,жира
38,Bein::N,ben,ччан
39,Körper::N,krop,чурх
40,Körper::N,legeme,чурх
41,Haut::N,hud,бурчу
42,Blut::N,blod,оь
43,Ader::N,åre,тунну
44,Sehne::N,sene,хьхьа
45,Knochen::N,ben,ттаркӏ
46,Gehirn::N,hjerne,ня
47,Herz::N,hjerte,дакӏ
48,Herz::N,hjerte,къюкӏ
49,Magen::N,mave,лякьа
50,Leber::N,lever,
51,Atem::N,ånde,ссихӏ ласаву
52,Atem::N,ånde,ссихӏ бигьаву
53,Hunger::N,sult,ккаши
54,Träne::N,tåre,макь
55,Geschmack::N,smag,тӏин
56,Geschmack::N,smag,тӏааьн
57,Geruch::N,lugt,кьанкь
58,Schlaf::N,søvn,шану
59,Traum::N,drøm,макӏру
60,Himmel::N,himmel,ссав
61,Sonne::N,sol,баргъ
62,Mond::N,måne,барз
63,Stern::N,stjerne,цӏуку
64,Luft::N,luft,гьава
65,Wind::N,vind,марч
66,Welle::N,bølge,щатӏи
67,Wasser::N,vand,щин
68,Stein::N,sten,чару
69,Boden::N,jord,аьрщи
70,Erde::N,jord,аьрщи
71,Staub::N,støv,ххит
72,Rauch::N,røg,пуркӏу
73,Funke::N,gnist,пиягь
74,Feuer::N,ild,цӏу
75,Licht::N,lys,чани
76,Schatten::N,skygge,ххют
77,Wetter::N,vejr,гьава
78,Nebel::N,tåge,шархь ттурлу
79,Wolke::N,sky,ттурлу
80,Regen::N,regn,гъарал
81,Schnee::N,sne,марххала
82,Eis::N,is,микӏ
83,Frost::N,frost,дяркъу
84,Frost::N,frost,замгьар
85,Kälte::N,kulde,дяркъу
86,Hitze::N,hede,кӏиришиву
87,Raureif::N,rimfrost,сил
88,Raureif::N,rimfrost,бурса
89,Regenbogen::N,regnbue,ссурул ккуртта
90,Donner::N,torden,къув
91,Strömung::N,strømning,экьинанаву
92,Tropfen::N,dråbe,кӏунтӏ
93,Schaum::N,skum,хьама
94,Schmutz::N,snavs,кьяркьи
95,See::N,sø,бяр
96,Sumpf::N,sump,кунцӏа
97,Moor::N,mose,
98,Wiese::N,eng,кьан
99,Wald::N,skov,вацӏа
100,Hügel::N,høj,бакӏу
101,Hügel::N,bakke,бакӏу
102,Anhöhe::N,høj,
103,Anhöhe::N,bakke,
104,Berg::N,bjerg,зунтту
105,Gipfel::N,top,мицӏ
106,Höhle::N,hule,нух
107,Abhang::N,skrænt,сун
108,Abhang::N,skråning,сун
109,Quelle::N,kilde,дайдихьу
110,Quelle::N,kilde,бакӏ
111,Bach::N,bæk,чӏрир нех
112,Fluss::N,flod,нех
113,Ufer::N,bred,зума
114,Küste::N,kyst,зумаинхалу
115,Küste::N,kyst,зуманицӏалу
116,Festland::N,fastland,кьири
117,Meer::N,hav,хьхьири
118,Bucht::N,bugt,
119,Insel::N,ø,жазира
120,Blume::N,blomst,тӏутӏи
121,Gras::N,græs,уртту
122,Wurzel::N,rod,мархха
123,Baum::N,træ,мурхь
124,Stamm::N,stamme,ттарцӏ
125,Rinde::N,bark,ккамара
126,Ast::N,gren,матӏи
127,Zweig::N,kvist,къяртта
128,Blatt::N,blad,чӏапӏи
129,Birke::N,birk,кӏялахӏи
130,Birke::N,birk,кӏялахӏилул мурхь
131,Kiefer[Baum]::N,fyrretræ,ттар
132,Kiefer[Baum]::N,fyrretræ,ттарлил мурхь
133,Weide[Baum]::N,piletræ,щавщи
134,Tanne::N,gran,ттарлил мурхь
135,Horn::N,horn,хъи
136,Feder::N,fjer,лелуххул тӏиму
137,Fell::N,skind,бурчу
138,Flügel::N,vinge,хъа
139,Flügel::N,vinge,ххурупӏайрал тӏиму
140,Klaue::N,klov,михь
141,Kralle::N,klo,ххяппа
142,Schwanz::N,hale,магъ
143,Ei::N,æg,ккунук
144,Nest::N,rede,кюру
145,Bau::N,bo,цукъуккутӏ
146,Tier::N,dyr,хӏайван
147,Herde::N,flok,газу
148,Kuh::N,ko,оьл
149,Bulle::N,tyr,ниц
150,Pferd::N,hest,чу
151,Schaf::N,får,тта
152,Schwein::N,gris,дунгъуз
153,Hund::N,hund,ккаччи
154,Katze::N,kat,ччиту
155,Bär::N,bjørn,цуша
156,Eichhörnchen::N,egern,бюрхттукку
157,Elch::N,elg,ниц-бюрин
158,Fuchs::N,ræv,цулчӏа
159,Fuchs::N,ræv,куча цулчӏа
160,Hase::N,hare,бюрх
161,Maus::N,mus,кӏулу
162,Wolf::N,ulv,барцӏ
163,Vogel::N,fugl,лелуххи
164,Schwarm::N,sværm,гьухъала
165,Huhn::N,høne,аьнакӏи
166,Hahn::N,hane,ажари
167,Gans::N,gås,къаз
168,Adler::N,ørn,барзу
169,Ente::N,and,урдак
170,Eule::N,ugle,ису
171,Eule::N,ugle,ччиккумяв
172,Kranich::N,trane,кьурукь
173,Krähe::N,krage,хъатӏу
174,Kuckuck::N,gøg,ччикку
175,Schwan::N,svane,урттил къаз
176,Fisch::N,fisk,чавахъ
177,Barsch::N,aborre,
178,Hecht::N,gedde,
179,Schlange[Tier]::N,slange,шатта
180,Wurm::N,orm,кьюнукьай шатта
181,Spinne::N,edderkop,ххялцу
182,Ameise::N,myre,митӏикьукьу
