,Concept_ID,te,ce
0,Auge::N,కన్ను,бӏаьрг
1,Ohr::N,చెవి,лерг
2,Nase::N,ముక్కు,мара
3,Mund::N,నోరు,бага
4,Zahn::N,పల్లు,церг
5,Zunge::N,నాలుక,мотт
6,Lippe::N,పెదవి,балда
7,Wange::N,చెంప,бесни
8,Gesicht::N,ముఖము,юьхь
9,Stirn::N,నుదురు,хьаж
10,Haar::N,వెండ్రుక,мас
11,Schnurrbart::N,మీసము,мекх
12,Bart::N,గడ్డము,маж
13,Kinn::N,గడ్డము,чӏениг
14,Kiefer[Anatomie]::N,దౌడ,мочхал
15,Kehle::N,గొంతు,къамкъарг
16,Hals::N,మెడ,ворта
17,Genick::N,మూపు,кӏесаркӏаг
18,Kopf::N,తల,корта
19,Rücken::N,వెన్ను,букъ
20,Bauch::N,కడుపు,кийра
21,Nabel::N,బొడ్డు,цӏонга
22,Busen::N,స్తనము,зударийн накха
23,Brust::N,ఱొమ్ము,накха
24,Schulter::N,భుజము,белш
25,Arm::N,చేయి,пхьарс
26,Ellenbogen::N,మోచేయి,пхьаьрсан гола
27,Hand::N,చేయి,куьг
28,Handfläche::N,అరచేయు,кераюкъ
29,Finger::N,చేతిప్రేలు,пӏелг
30,Fingernagel::N,గోరు,мӏара
31,Nagel[Anatomie]::N,గోరు,мӏара
32,Zeh::N,కాలిప్రేలు,кога пӏелг
33,Fuß::N,అడుగు,ког
34,Ferse::N,మడమ,кӏажа
35,Knie::N,మోకాలు,гола
36,Oberschenkel::N,తొడ,варе
37,Bein::N,కాలు,ког
38,Körper::N,కాయము,хӏума
39,Haut::N,చర్మము,чкъор
40,Blut::N,రక్తము,цӏий
41,Ader::N,సిర,пха
42,Sehne::N,స్నాయువు,хьорзам
43,Knochen::N,ఎముక,даьӏахк
44,Gehirn::N,మెదడు,хье
45,Herz::N,హృదయము,дог
46,Magen::N,కడుపు,зорх
47,Leber::N,కాలేయము,доӏах
48,Atem::N,ఉపిరి,садеӏар
49,Hunger::N,ఆకలి,мацалла
50,Träne::N,కన్నీటిచుక్క,бӏаьрхи
51,Geschmack::N,రుచి,чам
52,Geruch::N,వాసన,хьожа
53,Schlaf::N,నిద్ర,наб
54,Traum::N,కల,гӏан
