,Concept_ID,pl,bn
0,Auge::N,oko,চক্ষু
1,Ohr::N,ucho,কর্ণ
2,Nase::N,nos,নাক
3,Mund::N,usta,মুখ
4,Zahn::N,ząb,দাঁত
5,Zunge::N,język,জিহবা
6,Lippe::N,warga,অধর
7,Wange::N,policzek,গণ্ড
8,Gesicht::N,twarz,মুখমণ্ডল
9,Stirn::N,czoło,কপাল
10,Haar::N,włos,চুল
11,Haar::N,włosy,চুল
12,Schnurrbart::N,wąsy,গোঁফ
13,Bart::N,broda,শ্মশ্রু
14,Kinn::N,podbródek,চিবুক
15,Kiefer[Anatomie]::N,czeluść,চোয়াল
16,Kehle::N,gardło,কণ্ঠ
17,Hals::N,szyja,গল
18,Genick::N,kark,ঘাড়
19,Kopf::N,głowa,মাথা
20,Rücken::N,plecy,পৃষ্ঠ
21,Rücken::N,grzbiet,পৃষ্ঠ
22,Bauch::N,brzuch,উদর
23,Nabel::N,pępek,নাভি
24,Busen::N,biust,স্তন
25,Brust::N,pierś,বুক
26,Schulter::N,bark,স্কন্ধ
27,Schulter::N,ramię,স্কন্ধ
28,Arm::N,ręka,বাহু
29,Arm::N,ramię,বাহু
30,Ellenbogen::N,łokieć,কনুই
31,Hand::N,dłoń,হাত
32,Handfläche::N,dłoń,করতল
33,Finger::N,palec,আঙ্গুল
34,Fingernagel::N,paznokieć,হাতের নখ
35,Nagel[Anatomie]::N,paznokieć,নখ
36,Zeh::N,palec,আঙ্গুল
37,Fuß::N,stopa,পা
38,Ferse::N,pięta,গোড়ালি
39,Knie::N,kolano,হাঁটু
40,Oberschenkel::N,udo,ঊরু
41,Bein::N,noga,পা
42,Körper::N,ciało,দেহ
43,Haut::N,skóra,ত্বক
44,Blut::N,krew,রক্ত
45,Ader::N,żyła,শিরা
46,Sehne::N,ścięgno,কণ্ডরা
47,Knochen::N,kość,অস্থি
48,Gehirn::N,mózg,মস্তিষ্ক
49,Herz::N,serce,হৃৎপিণ্ড
50,Magen::N,żołądek,পাকস্থলী
51,Leber::N,wątroba,যকৃৎ
52,Atem::N,dech,শ্বাস
53,Atem::N,oddech,শ্বাস
54,Hunger::N,głód,ক্ষুধা
55,Träne::N,łza,অশ্রু
56,Geschmack::N,smak,স্বাদ
57,Geruch::N,woń,গন্ধ
58,Geruch::N,zapach,গন্ধ
59,Schlaf::N,sen,ঘুম
60,Traum::N,sen,স্বপ্ন
61,Himmel::N,niebo,আকাশ
62,Sonne::N,słońce,সূর্য
63,Mond::N,księżyc,চন্দ্র
64,Stern::N,gwiazda,নক্ষত্র
65,Luft::N,powietrze,বায়ু
66,Wind::N,wiatr,বাতাস
67,Welle::N,fala,ঢেউ
68,Welle::N,fala,তরঙ্গ
69,Wasser::N,woda,জল
70,Stein::N,kamień,ঢিল
71,Stein::N,kamień,প্রস্তর
72,Boden::N,grunt,ভূতল
73,Erde::N,ziemia,ভূমি
74,Staub::N,pył,ধুলা
75,Staub::N,kurz,ধুলা
76,Rauch::N,dym,ধোঁয়া
77,Funke::N,iskra,স্ফুলিঙ্গ
78,Feuer::N,ogień,অগ্নি
79,Licht::N,światło,আলো
80,Schatten::N,cień,ছায়া
81,Wetter::N,pogoda,আবহাওয়া
82,Nebel::N,mgła,কুহেলিকা
83,Wolke::N,obłok,মেঘ
84,Wolke::N,chmura,মেঘ
85,Regen::N,deszcz,বৃষ্টি
86,Schnee::N,śnieg,তুষার
87,Eis::N,lód,বরফ
88,Frost::N,mróz,তুষার
89,Kälte::N,chłód,শৈত্য
90,Hitze::N,gorąco,তাপ
91,Raureif::N,szron,তুহিন
92,Regenbogen::N,tęcza,রামধনু
93,Donner::N,grzmot,বজ্রধ্বনি
94,Strömung::N,nurt,স্রোত
95,Tropfen::N,kropla,ফোঁটা
96,Schaum::N,piana,ফেনা
97,Schmutz::N,brud,ধুলা
98,See::N,jezioro,হ্রদ
99,Sumpf::N,bagno,জলা
100,Moor::N,bagno,মাঠ
101,Wiese::N,łąka,তৃণভূমি
102,Wald::N,las,বন
103,Hügel::N,pagórek,পাহাড়
104,Anhöhe::N,wzgórze,টিলা
105,Berg::N,góra,পর্বত
106,Gipfel::N,szczyt,শীর্ষ
107,Gipfel::N,wierzchołek,শীর্ষ
108,Höhle::N,pieczara,গুহা
109,Abhang::N,stok,ঢাল
110,Abhang::N,zbocze,ঢাল
111,Quelle::N,zdrój,উৎস
112,Quelle::N,źródło,উৎস
113,Bach::N,potok,ক্ষুদ্র নদী
114,Bach::N,strumień,ক্ষুদ্র নদী
115,Fluss::N,rzeka,নদী
116,Ufer::N,brzeg,উপকূল
117,Küste::N,wybrzeże,তীর
118,Festland::N,ląd,ভূমি
119,Meer::N,morze,সমুদ্র
120,Bucht::N,zatoka,উপসাগর
121,Insel::N,wyspa,দ্বীপ
122,Blume::N,kwiat,ফুল
123,Gras::N,trawa,ঘাস
124,Wurzel::N,korzeń,শিকড়
125,Baum::N,drzewo,গাছ
126,Stamm::N,pień,স্কন্ধ
127,Rinde::N,kora,বল্কল
128,Ast::N,gałąź,শাখা
