,Concept_ID,ce,ab
0,Auge::N,бӏаьрг,ала
1,Ohr::N,лерг,алымҳа
2,Nase::N,мара,аҧынҵа
3,Mund::N,бага,аҧышə
4,Zahn::N,церг,ахаҧыц
5,Zunge::N,мотт,абз
6,Lippe::N,балда,ақьышə
7,Wange::N,бесни,аӡамҩа
8,Gesicht::N,юьхь,аҿы
9,Stirn::N,хьаж,алахь
10,Haar::N,мас,ахəыц
11,Schnurrbart::N,мекх,аҧаҵа
12,Bart::N,маж,ажакьа
13,Kinn::N,чӏениг,ацламкəыгə
14,Kiefer[Anatomie]::N,мочхал,ацламҳəа
15,Kehle::N,къамкъарг,ахəда
16,Hals::N,ворта,ахəда
17,Genick::N,кӏесаркӏаг,ахəдаџьал
18,Kopf::N,корта,ахы
19,Rücken::N,букъ,азқəа
20,Bauch::N,кийра,амгəа
21,Nabel::N,цӏонга,аҷапан
22,Busen::N,зударийн накха,агəыҧҳəы
23,Brust::N,накха,агəышҧы
24,Schulter::N,белш,ажəҩахыр
25,Arm::N,пхьарс,амахəар
26,Ellenbogen::N,пхьаьрсан гола,амашьхəылҵ
27,Hand::N,куьг,анапы
28,Handfläche::N,кераюкъ,анапсаргəыҵа
29,Finger::N,пӏелг,анацəа
30,Fingernagel::N,мӏара,анапхыц
31,Nagel[Anatomie]::N,мӏара,ашьапхыц
32,Zeh::N,кога пӏелг,ашьацəа
33,Fuß::N,ког,ашьапсыргəыҵа
34,Ferse::N,кӏажа,ашьхəа
35,Knie::N,гола,ашьамхы
36,Oberschenkel::N,варе,ауаҭəа
37,Bein::N,ког,ашьапы
38,Körper::N,хӏума,ацəеижь
39,Haut::N,чкъор,ацəа
40,Blut::N,цӏий,ашьа
41,Ader::N,пха,ада
42,Sehne::N,хьорзам,адаш
43,Knochen::N,даьӏахк,абаҩ
44,Gehirn::N,хье,ахшлыбаҩ
45,Gehirn::N,хье,ахшыбаҩ
46,Herz::N,дог,агəы
47,Magen::N,зорх,аца
48,Magen::N,зорх,ацар
49,Leber::N,доӏах,агəаҵəа
50,Atem::N,садеӏар,аҧсыҧлагаҩгара
51,Hunger::N,мацалла,амла
52,Träne::N,бӏаьрхи,алабжыш
53,Geschmack::N,чам,агьама
54,Geruch::N,хьожа,афҩы
55,Schlaf::N,наб,ацəа
56,Traum::N,гӏан,аҧхыӡ
57,Himmel::N,стигал,ажəҩан
58,Sonne::N,малх,амра
59,Mond::N,бутт,амза
60,Stern::N,седа,аеҵəа
61,Luft::N,xӏаваъ,аҳаир
62,Wind::N,мох,аҧша
63,Welle::N,тулгӏе,ацəқəырҧа
64,Wasser::N,хи,аӡы
65,Stein::N,тӏулг,ахаҳə
66,Boden::N,цӏенкъа,адгьыл
67,Erde::N,латта,адгьыл
68,Staub::N,чан,асаба
69,Rauch::N,кӏур,алҩа
70,Funke::N,суй,акəиц
71,Funke::N,суй,ацҧхь
72,Feuer::N,цӏе,амца
73,Licht::N,серло,алашара
74,Schatten::N,ӏиндагӏ,ашəшьыра
75,Wetter::N,хенан хӏоттам,амш
76,Nebel::N,дохк,анаҟəа
77,Wolke::N,марха,аҧсҭҳəа
78,Regen::N,догӏа,ақəа
79,Schnee::N,ло,асы
80,Eis::N,ша,аҵаа
81,Frost::N,шело,аҵаа
82,Kälte::N,шело,ахьҭа
83,Hitze::N,йовхо,ашоура
84,Raureif::N,йис,аҵааҧшқа
85,Regenbogen::N,стелаӏад,ацəаҟəа
86,Donner::N,ткъес,адыд
87,Strömung::N,дӏаэхар,аиасра
88,Strömung::N,дӏаэхар,амҩасра
89,Strömung::N,дӏасалелар,аиасра
90,Strömung::N,дӏасалелар,амҩасра
91,Tropfen::N,тӏадам,ацəыкəбар
92,Schaum::N,чопа,ашəах
93,Schmutz::N,хатт,алымт
94,See::N,ӏам,аӡиа
95,Sumpf::N,уьшал,аӡмах
96,Moor::N,уьшал,
97,Wiese::N,бай,адəы
98,Wald::N,хьун,абна
99,Hügel::N,гу,ахəы
100,Hügel::N,шу,ахəы
101,Hügel::N,барз,ахəы
102,Anhöhe::N,акъари,аҳаракыра
103,Berg::N,лам,ашьха
104,Gipfel::N,бохь,ацəқəа
105,Höhle::N,хьех,аҳаҧы
106,Abhang::N,басе,анаара
107,Quelle::N,шовда,аҵҵырҭа
108,Bach::N,татол,акəараҷҷа
109,Fluss::N,хи,аӡиас
110,Ufer::N,хийист,ахықə
111,Küste::N,йист,ахықə
112,Festland::N,латта,абарра
113,Meer::N,xӏорд,амшын
114,Bucht::N,чож,аӡбжьахала
115,Insel::N,гӏайре,адгьылбжьаха
116,Blume::N,зезаг,ашəҭ
117,Gras::N,буц,аҳасакьын
118,Wurzel::N,орам,адац
119,Baum::N,дитт,аҵла
120,Stamm::N,гӏад,ашьапы
121,Stamm::N,тайпа,ашьапы
122,Rinde::N,кевстиг,ацəа
123,Ast::N,га,амахə
124,Ast::N,га,амахəҭа
125,Zweig::N,га,амахə
126,Zweig::N,га,амахəҭа
127,Blatt::N,гӏа,абҕьы
128,Birke::N,дакх,аҵааҵла
129,Kiefer[Baum]::N,бага,амза
130,Weide[Baum]::N,дак,аҧслыш
131,Tanne::N,база,аҧсаӡ
132,Horn::N,маӏа,атəыҩа
133,Feder::N,пелаг,ахӡы
134,Fell::N,цӏока,ацəа
135,Flügel::N,тӏам,амҵəыжəа
136,Klaue::N,мӏара,ашьапхыц
137,Kralle::N,тlод,
138,Schwanz::N,цӏога,аҵыхəа
139,Ei::N,xӏoa,акəтаӷь
140,Nest::N,бен,аҭра
141,Nest::N,бен,аҵысҭра
142,Bau::N,lуьрг,аҭыҩра
143,Tier::N,дийнат,аҧстəы
144,Tier::N,дийнат,агыгшəыг
145,Herde::N,жа,агəарҭа
146,Kuh::N,етт,ажə
147,Bulle::N,сту,ацə
148,Pferd::N,говр,аҽы
149,Schaf::N,жий,ауаса
150,Schaf::N,уьстагӏ,ауаса
151,Schwein::N,хьакха,аҳəа
152,Hund::N,жӏаьла,ала
153,Katze::N,цициг,ацгəы
154,Bär::N,ча,амшə
155,Eichhörnchen::N,тарсал,аеш
156,Elch::N,сай,аҽаҩа
157,Fuchs::N,цхьогал,абгахəыҷы
158,Hase::N,пхьагал,ажьа
159,Maus::N,дахка,аҳəынаҧ
160,Wolf::N,борз,абгаду
161,Vogel::N,олхазар,аҧсаатə
162,Huhn::N,котам,акəты
163,Hahn::N,нӏаьна,арбаҕь
164,Hahn::N,боргӏал,арбаҕь
165,Gans::N,гӏаз,аҟыз
166,Adler::N,aьрзу,ауарба
167,Ente::N,бад,акəата
168,Eule::N,бухӏа,аты
169,Kranich::N,гӏаргӏули,апҟа
170,Krähe::N,къиг,аҟəараан
171,Kuckuck::N,aттйокх,акəыкəу
172,Schwan::N,гӏургӏаз,агьад
173,Fisch::N,чӏара,аҧсыӡ
174,Barsch::N,окунь,ацəыбла
175,Hecht::N,гӏазкхийн чӏара,ахиаала
176,Schlange[Tier]::N,лаьхьа,амаҭ
177,Wurm::N,нӏаьна,ахəа
178,Wurm::N,нӏаьна,ахəац
179,Spinne::N,гезг,абызкаҭаҳа
180,Ameise::N,зингат,ашышкамс
181,Laus::N,меза,аҵа
182,Laus::N,гӏениг,аҵа
183,Mücke::N,чуьрк,акəыбры
184,Fliege::N,моза,амҵ
185,Schmetterling::N,полла,аҧарҧалыкь
186,Beere::N,цӏазам,аргуц
187,Apfel::N,ӏаж,аҵəа
188,Pilz::N,жӏаьлин нускал,акəкəбаа
189,Zwiebel::N,xох,аџьымшьы
190,Zwiebel::N,xох,аџьымшьхы
191,Saat::N,чlу,ажəла
192,Korn::N,буьртиг,арыц
193,Heu::N,йол,аҭəа
194,Schale::N,пардо,ацəа
195,Grube::N,ор,ажра
196,Grube::N,ор,атыша
197,Falle::N,кӏело,арыҧҟьа
198,Spur::N,лар,ашьҭа
199,Asche::N,чим,ахəа
200,Dreck::N,мода,аҳəынҵəа
201,Dreck::N,мода,аҟьамсар
202,Eisen::N,эчиг,аиха
203,Gold::N,деши,ахьы
204,Silber::N,дети,аразны
205,Kohle::N,кӏора,арацəа
206,Glas::N,aнгали,асаркьа
207,Lehm::N,поппар,анышəаҧшь
208,Sand::N,гӏум,аҧслымӡ
209,Mensch::N,адам,ауаҩы
210,Mann::N,майра,ахаҵа
211,Frau::N,зуда,аҧҳəыс
212,Kind::N,бер,ахəыҷы
213,Junge::N,жимха,аҷкəын
214,Junge::N,жимха,ахаҵарҧыс
215,Mädchen::N,жима йоӏ,аӡӷаб
216,Familie::N,доьзал,аҭаацəа
217,Großvater::N,ненада,абду
218,Großmutter::N,денана,анду
219,Eltern::N,да-нана,ани аби
220,Vater::N,да,аб
221,Mutter::N,нана,ан
222,Sohn::N,кӏант,аҧа
223,Tochter::N,йоӏ,аҧҳа
224,Bruder::N,ваша,аиашьа
225,Schwester::N,йиша,Аҳəшьа
226,Onkel::N,деваша,абиашьа
227,Onkel::N,деваша,аншьа
228,Tante::N,дейиша,абиаҳəшьа
229,Ehemann::N,майра,ахаҵа
230,Ehemann::N,майра,аҧшəма
231,Ehefrau::N,зуда,аҧҳəыс
232,Freude::N,самукъа,агəырӷьара
233,Freude::N,хазахетар,агəырӷьара
234,Gelächter::N,белам,ачча
235,Gelächter::N,белам,аччара
236,Glück::N,ирс,аразҟы
237,Kummer::N,бала,агəырҩа
238,Wunsch::N,лаам,агəхəтəы
239,Wunsch::N,лаам,аҭахра
240,Lust::N,лаам,агəазыҳəара
241,Geist::N,са,аҧсы
242,Gedanke::N,ойла,ахəыцырҭа
243,Gedächtnis::N,диццадалар,агəынкылара
244,Verstand::N,хьекъал,ахшыҩ
245,Sinn::N,маьӏна,аҵакы
246,Grund::N,бахьана,амзыз
247,Wahrheit::N,бакъдерг,аиаша
248,Gespräch::N,къамел,аиҿцәажәара
249,Märchen::N,туьйра,алакə
250,Erzählung::N,дийцар,ажәабжь
251,Nachricht::N,хаам,адырраҭара
252,Neuigkeit::N,керланиг,ажәабжь ҿыц
253,Name::N,цӏе,ахьӡ
254,Rätsel::N,хӏетал-метал,ацуфара
255,Rede::N,къамел,ажәа
256,Sprache::N,мотт,абызшəа
257,Stimme::N,aз,абжьы
258,Wort::N,дош,ажәа
259,Zeichen::N,билгало,адырга
260,Ruf::N,кхайкхар,аҿҭы
261,Lärm::N,гӏовгӏа,ашьҭыбжь
262,Laut::N,аз,ашьҭыбжь
263,Ton::N,aз,атон
264,Lied::N,илли,ашəа
265,Ruhe::N,тийналла,аҭынчра
266,Leute::N,нах,ауаа
267,Volk::N,халкъ,ажəлар
268,Arbeit::N,болх,аусура
269,Gast::N,хьаша,асас
270,Geschenk::N,совгӏат,аҳамҭа
