,Concept_ID,sq,da
0,Auge::N,sy,øje
1,Ohr::N,vesh,øre
2,Nase::N,hundë,næse
3,Mund::N,gojë,mund
4,Zahn::N,dhëmb,tand
5,Zunge::N,gjuhë,tunge
6,Lippe::N,buzë,læbe
7,Wange::N,faqe,kind
8,Wange::N,mollëz,kind
9,Gesicht::N,fytyrë,ansigt
10,Stirn::N,ballë,pande
11,Haar::N,flokë,hår
12,Schnurrbart::N,mustaqe,overskæg
13,Bart::N,mjekër,skæg
14,Kinn::N,mjekër,hage
15,Kiefer[Anatomie]::N,nofull,kæbe
16,Kehle::N,fyt,strube
17,Kehle::N,grykë,strube
18,Hals::N,qafë,hals
19,Genick::N,arrëz,nakke
20,Kopf::N,kokë,hoved
21,Rücken::N,kurriz,ryg
22,Bauch::N,bark,mave
23,Nabel::N,kërthizë,navle
24,Busen::N,gji,barm
25,Brust::N,gjoks,bryst
26,Brust::N,kraharor,bryst
27,Schulter::N,sup,skulder
28,Schulter::N,krah,skulder
29,Arm::N,krah,arm
30,Ellenbogen::N,bërryl,albue
31,Hand::N,dorë,hånd
32,Handfläche::N,pëllëmbë,håndflade
33,Finger::N,gisht,finger
34,Fingernagel::N,thua,fingernegl
35,Nagel[Anatomie]::N,thua,negl
36,Zeh::N,gisht i këmbës,tå
37,Fuß::N,këmbë,fod
38,Ferse::N,thembër,hæl
39,Knie::N,gju,knæ
40,Oberschenkel::N,kofshë,lår
41,Bein::N,këmbë,ben
42,Körper::N,trup,krop
43,Körper::N,trup,legeme
44,Haut::N,lëkurë,hud
45,Blut::N,gjak,blod
46,Ader::N,venë,åre
47,Sehne::N,dell,sene
48,Knochen::N,asht,ben
49,Knochen::N,kockë,ben
50,Gehirn::N,tru,hjerne
51,Herz::N,zemër,hjerte
52,Magen::N,stomak,mave
53,Leber::N,mëlçi,lever
54,Atem::N,frymë,ånde
55,Hunger::N,uri,sult
56,Träne::N,lot,tåre
57,Geschmack::N,shije,smag
58,Geruch::N,erë,lugt
59,Schlaf::N,gjumë,søvn
60,Traum::N,ëndërr,drøm
61,Himmel::N,qiell,himmel
62,Sonne::N,diell,sol
63,Mond::N,hënë,måne
64,Stern::N,yll,stjerne
65,Luft::N,ajër,luft
66,Wind::N,erë,vind
67,Welle::N,valë,bølge
68,Welle::N,dallgë,bølge
69,Wasser::N,ujë,vand
70,Stein::N,gur,sten
71,Boden::N,tokë,jord
72,Boden::N,truall,jord
73,Erde::N,dhe,jord
74,Erde::N,baltë,jord
75,Staub::N,pluhur,støv
76,Rauch::N,tym,røg
77,Funke::N,xixë,gnist
78,Funke::N,shkëndijë,gnist
79,Feuer::N,zjarr,ild
80,Licht::N,dritë,lys
81,Schatten::N,hije,skygge
82,Wetter::N,mot,vejr
83,Nebel::N,mjegull,tåge
84,Wolke::N,re,sky
85,Regen::N,shi,regn
86,Schnee::N,borë,sne
87,Eis::N,akull,is
88,Frost::N,ngricë,frost
89,Kälte::N,të ftohtë,kulde
90,Hitze::N,vapë,hede
91,Hitze::N,nxehtësi,hede
92,Raureif::N,cikmë,rimfrost
93,Regenbogen::N,ylber,regnbue
94,Donner::N,gjëmim,torden
95,Donner::N,bubullimë,torden
96,Strömung::N,rrymë,strømning
97,Tropfen::N,pikë,dråbe
98,Schaum::N,shkumë,skum
99,Schmutz::N,baltë,snavs
100,See::N,liqen,sø
101,Sumpf::N,batak,sump
102,Moor::N,kënetë,mose
103,Wiese::N,livadh,eng
104,Wald::N,pyll,skov
105,Hügel::N,kodër,høj
106,Hügel::N,kodër,bakke
107,Anhöhe::N,bregore,høj
108,Anhöhe::N,bregore,bakke
109,Berg::N,mal,bjerg
110,Gipfel::N,kulm,top
111,Höhle::N,shpellë,hule
112,Höhle::N,zgafelle,hule
113,Abhang::N,shpat,skrænt
114,Abhang::N,shpat,skråning
115,Abhang::N,tatëpjetë,skrænt
116,Abhang::N,tatëpjetë,skråning
117,Quelle::N,krua,kilde
118,Quelle::N,burim,kilde
119,Bach::N,virua,bæk
120,Fluss::N,lumë,flod
121,Ufer::N,breg,bred
122,Küste::N,anëdet,kyst
123,Küste::N,bregdet,kyst
124,Festland::N,kontinent,fastland
125,Meer::N,det,hav
126,Bucht::N,gji deti,bugt
127,Insel::N,ishull,ø
128,Insel::N,ujdhesë,ø
129,Blume::N,lule,blomst
130,Gras::N,bar,græs
131,Wurzel::N,rrënjë,rod
132,Baum::N,pemë,træ
133,Stamm::N,trung,stamme
134,Rinde::N,lëvore,bark
135,Ast::N,degë,gren
136,Zweig::N,bisk,kvist
137,Blatt::N,fletë,blad
138,Blatt::N,gjethe,blad
139,Birke::N,mështekën,birk
140,Kiefer[Baum]::N,pishë,fyrretræ
141,Weide[Baum]::N,shelg,piletræ
142,Tanne::N,bredh,gran
143,Horn::N,bri,horn
144,Feder::N,pupël,fjer
145,Fell::N,lëkurë,skind
146,Flügel::N,krah,vinge
147,Flügel::N,fletë,vinge
148,Klaue::N,kthetër,klov
149,Kralle::N,thua,klo
150,Kralle::N,kthetër,klo
151,Schwanz::N,bisht,hale
152,Ei::N,vezë,æg
153,Nest::N,fole,rede
154,Bau::N,strofkë,bo
155,Tier::N,kafshë,dyr
156,Herde::N,kope,flok
157,Herde::N,grigjë,flok
158,Kuh::N,lopë,ko
159,Bulle::N,dem,tyr
160,Pferd::N,kalë,hest
161,Schaf::N,dele,får
162,Schwein::N,derr,gris
163,Hund::N,qen,hund
164,Katze::N,mace,kat
165,Bär::N,ari,bjørn
166,Eichhörnchen::N,ketër,egern
167,Elch::N,dre brilopatë,elg
168,Fuchs::N,dhelpër,ræv
169,Hase::N,lepur,hare
170,Maus::N,mi,mus
171,Wolf::N,ujk,ulv
172,Vogel::N,zog,fugl
173,Vogel::N,shpend,fugl
174,Schwarm::N,luzmë,sværm
175,Huhn::N,pulë,høne
176,Hahn::N,gjel,hane
177,Hahn::N,këndes,hane
178,Gans::N,patë,gås
179,Adler::N,shqiponjë,ørn
180,Ente::N,rosë,and
181,Eule::N,buf,ugle
182,Kranich::N,lejlek,trane
183,Kranich::N,kurrillë,trane
184,Krähe::N,sorrë,krage
185,Kuckuck::N,qyqe,gøg
186,Schwan::N,mjellmë,svane
187,Fisch::N,peshk,fisk
188,Barsch::N,purtekë,aborre
189,Hecht::N,mlysh,gedde
190,Schlange[Tier]::N,gjarpër,slange
191,Wurm::N,krimb,orm
192,Spinne::N,marimangë,edderkop
193,Ameise::N,thnegël,myre
194,Ameise::N,milingonë,myre
195,Laus::N,morr,lus
196,Mücke::N,kunup,myg
197,Mücke::N,mushkonjë,myg
198,Fliege::N,mizë,flue
199,Schmetterling::N,flutur,sommerfugl
200,Beere::N,frutë,bær
201,Beere::N,manaferrë,bær
202,Apfel::N,mollë,æble
203,Pilz::N,kërpudhë,svamp
204,Zwiebel::N,qepë,løg
205,Saat::N,farë,sæd
206,Korn::N,grurë,korn
207,Korn::N,kokërr,korn
208,Heu::N,sanë,hø
209,Schale::N,lëkurë,skræl
210,Grube::N,gropë,grav
211,Falle::N,kurth,fælde
212,Falle::N,grackë,fælde
213,Schlinge::N,nyjë,snare
214,Spur::N,gjurmë,spor
215,Asche::N,hi,aske
216,Dreck::N,baltë,snavs
217,Eisen::N,hekur,jern
218,Gold::N,ar,guld
219,Gold::N,flori,guld
220,Silber::N,argjend,sølv
221,Kohle::N,qymyr,kul
222,Glas::N,qelq,glas
223,Lehm::N,argjilë,ler
224,Sand::N,rërë,sand
225,Mensch::N,njeri,mennesge
226,Mann::N,burrë,mand
227,Mann::N,mashkull,mand
228,Frau::N,grua,kvinde
229,Frau::N,femër,kvinde
230,Kind::N,kalama,barn
231,Junge::N,djalë,dreng
232,Mädchen::N,gocë,pige
233,Mädchen::N,vajzë,pige
234,Familie::N,familje,familie
235,Großvater::N,gjysh,bedstefar
236,Großmutter::N,gjyshe,bedstemor
237,Eltern::N,prindër,forældre
238,Vater::N,atë,far
239,Mutter::N,nënë,mor
240,Sohn::N,bir,søn
241,Tochter::N,bijë,datter
242,Bruder::N,vëlla,bror
243,Schwester::N,motër,søster
244,Onkel::N,dajë,onkel
245,Onkel::N,xhaxha,onkel
246,Tante::N,teze,tante
247,Tante::N,hallë,tante
248,Ehemann::N,burrë,ægtemand
249,Ehemann::N,bashkëshort,ægtemand
250,Ehefrau::N,grua,hustru
251,Ehefrau::N,bashkëshorte,hustru
252,Freude::N,gaz,glæde
253,Freude::N,gëzim,glæde
254,Gelächter::N,qeshje,latter
255,Glück::N,lumturi,lykke
256,Kummer::N,brengë,sorg
257,Kummer::N,pikëllim,sorg
258,Wunsch::N,dëshirë,ønske
259,Lust::N,epsh,lyst
260,Lust::N,dashuri,lyst
261,Geist::N,frymë,ånd
262,Geist::N,shpirt,ånd
263,Gedanke::N,ide,tanke
264,Gedanke::N,mendim,tanke
265,Gedächtnis::N,kujtesë,hukommelse
266,Verstand::N,mend,forstand
267,Sinn::N,kuptim,mening
268,Sinn::N,kuptim,betydning
269,Grund::N,arsye,grund
270,Wahrheit::N,vërtetë,sandhed
271,Gespräch::N,bisedim,samtale
272,Märchen::N,përrallë,eventyr
273,Erzählung::N,tregim,fortælling
274,Nachricht::N,lajm,efterretning
275,Neuigkeit::N,risi,nyhed
276,Name::N,emër,navn
277,Rätsel::N,gjëzë,gåde
278,Rätsel::N,gjëegjëzë,gåde
279,Rede::N,fjalim,tale
280,Sprache::N,gjuhë,sprog
281,Stimme::N,zë,stemme
282,Wort::N,fjalë,ord
283,Zeichen::N,shenjë,tegn
284,Ruf::N,thirrmë,råb
285,Lärm::N,zhurmë,larm
286,Laut::N,tingull,lyd
287,Ton::N,ton,tone
288,Lied::N,këngë,sang
289,Ruhe::N,qetësi,ro
290,Ruhe::N,qetësi,hvile
291,Leute::N,botë,folk
292,Leute::N,botë,mennesker
293,Leute::N,njerëz,folk
294,Leute::N,njerëz,mennesker
295,Volk::N,popull,folk
296,Arbeit::N,punë,arbejde
297,Gast::N,mik,gæst
298,Gast::N,mysafir,gæst
299,Geschenk::N,dhuratë,gave
300,Geschenk::N,peshqesh,gave
301,Spiel::N,lojë,leg
302,Gesellschaft::N,shoqëri,selskab
303,Hilfe::N,ndihmë,hjælp
304,Freund::N,mik,ven
305,Kamerad::N,shok,kammerat
306,Angelegenheit::N,punë,sag
307,Angelegenheit::N,punë,anliggende
308,Anzahl::N,sasi,antal
309,Art::N,lloj,art
310,Stück::N,copë,stykke
311,Teil::N,pjesë,del
312,Hälfte::N,gjysmë,halvdel
313,Kreis::N,qark,cirkel
314,Kreis::N,rreth,cirkel
315,Kreuz::N,kryq,kors
316,Kreuz::N,kryq,kryds
317,Linie::N,vijë,linie
318,Strich::N,vizë,streg
319,Abstand::N,distancë,afstand
320,Entfernung::N,largim,afstand
321,Gegend::N,vise,egn
322,Gegend::N,krahinë,egn
323,Platz::N,shesh,plads
324,Ort::N,vend,sted
325,Seite::N,anë,side
326,Mitte::N,mes,midte
327,Gegenstand::N,send,genstand
328,Sache::N,gjë,sag
329,Sache::N,send,sag
330,Rand::N,qoshe,rand
331,Kante::N,teh,kant
332,Ecke::N,qoshe,hjørne
333,Spitze::N,majë,spids
