,Concept_ID,pl,cv
0,Auge::N,oko,куҫ
1,Ohr::N,ucho,хӑлха
2,Nase::N,nos,сӑмса
3,Mund::N,usta,ҫӑвар
4,Zahn::N,ząb,шӑл
5,Zunge::N,język,чӗлхе
6,Lippe::N,warga,тута
7,Wange::N,policzek,пит ҫӑмарти
8,Gesicht::N,twarz,пит
9,Gesicht::N,twarz,пит-куҫ
10,Stirn::N,czoło,ҫамка
11,Haar::N,włos,ҫӳҫ
12,Haar::N,włosy,ҫӳҫ
13,Schnurrbart::N,wąsy,усси
14,Bart::N,broda,сухал
15,Kinn::N,podbródek,янах
16,Kiefer[Anatomie]::N,czeluść,янах
17,Kehle::N,gardło,пыр
18,Kehle::N,gardło,карланкӑ
19,Hals::N,szyja,пыр
20,Genick::N,kark,ӗнсе
21,Kopf::N,głowa,пуҫ
22,Rücken::N,plecy,ҫурӑм
23,Rücken::N,grzbiet,ҫурӑм
24,Bauch::N,brzuch,
25,Nabel::N,pępek,кӑвапа
26,Busen::N,biust,кӑкӑр
27,Brust::N,pierś,умӗ
28,Schulter::N,bark,хул пуҫҫи
29,Schulter::N,ramię,хул пуҫҫи
30,Arm::N,ręka,алӑ
31,Arm::N,ramię,алӑ
32,Ellenbogen::N,łokieć,чавса
33,Hand::N,dłoń,алӑ сыппи
34,Handfläche::N,dłoń,ал лаппи
35,Finger::N,palec,пӳрне
36,Fingernagel::N,paznokieć,чӗрне
37,Nagel[Anatomie]::N,paznokieć,чӗрне
38,Zeh::N,palec,пӳрне
39,Fuß::N,stopa,ура лаппи
40,Ferse::N,pięta,кӗле
41,Knie::N,kolano,чӗркуҫҫи
42,Oberschenkel::N,udo,пӗҫӗ
43,Bein::N,noga,ура
44,Körper::N,ciało,ӳт
45,Körper::N,ciało,ӳт-пӳ
46,Haut::N,skóra,тир
47,Blut::N,krew,юн
48,Ader::N,żyła,вена
49,Sehne::N,ścięgno,шӑнӑр
50,Knochen::N,kość,шӑмӑ
51,Gehirn::N,mózg,миме
52,Herz::N,serce,чӗре
53,Magen::N,żołądek,хырӑмлӑх
54,Leber::N,wątroba,пӗвер
55,Atem::N,dech,сывлав
56,Atem::N,oddech,сывлав
57,Hunger::N,głód,выҫлӑх
58,Träne::N,łza,куҫҫуль
59,Geschmack::N,smak,техӗм
60,Geruch::N,woń,шӑршӑ
61,Geruch::N,zapach,шӑршӑ
62,Schlaf::N,sen,ыйхӑ
63,Traum::N,sen,тӗлӗк
64,Himmel::N,niebo,пӗлӗт
65,Sonne::N,słońce,хӗвел
66,Mond::N,księżyc,уйӑх
67,Stern::N,gwiazda,ҫӑлтӑр
68,Luft::N,powietrze,сывлӑш
69,Wind::N,wiatr,ҫил
70,Welle::N,fala,хум
71,Wasser::N,woda,шыв
72,Wasser::N,woda,шыв-шур
73,Stein::N,kamień,чул
74,Boden::N,grunt,тӑпра
75,Erde::N,ziemia,ҫӗр
76,Staub::N,pył,тусан
77,Staub::N,kurz,тусан
78,Rauch::N,dym,тӗтӗм
79,Funke::N,iskra,хӗм
80,Feuer::N,ogień,вут
81,Feuer::N,ogień,ҫулӑм
82,Licht::N,światło,ҫутӑ
83,Schatten::N,cień,сулхӑн
84,Wetter::N,pogoda,ҫанталӑк
85,Nebel::N,mgła,тӗтре
86,Wolke::N,obłok,пӗлӗт
87,Wolke::N,chmura,пӗлӗт
88,Regen::N,deszcz,ҫумӑр
89,Schnee::N,śnieg,юр
90,Eis::N,lód,пӑр
91,Frost::N,mróz,сивӗ
92,Kälte::N,chłód,сивӗ
93,Hitze::N,gorąco,вӗри
94,Hitze::N,gorąco,шӑрӑх
95,Raureif::N,szron,пас
96,Regenbogen::N,tęcza,асамат кӗперӗ
97,Donner::N,grzmot,аслати
98,Strömung::N,nurt,юхӑ
99,Tropfen::N,kropla,тумлам
100,Schaum::N,piana,кӑпӑк
101,Schmutz::N,brud,пылчӑк
102,See::N,jezioro,кӳлӗ
103,Sumpf::N,bagno,шур
104,Sumpf::N,bagno,шурлӑх
105,Moor::N,bagno,торфлӑ шурлӑх
106,Wiese::N,łąka,улӑх
107,Wiese::N,łąka,ҫаран
108,Wald::N,las,вӑрман
109,Hügel::N,pagórek,сӑрт
110,Hügel::N,pagórek,тӗмеске
111,Anhöhe::N,wzgórze,сӑрт
112,Berg::N,góra,ту
113,Gipfel::N,szczyt,тӳпе
114,Gipfel::N,wierzchołek,тӳпе
115,Höhle::N,pieczara,ҫӗр хӑвӑлӗ
116,Abhang::N,stok,тӑвайкки
117,Abhang::N,zbocze,тӑвайкки
118,Quelle::N,zdrój,ҫӑл куҫ
119,Quelle::N,źródło,ҫӑл куҫ
120,Bach::N,potok,пӗчӗк шыв
121,Bach::N,strumień,пӗчӗк шыв
122,Fluss::N,rzeka,юхан шыв
123,Ufer::N,brzeg,ҫыран
124,Küste::N,wybrzeże,тинӗс ҫыранӗ
125,Festland::N,ląd,тип ҫӗр
126,Meer::N,morze,тинӗс
127,Bucht::N,zatoka,тинӗс кукӑрӗ
128,Insel::N,wyspa,утрав
129,Blume::N,kwiat,чечек
130,Gras::N,trawa,курӑк
131,Wurzel::N,korzeń,тымар
132,Baum::N,drzewo,йывӑҫ
133,Stamm::N,pień,вулӑ
134,Rinde::N,kora,хуйӑр
135,Ast::N,gałąź,турат
136,Zweig::N,gałąź,турат
137,Blatt::N,liść,ҫулҫӑ
138,Birke::N,brzoza,хурӑн
139,Kiefer[Baum]::N,sosna,хыр
140,Weide[Baum]::N,wierzba,хӑва
141,Tanne::N,jodła,чӑрӑш
142,Horn::N,róg,мӑйрака
143,Feder::N,pióro,тӗк
144,Fell::N,futro,ҫӑм
145,Flügel::N,skrzydło,ҫунат
146,Klaue::N,szpon,чӗрне
147,Kralle::N,pazur,ура
148,Schwanz::N,ogon,хӳре
149,Ei::N,jajko,ҫӑмарта
150,Nest::N,gniazdo,йӑва
151,Bau::N,nora,йӗнӗ
152,Tier::N,zwierzę,выльӑх
153,Herde::N,stado,кӗтӳ
154,Herde::N,trzoda,кӗтӳ
155,Kuh::N,krowa,ӗне
156,Bulle::N,byk,вӑкӑр
157,Pferd::N,koń,лаша
158,Schaf::N,owca,сурӑх
159,Schwein::N,świnia,сысна
160,Hund::N,pies,йытӑ
161,Katze::N,kot,кушак
162,Katze::N,kotka,кушак
163,Bär::N,niedźwiedż,упа
164,Eichhörnchen::N,wiewiórka,пакша
165,Elch::N,łóś,пӑши
166,Fuchs::N,lis,тилӗ
167,Hase::N,zając,куян
168,Hase::N,zając,мулкач
169,Maus::N,mysz,шӑши
170,Wolf::N,wilk,кашкӑр
171,Vogel::N,ptak,кайӑк
172,Vogel::N,ptak,вӗҫен кайӑк
173,Schwarm::N,stado,ушкӑн
174,Huhn::N,kura,чӑх
175,Huhn::N,kura,чӑхӑ
176,Hahn::N,kogut,автан
177,Gans::N,gęś,хур
178,Adler::N,orzeł,ӑмӑрт кайӑк
179,Ente::N,kaczka,кӑвакал
180,Eule::N,sowa,тӑмана
181,Kranich::N,żuraw,тӑрна
182,Krähe::N,wrona,ула курак
183,Kuckuck::N,kukułka,куккук
184,Schwan::N,łabędż,акӑш
185,Fisch::N,ryba,пулӑ
186,Barsch::N,okoń,уланкӑ
187,Hecht::N,szczupak,ҫӑрттан
188,Schlange[Tier]::N,wąż,ҫӗлен
189,Schlange[Tier]::N,żmija,ҫӗлен
190,Wurm::N,robak,ӑман
191,Spinne::N,pająk,эрешмен
192,Ameise::N,mrówka,кӑткӑ
193,Laus::N,wesz,пыйтӑ
194,Mücke::N,komar,вӑрӑм туна
195,Fliege::N,mucha,шӑна
196,Schmetterling::N,motyl,лӗпӗш
197,Beere::N,jagoda,ҫырла
198,Apfel::N,jabłko,улма
199,Apfel::N,jabłko,пан улми
200,Pilz::N,grzyb,кӑмпа
201,Zwiebel::N,cebula,сухан
202,Saat::N,siew,вӑрӑ
203,Korn::N,ziarno,тӗшӗ
204,Korn::N,ziarno,пӗрчӗ
205,Heu::N,siano,утӑ
206,Schale::N,łupina,хупӑ
207,Grube::N,dół,шӑтӑк
208,Grube::N,jama,шӑтӑк
209,Falle::N,pułapka,тапӑ
210,Falle::N,pułapka,капкӑн
211,Schlinge::N,sidła,йӑлӑ
212,Spur::N,ślad,йӗр
213,Asche::N,popiół,кӗл
214,Dreck::N,brud,пылчӑк
215,Eisen::N,żelazo,тимӗр
216,Gold::N,złoto,ылтӑн
217,Silber::N,srebro,кӗмӗл
218,Kohle::N,węgiel,кӑмрӑк
219,Glas::N,szkło,кӗленче
220,Lehm::N,glina,тӑм
221,Sand::N,piasek,хӑйӑр
222,Mensch::N,człowiek,ҫын
223,Mensch::N,człowiek,этем
224,Mann::N,mężczyzna,ар
225,Frau::N,kobieta,хӗрарӑм
226,Kind::N,dziecko,ача
227,Junge::N,chłopak,ача
228,Junge::N,chłopak,ар ҫын ача
229,Junge::N,chłopiec,ача
230,Junge::N,chłopiec,ар ҫын ача
231,Mädchen::N,dziewczynka,хӗр ача
232,Familie::N,rodzina,ҫемье
233,Familie::N,rodzina,кил-йыш
234,Großvater::N,dziadek,кукаҫи
235,Großmutter::N,babka,кукамай
236,Eltern::N,rodzice,аҫа-ама
237,Vater::N,ojciec,атте
238,Mutter::N,matka,анне
239,Sohn::N,syn,ывӑл
240,Tochter::N,córka,хӗр
241,Bruder::N,brat,ар тӑван
242,Schwester::N,siostra,аппа
243,Schwester::N,siostra,йӑмӑк
244,Onkel::N,wuj,мучи
245,Onkel::N,wuj,пичче
246,Onkel::N,stryj,мучи
247,Onkel::N,stryj,пичче
248,Tante::N,ciotka,аппа
249,Ehemann::N,mąż,упӑшка
250,Ehefrau::N,żona,арӑм
251,Freude::N,radość,савӑнӑҫ
252,Freude::N,radość,хаваслӑх
253,Gelächter::N,śmiech,кулӑ
254,Glück::N,szczęście,телей
255,Glück::N,szczęście,ӑраскал
256,Kummer::N,zmartwienie,хурлӑх
257,Wunsch::N,życzenie,ӗмӗт
258,Wunsch::N,życzenie,кӑмӑл
259,Lust::N,chęć,кӑмӑл
260,Lust::N,ochota,кӑмӑл
261,Geist::N,duch,чун-чӗм
262,Geist::N,duch,ыр-усал
263,Geist::N,duch,чун хавалӗ
264,Gedanke::N,myśl,шухӑш
265,Gedächtnis::N,pamięć,ас
266,Verstand::N,rozum,ӑс
267,Verstand::N,rozum,ӑс-тӑн
268,Verstand::N,rozum,ӑс-хакӑл
269,Sinn::N,zmysł,тупсӑм
270,Sinn::N,zmysł,пӗлтерӗш
271,Grund::N,powód,сӑлтав
272,Wahrheit::N,prawda,чӑнлӑх
273,Gespräch::N,rozmowa,калаҫу
274,Märchen::N,bajka,юмах
