,Concept_ID,bn,tt
0,Auge::N,চক্ষু,күз
1,Ohr::N,কর্ণ,колак
2,Nase::N,নাক,борын
3,Mund::N,মুখ,авыз
4,Mund::N,মুখ,тамак
5,Zahn::N,দাঁত,теш
6,Zunge::N,জিহবা,тел
7,Lippe::N,অধর,ирен
8,Wange::N,গণ্ড,яңак
9,Gesicht::N,মুখমণ্ডল,йөз
10,Stirn::N,কপাল,маңгай
11,Haar::N,চুল,чәч
12,Schnurrbart::N,গোঁফ,мыек
13,Bart::N,শ্মশ্রু,сакал
14,Kinn::N,চিবুক,ияк
15,Kiefer[Anatomie]::N,চোয়াল,казналык
16,Kehle::N,কণ্ঠ,тамак
17,Hals::N,গল,бугаз
18,Genick::N,ঘাড়,җилкә
19,Kopf::N,মাথা,баш
20,Rücken::N,পৃষ্ঠ,сырт
21,Bauch::N,উদর,корсак
22,Nabel::N,নাভি,кендек
23,Busen::N,স্তন,түш
24,Brust::N,বুক,имчәк
25,Brust::N,বুক,күкрәк
26,Schulter::N,স্কন্ধ,иңбаш
27,Schulter::N,স্কন্ধ,кулбаш
28,Arm::N,বাহু,кул
29,Ellenbogen::N,কনুই,терсәк
30,Hand::N,হাত,кул
31,Handfläche::N,করতল,уч
32,Finger::N,আঙ্গুল,бармак
33,Fingernagel::N,হাতের নখ,тырнак
34,Nagel[Anatomie]::N,নখ,тырнак
35,Zeh::N,আঙ্গুল,бармак
36,Fuß::N,পা,табан
37,Ferse::N,গোড়ালি,үкчә
38,Knie::N,হাঁটু,тез
39,Oberschenkel::N,ঊরু,бот
40,Bein::N,পা,аяк
41,Körper::N,দেহ,тән
42,Körper::N,দেহ,җисем
43,Haut::N,ত্বক,тире
44,Blut::N,রক্ত,кан
45,Ader::N,শিরা,тамыр
46,Sehne::N,কণ্ডরা,сеңер
47,Knochen::N,অস্থি,сөяк
48,Gehirn::N,মস্তিষ্ক,ми
49,Herz::N,হৃৎপিণ্ড,йөрәк
50,Magen::N,পাকস্থলী,ашказаны
51,Leber::N,যকৃৎ,бавыр
52,Atem::N,শ্বাস,сулыш
53,Hunger::N,ক্ষুধা,ачлык
54,Träne::N,অশ্রু,яшь
55,Geschmack::N,স্বাদ,тәм
56,Geschmack::N,স্বাদ,зәвык
57,Geruch::N,গন্ধ,ис
58,Schlaf::N,ঘুম,йокы
59,Traum::N,স্বপ্ন,төш
60,Himmel::N,আকাশ,күк
61,Sonne::N,সূর্য,кояш
62,Mond::N,চন্দ্র,ай
63,Stern::N,নক্ষত্র,йолдыз
64,Luft::N,বায়ু,һава
65,Wind::N,বাতাস,җил
66,Welle::N,ঢেউ,дулкын
67,Welle::N,তরঙ্গ,дулкын
68,Wasser::N,জল,су
69,Stein::N,ঢিল,таш
70,Stein::N,প্রস্তর,таш
71,Boden::N,ভূতল,туфрак
72,Erde::N,ভূমি,җир
73,Staub::N,ধুলা,тузан
74,Rauch::N,ধোঁয়া,төтен
75,Funke::N,স্ফুলিঙ্গ,очкын
76,Feuer::N,অগ্নি,ут
77,Licht::N,আলো,якты
78,Schatten::N,ছায়া,күләгә
79,Wetter::N,আবহাওয়া,һава
80,Nebel::N,কুহেলিকা,томан
81,Wolke::N,মেঘ,болыт
82,Regen::N,বৃষ্টি,яңгыр
83,Schnee::N,তুষার,кар
84,Eis::N,বরফ,боз
85,Frost::N,তুষার,суык
86,Frost::N,তুষার,салкын
87,Kälte::N,শৈত্য,суык
88,Kälte::N,শৈত্য,салкын
89,Hitze::N,তাপ,эсселек
90,Raureif::N,তুহিন,бәс
91,Raureif::N,তুহিন,сыкы
92,Regenbogen::N,রামধনু,салават күпере
93,Donner::N,বজ্রধ্বনি,күкрәү
94,Strömung::N,স্রোত,агыш'агым
95,Tropfen::N,ফোঁটা,тамчы
96,Schaum::N,ফেনা,күбек
97,Schmutz::N,ধুলা,пычрак
98,See::N,হ্রদ,күл
99,Sumpf::N,জলা,саз
100,Moor::N,মাঠ,торфлык
101,Wiese::N,তৃণভূমি,болын
102,Wald::N,বন,урман
103,Hügel::N,পাহাড়,калку
104,Anhöhe::N,টিলা,үр
105,Berg::N,পর্বত,тау
106,Gipfel::N,শীর্ষ,оч
107,Höhle::N,গুহা,мәгарә
108,Abhang::N,ঢাল,кабырга
109,Quelle::N,উৎস,чишмә
110,Bach::N,ক্ষুদ্র নদী,елга
111,Fluss::N,নদী,дәрья
112,Ufer::N,উপকূল,су кырые
113,Küste::N,তীর,яр буе
114,Festland::N,ভূমি,коры җир
115,Meer::N,সমুদ্র,диңгез
116,Bucht::N,উপসাগর,бухта
117,Bucht::N,উপসাগর,култык
118,Insel::N,দ্বীপ,атау
119,Insel::N,দ্বীপ,утрау
120,Blume::N,ফুল,чәчкә
121,Gras::N,ঘাস,үлән
122,Wurzel::N,শিকড়,тамыр
123,Baum::N,গাছ,агач
124,Stamm::N,স্কন্ধ,кәүсә
125,Rinde::N,বল্কল,кабык
126,Ast::N,শাখা,ботак
127,Zweig::N,ডাল,ботак
128,Zweig::N,ডাল,тармак
129,Blatt::N,পর্ণ,яфрак
130,Birke::N,ভুর্জ,каен
131,Kiefer[Baum]::N,পাইন গাছ,нарат
132,Weide[Baum]::N,উইলো,тал
133,Tanne::N,দেবদারূ গাছ,чыршы
134,Horn::N,শিং,мөгез
135,Feder::N,পালক,йон
136,Fell::N,রোম,тире
137,Flügel::N,ডানা,канат
138,Klaue::N,নখর,тырнак
139,Kralle::N,নখর,тырнак
140,Schwanz::N,লেজ,койрык
141,Ei::N,ডিম,күкәй
142,Ei::N,ডিম,йомырка
143,Nest::N,কুলায়,оя
144,Bau::N,ডেরা,өн
145,Tier::N,জন্তু,хайван
146,Herde::N,ঝাঁক,көтү
147,Kuh::N,গোরু,сыер
148,Bulle::N,বৃষ,үгез
149,Pferd::N,ঘোড়া,ат
150,Schaf::N,ভেড়া,сарык
151,Schwein::N,শূকর,дуңгыз
152,Hund::N,কুকুর,эт
153,Katze::N,বেড়াল,песи
154,Bär::N,ভল্লুক,аю
155,Eichhörnchen::N,কাঠবিড়াল,тиен
156,Elch::N,হরিণবিশেষ,поши
157,Fuchs::N,পাঁতিশিয়াল,төлке
158,Hase::N,শশক,куян
159,Maus::N,নেংটি ইঁদুর,тычкан
160,Wolf::N,নেকড়ে,бүре
161,Vogel::N,পক্ষী,кош
162,Schwarm::N,ঝাঁক,көтү
163,Huhn::N,মোরগ,тавык
164,Hahn::N,কুক্কুট,әтәч
165,Gans::N,হংসী,каз
166,Adler::N,ইগল,каракош
167,Ente::N,হংসী,үрдәк
168,Eule::N,পেচক,ябалак
169,Kranich::N,সারস,торна
170,Krähe::N,কাক,карга
171,Kuckuck::N,কোকিল,күке
172,Kuckuck::N,কোকিল,кәккүк
173,Schwan::N,মরাল,аккош
174,Fisch::N,মাছ,балык
175,Barsch::N,মৎন্যবিশেষ,алабуга
176,Hecht::N,বানমাছ,чуртан
177,Schlange[Tier]::N,সর্প,елан
178,Wurm::N,কীট,корт
179,Spinne::N,মাকড়সা,үрмәкүч
180,Ameise::N,পিপীলিকা,кырмыска
181,Laus::N,উকুন,бет
182,Mücke::N,মশা,черки
183,Mücke::N,মশা,озынборын
184,Fliege::N,মাছি,чебен
185,Schmetterling::N,প্রজাপতি,күбәләк
186,Beere::N,বেরি,җиләк
187,Apfel::N,আপেল,алма
188,Pilz::N,ছত্রক,гөмбә
189,Zwiebel::N,পিয়াজ,суган
190,Zwiebel::N,পিয়াজ,суганбаш
191,Saat::N,বীজ,орлык
192,Korn::N,শস্য,иген
193,Korn::N,শস্য,орлык
194,Heu::N,খড়,печән
195,Schale::N,খোসা,кабык
196,Grube::N,গর্ত,баз
197,Grube::N,গর্ত,чокыр
198,Falle::N,ফাঁদ,тозак
199,Falle::N,ফাঁদ,капкын
200,Schlinge::N,পাশ,элмәк
201,Spur::N,চিহ্ন,эз
202,Asche::N,ভস্ম,көл
203,Dreck::N,ময়লা,пычрак
204,Eisen::N,লোহা,тимер
205,Gold::N,স্বর্ণ,алтын
206,Silber::N,রৌপ্য,көмеш
207,Kohle::N,অঙ্গার,күмер
208,Glas::N,কাচ,пыяла
209,Lehm::N,মৃত্তিকা,балчык
210,Sand::N,বালি,ком
211,Mensch::N,নর,адәм
212,Mensch::N,নর,инсан
213,Mensch::N,মানুষ,адәм
214,Mensch::N,মানুষ,инсан
215,Mann::N,মানুষ,ир
216,Frau::N,নারী,хатын
217,Kind::N,বাচ্চা,бала
218,Junge::N,ছেলে,малай
219,Mädchen::N,মেয়ে,кыз
220,Familie::N,পরিবার,гаилә
221,Großvater::N,মাতামহ,бабай
222,Großmutter::N,মাতামহী,әби
223,Eltern::N,মাতাপিতা,ата-ана
224,Vater::N,পিতা,ата
225,Mutter::N,মাতা,ана
226,Sohn::N,ছেলে,ул
227,Tochter::N,মেয়ে,кыз
228,Bruder::N,দাদা,кардәш
229,Schwester::N,বোন,апа
230,Schwester::N,বোন,сеңел
231,Schwester::N,দিদি,апа
232,Schwester::N,দিদি,сеңел
233,Onkel::N,মামা,дәдә
234,Onkel::N,মামা,дәдәй
235,Tante::N,মাসী,түти
236,Tante::N,মাসী,тәтәй
237,Ehemann::N,স্বামী,ир
238,Ehefrau::N,পত্নী,хатын
239,Freude::N,উল্লাস,сөенеч
240,Gelächter::N,হাসি,көлү
241,Gelächter::N,হাসি,көлеш
242,Glück::N,সুখ,бәхет
243,Kummer::N,দুঃখ,хәсрәт
244,Wunsch::N,আকাঙ্ক্ষা,теләк
245,Lust::N,বাসনা,теләк
246,Lust::N,বাসনা,теләү
247,Geist::N,আত্না,рух
248,Gedanke::N,চিন্তা,уй
249,Gedanke::N,চিন্তা,фикер
250,Gedächtnis::N,স্মরণশক্তি,хәтер
251,Verstand::N,মন,акыл
252,Sinn::N,পদার্থ,мәгънә
253,Grund::N,কারণ,сәбәп
254,Wahrheit::N,সত্য,хак
255,Gespräch::N,কথাবার্তা,әңгәмә
256,Märchen::N,রূপকথা,әкият
257,Erzählung::N,গল্প,хикәя
258,Nachricht::N,তথ্য,хәбәр
259,Neuigkeit::N,খবরাখবর,яңалык
260,Name::N,নাম,исем
261,Rätsel::N,ধাঁধা,табышмак
262,Rede::N,বক্তৃতা,нотык
263,Sprache::N,ভাষা,тел
264,Stimme::N,স্বর,тавыш
265,Wort::N,শব্দ,сүз
266,Zeichen::N,প্রতীক,ишарә
267,Ruf::N,ডাক,дәшү
268,Lärm::N,হৈচৈ,шау
269,Laut::N,ধ্বনি,аваз
270,Ton::N,স্বর,шалтырату
271,Lied::N,গান,җыр
272,Ruhe::N,শান্তি,тынлык
273,Leute::N,প্রজাপুঞ্জ,халык
274,Volk::N,জাতি,халык
275,Arbeit::N,চাকরি,эш
276,Arbeit::N,চাকরি,хезмәт
277,Gast::N,অতিথি,кунак
278,Geschenk::N,উপহার,бүләк
279,Spiel::N,খেলা,уен
280,Gesellschaft::N,সঙ্গিগণ,җәмгыять
281,Hilfe::N,সাহায্য,ярдәм
282,Hilfe::N,সাহায্য,булышлык
283,Freund::N,বন্ধু,дус
284,Kamerad::N,সঙ্গী,иптәш
285,Angelegenheit::N,বিষয়,эш
286,Anzahl::N,পরিমাণ,микъдар
287,Art::N,রকম,төр
288,Stück::N,টুকরো,кисәк
289,Teil::N,অংশ,өлеш
290,Hälfte::N,অর্ধেক,ярым
291,Kreis::N,বৃত্ত,түгәрәк
292,Kreuz::N,ক্রুশ,хач
293,Kreuz::N,ক্রুশ,тәре
294,Linie::N,রেখা,сызык
295,Strich::N,কষি,сызык
296,Abstand::N,ফাঁক,ара
297,Entfernung::N,ব্যবধান,ераклык
298,Gegend::N,ক্ষেত্র,урын
299,Platz::N,জায়গা,бушлык
300,Ort::N,স্থান,урын
301,Seite::N,পার্শ্ব,як
302,Mitte::N,মধ্য,урта
303,Gegenstand::N,জিনিস,нәрсә
304,Sache::N,বস্তু,нәрсә
305,Rand::N,কানা,чит
306,Kante::N,ধার,кырый
307,Ecke::N,কোণ,почмак
308,Spitze::N,ডগা,оч
309,Ende::N,প্রান্ত,азак
310,Loch::N,গর্ত,тишек
311,Winkel::N,কোণ,почмак
312,Muster::N,নমুন্,парча
313,Größe::N,আয়তন,зурлык
314,Länge::N,দৈর্ঘ্য,озынлык
315,Höhe::N,উচ্চতা,биеклек
316,Gewicht::N,ওজন,авырлык
317,Menge::N,পরিমাণ,микъдар
318,Haufen::N,পুঞ্জ,өем
319,Reihe::N,শ্রেণী,рәт
320,Boot::N,নৌকা,каек
321,Boot::N,নৌকা,көймә
322,Ruder::N,দাঁড়,ишкәк
323,Schlitten::N,স্নেজ্-গাড়ি,чана
324,Ski::N,শী,чаңгы
325,Lagerfeuer::N,অগ্নি,костёр
326,Last::N,বোঝা,йөк
327,Gang::N,হণ্টন,йөреш
328,Schritt::N,পদ,адым
329,Norden::N,উত্তরদিক্,төньяк
330,Süden::N,দক্ষিণদিক,көньяк
331,Westen::N,পশ্চিমদিক্,көнбатыш
332,Osten::N,পূর্বদিক,шәрык
333,Osten::N,পূর্বদিক,көнчыгыш
334,Holz::N,কাঠ,агач
335,Brett::N,তক্তা,такта
336,Platte::N,ফলক,плитә
337,Stütze::N,নাগদণ্ড,таяу
338,Stange::N,দণ্ড,колга
339,Stock::N,ছড়ি,таяк
340,Stab::N,যষ্টি,таяк
341,Rohr::N,নল,торба
342,Haus::N,ঘর,өй
343,Haus::N,ঘর,йорт
344,Heim::N,বাসা,гаилә
345,Heim::N,বাসা,нәсел
346,Ofen::N,স্টোভ্,мич
347,Fußboden::N,গহতল,идән
348,Tisch::N,মেজ,өстәл
349,Tisch::N,টেবিল,өстәл
350,Stuhl::N,চেয়ার,утыргыч
351,Stuhl::N,কেদারা,утыргыч
352,Wiege::N,দোলনা,бишек
353,Bett::N,শয্যা,ятак
354,Bett::N,শয্যা,урын-җир
355,Regal::N,তাক,киштә
356,Regal::N,তাক,шүрлек
357,Kiste::N,বাক্স,әрҗә
358,Fenster::N,জানালা,тәрәзә
359,Tür::N,দ্বার,ишек
360,Tor::N,দ্বার,капка
361,Zaun::N,বেড়া,койма
362,Dach::N,ছাদ,түбә
363,Leiter::N,মই,баскыч
364,Besen::N,গুল্মবিশেষ,себерке
365,Spaten::N,কোদাল,көрәк
366,Schaufel::N,বেলচা,көрәк
367,Gabel::N,কাঁটা,чәннечке
368,Löffel::N,চামচ,кашык
369,Messer::N,ছুরি,пычак
370,Nagel::N,পেরেক,кадак
371,Netz::N,জাল,челтәр
372,Haken::N,কাচি,ыргак
373,Griff::N,হাতল,тотка
374,Schloss::N,তালা,йозак
375,Bild::N,ছবি,рәсем
376,Bild::N,ছবি,картина
377,Bild::N,চিত্র,рәсем
378,Bild::N,চিত্র,картина
379,Figur::N,আকার,сын
380,Figur::N,আকার,фигура
381,Puppe::N,পুতুল,курчак
382,Beutel::N,বটুয়া,луза
383,Bündel::N,আঁটি,бәйләм
384,Tasche::N,থলি,букча
385,Eimer::N,বাল্তি,чиләк
386,Deckel::N,আবরণ,капкач
387,Geschirr::N,থালা-বাসন,савыт-саба
388,Geschirr::N,থালা-বাসন,кашык-аяк
389,Sack::N,বস্তা,капчык
390,Tasse::N,কাপ,чынаяк
391,Topf::N,পাত্র,чүлмәк
392,Kessel::N,কেটলি,казан
393,Essen::N,আহার,ашау
394,Nahrung::N,খাদ্য,азык
395,Nahrung::N,খাদ্য,тәгам
396,Nahrung::N,খাদ্য,ашамлык
397,Speise::N,খাদ্য,ризык
398,Fleisch::N,মাংস,ит
399,Getreide::N,শস্য,ашлык
400,Brei::N,মণ্ড,ботка
401,Brot::N,রুটি,ипи
402,Brot::N,রুটি,икмәк
403,Scheibe::N,ফালি,телем
404,Fett::N,মেদ,май
405,Butter::N,মাখন,май
406,Öl::N,তৈল,май
407,Salz::N,নুন,тоз
408,Suppe::N,শুরুয়া,шулпа
409,Honig::N,মধু,бал
410,Milch::N,দুধ,сөт
411,Tee::N,চা,чәй
412,Leder::N,পাকা চামড়া,күн
413,Wolle::N,পশম,йон
414,Stoff::N,বস্ত্র,тукыма
415,Nadel::N,সুচ,энә
416,Faden::N,সূত্র,җеп
417,Knopf::N,বোতাম,төймә
418,Knoten::N,গিঁট,төен
419,Farbe::N,রং,буяу
420,Kleidung::N,কাপড়,кием
421,Hemd::N,শার্ট,күлмәк
422,Kragen::N,গলবন্ধ,яка
423,Ärmel::N,আস্তিন্,җиң
424,Hose::N,ট্রাউজার,чалбар
425,Gürtel::N,কটিবন্ধ,билбау
426,Mütze::N,টুপি,бүрек
427,Schuh::N,জুতো,башмак
428,Stiefel::N,বুট,итек
429,Ring::N,আংটি,балдак
430,Band::N,ফিতা,тасма
431,Kamm::N,চিরুনি,тарак
432,Spiegel::N,আয়না,көзге
433,Riemen::N,চাবুক,каеш
434,Schnur::N,দড়ি,бау
435,Leine::N,শিকল,тезген
436,Decke::N,কম্বল,юрган
437,Kissen::N,উপাধান,мендәр
438,Tuch::N,বস্ত্র,яулык
439,Handtuch::N,তোয়ালে,сөлгә
440,Kraft::N,জোর,егәр
441,Kraft::N,জোর,дәрман
442,Stärke::N,শক্তি,көч
443,Stärke::N,শক্তি,дәрман
444,Gesundheit::N,স্বাস্থ্য,саулык
445,Krankheit::N,অসুখ,чир
446,Krankheit::N,অসুখ,хаста
447,Krankheit::N,অসুখ,сырхау
448,Krankheit::N,ব্যামো,чир
449,Krankheit::N,ব্যামো,хаста
450,Krankheit::N,ব্যামো,сырхау
451,Schmerz::N,যন্ত্রণা,авырту
452,Wunde::N,ক্ষত,яра
453,Wunde::N,ক্ষত,җәрәхәт
454,Fieber::N,জ্বর,бизгәк
455,Arznei::N,ঔষধ,дару
456,Brücke::N,সেতু,күпер
457,Brunnen::N,কূপ,кое
458,Weide::N,পশুচারণভূমি,утлавык
459,Pfad::N,পথ,сукмак
460,Weg::N,পথ,юл
461,Straße::N,রাস্তা,урам
462,Dorf::N,গ্রাম,авыл
463,Stadt::N,শহর,шәһәр
464,Brief::N,চিঠি,хат
465,Buch::N,বই,китап
466,Buchstabe::N,অক্ষর,хәреф
467,Zeitung::N,সংবাদপত্র,газет
468,Zeitung::N,সংবাদপত্র,газета
469,Leben::N,জীবন,гомер
470,Leben::N,জীবন,тормыш
471,Leben::N,জীবন,тереклек
472,Tod::N,মৃত্যু,үлем
473,Grab::N,কবর,гүр
474,Grab::N,কবর,кабер
475,Kirche::N,গির্জা,чиркәү
476,Sünde::N,পাপ,язык
477,Sünde::N,পাপ,гөнаһ
478,Gott::N,দেবতা,алла
479,Gott::N,দেবতা,ходай
480,Arbeiter::N,শ্রমিক,эшче
481,Chef::N,নেতা,башлык
482,Meister::N,ব্যক্তি,оста
